日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-08-27,1064.006,1130.3,1057.258,1128.214,212598140,2597158200.0
2024-08-28,1116.869,1116.869,1067.337,1069.088,563041210,4576807900.0
2024-08-29,1053.516,1054.312,1036.879,1050.876,505030590,3702051100.0
2024-08-30,1039.738,1085.166,1034.52,1066.986,571821400,4217681400.0
2024-09-02,1058.761,1060.681,1035.676,1036.687,582527930,4025741100.0
2024-09-03,1032.525,1042.818,1027.066,1038.415,378577710,2555856200.0
2024-09-04,1030.276,1037.585,1020.867,1022.036,359092140,2626353600.0
2024-09-05,1023.307,1036.877,1023.307,1032.466,310402400,2567695200.0
2024-09-06,1031.026,1032.754,1010.988,1011.695,359507330,2943394000.0
2024-09-09,1006.049,1017.254,993.768,1012.669,290253300,2144719400.0
2024-09-10,1015.27,1020.397,999.716,1017.62,298941610,2228089100.0
2024-09-11,1013.724,1018.951,1007.538,1011.229,288988600,2047977100.0
2024-09-12,1012.529,1026.341,1011.27,1011.27,320329700,2456799100.0
2024-09-13,1013.274,1020.766,1006.548,1006.548,414594750,2964273000.0
2024-09-18,1004.206,1005.732,982.982,998.558,348846740,2629906600.0
2024-09-19,1001.973,1029.912,1000.242,1026.075,423104610,3444265500.0
2024-09-20,1028.189,1030.64,1019.494,1027.623,340316380,3005411500.0
2024-09-23,1028.621,1032.097,1020.42,1026.613,303556130,2601701400.0
2024-09-24,1032.254,1056.836,1025.212,1056.836,557616390,4394272800.0
2024-09-25,1063.876,1091.3,1063.876,1066.083,680035410,5124484800.0
2024-09-26,1062.896,1105.747,1061.98,1105.747,662994820,5145154200.0
2024-09-27,1127.279,1174.555,1121.15,1170.543,736227460,7057604800.0
2024-09-30,1231.88,1321.338,1205.451,1312.137,1563518300,11980935200.0
2024-10-08,1499.437,1499.437,1338.501,1451.186,1922577800,17186112000.0
2024-10-09,1389.536,1389.536,1287.529,1287.529,1415596400,13321527300.0
2024-10-10,1296.243,1368.664,1270.42,1321.092,1222686800,10279179100.0
2024-10-11,1305.94,1305.94,1234.32,1250.739,823801870,7067863700.0
2024-10-14,1275.217,1320.788,1262.835,1319.214,910942850,7977620900.0
2024-10-15,1313.764,1342.825,1298.444,1315.348,1035485360,10287017500.0
2024-10-16,1298.6,1374.193,1298.6,1357.285,1075361560,11623965200.0
2024-10-17,1363.851,1382.16,1337.121,1337.461,1013744030,11620261600.0
2024-10-18,1322.172,1394.518,1313.484,1368.063,1326221300,13247411300.0
2024-10-21,1372.594,1417.621,1370.486,1417.621,1371234600,14562720000.0
2024-10-22,1412.003,1412.003,1377.06,1393.386,1162786360,13038330500.0
2024-10-23,1391.122,1409.28,1386.65,1390.871,987871050,9995241000.0
2024-10-24,1387.112,1402.841,1380.594,1397.779,683879660,6931416100.0
2024-10-25,1409.774,1454.755,1409.774,1437.751,918338320,11444183200.0
2024-10-28,1453.919,1488.749,1449.283,1488.749,1165427340,13475251000.0
2024-10-29,1491.141,1498.812,1460.88,1460.88,1121757580,11590873000.0
2024-10-30,1452.704,1478.023,1445.574,1465.692,901210130,9773199700.0
2024-10-31,1469.418,1494.22,1466.051,1481.502,1195016300,11933473200.0
2024-11-01,1474.079,1484.11,1413.466,1426.998,1234914150,11413750900.0
2024-11-04,1423.637,1447.825,1408.855,1447.825,953710770,7852098900.0
2024-11-05,1454.658,1504.796,1454.658,1504.796,1391509000,11566930400.0
2024-11-06,1517.056,1554.89,1501.028,1542.724,1740585700,17339972000.0
2024-11-07,1534.159,1611.809,1525.814,1607.906,1825220000,17241353000.0
2024-11-08,1612.51,1617.959,1568.653,1572.965,1627345300,15472531000.0
2024-11-11,1574.548,1595.862,1565.049,1595.862,1344449900,12509990600.0
2024-11-12,1599.485,1600.73,1549.237,1565.069,1288283290,12036594800.0
2024-11-13,1564.111,1588.432,1539.53,1576.497,1161054210,9927442300.0
2024-11-14,1583.453,1589.166,1545.28,1545.407,1106328920,10023665000.0
2024-11-15,1533.643,1564.932,1519.486,1519.486,1201859870,10798204300.0
2024-11-18,1528.482,1540.828,1484.786,1518.243,1791788200,12323741100.0
2024-11-19,1509.108,1526.018,1480.309,1523.698,1668408200,11836219800.0
2024-11-20,1511.824,1563.246,1507.458,1563.114,1372979400,10309777800.0
2024-11-21,1558.951,1570.3,1543.931,1560.381,1217641350,9894364500.0
2024-11-22,1553.094,1562.283,1503.137,1503.664,1224920480,10110366100.0
2024-11-25,1505.909,1513.844,1477.069,1508.735,968578030,7508882900.0
2024-11-26,1508.094,1512.123,1481.204,1482.067,681972850,5522709100.0
2024-11-27,1475.907,1505.652,1439.117,1505.652,835532310,6640658200.0
2024-11-28,1512.131,1553.086,1512.131,1533.414,907529720,8929499000.0
