日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-07,1044.627,1108.062,1044.627,1105.215,571664970,3523203700.0
2022-03-08,1126.827,1126.827,1048.903,1049.605,1553048600,11176980800.0
2022-03-09,1020.694,1039.053,987.797,1019.975,1198519950,8098414900.0
2022-03-10,1036.809,1054.677,1028.582,1039.786,1089079180,7945850200.0
2022-03-11,1010.519,1027.59,992.749,1017.722,966970950,6273598600.0
2022-03-14,1012.199,1022.272,987.667,987.714,845889860,5306269600.0
2022-03-15,971.866,983.44,936.438,937.119,860447290,5060827700.0
2022-03-16,953.857,977.968,930.173,972.949,889614760,5082250600.0
2022-03-17,979.767,1011.021,978.127,994.587,852508350,4970567300.0
2022-03-18,990.32,1012.149,987.955,1009.805,757245250,4487951700.0
2022-03-21,1013.176,1020.108,1004.061,1020.108,637467130,3848634400.0
2022-03-22,1016.847,1038.78,1004.708,1033.2,1110805590,6806987300.0
2022-03-23,1022.008,1031.087,1018.245,1020.454,930859100,5523273100.0
2022-03-24,1008.457,1008.457,993.11,997.081,776535150,4377697300.0
2022-03-25,994.594,1012.39,994.008,999.93,868611400,4849167300.0
2022-03-28,989.196,1013.408,985.171,999.472,902227000,4823414600.0
2022-03-29,1011.409,1027.466,992.881,995.57,768267880,4317188300.0
2022-03-30,988.092,1004.197,980.452,1002.196,920682340,4682041700.0
2022-03-31,992.116,1008.98,990.545,994.971,985939380,4790072300.0
2022-04-01,987.753,1003.579,985.165,999.786,1024199210,4853892500.0
2022-04-06,1001.922,1025.493,1001.922,1019.938,1085123670,5160586900.0
2022-04-07,1012.227,1012.554,988.991,989.489,942339270,4603423900.0
2022-04-08,990.095,994.607,963.353,972.972,778288260,3835763700.0
2022-04-11,967.213,967.213,930.785,939.128,615847430,3030858000.0
2022-04-12,939.295,963.224,931.592,962.778,763917230,3400343800.0
2022-04-13,953.828,953.828,925.587,925.587,749074340,3326160200.0
2022-04-14,927.455,942.191,927.455,933.24,550571560,2480788100.0
2022-04-15,926.888,929.194,905.819,908.853,649347670,3059320500.0
2022-04-18,897.743,908.83,882.299,904.306,482160300,2130127200.0
2022-04-19,896.826,911.224,892.715,910.879,450104420,2121924700.0
2022-04-20,911.437,917.069,889.929,894.219,425258600,1999272700.0
2022-04-21,892.378,897.96,855.414,860.36,539473590,2465371300.0
2022-04-22,852.837,863.874,843.212,854.981,453289120,2135739600.0
2022-04-25,841.569,841.569,782.63,782.63,578361630,2448780300.0
2022-04-26,783.398,793.334,754.497,757.149,505348150,2046730100.0
2022-04-27,742.205,777.327,730.944,777.327,536807740,2116347100.0
2022-04-28,771.424,779.758,746.509,758.061,510013960,1950890300.0
2022-04-29,759.716,797.616,759.716,791.504,577837310,2250437000.0
2022-05-05,789.325,811.23,783.706,804.501,498114200,1958400700.0
2022-05-06,786.678,805.079,780.519,791.835,586214580,2118673400.0
2022-05-09,790.586,814.406,790.586,811.248,511484680,1931556400.0
2022-05-10,802.038,820.537,799.247,820.49,579311820,2311985700.0
2022-05-11,818.178,834.069,811.978,812.139,610733320,2502375900.0
2022-05-12,806.652,828.47,805.981,820.212,530572870,2073743100.0
2022-05-13,823.685,828.348,814.126,828.153,502135100,2040146500.0
2022-05-16,833.974,840.467,829.078,837.705,428851610,1907190400.0
2022-05-17,838.781,839.504,816.16,829.002,588372680,2208701200.0
2022-05-18,830.474,849.68,830.474,842.281,728101270,2993097500.0
2022-05-19,828.718,848.694,825.158,848.564,671426840,2880212000.0
2022-05-20,848.283,855.417,843.89,855.417,572600650,2538303100.0
2022-05-23,860.473,876.829,860.473,876.632,596829200,2784544300.0
2022-05-24,874.735,875.388,825.453,825.655,682863400,2886920000.0
2022-05-25,822.539,854.241,822.539,853.41,498735490,2117535000.0
2022-05-26,855.595,861.048,842.587,860.829,676852920,3084073300.0
2022-05-27,861.841,879.611,854.614,869.267,593283180,2605884500.0
2022-05-30,869.514,871.347,855.638,869.663,697456520,2849124300.0
2022-05-31,865.925,869.267,856.859,869.138,567474960,2357079300.0
2022-06-01,866.495,876.347,864.035,873.248,572990920,2298502800.0
2022-06-02,871.767,871.767,855.832,864.178,505439140,2035966100.0
2022-06-06,861.477,873.95,860.75,872.849,463868650,1961605300.0
2022-06-07,875.317,880.502,862.133,872.428,494908700,2069398400.0
2022-06-08,871.965,879.885,861.187,875.946,552799650,2345918700.0
2022-06-09,873.986,875.171,857.032,859.936,568260540,2102381300.0
2022-06-10,855.424,868.972,851.885,867.782,603101150,2051085900.0
2022-06-13,861.302,881.814,859.227,881.116,654875120,2497935200.0
2022-06-14,874.327,876.968,852.564,876.858,616291100,2290931000.0
2022-06-15,879.638,901.483,878.041,892.418,925729470,3427298200.0
2022-06-16,894.075,927.112,893.565,921.431,974964750,4016881800.0
2022-06-17,922.226,926.796,909.759,923.261,977258780,4575245600.0
2022-06-20,922.081,951.617,922.081,947.284,819676000,4224554600.0
2022-06-21,944.034,949.141,932.066,939.762,938209830,4966131400.0
2022-06-22,938.283,942.987,920.706,921.401,715405180,3609923800.0
2022-06-23,917.204,927.038,915.018,925.891,641528490,3117008700.0
2022-06-24,926.242,926.918,917.904,921.722,634528990,2957893800.0
2022-06-27,922.561,923.194,915.788,920.485,604902100,2754568200.0
2022-06-28,917.983,928.597,912.431,928.332,588317720,2594327900.0
2022-06-29,928.291,937.029,919.691,919.938,698565970,3188568400.0
2022-06-30,923.311,933.172,921.122,930.243,637332820,3039859100.0
2022-07-01,924.828,926.863,913.933,916.462,505207550,2341017600.0
2022-07-04,914.56,915.474,907.014,915.103,402164430,1883321600.0
2022-07-05,921.213,925.747,907.007,913.979,454205720,2261407000.0
2022-07-06,913.242,915.138,897.608,903.509,469740670,2335709700.0
2022-07-07,900.994,920.095,900.527,919.068,481561380,2622480500.0
2022-07-08,909.191,933.868,907.68,927.61,625181830,3232527400.0
2022-07-11,925.857,927.769,913.26,916.274,487616310,2519445300.0
2022-07-12,918.685,918.685,900.454,900.454,423868110,2105752200.0
2022-07-13,900.105,925.381,900.105,923.15,418326720,2046449100.0
2022-07-14,922.945,924.877,916.348,918.603,542593540,2529837300.0
2022-07-15,912.097,912.739,895.1,895.1,590260450,2515090000.0
2022-07-18,895.924,927.678,895.924,926.511,560132580,2586037700.0
2022-07-19,926.013,947.098,922.422,946.457,748024030,3785622800.0
2022-07-20,947.306,952.154,942.276,944.494,767001930,3926021800.0
2022-07-21,942.731,951.285,932.702,932.702,678104450,3092172500.0
2022-07-22,933.545,939.08,918.974,926.83,461547220,2149207500.0
2022-07-25,927.189,934.84,919.844,921.979,387217180,1806070300.0
2022-07-26,921.71,941.062,918.517,938.355,517000210,2328421900.0
2022-07-27,934.711,952.546,932.629,948.846,508527670,2597824200.0
2022-07-28,951.555,955.499,949.605,951.185,638470290,3266798500.0
2022-07-29,951.135,952.261,942.267,943.516,508750320,2562224200.0
2022-08-01,940.636,945.769,937.033,938.986,422904940,2059577100.0
2022-08-02,931.262,931.262,877.458,883.956,609090640,2751850400.0
2022-08-03,883.062,906.182,876.704,878.498,447203990,2011568300.0
2022-08-04,884.385,898.301,880.112,898.152,433194400,1698756500.0
2022-08-05,900.157,908.443,897.842,908.341,476003080,1930081400.0
2022-08-08,906.929,925.468,904.461,925.372,439068950,1971410000.0
2022-08-09,925.834,930.595,919.424,924.883,400556870,1789640900.0
2022-08-10,922.275,926.681,917.135,923.755,313474180,1452366900.0
2022-08-11,926.768,943.659,926.169,941.878,574539880,2481717700.0
2022-08-12,943.229,951.368,938.63,946.384,538279430,2344355500.0
2022-08-15,945.839,962.646,937.936,959.379,592109740,2868785100.0
2022-08-16,956.342,968.012,953.961,965.639,709358550,3160195800.0
2022-08-17,971.384,975.817,963.91,971.547,809083820,3763570200.0
2022-08-18,973.854,973.854,959.609,968.378,873947010,4099402100.0
2022-08-19,964.129,978.066,963.265,963.777,903362180,4198061300.0
2022-08-22,955.03,965.963,947.627,963.013,712025030,3214920200.0
2022-08-23,966.2,967.968,956.841,963.151,691517330,2920179600.0
2022-08-24,961.35,963.0,933.28,936.23,636067780,2709110700.0
2022-08-25,938.11,940.329,919.41,931.178,475389370,2016169300.0
2022-08-26,933.396,948.133,929.499,933.766,533133080,2403554300.0
2022-08-29,919.279,940.388,912.435,934.567,485770500,2134917400.0
2022-08-30,934.382,950.663,934.382,946.962,630741540,2634946800.0
2022-08-31,943.587,947.765,922.926,923.765,527340120,2224571400.0
2022-09-01,925.504,943.669,925.504,931.081,590971270,2508215300.0
2022-09-02,932.77,947.218,931.153,946.286,552322990,2715831900.0
2022-09-05,946.285,950.836,934.631,942.859,488356770,2184748000.0
2022-09-06,942.703,948.88,937.427,948.468,492404890,2030472700.0
2022-09-07,945.651,945.651,933.177,937.453,395487100,1707866900.0
2022-09-08,937.484,938.353,925.666,926.215,361680950,1598501300.0
2022-09-09,925.569,931.701,922.07,929.034,355045490,1471561600.0
2022-09-13,930.145,935.074,921.706,923.6,344677950,1447020400.0
2022-09-14,912.831,922.43,910.503,919.414,321528450,1332081070.0
2022-09-15,921.603,924.701,892.676,905.059,657262320,2297357500.0
2022-09-16,903.578,903.578,874.53,874.53,658699980,2195699700.0
2022-09-19,870.782,871.327,852.453,858.484,445683230,1532183800.0
2022-09-20,864.188,874.119,864.188,871.26,425889050,1381215700.0
2022-09-21,866.178,885.641,856.377,882.313,577038090,1666797700.0
2022-09-22,878.362,885.778,868.858,869.118,611648760,1664091300.0
2022-09-23,870.586,874.138,851.163,851.41,543652950,1554321900.0
2022-09-26,846.53,846.53,822.216,823.525,484701260,1410905700.0
2022-09-27,827.667,852.331,826.718,852.331,497066240,1487191200.0
2022-09-28,850.584,850.584,830.561,830.848,424716940,1290254420.0
2022-09-29,838.117,841.484,813.432,818.739,467160100,1355625100.0
2022-09-30,821.225,826.748,813.066,817.594,363232730,1107690870.0
2022-10-10,819.142,827.82,807.127,809.243,341396670,1233349130.0
2022-10-11,809.647,814.397,793.947,813.403,305739120,1093395150.0
2022-10-12,811.766,837.046,805.858,836.701,473157260,1422472000.0
2022-10-13,831.365,855.237,830.135,847.216,545891500,1762646600.0
