日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-10-26,998.525,1058.997,973.451,1044.985,7508881,104963549.0
2020-10-27,1032.431,1036.563,1002.624,1014.603,76857088,1996959800.0
2020-10-28,1009.51,1012.666,992.935,1006.041,72777505,1554217600.0
2020-10-29,986.865,1002.751,980.984,999.712,69636088,1343028200.0
2020-10-30,998.066,999.156,965.953,967.092,80527044,1378487300.0
2020-11-02,970.413,976.259,958.368,975.204,80130165,1268931350.0
2020-11-03,974.088,1006.557,970.183,1003.676,82629439,1296803840.0
2020-11-04,1005.444,1007.738,977.214,986.441,78040291,1205314130.0
2020-11-05,1008.13,1032.892,1008.13,1031.462,145068210,2074529400.0
2020-11-06,1040.805,1043.235,1022.613,1029.979,173930180,2181461000.0
2020-11-09,1037.275,1070.467,1034.565,1069.57,249958270,2948791100.0
2020-11-10,1069.067,1069.067,1038.149,1041.493,210079590,2476012200.0
2020-11-11,1040.466,1041.536,994.413,994.413,181469040,2053177400.0
2020-11-12,996.171,1003.866,986.362,997.907,125197164,1518711700.0
2020-11-13,1002.789,1021.973,999.436,1017.984,135048980,1636496100.0
2020-11-16,1018.873,1033.877,1011.71,1033.877,238371390,2354909300.0
2020-11-17,1032.474,1033.658,1003.42,1020.396,309632580,2918105400.0
2020-11-18,1012.73,1035.526,1012.73,1026.102,206697360,2111578000.0
2020-11-19,1018.09,1020.202,1008.116,1017.659,163333130,1661652600.0
2020-11-20,1017.766,1023.599,1013.023,1021.229,130219912,1466410000.0
2020-11-23,1014.943,1015.697,1002.437,1005.092,141676810,1455013100.0
2020-11-24,1001.834,1003.842,995.472,999.17,103018448,1052727410.0
2020-11-25,1001.537,1002.702,982.876,982.9,140576780,1320650730.0
2020-11-26,981.984,987.027,976.844,980.512,122705078,1142285320.0
2020-11-27,979.907,979.912,963.439,968.822,99931570,987527750.0
2020-11-30,970.72,977.712,962.781,970.251,125521962,1189504350.0
2020-12-01,971.522,997.016,970.814,996.827,236976010,1957351800.0
2020-12-02,997.839,1003.524,985.662,999.933,266892800,2181992600.0
2020-12-03,995.171,1004.211,992.187,1001.734,176965120,1563307800.0
2020-12-04,1000.88,1008.497,996.518,1007.112,120018520,1165401890.0
2020-12-07,1011.6,1011.6,997.132,1003.763,172950560,1569616600.0
2020-12-08,1000.584,1001.114,986.58,986.663,175463720,1483445100.0
2020-12-09,980.773,980.773,954.861,954.861,150174240,1384754800.0
2020-12-10,947.624,950.74,933.375,940.556,107153359,1024948810.0
2020-12-11,938.38,942.033,913.258,921.579,125969199,1142233820.0
2020-12-14,919.65,936.619,913.338,932.899,90825118,911636830.0
2020-12-15,913.794,918.392,909.869,913.202,79742513,838305330.0
2020-12-16,903.826,904.787,882.038,882.334,109718168,1209102600.0
2020-12-17,878.715,896.865,872.357,896.496,157214360,1369616500.0
2020-12-18,894.815,895.584,876.607,879.583,128279336,1152752260.0
2020-12-21,879.808,892.201,874.457,888.357,107251295,974048990.0
2020-12-22,883.076,884.961,864.039,864.324,119075338,1152898330.0
2020-12-23,864.368,870.581,854.005,857.183,97068692,955872400.0
2020-12-24,854.562,855.261,834.033,836.068,99825031,909901540.0
2020-12-25,837.579,839.784,827.834,830.526,87224512,765332120.0
2020-12-28,828.384,828.448,809.107,811.172,94928879,873238880.0
2020-12-29,812.968,831.641,812.02,823.001,99815238,844824260.0
2020-12-30,825.218,828.609,818.116,824.995,88580328,837781870.0
2020-12-31,825.805,847.693,825.073,844.534,216328200,1738518300.0
2021-01-04,844.357,864.999,844.357,863.039,158929430,1375547900.0
2021-01-05,863.288,867.975,855.708,863.238,163318080,1324165580.0
2021-01-06,862.776,865.347,840.118,844.941,151129260,1225176860.0
2021-01-07,842.268,842.581,806.695,808.646,144787390,1197998040.0
2021-01-08,809.706,838.805,795.639,834.261,272817360,2035504000.0
2021-01-11,836.609,839.042,806.508,810.419,319733760,2360233900.0
2021-01-12,808.916,820.586,805.025,811.634,248953430,1881773000.0
2021-01-13,808.671,808.671,781.277,784.336,247001140,1864169100.0
2021-01-14,786.675,793.736,767.99,786.686,227313110,1715970300.0
2021-01-15,788.649,812.716,786.934,810.596,206978330,1605087100.0
2021-01-18,813.353,831.713,813.353,830.333,232086800,1904802900.0
2021-01-19,827.098,853.397,824.818,853.397,232601130,1922073700.0
2021-01-20,848.319,853.068,836.08,852.105,157706230,1409131300.0
2021-01-21,845.59,856.228,842.214,850.875,164303880,1469594800.0
