日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-10-19,998.702,1038.919,998.702,1029.005,174153790,2800209100.0
2021-10-20,1017.068,1040.171,1017.037,1038.862,297040180,4393467500.0
2021-10-21,1033.757,1046.025,1024.622,1028.904,251392070,3760928200.0
2021-10-22,1033.488,1033.488,1005.994,1008.097,195760000,2947400100.0
2021-10-25,1007.443,1052.694,1007.443,1052.66,271451480,4897233300.0
2021-10-26,1056.492,1062.847,1051.739,1060.521,325744080,5335957600.0
2021-10-27,1059.291,1065.23,1051.637,1059.4,301166840,4483027400.0
2021-10-28,1053.973,1070.373,1036.895,1060.728,437487210,6405360600.0
2021-10-29,1092.349,1104.721,1076.942,1089.661,508856720,7356104600.0
2021-11-01,1082.518,1115.809,1077.899,1114.698,787705540,10649584700.0
2021-11-02,1104.49,1114.988,1075.067,1084.704,676930780,8934421700.0
2021-11-03,1077.828,1094.802,1069.87,1092.751,554437100,7261720000.0
2021-11-04,1096.423,1130.233,1091.078,1122.975,670401820,9096399900.0
2021-11-05,1120.937,1121.253,1096.343,1098.235,587576160,7894990600.0
2021-11-08,1091.815,1104.809,1090.832,1102.82,486749800,6698307100.0
2021-11-09,1100.189,1111.993,1100.169,1110.078,476740960,6520929100.0
2021-11-10,1104.255,1109.936,1090.043,1109.936,464483260,6277131800.0
2021-11-11,1107.086,1121.945,1106.058,1116.712,485376050,6593133500.0
2021-11-12,1115.615,1156.909,1115.615,1156.909,663420640,9847978900.0
2021-11-15,1163.776,1178.048,1163.234,1172.74,697605550,11425216700.0
2021-11-16,1168.105,1180.173,1162.139,1168.733,640339920,9235422600.0
2021-11-17,1169.784,1210.507,1169.784,1210.507,826547840,11942733900.0
2021-11-18,1203.215,1214.945,1196.571,1199.747,737506730,11057389900.0
2021-11-19,1199.172,1211.459,1193.68,1209.505,622354380,10250636700.0
2021-11-22,1214.888,1239.024,1209.641,1234.78,782009550,12078250400.0
2021-11-23,1236.052,1260.329,1232.307,1249.647,810314050,12404184400.0
