日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1033.154,1049.075,1029.657,1048.78,332949930,2975980000.0
2020-01-03,1054.111,1073.558,1054.111,1073.406,366387060,3239824600.0
2020-01-06,1076.755,1097.422,1073.101,1088.338,446226560,3827642500.0
2020-01-07,1090.275,1116.096,1090.275,1116.096,474035730,4736088200.0
2020-01-08,1116.944,1128.462,1102.533,1105.002,720195860,7953417700.0
2020-01-09,1113.954,1123.571,1108.051,1119.299,1167353570,10622073200.0
2020-01-10,1119.249,1120.688,1099.651,1103.875,809807360,6840153700.0
2020-01-13,1103.397,1114.52,1093.893,1114.52,620603290,5673121700.0
2020-01-14,1115.647,1139.346,1115.09,1132.804,911425810,7644455300.0
2020-01-15,1132.907,1133.951,1117.451,1127.075,611512390,5635498600.0
2020-01-16,1125.43,1131.825,1120.24,1122.577,591180670,5734311400.0
2020-01-17,1127.325,1127.885,1111.315,1113.84,460012710,4285477700.0
2020-01-20,1113.059,1114.497,1101.151,1113.65,485901180,4323717000.0
2020-01-21,1111.259,1111.259,1091.029,1091.529,437486110,3964165900.0
2020-01-22,1087.845,1099.209,1074.645,1096.889,438147980,3993131400.0
2020-01-23,1080.663,1086.594,1036.256,1048.323,531548610,4572287700.0
2020-02-03,943.607,945.281,943.607,943.607,74940666,612366370.0
2020-02-04,866.655,917.624,866.655,917.27,659783980,4892043200.0
2020-02-05,915.392,954.336,915.392,941.104,611291050,4669597400.0
2020-02-06,950.242,982.484,947.539,980.325,688165460,5284918100.0
2020-02-07,984.964,999.832,975.088,996.353,598243100,5072054800.0
2020-02-10,990.206,1039.105,987.864,1038.667,570183570,4664755800.0
2020-02-11,1048.884,1048.884,1013.443,1014.898,859584990,6630496300.0
2020-02-12,1007.63,1044.107,1005.843,1042.973,888058680,7412614000.0
2020-02-13,1042.755,1063.394,1040.105,1045.003,1007227760,8130440300.0
2020-02-14,1038.534,1058.943,1035.65,1053.583,833074000,6967619000.0
2020-02-17,1061.215,1103.969,1061.215,1103.887,966754430,8600051700.0
2020-02-18,1101.133,1120.694,1091.984,1120.471,849484820,8214945900.0
2020-02-19,1108.936,1119.556,1101.603,1112.723,817373720,7931296200.0
2020-02-20,1113.891,1132.393,1101.235,1132.393,725893640,7237202500.0
2020-02-21,1132.927,1160.289,1131.013,1139.658,801696980,8551265900.0
2020-02-24,1142.136,1177.658,1134.466,1172.201,948425030,9583467100.0
2020-02-25,1136.787,1151.05,1097.865,1146.918,812637970,8632557600.0
2020-02-26,1166.38,1177.62,1139.675,1143.202,994881480,9308765600.0
2020-02-27,1142.26,1157.721,1123.967,1146.241,809563550,7492302300.0
2020-02-28,1097.17,1113.746,1059.508,1062.326,834743570,7904955500.0
2020-03-02,1070.519,1119.584,1063.411,1113.097,707462450,7192496800.0
2020-03-03,1144.051,1166.624,1123.923,1137.828,916275100,9631545600.0
2020-03-04,1129.04,1154.069,1127.185,1154.069,869228780,8650387400.0
2020-03-05,1168.618,1182.392,1164.98,1175.612,896223400,9124536500.0
2020-03-06,1159.838,1180.224,1157.131,1170.219,986443360,9368725400.0
2020-03-09,1153.248,1163.742,1115.522,1115.59,911100930,8853863400.0
2020-03-10,1097.36,1145.882,1083.546,1145.714,780531440,7251250100.0
2020-03-11,1147.341,1155.627,1127.39,1128.128,735137620,6971916800.0
2020-03-12,1106.801,1117.847,1088.248,1104.634,599214970,5477727900.0
2020-03-13,1045.443,1110.48,1044.306,1106.146,665548480,5862104000.0
2020-03-16,1113.133,1113.809,1051.952,1056.963,658665340,5574874100.0
2020-03-17,1063.258,1073.402,1012.07,1052.628,525798670,4339796100.0
2020-03-18,1062.728,1080.627,1034.513,1034.513,544835640,4686609500.0
2020-03-19,1032.916,1056.02,1018.647,1053.362,479806620,4201742400.0
2020-03-20,1063.138,1066.757,1044.999,1063.36,419850740,3818233300.0
2020-03-23,1034.105,1057.933,1024.53,1027.704,442276400,3800470100.0
2020-03-24,1047.037,1052.365,1019.386,1052.365,421509180,3768642400.0
2020-03-25,1071.094,1076.028,1064.311,1075.802,593358990,5167511700.0
2020-03-26,1065.742,1089.638,1061.302,1076.265,666987910,5574756700.0
2020-03-27,1084.527,1087.232,1059.203,1059.203,496746140,4233271600.0
2020-03-30,1052.092,1059.014,1040.225,1055.153,592277900,4819291400.0
2020-03-31,1062.408,1084.762,1055.246,1082.377,750077720,5889913900.0
2020-04-01,1074.503,1081.298,1057.43,1061.487,604108410,4941608400.0
2020-04-02,1053.825,1075.227,1051.013,1075.227,511574130,4231461400.0
2020-04-03,1078.025,1087.424,1074.889,1077.476,509712400,3994510400.0
2020-04-07,1098.91,1132.028,1096.112,1132.028,694019710,5839098000.0
2020-04-08,1125.183,1137.476,1122.657,1128.381,666624930,5458292500.0
2020-04-09,1130.997,1138.725,1119.429,1134.701,559994680,4740732900.0
2020-04-10,1129.386,1129.386,1087.81,1090.346,487004200,4102589600.0
2020-04-13,1081.611,1088.542,1072.029,1081.704,327894020,2570744400.0
2020-04-14,1086.669,1100.295,1083.896,1100.295,449973290,3751388700.0
2020-04-15,1101.623,1108.546,1090.187,1091.484,549771550,4910159600.0
2020-04-16,1086.092,1103.186,1082.058,1101.093,484631360,4606067000.0
2020-04-17,1104.423,1108.384,1092.4,1093.995,420144110,4115023000.0
2020-04-20,1097.883,1112.245,1095.231,1112.084,399373150,3711719100.0
2020-04-21,1107.138,1119.823,1099.948,1119.605,455853170,4102550100.0
2020-04-22,1100.949,1153.988,1100.364,1153.988,754416820,6317962700.0
2020-04-23,1171.917,1174.886,1156.203,1158.1,927474740,8316777600.0
2020-04-24,1171.329,1171.348,1139.263,1144.297,986376570,7928314700.0
2020-04-27,1140.243,1159.916,1132.238,1139.414,796422240,6533090700.0
2020-04-28,1128.418,1131.93,1065.462,1101.639,874544220,7293229200.0
2020-04-29,1092.84,1103.96,1077.751,1080.215,610672710,4979551000.0
2020-04-30,1084.068,1106.251,1083.527,1102.756,605657220,4978531600.0
2020-05-06,1094.496,1131.429,1093.223,1131.429,687486050,5942830900.0
2020-05-07,1135.269,1145.195,1124.915,1125.433,811113610,7162625000.0
2020-05-08,1128.995,1145.598,1127.523,1143.353,699235850,6276096000.0
2020-05-11,1147.252,1156.836,1141.724,1150.744,698056520,6193234400.0
2020-05-12,1149.915,1155.999,1133.578,1155.286,577853320,5141586700.0
2020-05-13,1149.904,1155.859,1140.109,1151.544,601140640,5141713600.0
