日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,870.764,888.044,870.336,885.578,813784370,7330828100.0
2020-01-03,888.603,895.925,884.257,894.588,638876820,6234553500.0
2020-01-06,889.005,908.265,885.941,899.591,749285560,9839083600.0
2020-01-07,899.731,914.428,899.731,914.364,517020540,6394409900.0
2020-01-08,910.76,911.157,892.988,894.364,503315980,6092797200.0
2020-01-09,902.827,919.053,902.827,917.83,453194490,6209199700.0
2020-01-10,920.637,921.354,908.242,913.815,438676590,5226578100.0
2020-01-13,916.926,927.028,907.951,927.028,422042370,5641864900.0
2020-01-14,928.304,928.626,919.788,920.353,388624100,4842511300.0
2020-01-15,919.243,925.269,911.921,924.985,423362300,5303318700.0
2020-01-16,923.001,928.364,920.264,924.806,445711340,5748431200.0
2020-01-17,927.581,931.051,917.273,917.482,354776740,4574271100.0
2020-01-20,916.858,925.64,908.587,925.64,387668310,5031740900.0
2020-01-21,922.715,922.715,911.137,913.907,411518270,4735313800.0
2020-01-22,908.831,920.737,895.499,917.982,407620690,5261379400.0
2020-01-23,901.122,905.706,871.163,878.165,557284370,7005046200.0
2020-02-03,790.997,807.968,790.997,803.818,635260350,7079328200.0
2020-02-04,764.592,806.581,764.592,800.75,753239950,8874310500.0
2020-02-05,806.778,833.79,805.106,826.675,625957580,10340418900.0
2020-02-06,833.001,859.978,828.513,854.825,629389590,9702948700.0
2020-02-07,864.726,886.305,859.367,886.185,605934980,9688227300.0
2020-02-10,891.112,901.146,882.921,900.27,522631720,8079055900.0
2020-02-11,906.604,906.604,881.419,886.76,592110250,8703411300.0
2020-02-12,883.003,910.173,881.977,909.696,592606780,9849243500.0
2020-02-13,908.102,911.252,889.052,891.577,612105100,8749916800.0
2020-02-14,888.738,905.052,886.35,895.012,571863630,7738534600.0
2020-02-17,904.023,934.173,904.023,934.173,718841530,10429675700.0
2020-02-18,937.961,950.78,930.393,950.749,735479330,10844285600.0
2020-02-19,944.64,953.395,939.309,939.853,648153350,9660188500.0
2020-02-20,942.808,952.469,928.805,951.133,671332580,8674402800.0
2020-02-21,948.742,979.446,948.65,970.232,799525420,12580685600.0
2020-02-24,976.418,1005.312,974.421,1001.37,848087890,12700634400.0
2020-02-25,980.389,1021.212,958.855,1016.615,928313750,13953213000.0
2020-02-26,998.859,1010.753,978.114,981.917,1227673950,13800833000.0
2020-02-27,988.85,1012.097,966.666,998.691,837081330,11102165800.0
