日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-02-14,1010.503,1028.914,1000.545,1002.853,813884620,6202483900.0
2023-02-15,993.492,1016.123,987.579,1014.847,756276240,6403802600.0
2023-02-16,1005.908,1015.265,975.213,980.626,1055013600,9710725200.0
2023-02-17,978.248,984.714,954.629,956.227,747517900,7234652400.0
2023-02-20,960.653,965.928,947.104,965.928,615292230,6129916500.0
2023-02-21,961.488,982.437,961.441,970.548,658311540,6853342000.0
2023-02-22,962.566,981.04,955.937,978.934,517371580,5612022700.0
2023-02-23,986.065,987.168,951.522,956.05,541053290,5953199700.0
2023-02-24,958.23,974.947,958.23,972.248,588790780,6768106000.0
2023-02-27,974.5,982.439,962.394,965.16,706580540,7853366900.0
2023-02-28,980.414,986.979,965.245,979.142,590797420,6701847900.0
2023-03-01,983.108,1012.527,982.687,1011.674,1169795130,11619541600.0
2023-03-02,1009.264,1015.883,1003.813,1010.094,1051810230,10350879900.0
2023-03-03,1001.384,1004.863,980.893,990.105,763910530,7575659200.0
2023-03-06,991.747,993.422,974.342,979.866,520457860,5309734700.0
2023-03-07,978.135,983.165,955.324,955.324,552135450,5704588800.0
2023-03-08,955.726,971.552,955.168,971.552,441017490,4798378600.0
2023-03-09,969.161,976.208,955.282,971.347,424492120,4353490200.0
2023-03-10,963.45,973.028,960.86,961.094,565216580,5154825900.0
2023-03-13,955.764,978.597,951.814,978.229,512142280,4846862000.0
2023-03-14,977.529,977.987,954.856,967.267,477707890,4744695000.0
2023-03-15,969.565,971.364,953.734,954.492,377263020,3660515800.0
2023-03-16,946.384,951.571,934.178,940.782,387571720,3645841200.0
2023-03-17,948.19,979.247,948.19,974.289,678124230,6054612700.0
2023-03-20,977.254,978.306,959.279,961.853,558264080,4825611500.0
2023-03-21,961.564,984.605,954.964,984.605,554722100,4391267200.0
2023-03-22,988.649,1013.69,988.26,1013.532,672916560,6097253300.0
2023-03-23,1021.259,1028.036,1011.837,1023.647,886909780,6550521100.0
2023-03-24,1027.328,1045.292,1018.422,1042.408,888286550,7136328400.0
2023-03-27,1048.104,1058.372,1032.616,1053.979,1028763070,10947018400.0
2023-03-28,1049.381,1051.329,1031.176,1032.435,1064941490,9107921700.0
2023-03-29,1036.851,1040.59,1019.41,1024.955,885318620,8210489200.0
2023-03-30,1024.704,1027.225,991.316,992.213,742306590,6397396100.0
2023-03-31,991.168,1015.639,984.09,1012.493,699023790,6108466600.0
2023-04-03,1010.892,1039.452,1004.377,1038.98,826469630,7799281000.0
2023-04-04,1045.778,1058.192,1020.933,1036.475,1176527000,13285540900.0
2023-04-06,1012.352,1016.665,999.256,1006.748,869775580,9356910000.0
2023-04-07,1009.615,1034.025,989.901,1033.318,847159090,9577684200.0
2023-04-10,1028.48,1030.831,974.226,978.442,789967570,9397069200.0
2023-04-11,976.717,999.843,971.839,992.358,627675450,7137030600.0
2023-04-12,992.567,1023.474,989.409,1023.474,839295950,9472992400.0
2023-04-13,1015.165,1032.308,1010.912,1015.391,805444170,9466821900.0
2023-04-14,1014.821,1021.828,982.407,1000.137,643805540,7531431800.0
2023-04-17,999.613,999.613,967.835,971.568,547901990,6613081700.0
2023-04-18,969.167,969.169,949.532,957.501,492601130,6071735200.0
2023-04-19,953.081,975.777,953.081,961.197,593146180,6920701800.0
2023-04-20,957.302,974.58,957.302,974.58,539371700,6572529500.0
2023-04-21,972.349,972.466,913.28,913.28,733224450,8320579200.0
2023-04-24,912.274,926.793,911.202,918.874,442794980,5447857600.0
2023-04-25,924.312,924.312,893.635,904.114,568602160,7428015200.0
2023-04-26,901.645,910.896,877.928,891.173,586359930,7592697000.0
2023-04-27,890.586,902.535,879.949,885.237,530425880,7262041300.0
2023-04-28,881.341,924.704,881.341,922.413,637249570,8100982900.0
2023-05-04,910.685,924.574,901.671,916.986,480634480,5783382200.0
2023-05-05,914.693,939.495,910.875,937.093,575654360,8584314600.0
2023-05-08,941.207,953.44,928.152,953.138,565832960,8580479400.0
2023-05-09,945.745,952.433,929.523,931.359,607441440,8675667200.0
2023-05-10,927.699,947.17,920.913,931.657,529085400,8288608200.0
2023-05-11,935.088,939.874,923.983,932.438,520324610,7078993100.0
2023-05-12,930.082,941.128,918.809,921.235,475529020,6577946100.0
2023-05-15,919.343,923.076,891.188,909.854,595978280,8553191200.0
2023-05-16,909.497,909.881,880.206,883.736,510422410,7429390800.0
2023-05-17,880.306,900.402,877.783,900.402,425662100,6968064700.0
2023-05-18,899.261,923.43,893.157,919.198,544751660,8932382200.0
2023-05-19,918.022,923.408,912.525,914.026,552561460,7904635600.0
2023-05-22,918.856,918.856,899.611,907.004,466129280,6617911900.0
2023-05-23,905.485,905.861,886.547,886.547,360162250,5352891300.0
2023-05-24,883.14,902.741,881.053,898.979,422624870,6350588700.0
2023-05-25,899.453,908.143,877.163,892.318,490498140,7468327200.0
2023-05-26,892.926,914.421,892.883,912.189,403235060,6408701300.0
2023-05-29,918.605,923.959,914.707,915.931,385183770,5568320000.0
2023-05-30,918.536,944.726,910.17,944.726,569661510,9497081900.0
2023-05-31,948.802,962.184,948.625,962.094,664000720,11350832600.0
2023-06-01,956.582,994.741,955.058,986.05,1020983460,15292971000.0
2023-06-02,991.324,1001.518,989.172,989.444,899609410,13439818000.0
2023-06-05,990.087,1008.079,990.087,1008.079,817315450,11334293900.0
2023-06-06,1009.949,1012.146,976.815,978.604,1038073720,16808822000.0
2023-06-07,982.777,1013.128,975.597,1012.967,860888850,13249486300.0
2023-06-08,1011.456,1011.547,994.367,1009.124,830249690,14689782000.0
2023-06-09,1003.804,1013.818,996.015,1013.306,719458870,11724930200.0
2023-06-12,1013.048,1017.019,1006.164,1012.708,661889180,11709008500.0
2023-06-13,1008.478,1037.226,1004.511,1034.058,956620910,14131021000.0
2023-06-14,1031.616,1043.592,1028.92,1039.991,1061640360,15872504000.0
2023-06-15,1039.993,1046.699,1031.612,1033.493,1047703300,16282982000.0
2023-06-16,1031.718,1053.541,1018.712,1045.347,843404980,13585836000.0
2023-06-19,1044.436,1059.792,1041.455,1055.005,823009980,13220843700.0
2023-06-20,1050.955,1061.373,1047.315,1054.528,824009640,12838378300.0
2023-06-21,1051.852,1051.9,1014.887,1015.252,708102650,12033665300.0
2023-06-26,1005.993,1012.303,958.303,960.754,616204650,9606086000.0
2023-06-27,962.491,973.368,959.609,972.776,440251930,7379202500.0
2023-06-28,971.166,971.166,928.261,950.274,600663660,9828200400.0
2023-06-29,948.6,968.808,948.6,962.606,475444360,7641924000.0
2023-06-30,959.779,975.127,956.266,970.451,457192600,7032373300.0
2023-07-03,973.115,979.708,952.011,976.112,526983130,8081948400.0
2023-07-04,973.179,984.748,972.181,984.534,435482820,7518261600.0
2023-07-05,983.35,993.658,969.636,970.58,387557740,6425046500.0
2023-07-06,969.651,984.919,966.977,970.172,389878720,7205447900.0
2023-07-07,967.682,967.682,940.635,948.274,407484660,7170329900.0
2023-07-10,951.04,952.725,936.72,940.137,390780790,6105184200.0
2023-07-11,940.9,946.954,937.45,944.018,310288220,5020974800.0
2023-07-12,941.244,942.683,916.181,917.739,447450800,7345015900.0
2023-07-13,920.321,931.841,911.159,929.597,438193080,7399131700.0
2023-07-14,931.445,957.441,931.445,949.534,544828220,8337504700.0
2023-07-17,955.161,960.542,941.784,947.812,478701220,7117982000.0
2023-07-18,946.443,946.443,931.034,931.927,359717530,5481353200.0
2023-07-19,931.882,941.427,931.882,936.314,362178970,6125506600.0
2023-07-20,934.936,934.936,914.77,915.541,371650790,5279273200.0
2023-07-21,913.022,923.014,908.223,912.008,342857240,4336367700.0
2023-07-24,911.526,934.304,907.257,924.137,370311020,5665303800.0
2023-07-25,930.967,941.854,927.496,940.948,417384340,6615252900.0
2023-07-26,940.055,940.059,918.687,920.932,443356460,7192554600.0
2023-07-27,920.537,920.698,906.459,906.789,347911680,5481030600.0
2023-07-28,906.789,914.927,897.937,912.234,394021860,5341890500.0
2023-07-31,912.232,924.314,909.103,920.062,356698310,4458294300.0
2023-08-01,922.641,923.829,909.065,919.72,332218100,5562798000.0
2023-08-02,916.785,926.641,913.181,926.628,382513710,6294504000.0
2023-08-03,920.987,928.129,917.65,924.846,385436150,7512718900.0
2023-08-04,924.738,946.713,924.738,944.146,552285310,8769616600.0
2023-08-07,944.609,948.19,941.291,943.739,409776030,6728673400.0
2023-08-08,943.759,949.604,940.349,941.677,487624590,6482689500.0
2023-08-09,937.875,947.738,926.103,926.66,451059450,6272763400.0
2023-08-10,922.782,932.814,920.05,927.558,348726780,4650577900.0
2023-08-11,927.272,927.272,904.989,904.989,325852580,4155442000.0
2023-08-14,902.093,928.272,900.499,928.125,321855510,4631243300.0
2023-08-15,930.842,931.367,908.944,917.136,302494230,5515359900.0
2023-08-16,916.389,916.389,897.068,898.227,378138650,8272540400.0
2023-08-17,893.823,905.348,880.18,904.145,388236870,7166069800.0
2023-08-18,903.29,911.89,885.044,885.044,346486580,5897178500.0
2023-08-21,883.981,903.853,882.885,886.457,346930490,5480245100.0
2023-08-22,895.614,911.87,886.828,911.505,484259040,8182699000.0
2023-08-23,905.576,908.935,891.481,891.572,432095690,8007744800.0
2023-08-24,896.389,902.103,882.907,885.425,460725950,8580427100.0
2023-08-25,876.58,876.692,846.223,850.208,475506260,7116793100.0
2023-08-28,901.211,901.474,846.771,847.446,485033070,7370212600.0
2023-08-29,844.437,887.848,844.437,885.857,468748860,7213472000.0
2023-08-30,885.52,912.245,885.52,908.994,468000570,7862716700.0
2023-08-31,904.728,909.209,897.499,902.062,407645630,5999445500.0
2023-09-01,901.345,903.84,885.617,890.784,330593450,4720770100.0
2023-09-04,892.219,901.804,885.08,901.804,328401770,4602732300.0
2023-09-05,901.189,908.134,899.521,901.094,577226250,7985118200.0
2023-09-06,896.958,908.299,887.117,906.75,625620710,6296553200.0
2023-09-07,903.012,908.32,891.686,893.515,563053590,6533921800.0
2023-09-08,888.839,901.035,879.518,897.875,470270230,5256521600.0
2023-09-11,901.126,912.652,896.423,906.538,563902020,6368208900.0
2023-09-12,905.109,909.921,900.704,905.363,513422990,5653185800.0
2023-09-13,905.529,905.829,873.873,880.675,499353620,6044607600.0
2023-09-14,879.95,880.269,862.6,870.495,394141600,4722558500.0
2023-09-15,870.801,874.673,862.656,865.511,376553100,5012566500.0
2023-09-18,862.536,872.299,859.493,866.633,332201210,5447353900.0
2023-09-19,865.066,865.21,852.91,855.343,348981800,4698764400.0
2023-09-20,854.241,862.721,849.759,850.212,300469820,3970426200.0
2023-09-21,847.465,861.842,845.149,852.11,343396190,4054543900.0
2023-09-22,850.174,877.386,848.203,877.217,422124200,6022472700.0
2023-09-25,877.558,880.241,867.291,871.601,485138740,6129656600.0
2023-09-26,869.912,886.285,869.912,880.114,381711960,5925213000.0
2023-09-27,877.711,889.741,873.842,879.596,388878500,7523895800.0
2023-09-28,879.874,891.678,879.874,889.188,351173900,5625535300.0
2023-10-09,888.644,889.996,881.047,887.591,354166570,5213270100.0
2023-10-10,887.776,904.018,887.538,900.057,487167190,6413105000.0
2023-10-11,901.93,916.606,892.404,910.382,496619440,7616761900.0
2023-10-12,913.969,913.969,900.345,902.681,439878750,5908061000.0
2023-10-13,899.653,901.043,893.659,895.458,425387060,5431014500.0
2023-10-16,893.622,894.086,882.404,888.062,397987280,5355451200.0
2023-10-17,890.168,892.772,880.798,888.771,429690180,5172799400.0
2023-10-18,879.89,879.973,860.517,869.763,546012260,6651044600.0
2023-10-19,865.152,881.255,863.479,864.497,453521200,6123274500.0
2023-10-20,863.242,868.534,835.157,836.328,413634900,5442239600.0
2023-10-23,831.153,832.043,804.523,808.082,373125520,4351996200.0
2023-10-24,811.685,832.484,803.089,825.21,341727440,4408178900.0
2023-10-25,827.709,854.797,827.515,845.519,391335550,4727829300.0
2023-10-26,838.483,851.454,836.216,848.011,344631050,4550871400.0
2023-10-27,845.413,846.151,831.993,842.124,346153220,3938065700.0
2023-10-30,836.601,863.306,836.601,861.105,398336880,5275491900.0
2023-10-31,865.31,869.743,848.918,854.819,412917560,5063936800.0
2023-11-01,855.595,864.499,853.342,854.072,358069340,4334225600.0
2023-11-02,855.633,861.236,843.25,843.654,323974930,4027201100.0
2023-11-03,845.381,864.35,845.381,860.563,313740610,3911436700.0
