日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-14,988.154,998.652,967.407,967.407,937938130,11697578000.0
2022-03-15,961.384,982.509,934.348,934.348,1145578340,14007770000.0
2022-03-16,952.065,982.05,931.795,980.657,1475295900,19095630000.0
2022-03-17,989.925,1007.848,982.632,992.408,1748202300,21188949000.0
2022-03-18,982.607,990.44,976.521,985.938,1223036070,14813010000.0
2022-03-21,984.877,997.766,981.11,996.467,1236133890,15234399000.0
2022-03-22,990.881,1001.891,983.493,994.247,1202662700,15191101000.0
2022-03-23,990.134,1001.571,981.306,992.679,1087824040,13422567000.0
2022-03-24,986.036,986.036,959.331,962.061,1165181750,17334258000.0
2022-03-25,967.233,975.027,955.272,955.272,995710220,13822688000.0
2022-03-28,946.489,968.976,939.606,959.835,1057976210,13439778000.0
2022-03-29,959.301,960.019,935.516,938.18,1000017800,12760601800.0
2022-03-30,941.73,952.346,934.793,952.346,975840650,12029110900.0
2022-03-31,950.028,969.283,944.735,965.706,1294273080,16263200000.0
2022-04-01,960.029,964.36,953.979,954.843,1337314560,15619638000.0
2022-04-06,955.076,970.101,954.068,965.621,1197824880,14129752000.0
2022-04-07,963.561,963.932,930.008,930.008,1274648010,15830317000.0
2022-04-08,930.378,931.989,905.043,911.587,1191319050,13892228000.0
2022-04-11,904.756,906.055,867.886,874.473,1053641220,12563738100.0
2022-04-12,873.774,891.437,867.38,891.437,868961740,10084384300.0
2022-04-13,885.537,885.537,854.469,854.469,898238830,9901209300.0
2022-04-14,862.111,870.223,859.574,863.012,676501420,7835209300.0
2022-04-15,854.512,854.512,834.541,842.907,850920520,9455257600.0
2022-04-18,837.539,857.547,823.978,856.656,636967170,7992307500.0
2022-04-19,855.783,867.277,855.035,862.976,674418470,8617803600.0
2022-04-20,881.038,883.309,852.737,854.983,852069480,10952043500.0
2022-04-21,846.896,852.488,815.58,818.467,833622330,9623201400.0
2022-04-22,810.82,817.04,801.085,801.288,757853740,9249855200.0
2022-04-25,785.049,785.049,731.316,731.335,943686040,10192901000.0
2022-04-26,735.033,741.139,701.749,703.769,907424130,10106439400.0
2022-04-27,695.704,735.464,688.169,735.464,972351790,10776945600.0
2022-04-28,728.659,731.292,704.469,712.698,762169440,8157182800.0
2022-04-29,721.853,753.425,721.853,750.641,918644310,9913295100.0
2022-05-05,748.216,763.805,740.905,753.564,832325750,9643131100.0
2022-05-06,733.561,774.06,730.292,758.589,854357330,9854606500.0
2022-05-09,762.508,779.979,762.289,767.406,739901400,8814221900.0
2022-05-10,757.934,784.237,755.296,782.769,739242960,9161681900.0
2022-05-11,783.066,803.518,780.649,780.662,966740160,11826983100.0
2022-05-12,776.313,794.386,776.313,791.034,731320100,8736112000.0
2022-05-13,796.315,798.193,782.727,790.647,1057876110,9210171500.0
2022-05-16,795.35,800.151,785.022,792.252,855506080,8378495900.0
2022-05-17,793.862,795.218,777.2,795.218,1061166660,10044892000.0
2022-05-18,814.942,828.103,811.107,812.788,1383662400,13508629000.0
2022-05-19,798.193,813.798,795.824,813.295,1450591500,13047047400.0
2022-05-20,814.012,822.226,809.803,817.165,1310182590,12152985000.0
2022-05-23,818.903,831.405,817.563,831.405,1295642470,11934475000.0
2022-05-24,830.13,830.23,781.606,781.606,1324170790,13149466900.0
2022-05-25,783.139,801.873,783.139,801.873,922310700,9526237700.0
2022-05-26,802.114,811.829,786.164,806.869,1183336170,12766358600.0
2022-05-27,809.944,814.111,797.616,805.723,1029570510,10239275400.0
2022-05-30,805.035,809.852,798.145,809.852,1012999610,9612080000.0
2022-05-31,809.45,817.182,795.653,816.176,1052894600,10865845400.0
2022-06-01,813.962,826.992,812.567,820.166,932398730,9904480100.0
2022-06-02,818.699,832.106,809.444,831.368,870945070,9538337300.0
2022-06-06,831.934,855.779,831.895,855.779,1172606780,14341703000.0
2022-06-07,855.919,855.985,839.616,848.306,1148152080,13981716000.0
2022-06-08,848.636,860.08,837.08,852.8,1209850730,15622544000.0
2022-06-09,850.267,850.267,830.277,834.005,1133464530,13513274000.0
2022-06-10,828.984,845.905,828.332,844.789,1077915730,12731733200.0
2022-06-13,838.061,853.357,837.089,853.124,1257120550,14793437000.0
2022-06-14,845.302,848.724,818.509,848.495,1216151550,13200567200.0
2022-06-15,848.612,870.667,848.454,856.402,1556695200,18782336000.0
2022-06-16,855.628,874.518,855.628,867.808,1474926900,15620541000.0
2022-06-17,863.0,867.595,846.847,860.388,1223571990,12852484200.0
2022-06-20,863.062,870.424,858.489,868.604,1056595810,13694559000.0
2022-06-21,869.407,879.04,861.53,874.056,1337654810,15584885000.0
2022-06-22,874.62,874.62,850.892,850.892,1146643450,13321259500.0
2022-06-23,854.452,866.704,846.52,866.423,1045685000,12177581900.0
2022-06-24,874.682,882.785,871.156,873.885,1266307870,16197118000.0
2022-06-27,875.089,881.952,872.349,877.966,1172604070,13864022000.0
2022-06-28,877.506,891.738,868.965,891.259,1289300080,14779288000.0
2022-06-29,888.289,899.078,877.391,877.535,1411623500,16113326000.0
2022-06-30,878.985,888.559,878.322,882.005,1158366080,13158791700.0
2022-07-01,883.046,888.603,874.776,877.991,1079879130,11953788500.0
2022-07-04,882.39,883.823,875.898,883.784,922777620,11425656900.0
2022-07-05,882.889,884.351,856.434,865.347,1220875010,13529894000.0
2022-07-06,862.637,867.103,852.388,857.406,803061850,9580362100.0
2022-07-07,861.598,865.708,856.161,861.772,961563230,11197222800.0
2022-07-08,862.74,879.066,862.402,871.251,1094056270,11931488800.0
2022-07-11,869.793,869.793,853.612,859.419,1123220340,11792143600.0
2022-07-12,857.738,857.763,845.216,845.216,1062628320,10526550500.0
2022-07-13,845.097,856.966,845.097,856.235,966408140,9277059700.0
2022-07-14,855.402,863.109,851.46,856.597,874901360,9148430800.0
2022-07-15,853.121,853.647,837.333,837.333,1076319590,12157822000.0
2022-07-18,837.112,862.391,837.112,862.361,979506570,11130568600.0
2022-07-19,863.532,886.267,860.298,886.267,1201544020,14473136000.0
2022-07-20,889.883,892.402,883.486,892.215,1132660670,12820187300.0
2022-07-21,889.92,900.762,889.115,891.767,1064632750,11883853100.0
2022-07-22,893.565,898.642,876.115,882.918,952349530,10968191000.0
2022-07-25,888.97,893.845,871.816,874.598,844226900,9858485800.0
2022-07-26,877.968,892.468,874.92,892.468,938949500,10770958300.0
2022-07-27,891.206,898.783,888.685,896.413,884721740,11178775200.0
2022-07-28,901.7,911.155,901.513,906.1,966833430,12346007900.0
2022-07-29,909.506,911.232,901.714,903.46,994003900,11800975600.0
2022-08-01,903.597,912.117,895.832,907.898,860869200,10830723200.0
2022-08-02,899.067,899.067,851.709,858.904,1385290700,15218442000.0
2022-08-03,859.961,883.745,859.961,864.23,1143288880,12908132100.0
2022-08-04,870.12,881.314,866.695,881.313,1003938080,10748024100.0
2022-08-05,886.205,910.58,885.374,910.285,1398178600,17161379000.0
2022-08-08,910.162,919.157,904.946,919.157,1083187600,14149504000.0
2022-08-09,918.293,919.97,909.741,918.834,989566520,12364391400.0
2022-08-10,914.868,918.686,911.173,917.469,924311040,11405323400.0
2022-08-11,920.577,933.444,920.577,933.055,1235094480,13832687000.0
2022-08-12,932.498,940.625,928.168,931.553,1246150340,13823287000.0
2022-08-15,929.743,929.779,920.97,926.495,1081425210,12873623000.0
2022-08-16,928.31,930.57,920.354,925.711,1024253850,12544036100.0
2022-08-17,925.674,928.417,917.799,927.216,1004331200,12322527200.0
2022-08-18,926.713,928.465,918.084,927.441,1056168980,12978309300.0
2022-08-19,927.537,939.622,916.956,916.956,1341509610,15533607000.0
2022-08-22,915.273,926.121,903.577,923.908,1369282000,13960348000.0
2022-08-23,921.088,928.636,916.976,926.906,1157974150,14537879000.0
2022-08-24,926.352,926.352,893.76,894.811,1172251950,14097115000.0
2022-08-25,898.486,899.912,875.649,888.425,1084579530,11559755300.0
2022-08-26,889.288,895.348,875.273,876.888,902807660,10725642700.0
2022-08-29,865.094,877.909,856.412,877.833,788527380,8940689900.0
2022-08-30,878.03,887.977,876.528,884.233,824783850,8949579400.0
