日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1229.319,1263.472,1228.957,1261.955,1354322100,10982727000.0
2020-01-03,1265.948,1279.966,1258.538,1279.966,1483364800,12092785000.0
2020-01-06,1262.637,1298.623,1256.653,1285.155,1478448000,11942911600.0
2020-01-07,1290.18,1329.853,1287.87,1329.853,1666686300,14322032000.0
2020-01-08,1320.456,1335.122,1304.67,1304.863,1512493300,13109202800.0
2020-01-09,1328.747,1346.388,1320.649,1337.669,1463415600,13766773000.0
2020-01-10,1347.875,1349.745,1324.823,1331.299,1453855600,13014835600.0
2020-01-13,1324.863,1344.87,1310.673,1344.87,1202605470,10619313900.0
2020-01-14,1345.417,1353.104,1329.877,1331.23,1137000420,10856862000.0
2020-01-15,1327.576,1372.22,1325.441,1364.304,1453704400,14033393000.0
2020-01-16,1362.861,1363.409,1337.632,1340.681,1275679680,11828561600.0
2020-01-17,1342.306,1344.661,1318.648,1322.364,1135289330,10216503600.0
2020-01-20,1322.626,1335.524,1312.376,1335.366,917936930,8814915300.0
2020-01-21,1323.412,1323.603,1297.425,1297.425,1071007120,9042450000.0
2020-01-22,1286.969,1303.143,1261.742,1294.953,822462660,7172822300.0
2020-01-23,1274.104,1286.778,1225.248,1237.891,990637350,8945583900.0
2020-02-03,1117.629,1124.893,1116.079,1119.46,230665130,2803901100.0
2020-02-04,1019.549,1090.712,1019.549,1081.549,1681996700,11623249800.0
2020-02-05,1088.038,1132.814,1088.038,1115.418,1347582000,10380304100.0
2020-02-06,1125.648,1159.284,1118.005,1154.183,1346806700,10798081400.0
2020-02-07,1160.652,1192.39,1156.16,1189.628,1434577900,12442306200.0
2020-02-10,1192.765,1213.691,1190.062,1209.924,1125145480,11033759300.0
2020-02-11,1208.801,1208.868,1179.549,1186.718,1078976600,9900202900.0
2020-02-12,1184.396,1222.056,1180.825,1222.029,1156902400,10976370900.0
2020-02-13,1238.744,1249.847,1220.909,1220.909,1412970900,13277829500.0
2020-02-14,1207.18,1232.377,1201.189,1212.782,1085332390,10579731400.0
2020-02-17,1219.768,1258.836,1219.768,1258.836,1387512900,11789117500.0
2020-02-18,1262.99,1296.0,1251.635,1296.0,1645895400,14585736000.0
2020-02-19,1286.417,1292.135,1264.453,1264.453,1285811880,11997129000.0
2020-02-20,1266.683,1294.376,1254.892,1293.813,1371532700,12061187500.0
2020-02-21,1291.45,1337.765,1289.417,1332.792,1805884100,16551952000.0
2020-02-24,1322.32,1372.894,1318.414,1361.143,1932170700,17866055000.0
2020-02-25,1321.14,1353.706,1281.918,1350.12,2040668900,17519574000.0
2020-02-26,1326.139,1340.257,1290.952,1296.825,1849918600,14546104000.0
2020-02-27,1300.631,1313.105,1272.089,1291.032,1292194000,10716743700.0
2020-02-28,1235.338,1253.476,1185.835,1187.513,1519127600,12850984900.0
2020-03-02,1197.957,1246.406,1197.957,1241.797,1227704110,10047840100.0
2020-03-03,1264.721,1293.955,1242.415,1263.221,1427890700,11487510200.0
2020-03-04,1266.011,1293.736,1262.583,1289.367,1271638780,11095929400.0
2020-03-05,1310.367,1315.184,1287.019,1300.282,1327621200,10733668800.0
2020-03-06,1280.933,1296.761,1277.931,1285.16,1167583290,9197069700.0
2020-03-09,1262.768,1265.229,1212.222,1212.222,1295984400,10155576400.0
