日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-03-06,982.862,1010.835,980.655,996.552,959750400,11251744100.0
2020-03-09,965.893,990.507,947.255,948.214,1014991340,12974650900.0
2020-03-10,937.594,1007.607,929.805,1005.754,1112050430,15264124000.0
2020-03-11,1016.249,1043.194,1006.784,1006.784,1172296550,15925042000.0
2020-03-12,980.469,1006.368,980.259,1006.368,1039848040,14022778000.0
2020-03-13,949.102,1003.346,949.102,985.969,1352013200,17818569000.0
2020-03-16,989.329,991.436,918.788,920.819,1202514610,15902327000.0
2020-03-17,928.425,938.194,874.385,918.271,1070531720,13267959600.0
2020-03-18,926.244,955.941,901.091,901.091,1157711640,14007959000.0
2020-03-19,903.049,951.32,903.049,947.555,1116498990,13075500600.0
2020-03-20,965.365,976.109,949.074,963.293,1240397650,14397922000.0
2020-03-23,927.834,992.126,927.73,955.158,1238355830,13682730000.0
2020-03-24,987.271,1013.636,950.503,990.937,1949296800,20253626000.0
2020-03-25,999.597,999.597,974.473,984.89,1797132400,18099688000.0
2020-03-26,968.326,973.701,952.808,955.373,1348783600,13274025900.0
2020-03-27,966.617,967.559,936.01,936.01,1200048720,12358875400.0
2020-03-30,917.926,917.926,887.068,895.966,1210380770,12695834500.0
2020-03-31,906.165,907.549,884.297,884.297,913949590,9381503100.0
2020-04-01,880.099,898.526,874.71,877.491,886940620,9682571000.0
2020-04-02,878.82,921.115,878.58,921.115,1281825730,14680280000.0
2020-04-03,919.746,922.131,902.363,907.185,1231839220,13844091000.0
2020-04-07,925.706,944.705,925.301,942.419,1353122400,15169536000.0
2020-04-08,939.646,952.897,938.078,944.393,1410263200,15110319000.0
2020-04-09,954.845,968.782,951.454,968.498,1595967600,15650465000.0
2020-04-10,966.172,966.172,926.859,927.83,2063444400,21159601000.0
2020-04-13,920.254,921.184,904.291,909.414,1591519200,15058775000.0
2020-04-14,916.078,935.486,916.078,935.486,1344568500,15019187000.0
2020-04-15,937.64,937.898,922.217,923.608,1528700100,14977170000.0
2020-04-16,918.01,942.813,914.498,941.142,1500274500,15882168000.0
2020-04-17,947.356,957.475,936.443,936.973,2057732300,20381953000.0
2020-04-20,937.145,962.83,934.461,962.83,2065730300,21269989000.0
2020-04-21,958.495,1001.93,956.658,992.73,2784579500,28735889000.0
2020-04-22,981.766,999.932,980.853,998.724,2304247800,22495879000.0
2020-04-23,1000.182,1000.489,975.518,975.518,2325604800,21601355000.0
2020-04-24,972.544,979.699,947.332,951.617,2255192500,19841525000.0
2020-04-27,950.78,954.506,936.563,936.839,1904337600,17125012000.0
2020-04-28,929.943,930.311,871.716,902.557,2307121100,21778311000.0
2020-04-29,896.348,905.29,891.256,891.909,1649553700,15364042000.0
2020-04-30,896.931,931.738,896.931,926.803,2123432400,22411262000.0
2020-05-06,917.863,956.296,917.863,956.296,2119358100,24154430000.0
2020-05-07,960.382,963.747,947.164,947.535,2045077900,22200222000.0
2020-05-08,956.275,973.361,956.275,963.93,2290873700,25387202000.0
2020-05-11,968.557,973.418,954.315,963.063,2241903500,23705698000.0
2020-05-12,961.714,962.032,938.524,959.713,1952879800,20511912000.0
2020-05-13,953.784,966.758,950.884,966.027,2004243900,21138668000.0
2020-05-14,962.747,972.804,960.077,960.23,2479730800,25337139000.0
2020-05-15,965.864,979.003,965.333,970.478,2106501600,23312695000.0
2020-05-18,969.476,969.961,943.122,945.577,2473084600,27758481000.0
2020-05-19,952.491,957.717,946.975,957.717,2028439100,22675919000.0
2020-05-20,953.414,953.414,936.302,940.757,2149597500,24316320000.0
2020-05-21,941.489,943.133,922.927,924.427,2039373100,21986010000.0
2020-05-22,923.134,925.993,901.905,908.739,1807958700,19218575000.0
2020-05-25,907.5,909.203,896.704,903.005,1457743000,17029209000.0
