日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-11-29,981.478,984.812,969.534,976.394,214547030,4242860900.0
2021-11-30,978.762,1021.31,978.762,1014.233,442870360,6501652700.0
2021-12-01,1025.009,1045.744,1022.809,1041.387,548650420,7873237400.0
2021-12-02,1038.15,1040.461,1008.791,1009.015,544049180,7781562400.0
2021-12-03,1010.555,1022.005,1010.555,1014.25,433243640,6397458900.0
2021-12-06,1011.772,1011.973,989.257,990.711,417128050,6364510000.0
2021-12-07,996.391,996.77,980.658,984.652,293508430,4607891300.0
2021-12-08,984.716,997.137,980.138,996.369,317358020,4701319500.0
2021-12-09,995.951,1003.69,994.11,1001.08,333995230,5117828000.0
2021-12-10,997.807,999.454,989.804,991.26,278468790,5208829700.0
2021-12-13,993.626,1006.261,989.436,1004.201,335788630,6004680200.0
2021-12-14,1000.836,1023.542,994.7,1018.257,372182350,5474163600.0
2021-12-15,1020.806,1027.949,1007.595,1009.976,317815460,5210002300.0
2021-12-16,1009.332,1018.488,1004.617,1006.915,268609120,4750902700.0
2021-12-17,1005.891,1006.468,986.662,986.662,273736110,4508486300.0
2021-12-20,981.232,990.16,970.264,970.342,263730200,4379005200.0
2021-12-21,972.04,989.667,971.964,984.988,274666120,4415273200.0
2021-12-22,986.979,1001.014,986.533,988.096,312753980,4842398600.0
2021-12-23,990.527,990.527,981.047,981.898,243318790,4438198800.0
2021-12-24,984.007,985.636,955.614,956.759,306747270,4730624600.0
2021-12-27,954.854,965.904,954.854,962.505,209597000,3565270000.0
2021-12-28,964.531,974.191,964.261,966.43,204786500,3675704400.0
2021-12-29,964.43,964.43,956.927,960.703,184448330,3212417400.0
2021-12-30,962.469,976.969,962.271,969.739,297352550,4732751000.0
2021-12-31,971.015,988.548,968.036,985.423,331694690,5773413300.0
2022-01-04,987.041,1006.969,985.132,999.148,359125490,6054902200.0
2022-01-05,998.001,1007.51,980.505,986.278,386933840,6067156600.0
2022-01-06,980.194,983.011,964.35,972.774,357974380,5476770600.0
2022-01-07,973.604,984.777,958.079,958.841,317183700,4441716100.0
2022-01-10,954.341,976.894,937.868,969.382,362339630,5571745200.0
2022-01-11,967.67,973.292,948.017,950.378,274840740,4237869600.0
2022-01-12,951.453,965.4,951.453,961.189,250590400,4143458900.0
2022-01-13,968.462,974.723,956.486,957.693,382481600,5811009500.0
2022-01-14,954.15,960.164,942.663,943.977,353709550,5622196400.0
2022-01-17,962.106,1008.875,962.106,1005.384,612073100,9771143000.0
2022-01-18,1017.229,1066.205,1016.573,1025.389,827601910,13575177000.0
2022-01-19,1015.655,1034.204,1011.464,1027.738,571439710,8778037400.0
2022-01-20,1021.254,1021.254,1001.298,1004.695,424442520,6685872600.0
2022-01-21,999.395,1011.786,991.015,993.126,343311480,5200579200.0
2022-01-24,986.523,1014.271,986.523,994.597,336352780,5162396400.0
2022-01-25,990.01,995.836,945.602,947.964,418538260,5949953400.0
2022-01-26,945.024,946.536,905.044,919.228,430897000,5961318800.0
2022-01-27,919.971,921.293,869.842,870.298,362443200,5630795000.0
2022-01-28,882.997,884.996,861.591,865.031,269802750,4292171400.0
2022-02-07,881.834,885.129,860.202,865.694,249545090,3776109400.0
2022-02-08,864.908,867.525,851.2,867.334,301518370,4562709200.0
2022-02-09,871.631,906.056,871.631,903.438,373145630,5535867600.0
2022-02-10,899.372,901.064,884.665,888.039,275945660,4386266500.0
2022-02-11,881.65,892.151,875.325,878.975,304472280,4783170500.0
