日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-04-11,1000.238,1045.339,995.071,1042.209,1261195060,29027890000.0
2023-04-12,1042.454,1079.156,1037.272,1075.942,2264800700,51473840000.0
2023-04-13,1067.842,1097.239,1063.285,1065.219,2841162800,55797149000.0
2023-04-14,1066.132,1082.673,1039.658,1061.508,2420698900,48854951000.0
2023-04-17,1052.973,1053.219,1023.416,1028.989,2114852200,40416276000.0
2023-04-18,1024.455,1032.247,1005.422,1023.565,1896508700,37428265000.0
2023-04-19,1019.172,1046.888,1018.794,1024.182,2148869100,43078081000.0
2023-04-20,1025.284,1051.357,1023.493,1051.357,2244812400,48414634000.0
2023-04-21,1047.384,1047.384,980.303,980.303,2864811700,52821591000.0
2023-04-24,976.016,988.306,967.704,975.245,2113485400,40858373000.0
2023-04-25,973.34,974.682,941.547,956.416,2273469000,43407813000.0
2023-04-26,951.618,966.397,921.172,933.047,2373306000,46731149000.0
2023-04-27,927.689,943.94,911.73,918.513,1874356800,34766005000.0
2023-04-28,912.939,958.428,912.939,956.884,1964680000,35010402000.0
2023-05-04,953.951,964.483,938.329,958.911,2132629500,35944062000.0
2023-05-05,957.094,981.901,949.277,977.896,2373101600,43268131000.0
2023-05-08,976.008,1001.308,963.589,999.74,2777693000,50017347000.0
2023-05-09,996.516,1007.371,979.445,981.718,2918811100,53141510000.0
2023-05-10,974.678,998.934,970.129,983.237,2583403600,47806777000.0
2023-05-11,983.153,989.941,971.962,977.444,2625699500,45420399000.0
2023-05-12,971.408,982.928,961.339,961.339,2205090200,37838276000.0
2023-05-15,961.578,964.201,928.771,953.412,2303000200,40070447000.0
2023-05-16,952.275,952.352,913.26,915.165,2133180600,36108991000.0
2023-05-17,909.961,931.919,908.148,929.959,1716680200,28411063000.0
2023-05-18,929.524,960.624,925.957,960.428,2294984900,41939393000.0
2023-05-19,957.385,960.262,945.477,950.271,1877164000,34039037000.0
2023-05-22,947.61,948.439,932.786,940.661,1770575100,30149187000.0
2023-05-23,940.884,940.884,922.097,922.097,1532457200,26287171000.0
2023-05-24,918.217,934.118,911.68,927.842,1810878600,30349029000.0
2023-05-25,926.0,937.157,901.466,921.081,1974364500,31811247000.0
2023-05-26,920.958,947.764,919.688,945.031,2022597800,35391444000.0
2023-05-29,947.415,955.554,942.955,945.729,2060081000,35819581000.0
2023-05-30,939.654,969.424,927.311,969.424,2342690000,40266948000.0
2023-05-31,970.45,992.836,970.304,992.023,2769851500,49661524000.0
2023-06-01,986.064,1017.091,981.793,1007.175,3082011400,55451786000.0
2023-06-02,1009.3,1015.855,1005.031,1008.138,2538288300,45125543000.0
2023-06-05,1006.001,1022.052,1005.998,1018.181,2259987600,38863491000.0
2023-06-06,1015.964,1021.253,992.465,996.711,2782799600,46441039000.0
2023-06-07,995.452,1023.83,987.39,1023.331,2499170200,45080625000.0
2023-06-08,1020.481,1020.481,996.85,1009.666,2439383000,42448904000.0
2023-06-09,1009.193,1026.909,1003.46,1026.804,2741164700,46312687000.0
2023-06-12,1026.146,1035.954,1025.899,1028.739,2644832500,45090027000.0
2023-06-13,1028.008,1053.655,1019.743,1051.332,3380069000,55295266000.0
2023-06-14,1051.434,1065.367,1050.64,1060.97,3332796400,56551617000.0
2023-06-15,1060.617,1064.464,1044.206,1045.647,3197328100,52519603000.0
2023-06-16,1041.055,1080.497,1031.619,1075.444,3190619500,58119367000.0
2023-06-19,1077.502,1100.504,1075.986,1099.81,3414533800,65529209000.0
2023-06-20,1095.827,1099.334,1083.593,1094.733,3068772500,58759048000.0
2023-06-21,1088.867,1088.867,1046.629,1046.72,2931007700,51967437000.0
2023-06-26,1035.003,1043.849,986.391,988.607,2549877700,42508108000.0
2023-06-27,992.058,1008.989,990.652,1004.742,1795721200,29974169000.0
2023-06-28,1001.791,1001.791,945.831,975.303,2250497000,36038325000.0
2023-06-29,973.233,992.07,970.896,986.722,1925388900,29808457000.0
2023-06-30,983.923,996.86,976.203,993.779,1957501100,29445269000.0
2023-07-03,995.89,996.022,966.317,990.166,2164715700,33903759000.0
2023-07-04,986.366,998.607,983.7,998.569,1797413000,28426523000.0
2023-07-05,1003.03,1017.04,990.396,990.49,2037700200,32257245000.0
2023-07-06,988.049,1004.506,984.355,987.264,1735323500,27101941000.0
2023-07-07,982.861,982.865,955.161,969.485,1825847700,27157158000.0
2023-07-10,972.205,974.43,963.186,966.511,1602922500,22748140000.0
2023-07-11,965.838,973.446,960.832,968.406,1772557100,24445080000.0
2023-07-12,966.653,969.131,939.797,940.512,2161929600,29810775000.0
2023-07-13,942.38,958.832,935.785,957.398,1910044500,27807006000.0
2023-07-14,960.388,996.284,960.388,987.931,2526291700,40446044000.0
2023-07-17,984.466,996.458,980.393,984.668,2142324400,31693769000.0
2023-07-18,982.856,982.856,963.048,964.442,1652342600,22807911000.0
2023-07-19,969.141,976.512,965.115,969.059,1663089200,23278222000.0
2023-07-20,968.659,969.024,942.993,944.072,1783587600,25033868000.0
2023-07-21,940.83,947.674,930.262,933.244,1401477700,19260568000.0
2023-07-24,931.96,951.172,927.628,939.154,1285995170,18016583000.0
2023-07-25,948.305,958.215,942.207,954.911,1623586700,25760155000.0
2023-07-26,953.107,953.107,930.149,932.376,1533653000,22357629000.0
2023-07-27,930.704,934.791,918.788,919.815,1352016000,18924638000.0
2023-07-28,917.837,930.348,911.352,926.675,1440388400,23262228000.0
2023-07-31,926.476,940.596,920.394,934.21,1673767100,25516748000.0
2023-08-01,932.911,934.983,920.172,930.264,1380177100,21044310000.0
2023-08-02,926.338,931.859,922.438,931.859,1185545960,17949425000.0
2023-08-03,927.793,933.94,923.124,926.621,1060209930,17252447000.0
2023-08-04,928.601,960.438,928.545,955.677,2115426000,33450189000.0
2023-08-07,955.616,970.345,955.616,969.388,1885554600,30377952000.0
2023-08-08,969.01,976.8,962.331,964.058,2349128000,33743764000.0
2023-08-09,959.676,974.167,953.816,955.57,2310448900,33570519000.0
2023-08-10,950.383,958.766,944.173,953.123,1916564700,28339042000.0
2023-08-11,950.769,950.811,925.375,925.375,1781800100,25456867000.0
2023-08-14,914.238,950.379,912.843,950.379,1894059200,28490837000.0
2023-08-15,948.716,949.297,924.858,935.3,1823535500,26624257000.0
2023-08-16,932.228,938.503,916.632,924.799,2086062300,31083406000.0
2023-08-17,918.338,940.601,909.623,938.175,2225863600,33618991000.0
2023-08-18,935.952,944.644,910.559,910.559,2322806300,32164329000.0
2023-08-21,906.185,932.33,906.163,913.372,1936037900,28604178000.0
2023-08-22,928.618,967.846,928.618,967.846,3367710800,51789801000.0
2023-08-23,966.434,981.29,959.122,961.268,3304777500,54709029000.0
2023-08-24,967.671,980.207,955.992,956.627,3798640000,62868847000.0
2023-08-25,942.518,950.004,909.893,914.703,3752574200,54887837000.0
2023-08-28,978.944,978.944,910.295,911.388,3985163000,63651810000.0
2023-08-29,906.159,965.134,906.159,962.269,4002073200,63301239000.0
2023-08-30,958.075,991.659,958.018,987.508,4394457700,70289950000.0
2023-08-31,979.457,983.677,971.204,975.602,3143114100,52465684000.0
2023-09-01,974.918,977.064,955.434,958.774,2685628900,44508914000.0
2023-09-04,960.742,971.605,952.061,971.605,2916351200,47799506000.0
2023-09-05,967.41,967.41,951.439,955.007,2925384500,45835019000.0
