日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1946.058,2008.899,1946.058,2004.902,5595777600,43019148000.0
2020-01-03,2019.708,2046.006,2019.493,2037.178,6177979700,50025770000.0
2020-01-06,2017.621,2084.647,2010.593,2066.208,6721515400,54476750000.0
2020-01-07,2076.189,2139.069,2076.189,2133.159,7036015900,57970840000.0
2020-01-08,2114.461,2118.963,2075.502,2080.272,6519011700,51208454000.0
2020-01-09,2104.181,2125.937,2090.926,2108.839,5463606700,45960538000.0
2020-01-10,2119.546,2121.274,2083.459,2089.555,4958247100,41074189000.0
2020-01-13,2083.856,2116.32,2070.825,2116.32,4788180500,40097291000.0
2020-01-14,2120.271,2140.09,2118.326,2124.041,5220419700,44920873000.0
2020-01-15,2123.152,2128.916,2100.698,2118.611,4849981400,43899973000.0
2020-01-16,2123.256,2128.775,2098.801,2103.785,4698627300,41839704000.0
2020-01-17,2108.019,2115.537,2088.467,2091.366,5001917500,43786906000.0
2020-01-20,2084.309,2084.548,2057.585,2083.826,4631084400,43978662000.0
2020-01-21,2072.884,2072.884,2043.115,2043.115,4354363300,39360808000.0
2020-01-22,2021.106,2043.309,1992.311,2032.739,4255582200,37650176000.0
2020-01-23,2000.797,2018.082,1930.964,1947.761,4633291100,40158433000.0
2020-02-03,1765.011,1776.29,1764.42,1765.53,2017974500,18604090000.0
2020-02-04,1652.025,1758.728,1652.025,1751.188,6309677900,44927221000.0
2020-02-05,1753.854,1828.518,1753.854,1809.348,5392509700,43102536000.0
2020-02-06,1816.191,1884.738,1804.845,1876.545,6039736800,49237597000.0
2020-02-07,1882.988,1918.079,1871.202,1918.079,5968229500,48142604000.0
2020-02-10,1915.929,1939.981,1909.935,1939.602,5635853700,45019660000.0
2020-02-11,1945.693,1947.039,1912.012,1917.17,4778488200,39729369000.0
2020-02-12,1913.067,1955.93,1910.041,1955.93,4478905100,37837614000.0
2020-02-13,1959.455,1960.902,1912.357,1916.824,4668808900,39329578000.0
2020-02-14,1908.5,1927.642,1892.504,1906.922,3968731500,32877958000.0
2020-02-17,1914.148,1981.841,1914.148,1981.841,4860743400,40806572000.0
2020-02-18,1988.697,2036.024,1985.561,2036.024,5677958500,48292945000.0
2020-02-19,2028.546,2030.378,2003.205,2003.205,5330155400,47367284000.0
2020-02-20,2003.803,2043.074,1996.187,2043.074,5533648600,46907606000.0
2020-02-21,2038.337,2084.029,2037.74,2069.186,6213393900,53394430000.0
2020-02-24,2058.845,2102.501,2046.345,2095.42,6418560300,56247845000.0
2020-02-25,2045.912,2068.329,1984.011,2065.779,7080866100,58923597000.0
2020-02-26,2051.375,2079.159,2029.649,2036.226,6973050600,56495496000.0
2020-02-27,2037.804,2053.733,2006.818,2036.017,5457502100,45314525000.0
2020-02-28,1965.57,1984.877,1902.152,1902.537,6089978500,45883390000.0
2020-03-02,1910.988,1981.755,1910.988,1977.513,5023153000,39467685000.0
2020-03-03,2011.18,2046.385,1982.741,2000.859,6240999700,49191259000.0
2020-03-04,1983.305,2026.715,1983.259,2026.715,5015035100,39795387000.0
2020-03-05,2054.222,2061.541,2033.051,2060.47,5666777500,45482263000.0
2020-03-06,2033.844,2062.583,2027.3,2043.845,4743099800,37502635000.0
2020-03-09,2007.433,2018.365,1958.134,1958.134,5144107100,39876659000.0
2020-03-10,1925.151,2003.151,1906.729,2003.151,5189813700,39296341000.0
2020-03-11,2009.044,2027.111,1986.948,1986.948,4887969500,38270625000.0
2020-03-12,1958.685,1968.362,1927.944,1946.89,3999180200,30751873000.0
2020-03-13,1845.131,1933.544,1845.131,1921.204,4905921800,35241069000.0
