日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-05-10,1011.267,1080.372,1010.43,1080.372,2107655800,14348779000.0
2022-05-11,1106.736,1118.037,1081.409,1083.885,3253931000,29652327000.0
2022-05-12,1080.026,1104.18,1071.201,1090.429,4289806000,35859239000.0
2022-05-13,1092.634,1092.889,1065.327,1079.454,4518487400,32104466000.0
2022-05-16,1083.798,1086.865,1066.579,1077.815,3649853300,27406782000.0
2022-05-17,1074.346,1074.346,1036.441,1056.385,4084901300,27417577000.0
2022-05-18,1047.212,1067.107,1045.014,1054.295,3453266700,25432295000.0
2022-05-19,1037.195,1071.066,1036.196,1071.066,3814758500,27828923000.0
2022-05-20,1074.243,1084.631,1066.16,1072.933,3638891900,27307758000.0
2022-05-23,1066.835,1073.872,1060.026,1073.872,3226586200,22600614000.0
2022-05-24,1079.12,1080.883,1012.432,1012.432,3766482400,27506982000.0
2022-05-25,1006.242,1035.516,1006.242,1035.516,2906075500,20915605000.0
2022-05-26,1039.73,1057.652,1038.176,1048.545,3492015900,25142696000.0
2022-05-27,1048.921,1063.957,1042.228,1060.704,3937739700,30902436000.0
2022-05-30,1060.896,1061.018,1044.741,1053.967,3363800000,27898940000.0
2022-05-31,1053.644,1053.925,1025.623,1042.023,2941251500,21918572000.0
2022-06-01,1034.908,1046.44,1027.577,1038.453,2646251900,18007769000.0
2022-06-02,1037.856,1039.027,1024.981,1037.259,2588471800,19518445000.0
2022-06-06,1037.402,1052.087,1035.624,1052.087,2831924800,22045200000.0
2022-06-07,1051.942,1056.088,1033.193,1046.906,2736257900,20948719000.0
2022-06-08,1046.929,1055.005,1024.792,1038.43,2819252100,21135221000.0
2022-06-09,1033.471,1039.668,1023.014,1029.579,3025274700,22930920000.0
2022-06-10,1021.925,1036.445,1019.83,1033.742,2524783700,18677598000.0
2022-06-13,1027.0,1031.068,1011.995,1022.682,2654424900,18894451000.0
2022-06-14,1015.375,1022.077,994.827,1021.133,2583745300,18047947000.0
2022-06-15,1020.681,1037.656,1019.812,1024.415,3157242500,22579195000.0
2022-06-16,1024.363,1031.99,1020.97,1026.659,2357037500,16529704000.0
2022-06-17,1018.998,1023.909,1003.112,1020.018,2164453100,15174067000.0
2022-06-20,1022.335,1035.143,1022.154,1033.46,2130566500,15566385000.0
2022-06-21,1033.502,1043.771,1024.989,1034.858,2422773900,17660778000.0
2022-06-22,1033.337,1033.708,1013.121,1013.121,2086782400,14524734000.0
2022-06-23,1012.196,1025.518,1005.434,1025.518,2113111600,13337752400.0
2022-06-24,1027.145,1028.075,1020.206,1024.562,1976460500,12776296200.0
2022-06-27,1027.91,1034.725,1027.631,1031.694,2152368400,14333005000.0
2022-06-28,1031.261,1042.17,1025.899,1042.17,2174816600,14558617000.0
2022-06-29,1041.497,1061.191,1041.036,1051.756,3282846300,24380765000.0
2022-06-30,1050.493,1053.773,1043.375,1050.541,2911509000,21169080000.0
2022-07-01,1050.634,1064.398,1045.293,1051.278,2361958900,16838222000.0
2022-07-04,1050.648,1050.727,1038.444,1045.509,2076877500,14399889000.0
2022-07-05,1046.295,1046.528,1026.429,1037.317,2366168600,15586414000.0
2022-07-06,1034.858,1034.935,1014.19,1020.255,2091811200,13204983700.0
2022-07-07,1020.799,1026.211,1019.208,1022.558,2113447300,12243862400.0
2022-07-08,1025.1,1038.148,1025.1,1033.776,2165643700,13711487000.0
2022-07-11,1031.778,1035.806,1022.623,1029.314,1836168800,12679772000.0
2022-07-12,1028.095,1048.986,1024.669,1042.072,2989236600,22259270000.0
2022-07-13,1044.957,1068.483,1044.589,1066.486,3683302100,28675370000.0
2022-07-14,1059.438,1059.438,1045.532,1047.762,2931162200,21892468000.0
2022-07-15,1038.78,1038.827,1013.822,1013.822,2931044700,19357078000.0
2022-07-18,1012.968,1054.684,1012.968,1053.659,2622002700,17790976000.0
2022-07-19,1057.167,1062.179,1051.792,1059.17,2338247300,16017288000.0
2022-07-20,1060.798,1061.481,1053.577,1061.481,2048546100,14319341000.0
2022-07-21,1059.253,1063.2,1052.42,1052.475,2141725100,14498599000.0
2022-07-22,1052.486,1067.044,1048.397,1057.847,2196159300,14223621000.0
2022-07-25,1057.8,1066.432,1042.363,1045.291,1903573500,11744934400.0
2022-07-26,1045.067,1062.683,1035.814,1062.683,2359927600,13814347000.0
2022-07-27,1060.486,1066.097,1057.738,1062.016,2246132300,13111728600.0
2022-07-28,1066.023,1073.188,1063.985,1068.321,2174580700,12775788400.0
2022-07-29,1071.315,1071.315,1055.528,1056.303,1964128600,12214355600.0
2022-08-01,1057.268,1057.268,1049.269,1053.307,1694968800,10702322500.0
2022-08-02,1045.067,1045.067,983.467,990.634,2798784700,17116169000.0
2022-08-03,987.985,1008.937,977.927,980.23,1838918800,11255564900.0
2022-08-04,985.072,997.677,979.333,997.677,1579707800,9287756900.0
2022-08-05,999.443,1003.868,990.924,1003.868,1414866800,8542270700.0
2022-08-08,1003.493,1012.41,999.815,1012.382,1418749200,8179362500.0
2022-08-09,1012.338,1018.478,1010.257,1015.3,1427137300,8493902200.0
2022-08-10,1014.212,1014.219,1007.716,1013.323,1540296700,9015086000.0
2022-08-11,1017.108,1030.072,1017.108,1028.225,1804267800,11120053200.0
2022-08-12,1026.498,1036.183,1023.523,1031.817,1871936100,10874505300.0
2022-08-15,1032.092,1032.092,1022.391,1031.079,1627911100,9630923900.0
2022-08-16,1034.356,1045.825,1034.356,1045.76,2017521100,12374007700.0
