日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-09-25,1031.067,1045.53,1028.266,1040.063,468732960,8720592600.0
2023-09-26,1053.203,1110.935,1053.203,1103.573,1189253620,18207255000.0
2023-09-27,1104.985,1112.842,1098.019,1100.534,1825884900,24618262000.0
2023-09-28,1103.018,1107.27,1091.433,1098.811,1726026200,23612518000.0
2023-10-09,1092.166,1097.757,1084.721,1093.971,2284910700,27952944000.0
2023-10-10,1096.614,1099.52,1090.012,1095.344,2671976900,32212588000.0
2023-10-11,1090.754,1100.273,1076.858,1092.569,2383569000,30240915000.0
2023-10-12,1092.588,1093.16,1079.561,1086.481,1944087200,25877987000.0
2023-10-13,1080.262,1081.95,1072.791,1073.471,2159667100,26739743000.0
2023-10-16,1073.389,1073.492,1053.085,1059.677,2065663700,24303589000.0
2023-10-17,1057.74,1057.74,1041.717,1046.543,1733015000,20627642000.0
2023-10-18,1041.977,1042.009,1022.582,1023.97,1651616300,20108118000.0
2023-10-19,1018.966,1036.563,1014.875,1015.088,1687823900,19179857000.0
2023-10-20,1010.643,1024.316,996.42,997.457,1533255600,17605899000.0
2023-10-23,992.88,993.882,962.597,967.424,1515281800,16808530000.0
2023-10-24,971.025,994.065,967.76,990.323,1717282400,21069156000.0
2023-10-25,993.977,1012.284,993.638,1007.907,1726791300,21243217000.0
2023-10-26,998.361,1017.848,991.217,1017.68,1783889900,22540363000.0
2023-10-27,1011.439,1024.089,999.02,1019.117,1902762500,24480438000.0
2023-10-30,1013.748,1042.198,1012.952,1040.701,2045871000,24589947000.0
2023-10-31,1038.241,1041.468,1019.96,1026.367,1949581500,22872904000.0
2023-11-01,1026.922,1033.057,1022.669,1026.529,1509283600,18551940000.0
2023-11-02,1027.692,1033.633,1007.601,1007.783,1609869800,18118294000.0
2023-11-03,1020.698,1051.186,1020.698,1048.325,2343771000,27606686000.0
2023-11-06,1053.269,1077.259,1053.269,1077.259,2490164400,31123618000.0
2023-11-07,1074.091,1091.102,1070.205,1088.562,2166200600,27929452000.0
2023-11-08,1088.704,1095.795,1081.258,1090.22,2104565800,27713834000.0
2023-11-09,1089.081,1095.227,1079.085,1082.534,2010219500,28003790000.0
2023-11-10,1076.136,1088.194,1073.03,1080.424,1509667900,23333682000.0
2023-11-13,1084.914,1099.273,1083.393,1099.273,1711280700,25748142000.0
2023-11-14,1099.119,1110.911,1094.443,1110.911,2194371100,27827160000.0
2023-11-15,1118.934,1122.71,1108.909,1119.84,1829611500,25927606000.0
2023-11-16,1118.906,1121.6,1109.904,1109.904,1554942400,22781131000.0
2023-11-17,1108.221,1128.532,1107.442,1128.532,2074054500,29872240000.0
2023-11-20,1134.149,1161.371,1134.031,1161.371,2327667800,34925807000.0
2023-11-21,1165.893,1165.893,1139.385,1142.939,2704956100,39854578000.0
2023-11-22,1137.609,1145.093,1126.209,1126.209,2453885800,35778696000.0
2023-11-23,1124.037,1138.419,1120.338,1138.198,2203821300,30909918000.0
2023-11-24,1136.685,1136.685,1112.082,1114.678,2319890900,33098697000.0
2023-11-27,1110.55,1126.493,1110.379,1124.619,2180486700,29216778000.0
2023-11-28,1121.893,1141.619,1120.472,1138.129,2188736100,31230516000.0
2023-11-29,1138.451,1148.166,1133.142,1134.358,2037032400,30012043000.0
2023-11-30,1134.666,1142.043,1110.468,1123.639,2386892200,34356257000.0
2023-12-01,1119.667,1128.123,1109.776,1124.498,2089449000,30878656000.0
2023-12-04,1123.075,1130.653,1120.348,1123.401,2175037300,31855418000.0
2023-12-05,1119.831,1119.831,1094.759,1094.759,2154033600,29533159000.0
2023-12-06,1090.671,1104.787,1090.371,1092.699,1736766400,24656192000.0
2023-12-07,1092.469,1100.87,1088.826,1094.961,1771762400,25479388000.0
2023-12-08,1095.303,1108.472,1093.784,1095.225,2142213000,32739388000.0
2023-12-11,1090.537,1113.28,1081.89,1113.205,1850367100,28382801000.0
2023-12-12,1112.98,1118.436,1108.728,1114.684,1907525000,27640961000.0
2023-12-13,1116.429,1137.678,1111.211,1123.15,2411238500,33668521000.0
2023-12-14,1123.086,1131.842,1112.768,1113.318,2317775100,29844877000.0
2023-12-15,1111.505,1114.727,1099.001,1102.632,1850183700,24218947000.0
2023-12-18,1098.615,1101.187,1081.112,1083.84,1770179600,22379738000.0
2023-12-19,1083.064,1096.097,1075.567,1094.49,1524426000,20562496000.0
2023-12-20,1096.605,1106.998,1088.572,1088.966,1782800700,23984041000.0
2023-12-21,1082.791,1093.507,1062.173,1088.043,1865418900,24875236000.0
2023-12-22,1088.799,1092.306,1066.335,1070.175,1884614500,25733797000.0
2023-12-25,1067.955,1079.436,1063.303,1077.682,1434155200,21274299000.0
2023-12-26,1076.738,1076.738,1048.59,1052.584,1569801700,22478197000.0
2023-12-27,1052.474,1067.353,1047.043,1065.552,1453187700,21639194000.0
2023-12-28,1064.959,1094.841,1057.893,1090.368,1853332300,27222858000.0
2023-12-29,1088.804,1115.434,1086.213,1115.077,1961196400,28231238000.0
2024-01-02,1116.845,1118.339,1108.389,1108.669,1736194100,24398865000.0
2024-01-03,1107.258,1107.258,1083.196,1096.118,1693596700,24373597000.0
2024-01-04,1095.205,1098.551,1087.624,1094.578,1380284200,20439541000.0
2024-01-05,1097.644,1103.102,1066.755,1071.663,1783435500,26352215000.0
2024-01-08,1067.17,1070.204,1048.471,1048.471,1488952100,21517890000.0
2024-01-09,1051.854,1083.69,1051.854,1069.485,2116658400,27433570000.0
2024-01-10,1066.404,1068.23,1043.479,1045.973,2026445300,26377336000.0
