日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-07-08,1062.178,1068.16,1034.088,1049.062,717469660,12448413500.0
2020-07-09,1040.7,1080.019,1034.031,1078.238,767883080,16991261000.0
2020-07-10,1071.189,1071.189,1034.845,1039.332,717719060,16961329000.0
2020-07-13,1034.343,1074.696,1034.343,1074.696,621945490,14751816000.0
2020-07-14,1072.948,1074.646,1045.458,1064.395,656085970,14900605000.0
2020-07-15,1070.759,1075.376,1016.744,1022.486,545369010,12968106200.0
2020-07-16,1017.808,1027.594,970.185,970.185,411975770,9891737600.0
2020-07-17,973.327,992.166,960.496,972.228,304488610,6850208500.0
2020-07-20,983.715,1004.505,973.253,1004.505,336814180,7500648900.0
2020-07-21,1005.706,1008.121,994.384,1004.735,303351980,7017001900.0
2020-07-22,1000.225,1021.553,996.32,1012.065,339502670,8723036900.0
2020-07-23,1001.067,1006.889,974.645,1003.698,337509670,9292620800.0
2020-07-24,1000.88,1009.399,948.217,952.765,392732160,9544452800.0
2020-07-27,954.966,957.37,929.466,940.716,243709650,5937092100.0
2020-07-28,947.707,957.002,942.662,956.598,206590140,4963940400.0
2020-07-29,955.739,984.666,947.524,984.313,256042310,6010842200.0
2020-07-30,986.301,991.438,973.8,981.501,293624360,6963438400.0
2020-07-31,976.56,995.45,971.069,990.578,328276390,7764295100.0
2020-08-03,996.76,1027.31,996.76,1026.823,379768930,7945335800.0
2020-08-04,1026.262,1027.454,1009.652,1015.72,324925380,7267407300.0
2020-08-05,1017.686,1022.507,1003.442,1018.102,261733350,5742385700.0
2020-08-06,1018.156,1018.156,992.18,1008.663,264118490,6159975600.0
2020-08-07,1007.828,1007.828,970.226,985.206,257466060,5904671600.0
2020-08-10,981.825,995.902,980.389,993.6,229427780,4765955900.0
2020-08-11,997.206,999.958,972.582,972.871,255230570,4903327800.0
2020-08-12,973.044,973.776,940.798,964.572,271631560,5930781500.0
2020-08-13,969.202,979.078,964.38,972.943,273699670,4161576300.0
2020-08-14,971.086,978.676,966.718,978.125,268440380,4322818900.0
2020-08-17,980.5,997.506,975.842,997.496,280169070,5759515800.0
2020-08-18,1000.994,1000.994,991.078,995.957,261747780,5270571200.0
2020-08-19,994.968,994.968,974.92,975.983,248375730,5085522900.0
2020-08-20,966.199,976.45,959.534,967.41,228628990,4831419200.0
2020-08-21,969.69,985.525,969.076,976.461,205073210,4688864100.0
2020-08-24,981.142,1008.444,972.508,1004.119,250765500,6422338100.0
2020-08-25,1009.806,1019.277,1001.118,1004.451,249357400,6867936900.0
2020-08-26,1000.396,1000.602,978.018,983.229,248293710,6178232500.0
2020-08-27,978.738,1000.115,975.257,992.003,214274260,5320976600.0
2020-08-28,989.907,1004.655,985.377,1004.075,197133690,4545099600.0
2020-08-31,1007.992,1024.285,1006.822,1012.565,270240360,5936885100.0
2020-09-01,1011.672,1024.266,1002.811,1024.255,237844530,5396110500.0
2020-09-02,1025.235,1030.573,1013.739,1027.221,236318130,5331085800.0
2020-09-03,1024.621,1031.609,1015.896,1019.87,227455460,5690203400.0
2020-09-04,999.513,1018.612,995.385,1017.006,221747610,5068934100.0
2020-09-07,1016.214,1027.93,1002.347,1007.225,236008850,5581867300.0
2020-09-08,1007.827,1016.971,997.989,1016.678,210160980,4617979500.0
2020-09-09,1004.852,1009.611,976.238,977.565,281247590,5500694800.0
2020-09-10,981.185,986.208,936.643,941.464,223674400,4212485200.0
2020-09-11,939.166,966.705,938.776,966.108,214897670,3827735400.0
2020-09-14,972.363,986.706,971.776,985.76,297093360,5004918100.0
2020-09-15,984.896,1003.983,977.219,1002.876,249843410,4947124600.0
2020-09-16,997.045,998.831,981.402,991.431,216676520,4212005000.0
2020-09-17,985.095,1004.366,983.795,996.27,237422750,5071199200.0
2020-09-18,996.348,1011.361,995.4,1010.617,243921460,5113148800.0
2020-09-21,1009.399,1013.311,999.273,1001.873,198142770,4483454000.0
2020-09-22,993.104,1002.127,983.119,986.922,169650140,3514912200.0
2020-09-23,990.492,1001.172,988.24,998.712,201281720,4633745600.0
2020-09-24,992.051,992.051,968.119,968.119,189275320,3885549400.0
2020-09-25,974.541,976.594,960.622,968.293,165713120,3931448500.0
2020-09-28,970.267,974.388,961.67,966.208,125158995,2879209700.0
2020-09-29,974.474,979.763,970.588,973.374,149998330,3511658400.0
2020-09-30,974.486,979.008,965.853,969.345,166451360,3819028900.0
2020-10-09,986.816,1014.199,986.653,1011.511,251215860,6267977400.0
2020-10-12,1023.464,1049.591,1020.488,1048.911,337577350,9037688400.0
2020-10-13,1044.143,1054.149,1040.237,1051.659,266106660,6702699100.0
2020-10-14,1050.999,1050.999,1041.055,1044.695,274645810,7199959400.0
2020-10-15,1042.262,1044.868,1031.823,1032.077,213080340,5427217600.0
2020-10-16,1032.767,1032.767,1012.672,1023.417,227474500,6188808400.0
2020-10-19,1027.194,1030.703,1012.836,1015.804,191169440,4728371700.0
2020-10-20,1014.952,1030.989,1005.669,1030.989,187902160,5135818100.0
2020-10-21,1031.162,1031.238,1007.01,1008.887,188520460,4769465100.0
2020-10-22,1001.522,1012.203,995.62,1003.185,149074760,3492027900.0
