日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,570.512,576.112,569.049,575.156,723822120,5674777600.0
2020-01-03,575.801,585.521,575.519,584.329,713250270,5264381400.0
2020-01-06,583.735,592.069,582.503,587.557,829836700,5975650100.0
2020-01-07,587.903,593.438,587.745,593.147,722093750,5563172200.0
2020-01-08,591.982,592.403,581.685,583.468,758378900,5749665100.0
2020-01-09,586.825,589.391,584.209,586.814,551521010,4474469400.0
2020-01-10,589.125,589.721,583.123,586.61,513081360,4025086700.0
2020-01-13,586.008,591.305,584.37,591.185,499716010,3863782200.0
2020-01-14,591.46,596.02,590.086,593.709,533854080,4530803700.0
2020-01-15,593.048,593.048,585.378,587.551,428036060,3688843300.0
2020-01-16,587.859,588.432,582.918,583.222,444176300,3670664700.0
2020-01-17,583.78,586.594,579.963,580.494,403789370,3473443300.0
2020-01-20,581.162,582.704,577.465,582.469,423514300,3177014000.0
2020-01-21,583.042,583.435,576.87,576.87,475701940,3941691500.0
2020-01-22,574.225,574.91,563.522,572.503,406942860,3286216800.0
2020-01-23,567.979,568.011,546.73,550.434,514540480,3735891900.0
2020-02-03,502.011,502.652,499.336,500.75,350404340,1937806100.0
2020-02-04,467.425,491.414,467.425,490.592,811354150,5191219600.0
2020-02-05,491.139,507.896,491.139,503.831,662364190,4426597900.0
2020-02-06,505.666,518.671,502.419,517.525,707060600,4964933700.0
2020-02-07,517.417,519.938,509.373,517.41,668156830,4507422700.0
2020-02-10,515.107,534.967,513.875,534.898,721157760,4830626100.0
2020-02-11,534.269,535.138,528.598,530.415,657803980,4346835500.0
2020-02-12,529.389,536.004,528.345,535.701,556130070,3689392900.0
2020-02-13,535.709,539.195,528.984,529.973,575338290,3838180600.0
2020-02-14,527.698,531.816,526.453,531.052,466225590,3317331100.0
2020-02-17,535.099,550.941,535.099,550.941,697432010,5247444500.0
2020-02-18,550.277,554.685,547.811,554.392,661071730,4534829600.0
2020-02-19,553.854,558.658,552.557,554.814,753845930,6168352800.0
2020-02-20,554.863,562.542,551.879,562.449,676321440,5084309300.0
2020-02-21,561.221,567.195,560.765,564.008,713313820,5163974500.0
2020-02-24,563.249,567.552,557.027,567.306,787008880,5886686300.0
2020-02-25,555.698,560.16,544.066,559.841,888610220,6531413100.0
2020-02-26,554.347,572.079,553.997,561.891,1066679930,7459442200.0
2020-02-27,563.513,567.94,560.245,563.412,870817210,6841026800.0
2020-02-28,546.709,554.358,532.31,532.795,873676210,6085228200.0
2020-03-02,536.44,559.147,536.44,558.533,925949090,6952775300.0
2020-03-03,568.323,570.617,558.663,565.802,1177926020,9164571300.0
2020-03-04,561.444,575.702,560.697,575.702,921189210,7548842100.0
2020-03-05,580.949,590.422,577.678,588.417,1352102200,10712326000.0
2020-03-06,580.338,586.196,579.288,582.868,1143358900,9053899500.0
2020-03-09,571.078,576.053,561.063,561.734,1083922810,8029924200.0
2020-03-10,552.526,570.559,545.135,570.495,974379290,7222319500.0
2020-03-11,571.228,577.803,568.123,568.123,941969070,6776227900.0
2020-03-12,557.809,560.532,548.082,552.325,706193170,5043181100.0
2020-03-13,523.729,550.286,523.503,547.228,1009998610,7092576800.0
2020-03-16,552.097,552.666,528.745,529.726,969422670,7019648100.0
2020-03-17,531.344,537.273,508.774,526.181,834841750,6037857200.0
2020-03-18,529.726,537.478,519.72,519.868,772394080,5734071200.0
2020-03-19,517.206,525.72,510.397,524.996,702926170,4896653400.0
2020-03-20,530.149,532.406,525.14,532.109,672096830,5006086400.0
2020-03-23,516.485,529.147,514.433,516.417,636677260,4402004200.0
2020-03-24,523.161,526.986,514.652,526.868,625597390,4392181700.0
2020-03-25,536.041,538.906,530.805,538.906,697166830,4983659300.0
2020-03-26,534.467,543.004,532.471,534.3,686082200,5118958600.0
2020-03-27,539.27,545.991,536.265,537.265,775576530,5647694800.0
2020-03-30,530.782,540.362,529.146,538.786,817852720,5645659000.0
2020-03-31,539.096,549.726,537.593,549.238,798478560,6077399700.0
2020-04-01,544.81,547.339,539.467,539.851,720879760,5663784000.0
2020-04-02,534.236,543.83,530.883,543.83,687862770,4784605600.0
2020-04-03,542.377,551.006,541.248,545.755,652876180,4810055100.0
2020-04-07,554.221,567.681,551.813,566.786,853080920,6668664700.0
2020-04-08,567.355,570.956,564.071,570.126,816807310,6600779700.0
2020-04-09,575.012,575.807,569.525,572.341,847657200,6599095400.0
2020-04-10,568.793,569.078,555.966,557.78,686244910,5226089500.0
2020-04-13,552.159,552.405,545.56,547.951,510484660,3930134600.0
2020-04-14,549.063,557.279,547.778,556.744,690049930,5631496400.0
2020-04-15,553.122,556.24,549.265,550.171,659669890,5100577600.0
2020-04-16,548.448,553.608,547.518,552.02,656379730,4995360400.0
2020-04-17,553.3,554.73,549.536,549.974,699284420,5317301700.0
2020-04-20,550.853,554.297,549.852,553.85,595908930,4467508400.0
