日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,22193.955,22537.753,22126.188,22514.494,1855702900,37080590000.0
2020-01-03,22550.987,22656.369,22442.392,22577.061,1607682800,37532838000.0
2020-01-06,22358.171,22768.902,22280.549,22628.531,1742059800,39510632000.0
2020-01-07,22603.403,22974.891,22600.817,22974.891,1568908300,39072874000.0
2020-01-08,22815.857,23088.801,22671.107,22753.438,1701878600,40874913000.0
2020-01-09,22931.365,23166.172,22931.365,23125.811,1316428130,34464367000.0
2020-01-10,23197.794,23247.79,23055.603,23136.129,1117737980,31159435000.0
2020-01-13,23127.207,23537.805,23002.247,23537.805,1208913930,32490188000.0
2020-01-14,23598.433,23802.539,23571.41,23662.929,1465316900,40348853000.0
2020-01-15,23580.309,23692.973,23425.849,23501.019,1169212520,32516124000.0
2020-01-16,23507.868,23812.646,23466.97,23726.93,2593483300,45657303000.0
2020-01-17,23759.31,24359.597,23759.31,24177.976,2063578600,49455761000.0
2020-01-20,24175.789,24598.767,23861.78,24430.803,1965599100,49342718000.0
2020-01-21,24362.539,24454.441,23918.449,23918.449,2174656700,46331212000.0
2020-01-22,23751.098,24268.006,23304.074,24142.125,1783520600,45746476000.0
2020-01-23,23859.606,24202.076,22906.427,23169.858,1907890000,48406355000.0
2020-02-03,20459.749,20911.801,20431.128,20745.801,1321028320,30345888000.0
2020-02-04,19942.83,21537.939,19942.83,21431.634,2185954100,50111152000.0
2020-02-05,21546.05,22578.89,21546.05,22211.689,2103216000,55837960000.0
2020-02-06,22153.995,23112.585,22104.793,23009.742,1999858800,52440041000.0
2020-02-07,23084.448,23775.093,23010.556,23738.731,2074354000,58049415000.0
2020-02-10,23836.78,24117.65,23635.796,24083.565,2165338900,60219099000.0
2020-02-11,24028.483,24040.384,23497.717,23698.385,1940542400,53189429000.0
2020-02-12,23553.718,24437.682,23553.718,24387.158,1708030900,52707342000.0
2020-02-13,24394.332,24841.734,24247.104,24435.918,1798998900,59740170000.0
2020-02-14,24374.436,24831.207,24105.775,24405.83,1668458500,56392615000.0
2020-02-17,24494.142,25318.008,24494.142,25318.008,2056813400,62521985000.0
2020-02-18,25353.097,25808.935,25242.26,25792.744,2223005900,68402337000.0
2020-02-19,25732.799,25943.541,25444.578,25444.578,1968228300,67527279000.0
2020-02-20,25441.088,25658.372,24966.293,25470.632,2238603700,64109064000.0
2020-02-21,25371.94,25815.554,25360.55,25502.512,2114259600,71500170000.0
2020-02-24,25442.113,25843.464,25281.976,25786.47,2051636800,66321910000.0
2020-02-25,25103.104,25842.635,24735.039,25783.636,2187900800,70119343000.0
2020-02-26,25364.485,25681.111,24678.157,24781.705,2068085600,64839956000.0
2020-02-27,24835.566,25000.827,24277.454,24542.67,2030878600,58640312000.0
2020-02-28,23612.341,23974.922,23101.857,23118.427,2063018800,59117134000.0
2020-03-02,23404.975,24305.733,23359.772,24214.486,1737053800,50752262000.0
2020-03-03,24618.485,25216.943,24380.077,24580.584,1841525800,57810399000.0
2020-03-04,24361.065,24792.833,24183.943,24792.833,1577217600,52273479000.0
2020-03-05,25149.261,25244.195,24841.382,25101.357,2469566200,60783722000.0
2020-03-06,24722.587,25086.342,24655.317,24881.348,1798122600,48561927000.0
2020-03-09,24385.276,24533.585,23737.463,23737.463,1799308100,50424651000.0
2020-03-10,23390.708,24399.937,23149.739,24399.937,1719322000,51717301000.0
2020-03-11,24458.885,24687.012,24015.322,24015.322,1574424300,45633973000.0
2020-03-12,23611.237,23840.14,23345.516,23567.847,1268682620,36524310000.0
2020-03-13,22293.165,23506.448,22273.307,23243.268,1725032200,48086433000.0
2020-03-16,23459.821,23542.537,22102.293,22157.031,1522037000,44382788000.0
2020-03-17,22381.166,22629.792,21378.473,22252.408,1335332240,40672757000.0
2020-03-18,22465.348,22934.218,21984.581,21984.581,1238075240,40228641000.0
2020-03-19,21975.165,22337.011,21555.457,22244.711,1498403900,41740625000.0
2020-03-20,22440.927,22597.052,22131.921,22449.721,1230941610,36873764000.0
2020-03-23,21814.511,21915.041,21096.757,21171.767,1212600110,35851095000.0
2020-03-24,21586.58,21671.94,20782.81,21577.4,1229545720,36240040000.0
2020-03-25,22073.642,22172.195,21899.479,22086.748,1347917900,36366832000.0
2020-03-26,21910.704,22105.423,21797.649,21841.937,1155892690,32714643000.0
2020-03-27,22070.93,22142.302,21600.566,21617.041,1098539310,31474789000.0
2020-03-30,21210.747,21210.747,20675.558,20959.695,1064556040,30764101000.0
2020-03-31,21161.344,21225.184,20790.147,20822.594,881355180,27186045000.0
2020-04-01,20728.85,21146.294,20702.0,20757.298,914754020,28180162000.0
2020-04-02,20629.341,21443.735,20623.13,21443.735,1075460510,30977232000.0
2020-04-03,21350.195,21520.157,21155.553,21238.961,919291530,28598370000.0
2020-04-07,21663.542,21887.706,21608.999,21858.717,1180611470,33674129000.0
2020-04-08,21731.882,22008.098,21707.754,21902.825,986737990,30241037000.0
2020-04-09,21987.116,22076.46,21909.454,22021.272,983965800,29962888000.0
2020-04-10,21921.51,21931.183,21196.649,21272.565,1103525940,34291181000.0
2020-04-13,21043.802,21063.425,20803.807,20910.58,759693730,22463800000.0
2020-04-14,21013.218,21381.837,21013.218,21381.837,790936610,23382171000.0
2020-04-15,21419.396,21633.125,21317.495,21333.221,821590300,26951758000.0
2020-04-16,21218.964,21479.753,21168.791,21435.819,879004850,25838271000.0
2020-04-17,21570.431,21741.094,21500.513,21520.902,1053942410,32591336000.0
2020-04-20,21539.942,21815.757,21513.363,21815.757,1185550770,29574284000.0
2020-04-21,21692.894,21711.793,21447.384,21709.537,1167162600,29666944000.0
2020-04-22,21517.158,21953.277,21490.28,21933.433,1084516120,29438315000.0
2020-04-23,21994.415,22129.7,21943.542,21950.038,1325012690,35093221000.0
2020-04-24,21904.273,21955.004,21634.859,21718.002,1259906450,33151639000.0
2020-04-27,21656.943,21696.368,21439.176,21449.866,1105798430,30130856000.0
2020-04-28,21340.205,21346.759,19823.833,20708.861,1390329200,39808984000.0
2020-04-29,20606.688,20936.082,20593.658,20777.285,1229522530,32167806000.0
2020-04-30,20935.554,21718.976,20935.554,21617.012,1638475800,41889306000.0
2020-05-06,21419.125,22691.395,21396.378,22691.395,1632738200,48975322000.0
2020-05-07,22690.43,22900.115,22620.999,22806.666,1579867100,50001718000.0
2020-05-08,22864.351,23246.144,22849.711,23091.768,1682267600,50556223000.0
2020-05-11,23196.163,23539.215,23107.797,23247.793,1554465700,48116389000.0
2020-05-12,23242.692,23548.168,23009.265,23548.168,1453768600,45341981000.0
2020-05-13,23454.534,23948.206,23436.732,23892.12,1495637300,48058853000.0
2020-05-14,23788.646,24145.264,23746.246,23866.678,1623047800,50674630000.0
2020-05-15,24001.314,24256.523,23954.967,24101.687,1529440600,50562919000.0
2020-05-18,24208.103,24242.016,23723.481,23765.909,1596972500,58440000000.0
2020-05-19,23924.805,24494.879,23913.907,24494.879,1440604000,55213712000.0
2020-05-20,24450.959,24769.132,24161.076,24326.349,1766679700,63387256000.0
2020-05-21,24306.34,24407.492,23838.239,23884.788,1570804400,54317435000.0
2020-05-22,23797.088,23870.253,23169.687,23404.096,1496347700,48919732000.0
2020-05-25,23340.42,23360.875,22994.637,23093.267,1718141900,45288825000.0
2020-05-26,23112.206,24053.314,23112.206,24053.314,1952926900,50979625000.0
2020-05-27,24089.22,24252.623,23937.371,24027.463,1787360700,53431672000.0
2020-05-28,23988.067,24083.597,23310.773,23769.826,2006959200,53982580000.0
2020-05-29,23629.057,24217.535,23586.646,23926.491,1701534500,52744087000.0
2020-06-01,24122.152,24954.71,24122.152,24855.795,2011938400,62857194000.0
2020-06-02,24882.735,25121.409,24754.327,25060.195,2156763400,65736100000.0
2020-06-03,25075.945,25284.859,24938.054,24959.916,1972635700,62437258000.0
2020-06-04,24962.465,25272.191,24937.498,25178.381,1746809500,55544669000.0
2020-06-05,25180.547,25318.098,25032.024,25190.871,1627267300,53959024000.0
2020-06-08,25367.481,25504.039,25098.862,25155.272,1906299200,56081520000.0
2020-06-09,25094.217,25124.9,24899.022,25073.227,1517859500,52712027000.0
2020-06-10,25042.816,25048.674,24875.365,25002.406,2148608600,56645553000.0
2020-06-11,24999.175,25374.362,24845.274,25008.198,2002436200,59224805000.0
2020-06-12,24430.342,25217.579,24396.453,25063.334,1949242200,54216127000.0
2020-06-15,25092.17,25330.164,24963.091,24963.091,1859349700,57907988000.0
2020-06-16,25149.922,25552.128,25135.098,25552.128,2104397600,64807009000.0
2020-06-17,25598.0,25690.499,25427.824,25682.761,1867545600,59257990000.0
2020-06-18,25627.636,25633.738,25393.752,25507.765,1858051200,56344072000.0
2020-06-19,25434.292,25688.622,25432.858,25597.553,1975270700,55910185000.0
2020-06-22,25712.313,26034.936,25712.313,25903.537,2164004300,68250373000.0
2020-06-23,25856.145,25967.801,25760.177,25965.2,1757171100,58883951000.0
2020-06-24,25954.705,26069.888,25899.582,26036.631,1788629500,60345630000.0
2020-06-29,26012.908,26056.25,25857.637,25954.437,1627957400,52700660000.0
2020-06-30,26063.807,26596.179,26062.869,26487.235,1569831100,57058440000.0
2020-07-01,26543.992,26654.023,26130.893,26497.222,1777179600,62581855000.0
2020-07-02,26445.674,26715.404,26367.487,26678.39,2363689600,67308431000.0
2020-07-03,26763.891,26838.369,26483.106,26808.875,2792520200,72298080000.0
2020-07-06,27047.415,28123.918,27047.415,28111.014,3680342300,89769254000.0
2020-07-07,28437.307,29278.273,28264.252,28845.336,4432502000,113420189000.0
2020-07-08,28875.543,29512.82,28700.068,29484.217,3668231300,98103756000.0
2020-07-09,29613.017,30726.588,29605.673,30667.641,3975921800,118880897000.0
2020-07-10,30634.17,31044.715,30435.561,30658.51,3260479100,104340661000.0
2020-07-13,30781.692,31751.189,30679.839,31751.189,3010533100,103450447000.0
2020-07-14,31834.871,32089.441,30908.466,31681.798,3170660900,114645495000.0
2020-07-15,31818.559,31902.612,30301.974,30301.974,3114325500,118902105000.0
2020-07-16,30324.198,30352.174,28276.241,28325.645,3578450900,143428200000.0
2020-07-17,28396.096,28879.515,27972.1,28312.245,2372050900,91660396000.0
2020-07-20,28607.065,28895.418,27871.174,28895.418,2319848800,93976781000.0
2020-07-21,28942.564,29237.39,28818.471,29151.479,1901402500,80429637000.0
2020-07-22,29068.448,29517.331,28934.181,29292.503,2027226100,88098413000.0
2020-07-23,28997.05,29303.466,28373.602,29189.404,2047082800,81992655000.0
2020-07-24,28986.253,29186.166,27573.467,27573.467,2210816800,88380380000.0
2020-07-27,27638.921,27778.987,27059.098,27394.411,1443497500,59878696000.0
