日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1525.926,1546.404,1523.62,1545.943,6313718500,60290492000.0
2020-01-03,1546.986,1554.489,1542.057,1551.422,5770856500,58271384000.0
2020-01-06,1548.765,1598.353,1546.763,1587.564,7959996500,88589570000.0
2020-01-07,1592.812,1604.066,1587.778,1604.066,7385880100,70906550000.0
2020-01-08,1600.565,1631.121,1597.64,1604.99,8386041700,80831001000.0
2020-01-09,1622.011,1626.237,1613.131,1623.954,7032639000,70632170000.0
2020-01-10,1623.033,1623.815,1598.887,1606.112,5716946100,58889075000.0
2020-01-13,1611.312,1630.836,1604.794,1630.836,6272479900,67955617000.0
2020-01-14,1639.38,1651.597,1633.642,1634.923,7802081400,85825748000.0
2020-01-15,1628.331,1628.331,1606.141,1616.849,6247023500,64295364000.0
2020-01-16,1617.977,1623.627,1607.823,1611.784,5339094000,55286486000.0
2020-01-17,1614.827,1617.545,1601.067,1605.035,5382977900,59389025000.0
2020-01-20,1602.012,1620.775,1596.449,1620.775,5287249600,62020527000.0
2020-01-21,1613.537,1613.537,1588.699,1588.699,4922491400,54600323000.0
2020-01-22,1578.685,1609.949,1555.633,1601.345,5520477700,70241488000.0
2020-01-23,1582.871,1598.815,1528.761,1545.061,6307235300,77307042000.0
2020-02-03,1394.758,1404.618,1394.745,1399.108,2622749700,42454511000.0
2020-02-04,1315.685,1395.781,1315.685,1389.514,7751490600,81146884000.0
2020-02-05,1403.987,1457.464,1403.987,1431.234,7195318700,90904837000.0
2020-02-06,1420.764,1462.317,1412.896,1457.525,7183372200,92263563000.0
2020-02-07,1455.377,1466.133,1439.537,1465.656,6495869000,81287936000.0
2020-02-10,1463.194,1516.116,1460.734,1516.116,7044259300,87869075000.0
2020-02-11,1522.6,1525.627,1505.211,1512.639,6509273400,80583458000.0
2020-02-12,1504.813,1548.061,1502.996,1547.972,7153736400,82833397000.0
2020-02-13,1544.501,1556.93,1532.204,1534.613,7614414900,93370425000.0
2020-02-14,1532.495,1548.565,1519.583,1533.644,6751691600,83879515000.0
2020-02-17,1540.645,1588.226,1540.645,1588.226,7769785300,88358290000.0
2020-02-18,1593.245,1625.517,1591.986,1625.517,8688796500,99314722000.0
2020-02-19,1637.991,1648.995,1627.645,1627.752,10461974200,117740636000.0
2020-02-20,1635.21,1667.509,1634.625,1666.685,10240479100,117378460000.0
2020-02-21,1666.118,1697.678,1665.124,1689.412,10655363600,118654358000.0
2020-02-24,1688.22,1718.482,1678.811,1713.988,11188824600,130806887000.0
