日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1709.791,1739.998,1708.291,1732.942,240363980,3203622600.0
2020-01-03,1740.765,1744.34,1722.874,1739.022,226498510,2873905700.0
2020-01-06,1724.808,1759.09,1717.157,1751.142,255775100,3201495500.0
2020-01-07,1751.12,1798.178,1751.12,1794.702,298299310,3469614600.0
2020-01-08,1782.495,1789.396,1755.287,1758.853,253111390,3042058200.0
2020-01-09,1778.32,1794.482,1765.361,1781.336,196229420,2726177200.0
2020-01-10,1788.039,1788.251,1766.288,1770.316,187601910,2304470500.0
2020-01-13,1767.734,1786.57,1754.785,1786.57,201085720,3580397500.0
2020-01-14,1788.644,1790.569,1766.471,1767.277,195155840,3004681100.0
2020-01-15,1770.341,1773.19,1750.963,1765.608,162090920,2167478600.0
2020-01-16,1770.653,1773.607,1751.626,1754.138,176222100,2317738700.0
2020-01-17,1755.147,1765.139,1744.735,1747.369,150610270,1975308900.0
2020-01-20,1738.506,1738.506,1706.357,1717.231,257538640,4330253400.0
2020-01-21,1696.613,1699.47,1672.312,1675.505,288930730,4642313600.0
2020-01-22,1657.932,1674.932,1647.382,1667.108,260062790,3489654700.0
2020-01-23,1635.309,1650.049,1574.442,1589.721,288685340,4606296500.0
2020-02-03,1430.828,1439.111,1430.828,1434.282,95130305,2377112800.0
2020-02-04,1332.781,1392.765,1332.781,1382.017,391547720,5121753700.0
2020-02-05,1393.631,1446.741,1392.03,1433.11,328966280,4615268700.0
2020-02-06,1436.824,1480.235,1424.284,1480.235,322463980,4363490100.0
2020-02-07,1476.244,1521.555,1468.25,1521.555,291548730,4067244000.0
2020-02-10,1510.426,1547.208,1502.503,1546.197,271752750,3537792100.0
2020-02-11,1541.365,1549.772,1525.664,1528.192,220360080,3014533800.0
2020-02-12,1524.251,1556.67,1521.775,1554.565,201848790,2511119800.0
2020-02-13,1545.442,1552.055,1523.534,1530.366,193302730,2667149800.0
2020-02-14,1528.266,1536.294,1519.31,1530.489,144848600,2326065000.0
2020-02-17,1530.634,1572.932,1530.634,1572.706,215126210,3004834800.0
2020-02-18,1583.158,1610.64,1577.879,1610.64,259554230,3307684100.0
2020-02-19,1606.928,1620.034,1591.978,1613.315,242399540,3479411300.0
2020-02-20,1620.828,1662.599,1620.828,1662.599,298519420,4517604100.0
2020-02-21,1650.802,1674.255,1646.123,1667.472,296890030,4031331100.0
2020-02-24,1659.901,1659.901,1633.476,1650.502,331405600,4882729400.0
2020-02-25,1609.913,1626.122,1568.795,1621.444,320737150,4216137400.0
2020-02-26,1602.113,1625.307,1587.53,1594.533,291806530,3989631700.0
2020-02-27,1603.364,1629.234,1600.122,1604.46,230060720,3482949800.0
2020-02-28,1553.762,1567.254,1516.892,1519.786,262814150,3584908000.0
2020-03-02,1526.677,1573.633,1526.677,1569.096,243264480,3272769100.0
2020-03-03,1595.998,1608.999,1569.916,1578.975,270120680,3360514000.0
2020-03-04,1569.278,1599.056,1564.349,1598.471,253974450,2800131500.0
2020-03-05,1614.9,1642.135,1606.599,1637.624,333970840,4673279900.0
2020-03-06,1619.275,1654.464,1614.234,1645.359,261471580,2914820700.0
2020-03-09,1623.692,1626.006,1576.868,1582.271,347294060,4021546300.0
2020-03-10,1556.156,1642.87,1554.936,1642.87,350488520,3623912400.0
2020-03-11,1642.465,1686.973,1639.371,1648.281,495224770,5345601600.0
2020-03-12,1621.303,1636.626,1597.522,1610.091,358086000,3793683600.0
2020-03-13,1517.801,1609.802,1517.801,1600.581,414254790,5108002900.0
2020-03-16,1605.764,1605.957,1513.626,1518.172,332323190,4095376600.0
2020-03-17,1521.327,1539.143,1452.269,1494.379,247302920,2701002800.0
2020-03-18,1507.868,1530.992,1468.851,1470.435,265408910,2854539000.0
2020-03-19,1465.22,1485.048,1442.264,1480.121,229353960,2749735900.0
2020-03-20,1489.731,1529.122,1464.93,1521.823,230820170,2836840000.0
2020-03-23,1473.125,1477.665,1435.956,1439.307,222871760,2428348200.0
2020-03-24,1461.746,1469.418,1421.664,1454.939,204376280,2419670000.0
2020-03-25,1481.02,1495.023,1469.465,1491.421,300725390,3916085200.0
2020-03-26,1480.34,1482.25,1452.286,1456.545,216328790,2422521600.0
2020-03-27,1471.961,1472.182,1436.908,1436.908,187196840,1952340800.0
2020-03-30,1410.304,1410.304,1358.321,1370.087,227931040,3052786600.0
2020-03-31,1381.857,1385.787,1343.259,1345.713,182544310,1885555400.0
2020-04-01,1346.04,1373.13,1344.329,1352.043,209013440,2160610400.0
2020-04-02,1345.215,1388.889,1343.122,1388.889,200285510,2096791900.0
2020-04-03,1387.52,1401.12,1379.089,1390.61,184729950,2101636100.0
2020-04-07,1415.019,1434.834,1413.175,1432.534,220574170,2911339400.0
2020-04-08,1427.117,1473.009,1424.208,1462.613,223761940,2686512700.0
2020-04-09,1469.62,1501.133,1466.41,1495.023,231875740,2618587500.0
2020-04-10,1493.718,1502.186,1464.207,1479.49,289255680,2813704700.0
2020-04-13,1463.274,1466.779,1449.011,1457.571,198522400,2074284100.0
2020-04-14,1466.995,1474.887,1453.579,1474.303,202915710,2514417600.0
2020-04-15,1463.011,1463.738,1444.02,1447.309,197864940,2295423100.0
2020-04-16,1435.698,1443.714,1432.047,1439.128,137719780,1558649200.0
2020-04-17,1450.243,1471.883,1450.243,1451.654,218254830,3221770100.0
2020-04-20,1455.208,1463.526,1446.074,1461.965,201519160,2463698000.0
2020-04-21,1456.505,1456.505,1435.104,1453.551,181986160,1958836400.0
2020-04-22,1438.397,1461.424,1432.871,1460.967,206428090,3056160900.0
2020-04-23,1460.881,1461.411,1443.966,1454.341,266060510,2925682900.0
2020-04-24,1453.014,1471.87,1446.399,1453.884,271766200,2626314200.0
2020-04-27,1466.414,1470.33,1446.836,1452.608,303467150,2926298600.0
2020-04-28,1447.154,1448.51,1384.344,1420.58,298503640,3299505800.0
2020-04-29,1417.058,1466.506,1415.241,1451.862,277862320,2874063500.0
2020-04-30,1458.591,1495.772,1451.58,1491.961,334845610,3329896600.0
2020-05-06,1460.104,1473.076,1450.732,1471.413,249067760,3350157200.0
2020-05-07,1466.601,1467.608,1452.637,1455.522,230256000,2030749200.0
2020-05-08,1460.497,1466.879,1454.669,1461.959,187022230,1975670400.0
2020-05-11,1471.769,1471.769,1445.272,1451.951,208788410,2750363000.0
2020-05-12,1453.731,1454.474,1434.76,1446.074,194131340,2418179200.0
2020-05-13,1442.503,1455.528,1438.603,1455.528,158685350,1696443500.0
2020-05-14,1446.402,1464.832,1443.89,1453.691,256960150,2061346100.0
2020-05-15,1456.777,1462.141,1445.793,1449.509,219640230,2112720600.0
2020-05-18,1450.665,1451.074,1424.202,1427.296,206442200,1887377000.0
2020-05-19,1441.434,1451.977,1440.262,1445.32,177436120,2299074700.0
2020-05-20,1446.151,1446.151,1424.413,1430.655,156971580,1786314100.0
2020-05-21,1436.666,1443.454,1431.896,1434.83,215483830,2159044700.0
2020-05-22,1433.373,1436.698,1404.348,1411.984,196071350,2341612200.0
2020-05-25,1411.757,1418.359,1398.488,1403.042,139058120,1886926100.0
2020-05-26,1408.56,1448.703,1408.56,1447.274,187185750,2843117200.0
2020-05-27,1449.408,1460.138,1439.383,1450.821,308022490,3113804800.0
2020-05-28,1450.712,1462.844,1430.189,1458.337,263501980,2782099200.0
2020-05-29,1455.86,1508.761,1455.105,1508.723,304570940,3817811100.0
2020-06-01,1520.048,1555.557,1510.915,1554.49,404385440,4501160400.0
2020-06-02,1578.544,1578.604,1528.283,1530.317,449741120,6081228600.0
2020-06-03,1534.788,1542.859,1523.785,1528.498,379325040,3807386700.0
2020-06-04,1537.294,1554.278,1533.863,1549.121,287178500,2657678300.0
2020-06-05,1559.961,1585.417,1556.089,1584.406,551584440,5157281600.0
2020-06-08,1577.69,1581.791,1565.272,1570.715,374228970,3588556000.0
2020-06-09,1567.616,1595.249,1562.812,1594.035,292839180,3147930100.0
2020-06-10,1602.586,1605.506,1587.322,1603.723,280243550,4319664800.0
2020-06-11,1598.227,1621.915,1593.151,1602.904,287125370,3625595100.0
2020-06-12,1563.172,1636.039,1560.707,1634.242,414753340,5140726100.0
2020-06-15,1602.521,1631.929,1602.521,1608.214,373102760,5930978000.0
2020-06-16,1605.933,1611.911,1592.526,1604.108,328404550,3714935300.0
2020-06-17,1602.195,1606.78,1587.124,1606.78,338596310,3635987400.0
2020-06-18,1606.289,1609.335,1584.52,1589.162,262590280,3356507300.0
2020-06-19,1588.776,1622.041,1588.776,1618.571,341691390,4157714500.0
2020-06-22,1618.824,1618.988,1601.121,1604.878,275464990,3760478700.0
2020-06-23,1605.644,1621.97,1595.203,1615.635,254358920,3604190900.0
2020-06-24,1618.532,1619.998,1608.614,1609.694,236970810,3284004500.0
2020-06-29,1603.044,1603.044,1570.494,1578.999,249807580,4232205100.0
2020-06-30,1606.303,1621.341,1606.12,1615.095,231763510,6073743000.0
2020-07-01,1629.271,1647.306,1625.466,1647.306,248262410,6452992700.0
2020-07-02,1651.176,1698.809,1647.722,1693.517,451052820,7189485900.0
2020-07-03,1711.785,1767.137,1711.785,1767.137,398256740,7144630200.0
2020-07-06,1813.829,1869.909,1802.601,1868.34,492560850,7996882000.0
2020-07-07,1908.631,1920.418,1885.698,1888.063,566758700,13825026000.0
2020-07-08,1901.636,1953.119,1887.742,1949.018,592896140,12364997200.0
2020-07-09,1970.437,2018.868,1967.118,2013.56,565377560,10017256200.0
2020-07-10,2014.85,2073.588,2006.475,2056.71,597780580,11153160500.0
2020-07-13,2086.089,2108.662,2037.975,2102.509,681802710,14064525000.0
2020-07-14,2087.635,2121.56,2063.942,2103.974,828511870,12071077200.0
2020-07-15,2143.541,2174.453,2098.147,2101.984,892089030,13652228000.0
2020-07-16,2091.568,2096.853,1977.15,1977.67,665347430,11640749300.0
2020-07-17,1985.968,2053.937,1980.474,2017.111,511480870,9941819700.0
2020-07-20,2026.44,2054.779,2002.594,2054.565,496454840,10137307100.0
2020-07-21,2059.559,2064.401,2028.939,2041.744,448978210,8155263700.0
2020-07-22,2032.114,2113.639,2026.769,2086.869,518666130,12321977800.0
2020-07-23,2049.833,2091.608,2002.58,2088.249,502372720,12428100400.0
2020-07-24,2069.019,2079.617,1966.613,1969.096,490949560,13138908900.0
2020-07-27,1950.341,1965.169,1920.399,1933.129,328218540,7806835600.0
2020-07-28,1939.134,1961.573,1928.954,1943.743,260941350,7011585800.0
2020-07-29,1934.559,1995.508,1923.232,1994.773,335567910,7054229600.0
2020-07-30,1996.499,2020.512,1989.801,2008.935,375197870,8414316400.0
2020-07-31,1997.544,2054.207,1996.663,2033.457,376215080,8925839300.0
2020-08-03,2042.831,2099.031,2037.109,2097.269,507809700,10828003700.0
2020-08-04,2089.233,2102.793,2054.997,2067.65,426773790,9623711400.0
2020-08-05,2052.484,2109.167,2040.125,2100.898,343360430,6364506000.0
2020-08-06,2104.67,2105.059,2063.047,2090.022,430554610,8367803800.0
2020-08-07,2078.611,2101.781,2037.08,2067.865,392930990,7982624800.0
2020-08-10,2054.589,2075.535,2022.406,2059.243,430433060,7381511900.0
2020-08-11,2058.492,2097.246,2056.591,2056.591,440485920,7390455600.0
2020-08-12,2067.42,2089.447,2027.631,2089.283,405699120,8108869200.0
2020-08-13,2098.609,2135.927,2098.609,2119.64,413648890,7166235600.0
2020-08-14,2090.516,2108.209,2070.385,2103.564,325615030,5365431500.0
2020-08-17,2094.941,2124.454,2081.864,2111.978,359315850,6009014600.0
2020-08-18,2108.231,2157.779,2100.439,2150.141,416119200,7011435700.0
2020-08-19,2144.668,2144.668,2087.802,2091.9,361899980,7031692400.0
2020-08-20,2076.431,2110.206,2060.299,2073.289,282327180,6772734500.0
2020-08-21,2083.974,2119.548,2074.015,2105.942,328264590,6034491200.0
2020-08-24,2113.116,2120.914,2072.345,2107.024,275255440,4986178200.0
2020-08-25,2112.368,2126.344,2089.046,2105.094,338252110,6478616700.0
2020-08-26,2098.499,2099.149,2032.9,2038.671,329033430,4939768800.0
2020-08-27,2040.183,2063.685,2019.221,2050.629,303213500,4008481600.0
2020-08-28,2043.001,2110.962,2034.798,2102.288,340881060,6833971600.0
2020-08-31,2099.116,2136.38,2098.398,2098.719,370289200,7565773800.0
2020-09-01,2094.379,2137.083,2083.466,2135.502,296006580,5364499500.0
2020-09-02,2145.395,2195.706,2135.137,2188.564,432968190,6811250800.0
2020-09-03,2189.627,2199.033,2156.073,2165.862,425508070,6096394300.0
2020-09-04,2121.889,2160.538,2105.075,2154.772,326658470,5285406100.0
2020-09-07,2149.31,2210.081,2149.018,2182.691,486290960,7615895600.0
2020-09-08,2174.085,2200.164,2146.332,2187.625,437393500,6214148300.0
2020-09-09,2148.285,2160.206,2083.369,2084.3,412947180,5812774400.0
2020-09-10,2090.427,2098.588,2007.626,2013.742,363933530,5611656200.0
2020-09-11,1991.965,2049.007,1980.922,2048.526,257493960,3934033900.0
2020-09-14,2057.425,2125.811,2052.964,2121.981,308899790,5115867800.0
2020-09-15,2138.007,2183.625,2137.362,2181.833,337617130,5667153300.0
2020-09-16,2179.105,2187.767,2155.588,2163.598,333717750,5626762000.0
2020-09-17,2162.844,2174.904,2116.747,2139.308,248686700,4311286800.0
2020-09-18,2134.548,2223.698,2118.329,2223.427,369543500,5692006900.0
2020-09-21,2237.672,2250.915,2215.369,2221.12,402958250,6368115300.0
