日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1334.739,1351.885,1330.653,1351.462,906441570,8127698700.0
2020-01-03,1354.834,1377.269,1352.801,1374.537,1049677460,10147662000.0
2020-01-06,1397.089,1420.269,1397.089,1407.89,1536644200,14845819000.0
2020-01-07,1402.13,1422.324,1402.13,1422.324,1359933200,12391482100.0
2020-01-08,1422.831,1441.592,1412.246,1420.799,1632452800,16387061000.0
2020-01-09,1416.429,1425.183,1414.469,1424.511,1247785810,12351825200.0
2020-01-10,1425.809,1425.809,1400.157,1406.84,1142917760,10457521300.0
2020-01-13,1404.049,1423.627,1395.903,1423.627,949078830,9667674500.0
2020-01-14,1427.239,1428.533,1415.646,1416.267,940387950,9881845300.0
2020-01-15,1413.866,1416.15,1402.28,1413.867,824955020,8433247500.0
2020-01-16,1415.319,1426.726,1412.865,1416.106,1093123340,11948869600.0
2020-01-17,1417.619,1419.358,1403.703,1406.753,891409760,9415086500.0
2020-01-20,1401.981,1426.1,1397.477,1426.1,1060562930,11447208200.0
2020-01-21,1426.013,1426.197,1413.092,1413.185,1009883030,11634132400.0
2020-01-22,1403.344,1416.263,1382.205,1411.087,831814300,10552486300.0
2020-01-23,1389.497,1413.566,1355.578,1368.475,1133225120,14207521000.0
2020-02-03,1242.761,1247.301,1239.229,1245.739,550757360,6771902100.0
2020-02-04,1162.429,1229.752,1162.429,1224.57,1642694900,15241345000.0
2020-02-05,1226.858,1274.255,1226.858,1263.68,1437015800,14824647000.0
2020-02-06,1271.388,1310.81,1263.218,1307.828,1626323300,15401381000.0
2020-02-07,1321.05,1338.268,1309.39,1338.074,2059514100,22807944000.0
2020-02-10,1343.044,1356.668,1335.619,1356.345,1665627000,19338962000.0
2020-02-11,1355.705,1355.705,1323.467,1334.28,1588155300,16846520000.0
2020-02-12,1326.591,1363.304,1326.591,1363.267,1508905200,17887999000.0
2020-02-13,1363.67,1369.729,1348.339,1357.199,1593873400,18942505000.0
2020-02-14,1351.026,1372.502,1350.686,1364.033,1386092100,18339857000.0
2020-02-17,1375.364,1435.253,1375.364,1435.078,1846303800,22520565000.0
2020-02-18,1443.423,1473.692,1437.24,1473.692,2065368200,24323349000.0
2020-02-19,1460.794,1473.018,1446.177,1446.66,1826665100,21621008000.0
2020-02-20,1449.466,1464.805,1430.453,1464.184,1606707700,19215837000.0
