日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,873.804,890.065,872.474,890.065,1086007000,14882214000.0
2020-01-03,892.052,903.391,891.24,900.364,1087208050,14592952000.0
2020-01-06,899.271,921.451,897.861,914.651,1490624900,21292548000.0
2020-01-07,917.009,927.839,916.519,927.839,1260167320,18622653000.0
2020-01-08,926.713,947.674,924.39,934.507,1660740900,22783784000.0
2020-01-09,943.139,948.984,941.562,948.674,1381215600,19685291000.0
2020-01-10,951.069,952.428,939.968,944.132,1251808640,17120559000.0
2020-01-13,946.903,966.622,945.154,966.622,1477035800,23297273000.0
2020-01-14,973.414,973.763,962.144,962.479,1497548600,25178917000.0
2020-01-15,962.536,967.194,957.116,966.122,1290550190,19113567000.0
2020-01-16,964.834,975.896,963.192,973.669,1347295100,22544228000.0
2020-01-17,977.98,980.123,969.497,972.303,1365576700,21938191000.0
2020-01-20,967.501,983.801,965.458,983.794,1374300900,21551552000.0
2020-01-21,979.354,979.916,970.2,970.674,1293503090,20472645000.0
2020-01-22,964.641,985.243,951.256,980.118,1266494450,21251971000.0
2020-01-23,966.408,976.918,934.782,946.347,1419090600,22270612000.0
2020-02-03,856.216,862.341,855.761,856.892,715617310,11286820500.0
2020-02-04,806.799,858.474,806.799,853.013,1702704100,24256389000.0
2020-02-05,862.318,894.725,862.318,883.906,1480579200,23782521000.0
2020-02-06,882.962,911.188,880.269,908.51,1612708400,26997845000.0
2020-02-07,910.784,925.651,905.345,925.227,1770465700,30282235000.0
2020-02-10,927.676,946.434,926.099,946.421,1626338700,28506701000.0
2020-02-11,949.488,949.488,931.3,935.274,1481996300,24725379000.0
2020-02-12,930.79,954.095,929.889,954.069,1404653300,23050507000.0
2020-02-13,953.82,956.583,941.465,948.634,1592747800,26496445000.0
2020-02-14,945.679,957.489,938.129,947.714,1366150100,23444520000.0
2020-02-17,954.482,985.106,954.482,985.106,1725866800,27041548000.0
2020-02-18,988.193,1010.35,987.774,1010.35,1829191100,30001254000.0
2020-02-19,1013.206,1014.747,1001.572,1001.723,1901123800,31544304000.0
2020-02-20,1008.285,1024.983,999.187,1023.19,1983408200,32324003000.0
2020-02-21,1024.814,1052.28,1024.383,1046.418,2206008700,36012118000.0
2020-02-24,1052.044,1084.519,1051.71,1080.292,2356031200,40448100000.0
2020-02-25,1060.7,1125.508,1052.942,1124.127,3365091200,52197980000.0
