日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1276.736,1313.149,1270.857,1311.237,1395324500,27216496000.0
2020-01-03,1316.293,1318.434,1300.217,1313.591,1423396100,27974830000.0
2020-01-06,1294.397,1337.808,1289.611,1327.57,1858518600,33585027000.0
2020-01-07,1327.548,1331.844,1316.582,1331.844,1545304900,28638199000.0
2020-01-08,1320.912,1330.229,1299.628,1302.203,1507997700,26294860000.0
2020-01-09,1317.496,1338.219,1317.489,1337.882,1448243100,28195536000.0
2020-01-10,1342.693,1354.479,1335.097,1347.056,1461096200,27540895000.0
2020-01-13,1343.583,1378.101,1335.707,1378.101,1460473900,28895649000.0
2020-01-14,1384.998,1387.461,1365.886,1367.188,1398504600,28654773000.0
2020-01-15,1356.315,1365.824,1348.196,1365.824,1230082780,24388421000.0
2020-01-16,1364.663,1373.73,1359.061,1373.029,1610915000,28424099000.0
2020-01-17,1371.27,1372.239,1344.12,1344.397,1378328200,24859113000.0
2020-01-20,1339.013,1380.786,1338.254,1380.785,1374800100,30175013000.0
2020-01-21,1378.743,1382.85,1366.11,1366.11,1303664630,26834976000.0
2020-01-22,1358.025,1409.393,1341.036,1402.779,1412083500,32441381000.0
2020-01-23,1380.115,1403.069,1322.672,1340.167,1572037200,34651870000.0
2020-02-03,1214.837,1224.635,1214.831,1221.371,678481330,19225668000.0
2020-02-04,1143.577,1224.912,1143.577,1215.127,2141830700,35160114000.0
2020-02-05,1221.542,1274.829,1221.542,1245.874,1843626600,35313192000.0
2020-02-06,1237.246,1286.079,1231.09,1279.936,1974146400,36634111000.0
2020-02-07,1276.086,1300.655,1263.82,1296.392,2078160400,37777997000.0
2020-02-10,1285.322,1301.764,1276.71,1300.072,1642968600,33008338000.0
2020-02-11,1300.291,1329.667,1284.169,1319.543,1756635400,35932142000.0
2020-02-12,1305.605,1344.265,1303.17,1343.539,1535779200,31685332000.0
2020-02-13,1339.897,1357.856,1326.367,1337.169,1621511200,36592484000.0
2020-02-14,1335.502,1372.512,1335.502,1351.864,1745546500,34133528000.0
2020-02-17,1365.354,1413.326,1365.354,1413.326,1926838700,37283430000.0
2020-02-18,1418.997,1461.205,1416.765,1461.205,2277472200,45644155000.0
2020-02-19,1452.67,1482.684,1443.097,1448.152,2229319300,45817623000.0
2020-02-20,1448.647,1479.682,1438.502,1479.682,2012034200,42948292000.0
2020-02-21,1477.741,1526.477,1476.763,1517.996,2576540500,52270131000.0
2020-02-24,1510.056,1565.663,1502.017,1565.663,2568851700,54941570000.0
