日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-03-02,1003.877,1017.237,998.569,1002.114,902454060,8608590000.0
2023-03-03,991.278,996.162,976.02,981.752,884137410,7942581000.0
2023-03-06,979.625,982.899,969.279,973.425,635188010,5601676100.0
2023-03-07,971.061,976.994,944.95,944.95,667077110,6033578300.0
2023-03-08,947.521,975.648,947.521,975.648,610868720,6302626600.0
2023-03-09,972.643,986.779,962.973,983.946,748397210,6634873900.0
2023-03-10,974.27,987.044,973.162,979.144,844024560,7572603400.0
2023-03-13,975.569,1000.699,973.336,1000.584,953281080,9355952700.0
2023-03-14,997.361,998.807,974.444,988.984,1046539570,10991991500.0
2023-03-15,995.917,997.506,982.66,983.543,834473550,9056435200.0
2023-03-16,975.046,978.491,961.906,962.393,767940600,8161640200.0
2023-03-17,968.267,992.164,968.259,987.068,915025130,9165430300.0
2023-03-20,989.986,996.35,976.896,978.074,874527740,9382741200.0
2023-03-21,979.578,997.419,975.387,996.198,766769610,7979384900.0
2023-03-22,997.315,1019.222,992.473,1019.222,1112299510,11300675700.0
2023-03-23,1013.05,1032.122,1012.924,1032.122,1072399100,11569772000.0
2023-03-24,1029.516,1036.343,1012.602,1035.489,1156699180,12047006500.0
2023-03-27,1039.544,1046.906,1021.234,1046.587,1249378430,13028971500.0
2023-03-28,1042.48,1042.535,1021.668,1022.699,962612120,10365163200.0
2023-03-29,1018.502,1021.042,999.689,1009.555,854351050,9053303800.0
2023-03-30,1007.315,1009.587,982.595,987.025,802363240,8102786900.0
2023-03-31,987.964,1006.068,978.696,1004.563,723098020,7137542900.0
2023-04-03,1003.298,1034.793,1003.298,1034.793,1075932850,11770109500.0
2023-04-04,1035.453,1038.282,1020.11,1031.227,1095658560,13057741000.0
2023-04-06,1020.263,1028.606,1016.011,1021.53,902337370,10498607400.0
2023-04-07,1024.149,1044.942,1008.587,1044.942,880486550,9556274300.0
2023-04-10,1049.027,1052.626,999.188,1003.551,951658390,10045889600.0
2023-04-11,1000.823,1016.446,991.692,1010.636,719134280,7504600600.0
2023-04-12,1013.38,1038.824,1010.884,1038.685,923774310,9361236600.0
2023-04-13,1035.267,1035.267,1018.975,1021.996,1061841380,10940777000.0
2023-04-14,1025.086,1032.311,1001.669,1019.832,950040030,9888568000.0
2023-04-17,1019.75,1019.756,995.378,997.896,908160910,9174298800.0
2023-04-18,996.384,996.454,974.976,986.826,729220020,7922352300.0
2023-04-19,982.826,999.435,979.861,981.82,800109920,9428714300.0
2023-04-20,977.405,985.494,972.526,983.706,770384040,9146400600.0
2023-04-21,979.677,979.757,929.448,929.448,1048564980,10972700800.0
2023-04-24,926.64,937.105,918.769,924.093,623604260,6442485600.0
2023-04-25,921.639,922.356,888.634,899.623,714705040,7732997500.0
2023-04-26,896.696,911.958,884.364,886.833,643193090,6739628400.0
2023-04-27,884.599,901.166,878.638,883.745,623722170,6354225600.0
2023-04-28,884.025,921.829,884.025,921.716,670623230,6535754000.0
2023-05-04,915.075,920.908,903.356,917.127,632621780,6305808700.0
2023-05-05,913.888,924.447,907.334,921.89,620703040,6608568300.0
2023-05-08,921.488,941.742,919.815,941.394,676004710,7477357300.0
2023-05-09,934.853,935.603,916.682,917.385,609727400,6756581100.0
2023-05-10,913.049,925.738,912.303,918.974,492342300,5389362300.0
2023-05-11,918.734,924.29,912.306,920.806,488274290,5292693300.0
2023-05-12,917.266,924.06,910.068,910.068,528933090,5478629000.0
2023-05-15,911.182,913.509,896.724,913.423,498328810,5265700600.0
