日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-09-12,992.205,1003.7,987.558,992.088,699691300,8115716100.0
2023-09-13,973.718,981.79,952.956,959.975,824342580,8017778400.0
2023-09-14,955.897,960.599,938.001,945.949,705992850,6759442500.0
2023-09-15,942.439,944.263,921.998,924.785,710637460,8589831500.0
2023-09-18,920.02,934.945,915.127,921.357,552642740,7232021500.0
2023-09-19,917.309,954.534,902.806,945.301,847115320,10120916300.0
2023-09-20,934.768,948.121,923.637,923.637,694332830,8146520200.0
2023-09-21,918.611,950.999,918.611,946.633,809567200,10166935100.0
2023-09-22,942.13,964.645,935.218,964.344,910515880,12022708400.0
2023-09-25,965.606,973.898,958.703,968.221,1030517810,13939589000.0
2023-09-26,954.874,955.572,941.305,941.309,821011720,11271075300.0
2023-09-27,937.841,946.755,933.34,933.34,756158550,9700849300.0
2023-09-28,936.182,969.775,936.182,965.917,1020133730,12595550500.0
2023-10-09,972.129,985.117,972.129,979.991,1602566000,19117177000.0
2023-10-10,981.979,1003.361,980.428,999.673,2130099700,26216845000.0
2023-10-11,1002.953,1020.375,996.587,1012.022,1957044400,28411892000.0
2023-10-12,1015.296,1017.347,1008.521,1014.501,2967700200,33730905000.0
2023-10-13,1010.968,1027.705,1008.669,1020.676,2567071600,30791101000.0
2023-10-16,1021.869,1021.89,998.847,1005.33,2512325900,31022939000.0
2023-10-17,1007.753,1011.978,995.664,1003.413,2986736200,30187585000.0
2023-10-18,998.829,998.829,985.554,989.095,3080995100,32280217000.0
2023-10-19,982.889,1003.229,979.895,980.26,3257177900,33652266000.0
2023-10-20,972.627,983.465,949.268,950.328,2575391200,25927178000.0
2023-10-23,945.584,948.086,924.871,930.077,2879631800,30174869000.0
2023-10-24,930.474,941.342,913.924,934.07,2720553400,26993616000.0
2023-10-25,936.102,959.824,932.324,956.014,2529171200,26931268000.0
2023-10-26,949.87,965.481,947.716,965.074,2576328000,27648242000.0
2023-10-27,960.617,970.512,949.371,964.646,2328508600,25407747000.0
