日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2875.196,2928.405,2867.092,2925.535,2994496800,42158846000.0
2020-01-03,2930.598,2959.166,2921.0,2958.638,2894913600,41019974000.0
2020-01-06,2942.747,3002.385,2932.271,2978.326,3376269000,48452604000.0
2020-01-07,2985.669,3039.099,2985.039,3039.099,3403083400,46604582000.0
2020-01-08,3019.359,3038.875,2976.176,2985.016,3703433600,50259640000.0
2020-01-09,3015.147,3062.728,3015.147,3062.029,3708068300,52112312000.0
2020-01-10,3070.094,3074.913,3022.333,3040.819,2949116000,41143776000.0
2020-01-13,3035.321,3083.258,3022.808,3083.258,3065547300,45273468000.0
2020-01-14,3093.371,3094.185,3064.48,3066.173,2900923700,43788665000.0
2020-01-15,3066.744,3094.014,3052.924,3085.751,3169861000,44109444000.0
2020-01-16,3083.692,3098.537,3067.434,3074.718,3167417200,48951645000.0
2020-01-17,3082.909,3106.299,3068.916,3079.168,3097340000,48682495000.0
2020-01-20,3074.815,3111.924,3052.789,3111.924,3311837000,49924443000.0
2020-01-21,3099.339,3099.339,3049.457,3049.457,2817304200,41492715000.0
2020-01-22,3024.122,3084.449,2992.017,3071.032,3120662300,46466387000.0
2020-01-23,3020.056,3041.728,2905.836,2936.847,3550826500,52188029000.0
2020-02-03,2648.866,2664.539,2648.866,2654.817,1354376600,26334745000.0
2020-02-04,2474.501,2647.4,2474.501,2634.548,4319238800,56271634000.0
2020-02-05,2649.944,2761.114,2649.944,2720.005,3872445200,55340404000.0
2020-02-06,2735.803,2838.711,2725.148,2829.702,4273421200,59711067000.0
2020-02-07,2846.85,2916.468,2828.627,2915.506,4702512200,65595182000.0
2020-02-10,2926.681,2945.257,2893.294,2934.164,4214192400,58601826000.0
2020-02-11,2943.653,2946.723,2896.05,2911.509,3525906500,49909834000.0
2020-02-12,2902.985,3000.038,2899.698,3000.038,4060168300,59534208000.0
2020-02-13,3002.023,3020.802,2957.743,2972.961,4344263700,64676398000.0
2020-02-14,2961.356,3023.324,2949.412,2977.715,3856602200,58002563000.0
2020-02-17,3004.807,3107.615,3004.807,3107.615,4679818400,70640373000.0
2020-02-18,3116.642,3197.326,3111.107,3197.326,5049609500,75421641000.0
2020-02-19,3183.243,3212.451,3159.094,3160.636,4967732900,75199498000.0
2020-02-20,3161.626,3219.253,3126.698,3216.168,4854324700,71469104000.0
2020-02-21,3211.817,3329.671,3211.817,3289.44,5856106100,92651849000.0
2020-02-24,3295.599,3405.047,3289.994,3394.542,6299154500,101728898000.0
2020-02-25,3306.622,3406.852,3204.418,3402.348,7412725200,120228365000.0
2020-02-26,3349.838,3406.426,3290.355,3304.251,6936455900,108947562000.0
2020-02-27,3319.537,3375.155,3240.638,3319.235,5548044700,89850557000.0
2020-02-28,3178.846,3241.053,3091.913,3094.123,5666373500,87663885000.0
2020-03-02,3132.685,3258.791,3119.901,3240.377,4887164800,82317698000.0
2020-03-03,3309.588,3396.67,3259.36,3295.052,6081797700,103565804000.0
2020-03-04,3272.918,3327.58,3228.572,3299.635,4823608600,79119253000.0
2020-03-05,3379.792,3391.522,3309.438,3349.282,4924387500,79071053000.0
2020-03-06,3304.999,3351.35,3296.469,3322.297,4246920500,60217535000.0
2020-03-09,3255.175,3271.872,3155.482,3155.482,4760179800,70629485000.0
2020-03-10,3111.211,3286.776,3098.921,3286.776,4901255000,75305128000.0
2020-03-11,3307.025,3354.886,3230.59,3231.02,4806424500,71779637000.0
2020-03-12,3173.884,3216.213,3140.831,3185.342,3784398400,55711398000.0
