日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-01-20,999.506,999.506,964.824,975.112,678228130,7979552800.0
2022-01-21,969.327,999.326,969.327,978.651,811578050,8141964800.0
2022-01-24,974.866,1013.42,974.464,999.885,745231960,8102502900.0
2022-01-25,1001.915,1003.699,951.676,952.533,965585490,10360018600.0
2022-01-26,947.056,964.555,929.901,949.901,725602080,7976143400.0
2022-01-27,945.795,945.795,859.532,859.895,898248580,9398878100.0
2022-01-28,859.903,890.53,859.903,871.645,765288720,8068841000.0
2022-02-07,890.525,892.963,867.317,870.908,607804050,6509651000.0
2022-02-08,863.874,900.089,851.377,900.089,704563410,8205401000.0
2022-02-09,905.278,957.482,903.558,953.109,982224930,11707814300.0
2022-02-10,945.92,949.648,933.798,942.017,809023240,10474568700.0
2022-02-11,937.627,951.813,926.108,936.824,888105850,11267552000.0
2022-02-14,924.251,942.355,913.289,937.941,733261680,9332738600.0
2022-02-15,935.978,945.14,918.425,933.838,674295610,7999509300.0
2022-02-16,950.633,963.315,938.632,945.455,705052290,9369480200.0
2022-02-17,936.012,958.839,925.822,930.894,780146840,9720313300.0
2022-02-18,934.534,969.486,934.177,967.774,960659770,12002883700.0
2022-02-21,985.977,1027.005,985.977,1019.705,1394313600,17006433000.0
2022-02-22,1009.788,1025.947,1002.073,1010.435,1406854400,17558654000.0
2022-02-23,1017.13,1036.634,1002.866,1026.723,1397472200,16619888000.0
2022-02-24,1012.981,1018.164,941.64,960.59,1610122600,18955318000.0
2022-02-25,969.088,975.485,956.021,959.205,934442220,10450193900.0
2022-02-28,962.942,974.519,945.652,960.465,805241050,9794128700.0
2022-03-01,958.224,980.594,953.911,980.254,842946840,10269755300.0
2022-03-02,970.369,990.83,965.294,984.852,769033610,10008887400.0
2022-03-03,985.696,988.47,966.042,973.871,818543750,10804115500.0
2022-03-04,968.556,971.566,954.711,958.93,815237870,10698828200.0
2022-03-07,954.885,954.885,939.954,946.391,717860200,9665585300.0
2022-03-08,943.402,969.449,932.913,935.588,953277230,12505276800.0
2022-03-09,927.9,936.423,878.305,936.352,1079231400,13327018500.0
2022-03-10,954.301,958.181,932.822,932.845,956237480,12831115000.0
2022-03-11,908.652,953.039,906.373,949.306,926208340,11925505700.0
2022-03-14,941.816,955.722,919.464,919.464,855243200,11147646500.0
2022-03-15,915.897,945.631,898.797,898.797,1022036130,12534128900.0
2022-03-16,920.676,955.561,908.704,955.428,1188827170,14619188000.0
2022-03-17,967.689,983.327,955.234,966.41,1509911700,18481510000.0
2022-03-18,953.617,966.931,950.69,963.046,1342736400,15826047000.0
2022-03-21,959.566,973.948,955.128,972.344,1333799330,15953919000.0
2022-03-22,964.537,973.58,956.377,963.345,1238072040,16057272000.0
2022-03-23,956.654,957.648,939.565,942.225,1011742740,12460523300.0
2022-03-24,935.046,935.046,914.668,920.067,916168810,10711211000.0
2022-03-25,926.875,936.821,909.716,910.236,862336920,10070067500.0
2022-03-28,902.404,925.555,896.328,915.039,765834610,8935529400.0
2022-03-29,913.727,915.371,887.287,889.348,815410860,9026651600.0
2022-03-30,892.041,902.483,886.898,902.483,707428380,8392078000.0
2022-03-31,899.165,920.989,895.288,916.299,938821580,12611117000.0
2022-04-01,910.899,911.748,898.084,898.215,833846960,10773136100.0
2022-04-06,900.215,917.705,900.022,913.43,812555160,9868127000.0
2022-04-07,910.28,910.294,877.343,877.343,807823590,9841005300.0
2022-04-08,877.491,878.692,851.481,862.713,723843360,8999109900.0
2022-04-11,858.691,858.691,823.4,829.748,688531220,7880617700.0
2022-04-12,827.782,844.798,822.443,844.798,628841900,7185307200.0
2022-04-13,839.72,839.72,813.586,813.758,569576770,6606436800.0
2022-04-14,820.63,828.378,818.024,821.611,486547790,5752168800.0
2022-04-15,814.665,815.19,796.57,803.119,640977060,7421401000.0
2022-04-18,795.918,815.481,783.42,813.617,542322150,6632528100.0
2022-04-19,811.067,825.627,810.87,825.627,534123710,6829850600.0
2022-04-20,859.269,866.659,830.454,830.747,872230090,10999210800.0
2022-04-21,811.753,817.651,783.335,787.431,912648120,10102691700.0
2022-04-22,776.66,782.373,764.629,764.629,717520110,7970116300.0
2022-04-25,749.863,749.863,694.994,694.994,855893740,7965922800.0
2022-04-26,696.009,701.09,662.227,663.175,776339910,7045353700.0
2022-04-27,653.373,690.87,647.596,690.705,779356450,7007227200.0
2022-04-28,684.468,685.824,656.597,662.553,658887730,6003327500.0
2022-04-29,669.686,699.89,669.686,696.803,754792320,6572099800.0
2022-05-05,696.785,712.272,688.28,703.684,625277960,5809671500.0
2022-05-06,686.963,724.176,682.065,709.197,804911740,7759849300.0
2022-05-09,708.634,726.043,708.633,716.389,637302430,6266108100.0
2022-05-10,708.522,735.34,705.479,734.041,713637760,7126910900.0
2022-05-11,735.89,749.965,728.786,728.792,828255390,8323557900.0
2022-05-12,724.608,741.405,724.593,736.51,645922670,7774924400.0
2022-05-13,739.002,740.117,728.654,735.39,496509970,5512303100.0
2022-05-16,737.937,742.163,728.893,738.25,580497880,5977193600.0
2022-05-17,738.12,738.804,720.275,733.049,600314170,6812787300.0
2022-05-18,749.392,762.666,748.757,749.761,873336170,9960056500.0
2022-05-19,737.877,749.018,736.508,748.798,776420590,7906868900.0
2022-05-20,750.838,755.906,745.536,752.908,699372590,7270072000.0
2022-05-23,755.708,765.747,754.793,765.627,722349320,7369759200.0
2022-05-24,765.949,765.949,720.098,720.098,864606970,8811739900.0
2022-05-25,724.43,739.228,724.43,739.228,614129220,6059592800.0
2022-05-26,739.911,743.446,721.782,739.141,663631210,6501052300.0
2022-05-27,742.41,754.694,738.575,746.292,863370840,8068798000.0
2022-05-30,747.247,752.869,742.109,752.782,765766030,7676732300.0
2022-05-31,753.152,760.236,740.875,759.449,659088990,6664321600.0
2022-06-01,759.072,772.055,757.472,768.39,696104360,7098826300.0
2022-06-02,768.072,781.296,759.492,780.28,674167700,6954849700.0
2022-06-06,782.437,799.017,780.811,798.766,895112040,9611201200.0
2022-06-07,800.708,800.708,782.355,790.07,805015230,8803173200.0
2022-06-08,789.654,802.562,776.401,791.288,870817330,8937804100.0
2022-06-09,790.505,790.505,766.953,768.878,787712550,8357010200.0
2022-06-10,765.342,779.032,764.138,777.851,745390020,8032199200.0
2022-06-13,773.483,787.229,772.33,787.091,799698710,9037584600.0
2022-06-14,778.718,781.489,753.926,780.976,853121120,8963378300.0
2022-06-15,782.794,800.243,782.142,788.366,1032602880,11387771300.0
2022-06-16,788.044,802.598,787.923,795.799,931534750,9649886700.0
2022-06-17,790.654,794.564,776.947,789.965,818280950,8445738500.0
2022-06-20,792.8,799.031,787.782,797.747,747095410,7466974900.0
2022-06-21,798.588,809.573,791.908,803.669,913352990,9660513800.0
2022-06-22,802.621,803.105,782.731,782.731,767055730,8295564000.0
2022-06-23,786.34,798.166,781.866,798.103,728073090,7952316100.0
2022-06-24,809.701,818.131,804.977,806.109,1077139370,12072468900.0
2022-06-27,805.19,806.974,798.826,803.678,956545260,9381973600.0
2022-06-28,804.179,815.606,794.266,815.606,1174803330,11074491700.0
2022-06-29,813.63,821.644,803.195,803.202,1151856870,11377519700.0
2022-06-30,804.681,809.703,800.98,803.101,928463610,9038757800.0
2022-07-01,804.894,808.582,795.578,799.517,870245240,8230538700.0
2022-07-04,804.43,806.423,797.721,804.623,772920450,7785509300.0
2022-07-05,803.669,805.058,779.949,788.007,1088426370,9817681000.0
2022-07-06,785.462,788.873,777.06,781.804,660559750,6536605300.0
2022-07-07,786.901,790.766,781.952,782.912,821400370,7810011200.0
2022-07-08,780.646,794.964,779.866,786.37,813182460,7293497200.0
2022-07-11,784.539,784.582,766.664,772.736,702101890,6440708000.0
2022-07-12,771.913,771.913,757.874,757.99,613773550,5603917300.0
2022-07-13,759.424,767.953,759.308,765.724,567886450,5153537800.0
2022-07-14,764.125,769.572,759.967,764.064,550323650,5088193300.0
2022-07-15,762.679,762.838,748.826,749.173,738502680,6405281400.0
2022-07-18,749.46,772.524,749.46,772.524,808848300,6819484600.0
2022-07-19,774.171,800.924,772.068,800.883,1223385080,12731103400.0
2022-07-20,804.893,809.037,798.988,808.982,1345010900,15019108000.0
2022-07-21,806.394,816.931,805.361,809.319,1298088080,13861500000.0
2022-07-22,809.649,816.605,792.451,798.911,1011695030,10583887400.0
2022-07-25,804.013,810.007,790.848,794.485,813323410,8640686400.0
2022-07-26,795.843,813.89,793.866,813.89,998214840,11238032700.0
2022-07-27,813.14,820.786,810.96,818.45,824000370,9573166600.0
2022-07-28,823.717,828.942,823.046,824.202,891502380,10259325500.0
2022-07-29,825.02,829.046,821.476,823.472,942237060,10099813100.0
