日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-02-21,1015.354,1033.026,1006.667,1023.033,250866800,2935052100.0
2022-02-22,1006.852,1016.636,997.962,1001.955,267794260,2615703500.0
2022-02-23,999.145,1013.199,998.509,1010.194,303101170,2382853300.0
2022-02-24,1005.454,1015.894,968.222,984.36,396128530,3058509700.0
2022-02-25,989.632,1003.664,982.156,986.683,255568670,1908906100.0
2022-02-28,982.014,982.014,957.174,975.345,198424900,1633866900.0
2022-03-01,977.47,980.478,969.447,977.542,168480350,1313730610.0
2022-03-02,969.93,980.366,967.827,978.321,198220880,1513949500.0
2022-03-03,981.809,981.86,966.364,970.113,272938520,1955189100.0
2022-03-04,966.986,968.303,949.874,951.253,248139810,1753255400.0
2022-03-07,947.496,950.591,932.775,937.496,272749940,1642203900.0
2022-03-08,935.523,939.393,906.134,912.503,309411420,1908008800.0
2022-03-09,915.149,923.197,865.02,901.404,339795850,2145727600.0
2022-03-10,919.451,928.565,911.794,911.794,302137960,2468724500.0
2022-03-11,900.888,923.907,890.632,922.466,278689920,2104718400.0
2022-03-14,918.006,918.006,892.653,892.653,258249290,1841081700.0
2022-03-15,892.918,899.404,857.857,858.21,309210910,1934676700.0
2022-03-16,871.765,889.549,847.929,888.227,371012810,2285610100.0
2022-03-17,897.056,912.304,895.829,898.545,422996080,2592138000.0
2022-03-18,893.42,913.019,892.063,910.786,331205190,1985486900.0
2022-03-21,909.595,923.559,908.786,923.559,310383610,2078027800.0
2022-03-22,921.243,929.828,914.4,921.233,267126390,1752274500.0
2022-03-23,923.423,935.544,923.423,931.259,272777350,2169606600.0
2022-03-24,928.117,930.576,909.823,910.05,278375440,2210235400.0
2022-03-25,908.547,921.63,908.516,911.813,242495650,2023708600.0
2022-03-28,907.541,911.894,892.573,904.461,202523910,1512393000.0
2022-03-29,905.55,907.229,879.23,882.857,255655660,1784171000.0
2022-03-30,885.957,892.891,879.261,891.436,225865420,1433087200.0
2022-03-31,888.67,896.342,886.429,887.307,256223800,1660096700.0
2022-04-01,882.959,889.487,877.212,886.511,240787440,1519728500.0
2022-04-06,883.425,903.59,883.159,902.742,313656360,1751652800.0
2022-04-07,901.552,901.552,877.265,877.368,265266350,1642570500.0
2022-04-08,877.646,879.501,858.605,869.754,228417350,1413366600.0
2022-04-11,865.578,865.995,834.657,839.232,231228750,1367287800.0
2022-04-12,838.04,856.453,830.982,856.3,226853500,1246402950.0
2022-04-13,850.561,851.242,828.021,828.162,209815170,1145233420.0
2022-04-14,831.963,837.6,828.274,830.632,174703390,910640530.0
2022-04-15,825.637,825.658,803.517,808.495,241708430,1254469380.0
2022-04-18,804.152,816.948,789.793,816.246,182566080,959952400.0
2022-04-19,808.922,817.897,804.067,811.223,244252280,914643960.0
2022-04-20,814.072,824.468,803.396,807.215,242202150,1094249840.0
2022-04-21,804.321,808.394,777.237,779.374,307463100,1303127040.0
2022-04-22,773.266,773.846,758.778,761.67,279731890,1066224310.0
2022-04-25,752.58,752.601,693.155,697.319,345915220,1608380300.0
2022-04-26,696.609,699.932,663.827,668.544,307146030,1479162000.0
2022-04-27,654.557,686.41,640.614,685.687,334277800,1527686600.0
2022-04-28,679.728,687.922,665.529,674.493,293685150,1173750220.0
2022-04-29,679.719,709.735,679.719,706.787,237500090,1398867100.0
2022-05-05,706.13,715.567,697.288,709.456,171643880,1038527350.0
2022-05-06,696.322,711.799,689.522,702.352,152374340,892686170.0
2022-05-09,703.947,718.229,703.805,714.584,120825557,713410050.0
2022-05-10,706.729,729.712,705.215,729.712,181735670,1135761500.0
2022-05-11,729.942,748.173,726.717,726.726,213095210,1345345300.0
2022-05-12,723.528,737.509,723.498,733.58,149664230,932773780.0
2022-05-13,736.891,736.98,724.51,733.129,123981575,747395000.0
2022-05-16,738.577,740.311,729.175,734.548,159814970,904192000.0
2022-05-17,734.35,734.35,721.583,730.999,147289180,852982550.0
2022-05-18,735.263,747.461,734.321,742.649,181702880,977478280.0
2022-05-19,732.602,750.593,730.653,750.532,244242430,1302824030.0
2022-05-20,751.612,760.694,751.612,758.077,239398950,1360187300.0
2022-05-23,761.299,766.694,756.102,766.468,192716220,1067784510.0
2022-05-24,769.763,771.673,733.889,733.889,248066530,1451460400.0
2022-05-25,732.567,758.964,732.567,758.066,210501910,1219050180.0
2022-05-26,759.483,767.261,747.701,765.353,260308590,1565756600.0
2022-05-27,765.122,773.169,759.953,765.155,242516650,1723579600.0
2022-05-30,770.978,775.765,764.832,775.687,213383350,1474613800.0
2022-05-31,777.126,782.228,763.885,780.105,322968310,2515573200.0
2022-06-01,778.218,793.154,777.435,788.334,239509220,1598923500.0
2022-06-02,786.038,801.6,780.119,801.592,343372840,2377023800.0
2022-06-06,802.818,817.924,802.522,817.504,314203400,2543338700.0
2022-06-07,818.326,818.408,804.409,809.904,265028120,2088180800.0
2022-06-08,809.669,813.788,791.478,805.224,245722730,1887054500.0
2022-06-09,804.917,805.217,780.62,784.863,242451120,1759693400.0
2022-06-10,783.173,796.596,781.303,795.937,204466720,1462721900.0
2022-06-13,793.269,805.729,791.722,804.956,255008980,1527029900.0
2022-06-14,802.216,802.216,775.55,799.828,258444570,2255188500.0
2022-06-15,801.407,813.526,800.759,803.501,336894220,2440408900.0
2022-06-16,805.208,814.072,805.208,811.546,288380070,2141354800.0
2022-06-17,807.159,813.938,796.866,806.398,245418620,1808708800.0
2022-06-20,809.031,824.459,809.031,823.713,262993280,2194917900.0
2022-06-21,829.294,837.468,823.626,834.504,414373490,2485398800.0
2022-06-22,838.563,842.076,827.731,828.849,312203660,2050109900.0
2022-06-23,829.363,849.737,829.064,848.724,445172210,2826614700.0
2022-06-24,856.206,857.203,847.994,853.469,773805020,3533461600.0
2022-06-27,855.929,864.265,851.605,863.189,892712710,3598496700.0
2022-06-28,860.813,882.552,860.72,882.451,788342620,3931978600.0
2022-06-29,877.747,889.854,868.696,868.696,707659240,4046472900.0
2022-06-30,868.592,891.272,868.41,886.929,568893080,3956192000.0
2022-07-01,889.759,897.528,883.45,887.478,610953100,3932056900.0
2022-07-04,889.293,891.049,881.471,890.413,441641220,3365768900.0
2022-07-05,891.93,894.922,870.634,880.411,534258570,3764721900.0
2022-07-06,875.735,884.104,870.539,882.568,330499790,2752925000.0
2022-07-07,878.32,889.961,876.894,886.814,408231710,3197487600.0
2022-07-08,887.479,908.003,887.479,904.697,421440860,3683244200.0
2022-07-11,906.114,906.114,890.186,897.965,350773760,3368928100.0
2022-07-12,896.944,898.146,881.445,881.445,292361820,2878088900.0
2022-07-13,880.196,900.401,880.196,898.273,274577510,2719133100.0
2022-07-14,897.738,910.292,895.361,905.902,370056410,3658917400.0
2022-07-15,903.106,903.8,885.575,885.873,352146200,3377111100.0
2022-07-18,884.072,907.065,884.072,904.221,393744010,3518254400.0
2022-07-19,906.082,917.176,902.469,917.176,354688070,3251836600.0
2022-07-20,920.272,923.269,916.776,921.473,323524180,3327518400.0
2022-07-21,924.626,933.456,922.857,926.024,419658500,3436806000.0
2022-07-22,927.576,938.507,923.985,930.12,369203930,3293177200.0
2022-07-25,927.903,934.59,905.622,908.479,361568840,3471413800.0
2022-07-26,908.834,914.752,895.403,914.752,314166600,3082714800.0
2022-07-27,914.399,925.931,912.41,924.94,268087470,2582637300.0
2022-07-28,928.055,939.877,928.055,933.392,355669800,3175704900.0
2022-07-29,935.048,939.431,929.734,930.73,304717430,2779143900.0
2022-08-01,929.011,936.904,921.309,936.862,308752350,2774287800.0
2022-08-02,926.754,926.754,883.269,894.134,431836140,3860444800.0
2022-08-03,896.357,925.429,896.357,902.311,401285340,3690118700.0
2022-08-04,910.5,928.116,908.213,928.082,440842800,3716026900.0
2022-08-05,931.084,947.836,930.466,947.835,519778780,4342790100.0
2022-08-08,948.682,965.698,945.497,965.428,406878770,4169934600.0
2022-08-09,963.735,977.617,959.345,977.024,464316900,4142705900.0
2022-08-10,972.603,979.727,967.98,977.247,456496960,3871761100.0
2022-08-11,980.387,993.529,980.156,988.405,582341140,4386243400.0
2022-08-12,990.665,998.335,985.402,986.114,501328140,4045645000.0
2022-08-15,989.432,1005.97,986.016,1005.238,532507640,4913016700.0
2022-08-16,1009.921,1012.541,1004.586,1010.106,611109760,5017488500.0
2022-08-17,1009.064,1016.394,1005.15,1014.928,614030640,4832071700.0
2022-08-18,1012.389,1024.202,1005.856,1022.696,741662250,5156025700.0
2022-08-19,1023.776,1023.953,999.736,1000.835,886450860,6160689200.0
2022-08-22,996.364,1014.602,992.146,1013.424,662710040,5008434300.0
2022-08-23,1019.048,1030.165,1010.782,1026.147,992273950,7463197700.0
2022-08-24,1025.079,1025.207,982.15,984.083,789365520,5982641500.0
2022-08-25,984.443,990.438,956.765,969.012,518000440,4338467200.0
2022-08-26,972.278,980.847,966.096,967.784,416710200,4149171900.0
2022-08-29,957.757,979.774,946.374,979.676,384461650,3687844800.0
2022-08-30,979.33,988.956,971.604,977.944,347296890,3370641800.0
2022-08-31,977.46,977.46,934.632,937.825,432892020,4523429100.0
2022-09-01,937.499,945.208,926.273,929.089,300993470,2951911900.0
2022-09-02,928.137,948.1,921.306,947.498,356752880,3663431100.0
2022-09-05,948.163,952.203,938.182,944.63,275271450,3029324200.0
2022-09-06,946.677,958.863,941.539,958.863,281657190,3311284600.0
2022-09-07,956.072,967.55,952.978,966.072,313648920,3835583100.0
2022-09-08,965.676,967.46,947.305,948.656,272036780,3021358200.0
2022-09-09,950.198,950.847,933.242,944.973,243125060,2854067000.0
2022-09-13,947.129,953.024,936.458,939.343,250537260,3337684200.0
2022-09-14,924.288,931.036,918.904,927.268,226583940,2536211700.0
2022-09-15,930.278,931.441,892.869,903.596,311235560,3138207000.0
2022-09-16,901.526,902.018,876.927,876.927,250977680,2707483900.0
2022-09-19,877.476,877.476,855.51,860.249,211393530,2047013900.0
2022-09-20,867.473,880.454,867.334,877.636,198345880,2409903000.0
2022-09-21,875.776,886.22,860.909,882.897,201794310,2284198800.0
2022-09-22,876.041,888.161,873.374,873.547,187349850,2235985900.0
2022-09-23,876.479,876.479,844.479,849.893,210115230,2298817800.0
2022-09-26,845.716,848.57,830.875,831.89,214036810,2295986800.0
2022-09-27,833.157,850.793,832.181,850.793,210225720,2061311300.0
2022-09-28,848.69,849.894,824.905,824.905,185204580,1961150400.0
2022-09-29,832.722,835.602,811.365,814.667,185094280,2025587600.0
2022-09-30,815.977,821.231,805.832,805.832,215810560,1843172900.0
2022-10-10,807.999,811.991,789.553,793.093,199137150,1543532100.0
2022-10-11,794.872,801.793,782.893,798.54,176187860,1681045700.0
2022-10-12,799.402,827.051,793.247,827.051,261935100,2243303600.0
2022-10-13,826.816,846.707,823.966,838.914,263668870,2457586300.0
2022-10-14,847.477,858.784,846.017,858.784,386988380,3342941100.0
2022-10-17,856.379,879.913,854.847,879.792,348453150,2786125100.0
2022-10-18,884.157,887.868,872.702,883.509,457073810,3637021200.0
2022-10-19,881.342,891.697,881.255,884.332,320148450,3264705900.0
2022-10-20,885.871,894.554,875.163,883.586,390016640,3283517400.0
2022-10-21,889.142,892.181,874.206,883.163,544359760,4014457100.0
2022-10-24,887.429,897.921,863.507,867.922,610256650,3858369000.0
2022-10-25,861.705,870.357,849.121,861.461,493776440,3149364400.0
2022-10-26,861.52,888.226,861.209,881.69,498877050,3416432400.0
2022-10-27,882.317,894.297,882.317,886.342,590991890,4451484400.0
2022-10-28,883.878,887.21,852.354,854.956,512454340,3626476600.0
2022-10-31,851.795,885.305,851.795,881.011,549750880,3897945900.0
2022-11-01,883.998,901.148,883.768,901.148,508193530,3787135600.0
2022-11-02,904.823,915.844,903.629,911.895,634488290,4505520800.0
2022-11-03,904.411,908.96,899.336,906.67,447029730,3586139200.0
