日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-11-03,1023.802,1040.316,1022.974,1024.615,406027390,9652892200.0
2023-11-06,1031.849,1046.593,1030.388,1046.593,872322900,20381266000.0
2023-11-07,1044.171,1057.286,1041.768,1053.862,977636310,19173098000.0
2023-11-08,1058.181,1058.181,1044.082,1056.618,1048286340,21234604000.0
2023-11-09,1050.432,1050.568,1031.437,1034.123,867830770,17051132000.0
2023-11-10,1027.894,1038.843,1023.424,1028.463,818674970,16891482000.0
2023-11-13,1029.908,1049.002,1029.845,1048.439,804143240,18482987000.0
2023-11-14,1047.125,1063.933,1042.813,1063.933,878078630,23017419000.0
2023-11-15,1073.066,1077.822,1064.604,1077.822,945216390,24198564000.0
2023-11-16,1075.289,1083.579,1071.499,1072.789,1212755690,25698107000.0
2023-11-17,1066.72,1085.713,1065.439,1083.902,1151119960,22974969000.0
2023-11-20,1086.673,1092.232,1078.621,1089.651,1130423460,23967621000.0
2023-11-21,1087.305,1087.305,1065.322,1068.276,1325581400,24204707000.0
2023-11-22,1061.8,1067.674,1043.276,1043.276,1127127830,19772960000.0
2023-11-23,1040.278,1072.216,1038.317,1071.652,1126950160,21658899000.0
2023-11-24,1071.87,1072.204,1042.902,1047.08,923554440,17400418000.0
2023-11-27,1054.695,1077.066,1053.269,1073.411,982332400,20148001000.0
2023-11-28,1074.576,1087.17,1070.322,1086.868,1073300110,21331235000.0
2023-11-29,1090.941,1097.46,1080.28,1081.495,1281739660,22684619000.0
2023-11-30,1074.371,1080.297,1053.629,1063.925,1164401440,20830264000.0
2023-12-01,1061.77,1069.697,1049.537,1066.932,1046133420,18244559000.0
2023-12-04,1067.178,1077.256,1060.721,1069.183,1028318280,19579770000.0
2023-12-05,1062.968,1062.968,1033.418,1033.418,1106683290,18824684000.0
2023-12-06,1027.308,1041.544,1024.67,1026.189,973013260,15543212000.0
2023-12-07,1021.835,1033.023,1017.357,1026.596,867441540,14516751000.0
2023-12-08,1028.931,1039.347,1023.489,1028.548,1048470760,19270115000.0
2023-12-11,1022.589,1043.314,1013.595,1043.301,972517920,18596428000.0
2023-12-12,1041.241,1049.448,1039.988,1048.024,880984470,17055213000.0
2023-12-13,1047.82,1053.334,1039.159,1041.699,858185660,15300431000.0
2023-12-14,1043.217,1049.417,1025.5,1026.229,995097930,15292445000.0
2023-12-15,1027.198,1030.622,1014.797,1016.276,760733470,13448687000.0
2023-12-18,1011.84,1013.212,997.713,1000.072,693553010,12298177300.0
2023-12-19,999.031,1010.288,994.62,1006.373,666774980,12728566900.0
2023-12-20,1009.201,1015.073,998.576,998.576,760925160,14027750000.0
2023-12-21,992.011,1005.468,978.585,1001.107,796642330,14710803000.0
2023-12-22,999.645,1002.739,977.578,981.443,799920200,14659596000.0
2023-12-25,980.595,993.165,980.584,992.54,675873020,11930269000.0
2023-12-26,993.331,993.331,965.431,973.447,766047320,13735965000.0
2023-12-27,972.868,987.403,969.799,985.645,848396260,14400617000.0
2023-12-28,985.324,1009.966,981.706,1005.426,997787810,16878101000.0
2023-12-29,1005.166,1033.008,1004.452,1031.759,1331695580,22190574000.0
2024-01-02,1032.992,1034.387,1021.592,1021.592,959712280,16383955000.0
2024-01-03,1019.426,1019.426,993.263,1001.164,995269410,17953187000.0
2024-01-04,996.098,997.333,987.766,991.308,775869030,15624200000.0
2024-01-05,990.199,996.265,962.661,968.575,838888900,15327021000.0
2024-01-08,964.491,964.656,944.162,944.162,716304640,12728770500.0
2024-01-09,947.356,958.223,939.095,947.421,705612880,11606607800.0
2024-01-10,943.341,943.679,922.86,929.416,634184040,10731408300.0
2024-01-11,929.776,956.828,928.247,954.037,758023500,13938239000.0
2024-01-12,952.655,954.337,937.914,938.66,582353910,11543592200.0
2024-01-15,935.37,942.093,925.389,933.794,686305660,11460967500.0
