日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,664.38,674.133,663.668,673.707,759279810,8644454400.0
2020-01-03,672.517,677.811,671.61,676.469,635884900,6788959500.0
2020-01-06,672.411,686.675,670.567,682.411,782541540,8507428800.0
2020-01-07,684.312,687.394,681.029,687.394,667431560,7226221900.0
2020-01-08,682.841,687.654,675.093,677.68,691196490,7536291400.0
2020-01-09,682.038,690.798,681.989,690.798,785831020,8353859100.0
2020-01-10,692.57,693.352,684.347,688.26,673102600,6466358800.0
2020-01-13,685.945,690.275,679.532,690.275,652739800,7220216700.0
2020-01-14,692.521,694.4,688.198,688.989,626402490,6940043200.0
2020-01-15,687.798,689.568,683.794,687.006,591239290,6077783300.0
2020-01-16,688.472,688.549,681.555,682.592,655441320,6220993100.0
2020-01-17,684.475,686.277,678.251,679.024,608337900,6120322100.0
2020-01-20,677.831,686.429,673.416,685.64,633696500,7630467900.0
2020-01-21,683.463,684.26,677.037,677.037,629222930,7185364500.0
2020-01-22,672.758,677.913,660.79,674.596,485167540,6586942900.0
2020-01-23,668.144,673.489,647.59,652.244,648745740,8762354500.0
2020-02-03,592.721,595.823,588.741,592.145,530372810,6336372700.0
2020-02-04,563.38,593.934,563.38,593.074,1103780520,9813861400.0
2020-02-05,593.971,615.077,593.971,611.132,961276480,10187088900.0
2020-02-06,613.492,637.68,606.01,633.331,1110000430,12593899600.0
2020-02-07,639.021,645.061,631.682,644.992,1113897750,12277047200.0
2020-02-10,646.787,654.529,644.429,654.008,966330710,10950375200.0
2020-02-11,656.674,656.706,643.535,647.081,858005990,8952199300.0
2020-02-12,645.411,660.802,644.471,660.802,822937780,9108751000.0
2020-02-13,660.36,664.035,652.805,655.222,909632980,9673198800.0
2020-02-14,655.147,662.689,650.67,656.882,747361500,8768983900.0
2020-02-17,663.745,687.827,663.509,687.827,1059593830,14318402000.0
2020-02-18,690.143,696.447,683.852,696.361,1096159010,13182553600.0
2020-02-19,694.011,704.935,692.22,695.944,1114167220,13692513000.0
2020-02-20,696.843,712.937,694.284,712.937,1106622290,13307405100.0
2020-02-21,709.956,718.697,708.606,714.387,1147224730,14132462000.0
2020-02-24,714.38,722.475,709.884,719.357,1099834040,13438386000.0
2020-02-25,702.471,722.789,691.89,721.236,1223641810,16069575000.0
2020-02-26,711.316,729.446,710.227,714.756,1218577400,14511281000.0
2020-02-27,716.654,723.818,707.178,718.381,951022020,11849300500.0
2020-02-28,691.687,702.627,674.022,675.372,1114929100,13315581800.0
2020-03-02,683.08,705.65,682.926,702.69,805689240,10226456700.0
2020-03-03,716.299,725.618,703.461,710.361,981213860,12898221400.0
2020-03-04,708.876,723.801,708.876,723.796,842410710,10119858500.0
2020-03-05,734.052,735.032,725.405,731.699,957539310,10832778000.0
2020-03-06,723.99,742.991,722.164,736.528,1051606010,10501274200.0
2020-03-09,728.898,734.028,713.488,713.488,1123846330,12146798500.0
2020-03-10,702.452,729.717,693.939,729.552,998825340,11224400000.0
2020-03-11,731.579,737.22,721.325,721.325,884802510,10084912800.0
2020-03-12,710.525,714.576,702.752,709.472,728399470,7832254700.0
2020-03-13,675.049,707.692,674.737,701.28,900649690,9117666300.0
2020-03-16,708.149,709.628,670.795,672.449,919809780,9666476100.0
2020-03-17,675.313,681.675,647.742,668.816,774794300,7686079600.0
2020-03-18,672.997,680.62,652.186,652.186,739936420,7682877200.0
2020-03-19,650.449,659.928,639.04,657.353,747381900,7869843000.0
2020-03-20,662.315,663.96,650.576,662.364,593988200,6137171700.0
2020-03-23,644.307,650.26,631.159,633.073,595737580,5915025800.0
2020-03-24,645.088,648.936,629.17,646.472,657316210,6006696400.0
2020-03-25,658.656,663.214,653.885,662.666,767890030,7195258600.0
2020-03-26,657.968,662.892,654.49,655.532,634752890,5560363900.0
2020-03-27,661.402,664.049,652.794,652.835,625359680,5547843900.0
2020-03-30,643.028,643.382,631.047,636.454,568375070,5685183400.0
2020-03-31,641.13,642.101,633.143,634.893,582576200,6094406100.0
2020-04-01,632.495,639.01,624.714,625.013,535968300,5846083000.0
2020-04-02,621.764,637.188,620.673,637.188,490427230,4912268400.0
2020-04-03,635.594,639.339,631.244,633.868,470044300,4590008100.0
2020-04-07,643.507,651.902,642.774,651.19,636000620,6550211400.0
2020-04-08,649.928,654.182,648.01,651.831,497514320,5097070600.0
2020-04-09,654.649,659.153,653.333,656.552,506511680,4927708400.0
2020-04-10,655.048,655.133,636.83,641.069,482981830,4883451200.0
2020-04-13,637.31,637.657,630.587,632.91,359895400,4085368000.0
2020-04-14,633.562,643.532,633.184,643.532,456778560,4777699600.0
2020-04-15,642.163,643.077,636.007,636.315,460473110,4611865700.0
2020-04-16,632.8,638.206,630.623,637.195,490321590,4410658500.0
2020-04-17,639.532,641.666,634.196,634.388,492555860,5572638600.0
2020-04-20,635.724,639.182,633.883,639.182,436574460,5092802000.0
2020-04-21,636.937,636.937,628.867,636.109,507926360,5379277100.0
2020-04-22,633.438,643.17,631.733,642.506,481445620,4814082400.0
2020-04-23,642.454,643.994,637.445,637.679,596568630,5758022200.0
2020-04-24,635.477,635.977,620.918,623.11,568322160,5636826800.0
2020-04-27,622.544,626.037,618.748,620.031,533971430,5419408900.0
2020-04-28,618.946,618.952,588.167,604.017,617928210,6247155700.0
2020-04-29,602.061,609.556,599.775,606.763,508994910,4500181100.0
2020-04-30,610.375,624.108,610.375,622.951,508305960,5889215900.0
2020-05-06,620.583,635.326,619.997,635.326,657238490,7611442100.0
2020-05-07,636.694,638.988,633.99,635.977,532353650,5862270500.0
2020-05-08,640.551,646.856,639.694,644.435,594267150,7072668100.0
2020-05-11,648.739,652.518,643.421,646.21,608610620,7831925500.0
2020-05-12,645.046,647.284,637.886,647.08,608901340,6626329800.0
2020-05-13,646.525,651.381,645.513,649.968,654305810,6658983000.0
2020-05-14,647.678,651.969,645.468,649.439,678670390,7030153400.0
2020-05-15,652.698,653.607,649.149,649.647,655824740,6538812100.0
