日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1465.009,1486.579,1464.036,1485.613,1540607100,13907422000.0
2020-01-03,1487.007,1499.157,1484.707,1496.811,1762520200,15905920000.0
2020-01-06,1490.896,1522.959,1487.093,1513.568,2002834000,19250727000.0
2020-01-07,1515.417,1535.137,1515.417,1535.137,1917063200,17243542000.0
2020-01-08,1531.47,1541.11,1510.936,1516.556,2058812500,17976488000.0
2020-01-09,1528.303,1541.799,1528.036,1541.799,1840799700,16464226000.0
2020-01-10,1544.582,1545.093,1521.776,1529.995,1634033600,15029341000.0
2020-01-13,1529.771,1543.737,1518.186,1543.737,1637947300,16079480000.0
2020-01-14,1545.941,1552.166,1540.055,1540.569,1702323400,16799196000.0
2020-01-15,1539.19,1541.417,1522.781,1532.35,1476613200,13925031000.0
2020-01-16,1534.955,1535.1,1512.946,1515.406,1432839200,13373076500.0
2020-01-17,1519.01,1520.755,1503.253,1505.44,1496561500,15313412000.0
2020-01-20,1504.941,1523.639,1499.289,1523.639,1438300100,16784193000.0
2020-01-21,1517.788,1517.788,1501.382,1501.468,1329925020,13978321000.0
2020-01-22,1494.312,1518.067,1471.226,1511.52,1439992400,16264122000.0
2020-01-23,1498.77,1510.275,1448.734,1462.408,1696483400,19580949000.0
2020-02-03,1321.354,1323.598,1320.79,1321.079,618638380,8284360000.0
2020-02-04,1223.222,1297.397,1223.222,1290.451,2184620500,20514937000.0
2020-02-05,1293.662,1340.315,1293.662,1318.415,1928614700,19978785000.0
2020-02-06,1316.593,1349.796,1307.118,1348.004,1873996500,19257046000.0
2020-02-07,1347.144,1365.404,1336.371,1365.22,1794862100,18388892000.0
2020-02-10,1362.449,1398.852,1359.722,1398.761,1771807400,18788861000.0
2020-02-11,1401.16,1401.16,1384.396,1390.276,1519096500,15629589000.0
2020-02-12,1388.515,1421.434,1387.892,1421.044,1891438400,19433066000.0
2020-02-13,1420.044,1430.156,1404.68,1406.803,2051154100,20733155000.0
2020-02-14,1405.295,1427.166,1399.922,1410.667,1819457600,19442742000.0
2020-02-17,1416.827,1464.235,1416.065,1464.235,2229295800,22965066000.0
2020-02-18,1467.075,1495.946,1463.232,1495.946,2368355000,25387436000.0
2020-02-19,1499.291,1513.785,1494.996,1496.029,2630109000,28141021000.0
2020-02-20,1501.842,1522.806,1489.615,1521.892,2614846400,27598433000.0
2020-02-21,1521.863,1556.183,1521.091,1545.008,2884353900,29982669000.0
2020-02-24,1543.346,1571.375,1533.1,1566.822,3054933500,32510102000.0
2020-02-25,1524.193,1557.965,1483.968,1555.17,3358679900,37919468000.0
2020-02-26,1532.687,1561.006,1520.93,1525.373,2932428600,32232391000.0
2020-02-27,1533.896,1564.39,1523.765,1551.99,2656176400,27190817000.0
2020-02-28,1494.274,1513.014,1446.838,1447.091,2884865000,27429814000.0
2020-03-02,1462.11,1529.312,1462.11,1522.524,2354714100,23721455000.0
2020-03-03,1555.518,1573.642,1524.734,1540.298,2877774700,29075399000.0
2020-03-04,1525.703,1556.517,1524.57,1555.932,2202323400,21628610000.0
2020-03-05,1588.206,1617.551,1586.014,1616.313,3212837000,30333129000.0
2020-03-06,1607.002,1651.146,1604.77,1632.631,3784356400,33114360000.0
2020-03-09,1602.182,1651.25,1593.779,1593.779,4044385500,35629485000.0
2020-03-10,1566.508,1656.674,1542.528,1656.674,4202017600,36308121000.0
2020-03-11,1665.162,1691.506,1631.288,1631.288,3836067200,34050560000.0
2020-03-12,1593.495,1623.548,1582.923,1602.777,3101551000,27629710000.0
2020-03-13,1516.116,1645.298,1516.116,1639.23,4315452300,37174899000.0
2020-03-16,1663.374,1664.187,1546.575,1548.398,4426650500,38440508000.0
2020-03-17,1553.25,1608.258,1515.479,1584.778,4177779700,34061955000.0
2020-03-18,1598.627,1630.614,1557.75,1557.75,4553760500,39518442000.0
2020-03-19,1544.209,1594.292,1523.267,1582.301,3855185700,33662565000.0
2020-03-20,1594.721,1608.9,1582.133,1601.392,3653498800,31444846000.0
2020-03-23,1549.708,1598.206,1534.512,1542.526,3356095500,28553961000.0
2020-03-24,1571.023,1575.601,1498.722,1556.413,3287419000,27847011000.0
2020-03-25,1583.631,1588.143,1565.729,1584.565,2829211300,25764350000.0
2020-03-26,1568.088,1568.088,1533.144,1534.992,2464514500,21296852000.0
2020-03-27,1552.432,1556.93,1512.52,1513.318,2327513100,19976094000.0
2020-03-30,1483.405,1484.635,1441.606,1462.655,2401019300,20202768000.0
2020-03-31,1475.951,1480.191,1441.984,1441.984,1901922700,16442659000.0
2020-04-01,1439.395,1467.102,1432.929,1435.991,1774253100,16488843000.0
2020-04-02,1427.618,1479.526,1427.283,1479.526,1934895500,17469657000.0
2020-04-03,1476.054,1476.644,1447.668,1452.501,1733471000,16236507000.0
2020-04-07,1481.292,1504.325,1478.73,1502.483,2252846800,20522220000.0
2020-04-08,1494.644,1512.471,1491.275,1505.174,1993914700,18199148000.0
2020-04-09,1514.943,1540.812,1512.375,1533.52,2328339700,20762984000.0
2020-04-10,1530.654,1530.654,1477.649,1484.183,2477037800,21707254000.0
2020-04-13,1467.405,1467.414,1447.436,1454.495,1511894300,13468359000.0
2020-04-14,1461.027,1492.594,1461.027,1492.594,1836320300,16800356000.0
2020-04-15,1494.269,1507.188,1485.091,1485.665,2287699900,19593830000.0
2020-04-16,1473.219,1522.395,1469.717,1518.879,2657778300,22675462000.0
2020-04-17,1528.488,1532.758,1507.471,1508.999,3155126500,28099460000.0
2020-04-20,1509.683,1528.338,1508.91,1528.338,2454176800,22618059000.0
2020-04-21,1519.642,1524.399,1495.795,1522.177,2647271700,23743413000.0
2020-04-22,1506.278,1547.314,1501.662,1544.241,2657267200,23014336000.0
2020-04-23,1543.954,1545.192,1515.413,1516.685,2401737400,21781604000.0
2020-04-24,1516.449,1523.923,1496.49,1501.588,2370733700,20201642000.0
2020-04-27,1503.453,1520.707,1493.997,1495.228,2096258800,17685959000.0
2020-04-28,1489.671,1490.017,1400.167,1445.938,2771287600,22169217000.0
2020-04-29,1434.655,1460.365,1432.067,1437.993,2082133100,16273413000.0
2020-04-30,1440.12,1479.155,1440.12,1475.461,2369691700,20438410000.0
2020-05-06,1461.012,1512.633,1459.396,1512.633,2170884300,20862390000.0
2020-05-07,1514.934,1519.287,1499.152,1500.493,2437264000,21038365000.0
2020-05-08,1510.461,1521.522,1507.416,1512.45,2318072300,20814054000.0
2020-05-11,1517.408,1521.085,1498.181,1510.661,2164410100,19649281000.0
2020-05-12,1507.371,1508.229,1481.798,1506.992,1979360300,19170239000.0
2020-05-13,1497.966,1515.088,1493.891,1512.962,2238994600,21226978000.0
2020-05-14,1503.951,1513.081,1498.505,1499.364,2224140500,21661941000.0
2020-05-15,1502.262,1508.474,1490.424,1494.412,1890170200,19358515000.0
2020-05-18,1498.216,1498.372,1468.576,1472.218,2155264900,21723772000.0
2020-05-19,1481.42,1484.248,1473.522,1483.433,1808465000,18037601000.0
2020-05-20,1480.53,1491.087,1474.255,1481.41,2201143500,21000711000.0
2020-05-21,1483.939,1485.456,1465.444,1469.135,1898261000,17495942000.0
2020-05-22,1467.424,1468.08,1433.453,1439.971,1702723500,15290013000.0
2020-05-25,1434.341,1439.634,1422.766,1429.894,1319469230,11522571100.0
2020-05-26,1435.339,1459.186,1434.448,1459.083,1359432300,12561608500.0
2020-05-27,1458.968,1463.143,1446.879,1449.244,1511429000,13775392000.0
2020-05-28,1449.448,1453.737,1419.779,1444.057,1569961400,13495353000.0
2020-05-29,1440.07,1455.206,1437.819,1446.048,1298728130,12232394800.0
2020-06-01,1454.878,1492.632,1454.878,1491.855,1671767800,16035547000.0
2020-06-02,1497.766,1506.318,1492.282,1504.322,1703882400,20358372000.0
2020-06-03,1506.946,1512.228,1496.873,1498.382,1768105700,19177440000.0
2020-06-04,1503.069,1505.66,1492.087,1500.347,1454181500,15231898000.0
2020-06-05,1502.71,1503.908,1489.818,1499.575,1409406700,14617350000.0
2020-06-08,1508.824,1513.665,1501.811,1502.846,1267197940,13981498000.0
2020-06-09,1506.995,1507.441,1498.441,1506.85,1458247900,13495633000.0
2020-06-10,1506.642,1506.642,1492.387,1497.149,1315543660,14189597000.0
2020-06-11,1499.226,1515.873,1489.037,1494.792,1419724700,16183961000.0
2020-06-12,1464.551,1494.315,1459.586,1488.506,1445944000,15603589000.0
2020-06-15,1480.768,1494.048,1476.168,1476.193,1387941000,14073008000.0
2020-06-16,1486.141,1508.269,1486.074,1508.269,1544716800,15152459000.0
2020-06-17,1508.579,1508.724,1496.14,1508.042,1397377300,14076747000.0
2020-06-18,1508.903,1512.882,1503.716,1511.065,1378856700,13073956200.0
2020-06-19,1511.13,1519.006,1507.674,1515.856,1476080600,15682185000.0
2020-06-22,1517.438,1523.586,1513.07,1517.175,1434048900,15385492000.0
2020-06-23,1516.631,1516.995,1503.75,1508.365,1427455600,14637405000.0
2020-06-24,1508.03,1512.277,1501.425,1506.524,1264428140,13654290000.0
2020-06-29,1500.481,1501.344,1488.745,1492.339,1347876900,14868393000.0
2020-06-30,1498.286,1514.076,1498.286,1510.691,1286701350,14756864000.0
2020-07-01,1515.063,1519.613,1504.331,1516.324,1506546200,16140522000.0
2020-07-02,1517.082,1538.7,1511.597,1538.666,1932940700,19784094000.0
2020-07-03,1542.331,1553.592,1539.171,1553.592,1959544600,19946843000.0
2020-07-06,1562.381,1614.73,1562.381,1612.877,2865546000,29230503000.0
2020-07-07,1626.763,1646.082,1603.192,1623.87,3201278900,34869589000.0
2020-07-08,1623.542,1657.221,1615.757,1656.364,2845836500,30863372000.0
2020-07-09,1656.159,1692.469,1652.591,1690.204,3147787300,34674763000.0
2020-07-10,1687.421,1699.129,1664.323,1667.44,2905126100,35594266000.0
2020-07-13,1675.209,1727.951,1675.209,1727.951,3044853100,35322588000.0
2020-07-14,1734.039,1746.398,1692.523,1726.215,3315862200,38071567000.0
2020-07-15,1734.219,1736.649,1666.102,1674.723,3245323800,35965109000.0
2020-07-16,1675.765,1685.274,1601.671,1602.274,2884644800,29316965000.0
2020-07-17,1604.847,1613.267,1573.314,1592.377,2173586300,21311156000.0
2020-07-20,1605.451,1650.939,1605.442,1650.939,2307066800,23439998000.0
2020-07-21,1658.844,1678.068,1657.354,1670.126,2763780100,26874881000.0
2020-07-22,1670.309,1693.345,1666.253,1680.688,2904593800,30636702000.0
2020-07-23,1671.103,1679.993,1633.523,1676.795,3049298400,31604326000.0
2020-07-24,1671.836,1685.693,1605.027,1608.832,3035471600,32316087000.0
2020-07-27,1613.713,1622.918,1588.849,1609.587,2093846600,21141937000.0
2020-07-28,1618.813,1628.498,1603.744,1617.884,1862715200,18810396000.0
2020-07-29,1616.431,1659.099,1604.235,1659.099,2053785400,21604378000.0
2020-07-30,1662.472,1671.92,1656.065,1659.594,2277240800,23981651000.0
2020-07-31,1659.609,1687.581,1654.943,1682.159,2450164800,27068561000.0
2020-08-03,1694.845,1730.786,1694.845,1730.786,2807992100,29228592000.0
2020-08-04,1735.685,1735.685,1708.299,1713.664,2574789800,27217960000.0
2020-08-05,1722.471,1740.925,1707.807,1738.505,2470596000,26457916000.0
2020-08-06,1740.09,1744.134,1712.716,1739.419,2657975200,30324353000.0
2020-08-07,1734.652,1734.652,1685.666,1707.58,2490832200,26924703000.0
2020-08-10,1703.238,1737.914,1702.378,1730.242,2365067400,24189390000.0
2020-08-11,1729.922,1730.961,1685.315,1687.136,2474776800,25751919000.0
2020-08-12,1680.454,1685.895,1643.956,1679.431,2192933200,23351585000.0
2020-08-13,1684.674,1703.223,1684.664,1695.804,1777626200,17781461000.0
2020-08-14,1693.298,1711.097,1682.254,1710.623,1934682500,19479562000.0
2020-08-17,1713.793,1746.178,1711.961,1746.178,2314524800,24043240000.0
2020-08-18,1748.045,1760.482,1745.017,1757.113,2284443000,23534991000.0
2020-08-19,1755.411,1758.817,1728.339,1729.627,2455578900,24429046000.0
2020-08-20,1715.099,1728.534,1708.067,1713.76,2150109800,20655487000.0
2020-08-21,1718.294,1734.682,1704.868,1716.921,1903880400,19218827000.0
2020-08-24,1719.48,1736.301,1693.789,1729.665,1806931900,19181308000.0
2020-08-25,1730.498,1744.914,1727.951,1735.262,2172102900,22727065000.0
2020-08-26,1734.417,1744.302,1701.932,1711.331,2323595900,24096966000.0
2020-08-27,1710.885,1746.995,1700.73,1746.915,2293893100,22528227000.0
