日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1304.864,1352.802,1300.248,1341.952,621453900,14118316000.0
2020-01-03,1345.135,1356.807,1332.412,1337.924,616337860,12851847400.0
2020-01-06,1313.065,1359.977,1307.765,1347.775,683151370,15741544000.0
2020-01-07,1350.321,1361.425,1339.046,1361.425,542208050,11717048100.0
2020-01-08,1348.511,1355.011,1330.528,1330.741,496619720,10175253200.0
2020-01-09,1341.909,1359.699,1341.856,1359.699,560680080,12936122700.0
2020-01-10,1362.015,1380.065,1357.55,1370.925,517135420,11684668200.0
2020-01-13,1368.087,1403.095,1360.176,1403.028,517838350,12968305300.0
2020-01-14,1406.682,1407.193,1386.664,1388.041,482141290,11632983700.0
2020-01-15,1383.411,1405.802,1377.627,1402.152,436425330,10725165000.0
2020-01-16,1395.874,1428.879,1389.106,1425.97,682935730,13781133000.0
2020-01-17,1422.136,1422.136,1387.334,1389.189,591134130,12636850400.0
2020-01-20,1377.461,1419.653,1374.748,1416.387,577167310,14401374000.0
2020-01-21,1409.479,1416.472,1397.752,1398.651,435880060,11264441800.0
2020-01-22,1388.74,1433.766,1374.392,1427.023,536422270,14210344000.0
2020-01-23,1407.24,1428.577,1338.589,1355.878,592117900,14347472000.0
2020-02-03,1225.344,1236.554,1223.912,1231.543,420106320,10768531100.0
2020-02-04,1153.701,1248.411,1153.701,1240.595,768161230,17418807000.0
2020-02-05,1242.046,1299.138,1241.919,1265.318,801781970,18926549000.0
2020-02-06,1261.146,1306.273,1250.543,1298.931,793507540,17776290000.0
2020-02-07,1294.493,1323.645,1290.244,1317.907,755008880,18335793000.0
2020-02-10,1305.556,1318.097,1293.341,1315.793,653050790,14991163000.0
2020-02-11,1314.379,1370.443,1310.643,1356.028,784808410,18736943000.0
2020-02-12,1341.518,1383.517,1338.124,1381.259,775298640,17321154000.0
2020-02-13,1374.496,1390.651,1359.489,1368.178,627734620,15336062000.0
2020-02-14,1366.721,1397.883,1357.591,1376.939,582840120,13743931000.0
2020-02-17,1385.886,1428.227,1385.886,1428.227,758937780,17686313000.0
2020-02-18,1428.039,1451.769,1419.559,1449.58,808652620,19910306000.0
2020-02-19,1429.005,1465.096,1421.106,1425.915,704785560,18195306000.0
2020-02-20,1416.846,1461.894,1411.769,1461.505,830718280,19190568000.0
2020-02-21,1456.548,1519.937,1455.438,1510.717,1237473100,27319481000.0
2020-02-24,1499.192,1560.541,1490.299,1559.643,1128195300,24953983000.0
2020-02-25,1504.005,1549.507,1455.293,1539.25,1185297280,27749727000.0
2020-02-26,1505.173,1521.021,1449.837,1450.191,1097152860,23795262000.0
2020-02-27,1454.609,1474.122,1408.502,1437.333,878772050,19109866000.0
2020-02-28,1372.9,1396.336,1323.182,1324.695,955317950,23277314000.0
2020-03-02,1336.782,1376.219,1319.886,1360.304,874371080,21636289000.0
2020-03-03,1390.65,1431.794,1370.935,1388.392,924707540,24447285000.0
2020-03-04,1374.839,1388.441,1344.167,1375.974,797064970,21008203000.0
2020-03-05,1404.43,1408.623,1366.512,1395.024,713465900,17866074000.0
2020-03-06,1372.903,1407.67,1371.515,1396.378,546439170,12975163700.0
2020-03-09,1358.247,1370.618,1311.377,1311.529,724846350,17376014000.0
2020-03-10,1280.587,1350.414,1279.757,1350.206,718737930,17172982000.0
2020-03-11,1351.869,1358.864,1302.381,1304.095,625184770,13419883500.0
2020-03-12,1278.407,1287.446,1249.237,1262.766,550519790,12225286300.0
2020-03-13,1184.469,1257.038,1183.552,1238.569,608375980,13420545200.0
2020-03-16,1251.987,1252.008,1153.985,1160.515,738443320,17389522000.0
2020-03-17,1172.923,1183.265,1093.458,1147.885,695797680,14305174000.0
2020-03-18,1159.88,1184.838,1127.38,1127.911,615593660,12580963000.0
2020-03-19,1127.719,1151.297,1104.989,1144.007,607649460,12791476300.0
2020-03-20,1161.34,1165.409,1126.906,1150.668,490400800,10584293800.0
2020-03-23,1110.619,1119.07,1065.996,1071.673,560170950,12048820100.0
2020-03-24,1096.61,1103.85,1057.295,1099.105,521016600,10615781900.0
2020-03-25,1130.56,1157.251,1126.759,1157.237,699673870,15198217000.0
2020-03-26,1143.979,1151.328,1124.518,1127.312,585098190,11413475600.0
2020-03-27,1143.784,1144.608,1105.677,1106.578,497845340,10520238900.0
2020-03-30,1081.564,1081.722,1040.202,1063.418,559442060,11756767000.0
2020-03-31,1078.824,1081.367,1046.712,1046.712,396707650,7877322600.0
2020-04-01,1045.169,1085.586,1045.169,1056.938,534753850,11065070300.0
2020-04-02,1050.259,1107.7,1048.643,1107.026,610137110,13883405000.0
2020-04-03,1103.476,1110.497,1083.716,1090.388,464323460,10901346800.0
2020-04-07,1119.693,1126.17,1112.524,1122.271,497486980,11566330100.0
2020-04-08,1117.463,1139.47,1116.604,1132.274,517322970,11208031600.0
2020-04-09,1137.838,1139.678,1126.581,1134.751,453499980,10135751800.0
2020-04-10,1132.942,1132.942,1084.561,1090.209,444017020,10108151700.0
2020-04-13,1078.12,1078.806,1059.173,1064.958,304426410,6457523200.0
2020-04-14,1073.373,1093.984,1072.774,1093.984,378535170,8601459900.0
2020-04-15,1096.179,1113.171,1090.234,1092.715,412116580,9459806300.0
2020-04-16,1083.804,1098.873,1073.56,1095.328,315883820,6429901000.0
2020-04-17,1108.417,1132.517,1108.417,1113.712,558357310,12500867200.0
2020-04-20,1117.46,1128.751,1113.453,1128.751,432689930,7837419300.0
2020-04-21,1121.873,1121.873,1088.805,1105.203,403254640,8968828800.0
2020-04-22,1096.718,1112.867,1091.304,1112.867,318726570,6849084300.0
2020-04-23,1115.956,1118.009,1099.356,1100.229,319889250,6394562500.0
2020-04-24,1102.898,1109.651,1077.541,1085.025,389214510,7684783800.0
2020-04-27,1082.193,1085.196,1061.236,1067.234,302707860,6679016400.0
2020-04-28,1069.758,1079.246,1019.414,1070.439,494988850,13096408300.0
2020-04-29,1061.355,1084.073,1057.449,1076.048,313821190,7415198700.0
2020-04-30,1086.779,1129.857,1086.779,1123.053,512048540,12843303600.0
2020-05-06,1110.505,1147.775,1109.142,1146.711,530679200,13597363000.0
2020-05-07,1143.142,1154.808,1129.141,1136.844,440925180,9779009000.0
2020-05-08,1138.394,1157.06,1134.518,1152.045,461938020,10005925900.0
2020-05-11,1155.8,1167.598,1146.559,1156.614,471837940,10271122600.0
2020-05-12,1151.021,1156.97,1129.728,1155.764,404903840,9296929900.0
