日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-10-28,1102.709,1141.566,1102.709,1141.566,1095051090,16316098000.0
2024-10-29,1219.099,1229.236,1169.298,1169.447,1156481730,20252420000.0
2024-10-30,1187.137,1218.794,1181.94,1211.988,2838523000,52830804000.0
2024-10-31,1223.101,1281.611,1203.577,1254.402,3548955500,65840288000.0
2024-11-01,1245.607,1256.198,1143.449,1144.251,3492488900,64225971000.0
2024-11-04,1118.827,1148.769,1118.693,1148.769,2407084600,48034326000.0
2024-11-05,1149.122,1211.781,1149.122,1204.858,3573801800,72142377000.0
2024-11-06,1200.019,1228.347,1187.705,1198.834,3705846800,67375517000.0
2024-11-07,1182.482,1225.918,1176.214,1225.918,3359294300,60355427000.0
2024-11-08,1238.669,1264.705,1229.507,1233.467,3656288300,69290987000.0
2024-11-11,1237.769,1305.695,1237.769,1305.695,3855275800,74789172000.0
2024-11-12,1318.093,1318.093,1263.301,1276.908,3789292500,74171307000.0
2024-11-13,1270.416,1317.798,1268.481,1311.884,3761890200,65807127000.0
2024-11-14,1308.056,1319.566,1269.008,1270.232,3773625400,69387731000.0
2024-11-15,1275.948,1343.929,1275.948,1287.459,4283169200,76814192000.0
2024-11-18,1297.503,1297.503,1178.808,1185.915,4391480600,68854407000.0
2024-11-19,1173.08,1206.519,1155.019,1206.419,3309819400,54058540000.0
2024-11-20,1202.908,1276.836,1200.136,1263.839,4071886000,68982678000.0
2024-11-21,1258.399,1290.442,1253.58,1273.815,4109961000,70207555000.0
2024-11-22,1265.306,1317.996,1235.802,1236.482,4530660100,76714159000.0
2024-11-25,1248.588,1256.235,1205.421,1248.485,3596079200,64141114000.0
2024-11-26,1239.621,1263.038,1214.052,1214.731,3107835400,51766855000.0
2024-11-27,1198.961,1255.238,1173.004,1255.238,3699145500,56008278000.0
2024-11-28,1255.253,1281.856,1240.274,1242.667,3842704900,64253855000.0
2024-11-29,1240.819,1289.144,1222.446,1272.39,4039469100,65311844000.0
2024-12-02,1266.941,1300.397,1265.499,1294.213,3549667600,58706697000.0
2024-12-03,1290.18,1307.383,1270.52,1296.498,3500961800,58867803000.0
2024-12-04,1294.034,1298.597,1253.202,1260.588,3031567000,47326124000.0
2024-12-05,1259.62,1318.399,1259.62,1311.885,3723432100,59557909000.0
2024-12-06,1322.968,1349.523,1300.505,1331.373,4114105000,63688014000.0
2024-12-09,1332.326,1337.657,1303.028,1321.426,3084938800,50226324000.0
2024-12-10,1367.833,1381.181,1341.983,1349.368,3834836700,66029150000.0
2024-12-11,1331.981,1353.829,1329.453,1353.829,2867672600,48768709000.0
2024-12-12,1359.83,1369.874,1335.043,1359.96,3107459800,52223143000.0
2024-12-13,1344.669,1373.489,1341.923,1343.553,3817901700,59081191000.0
2024-12-16,1348.895,1350.295,1313.542,1322.351,3157443400,49563301000.0
2024-12-17,1313.782,1314.856,1259.29,1262.815,2771319500,46502289000.0
2024-12-18,1257.543,1303.116,1235.656,1283.157,2514320500,43816561000.0
2024-12-19,1262.869,1328.561,1262.138,1322.873,2876690000,54250182000.0
2024-12-20,1309.2,1341.888,1307.271,1330.737,2475687600,48292258000.0
2024-12-23,1324.832,1324.832,1246.166,1248.308,2381827700,43915689000.0
2024-12-24,1248.626,1256.822,1221.735,1244.524,2030404700,32880064000.0
2024-12-25,1236.298,1236.697,1188.704,1204.809,2088656600,37558582000.0
2024-12-26,1206.981,1235.649,1206.981,1219.193,1836654000,34032064000.0
2024-12-27,1216.778,1243.513,1212.12,1217.88,2059707300,37405284000.0
2024-12-30,1220.167,1229.625,1189.904,1220.58,1849990700,31819916000.0
2024-12-31,1225.041,1230.213,1168.829,1168.829,1935846000,31557290000.0
2025-01-02,1167.327,1182.982,1128.604,1142.418,1975125700,34153852000.0
2025-01-03,1144.219,1148.797,1071.722,1073.826,1974986300,29680590000.0
