日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-11-13,993.591,1013.761,974.0,1003.961,565868450,9773629400.0
2020-11-16,993.292,1042.881,993.292,1017.566,637268950,10022151200.0
2020-11-17,1013.06,1043.9,1012.733,1031.655,689467670,10484007200.0
2020-11-18,1029.672,1110.069,1020.459,1096.814,836689140,12755808300.0
2020-11-19,1093.618,1115.039,1044.749,1060.87,897559040,13499998000.0
2020-11-20,1046.929,1109.345,1027.099,1079.562,812569760,12606794200.0
2020-11-23,1083.294,1129.174,1074.555,1103.407,920300410,14506163000.0
2020-11-24,1080.313,1114.375,1067.363,1098.74,714038440,11708253500.0
2020-11-25,1091.794,1096.705,1058.684,1059.512,589984620,9608390500.0
2020-11-26,1052.472,1071.513,1043.235,1070.686,536172730,8830510000.0
2020-11-27,1069.905,1071.979,1033.461,1040.135,506485220,8327696900.0
2020-11-30,1040.081,1071.885,1033.193,1054.757,489417730,8632920800.0
2020-12-01,1047.309,1065.895,1033.788,1059.926,514239070,9786510500.0
2020-12-02,1057.695,1059.696,1033.429,1035.021,434654270,7565260300.0
2020-12-03,1023.269,1023.451,1010.95,1011.589,403395520,6212018300.0
2020-12-04,1011.169,1032.542,1003.849,1029.329,400199210,6521773100.0
2020-12-07,1028.384,1044.335,1026.586,1028.847,382500580,5934929100.0
2020-12-08,1028.644,1038.69,1023.201,1024.73,310379030,5265480500.0
2020-12-09,1022.938,1038.496,1010.898,1014.822,365345020,6844643300.0
2020-12-10,1008.353,1008.353,991.23,993.149,341151940,5953328000.0
2020-12-11,992.597,999.498,960.328,969.485,317867660,5084504000.0
2020-12-14,969.288,983.785,962.835,982.991,286011280,5105385500.0
2020-12-15,983.448,992.012,974.41,991.26,257845320,4667026400.0
2020-12-16,989.336,989.336,969.821,970.776,256371540,4402238300.0
2020-12-17,968.986,1001.488,960.212,997.247,374740400,6155141300.0
2020-12-18,1000.157,1011.725,996.825,1000.09,373958640,6520827800.0
2020-12-21,1000.895,1016.314,996.83,1009.949,375442320,6128453100.0
2020-12-22,1004.002,1004.002,964.95,964.95,413407830,6799533900.0
2020-12-23,967.454,982.597,963.282,969.411,324952200,5420524700.0
2020-12-24,965.429,971.21,948.299,952.29,348919760,5038666000.0
2020-12-25,951.541,971.537,945.575,968.346,411254390,5449649100.0
2020-12-28,963.801,964.997,929.542,933.844,437484120,5979651800.0
2020-12-29,929.751,932.549,911.838,912.683,300650810,4622716600.0
2020-12-30,914.774,925.375,909.791,919.011,299855060,5099084400.0
2020-12-31,918.329,943.967,918.329,936.961,298294490,4621919500.0
2021-01-04,939.655,954.787,933.971,953.393,310598290,5532661000.0
2021-01-05,950.394,953.078,937.874,951.657,360806280,5754275500.0
2021-01-06,949.747,953.762,929.657,939.591,351806560,6236961700.0
2021-01-07,939.144,940.911,914.206,920.462,412999900,6571593400.0
2021-01-08,916.431,926.482,895.03,917.837,327072730,5412042900.0
2021-01-11,916.245,916.245,891.333,894.906,353823840,6053259900.0
2021-01-12,890.396,904.393,889.755,897.638,344955250,6855466300.0
2021-01-13,897.028,909.738,887.255,892.184,373350290,6972313000.0
2021-01-14,891.648,902.591,869.73,892.326,333317400,5425231800.0
2021-01-15,887.623,910.115,887.623,910.115,314710580,5754670100.0
2021-01-18,909.338,935.782,907.031,933.676,317401320,5981365700.0
2021-01-19,930.287,974.568,930.287,958.868,420543470,7327014800.0
2021-01-20,960.001,964.413,949.258,961.674,295181260,5444638400.0
2021-01-21,958.007,967.859,951.015,960.608,288292450,5405690900.0
2021-01-22,957.091,970.991,951.589,960.485,361404080,6779560300.0
2021-01-25,961.115,961.115,939.841,947.273,338791490,7037658500.0
2021-01-26,943.715,966.165,940.006,945.932,300600010,6685654200.0
2021-01-27,942.797,954.98,938.229,952.15,271789050,5410013400.0
2021-01-28,941.74,946.845,920.371,921.497,336104890,5166095000.0
2021-01-29,925.417,932.524,888.901,903.683,307306580,5094313300.0
2021-02-01,897.963,919.197,895.153,916.566,310356790,4680137700.0
2021-02-02,918.643,926.901,914.184,926.546,271778820,5051646300.0
2021-02-03,926.682,946.239,917.039,937.193,343809130,6142542000.0
2021-02-04,931.719,943.561,904.119,912.787,365669480,6801525900.0
2021-02-05,914.878,920.256,867.438,868.131,329291730,5509471600.0
2021-02-08,872.522,901.967,860.004,898.867,301841930,4958407200.0
2021-02-09,899.782,925.981,899.344,922.886,295409640,5228527200.0
2021-02-10,924.475,926.799,913.676,923.109,248910680,4319877700.0
2021-02-18,946.624,957.184,940.42,955.052,425260330,7736246700.0
2021-02-19,952.854,982.732,950.561,982.732,399078270,6518814600.0
2021-02-22,989.513,1034.377,989.513,1012.221,554299920,9177064100.0
2021-02-23,1007.017,1017.302,997.721,1001.107,425840680,7580083700.0
2021-02-24,1003.245,1016.487,982.064,991.989,432769750,7017232100.0
2021-02-25,1001.463,1003.944,972.909,975.305,362419270,5844481200.0
2021-02-26,955.198,984.435,953.177,964.246,338257520,5671752700.0
2021-03-01,972.442,1014.098,972.442,1013.477,385408220,6666331500.0
2021-03-02,1018.554,1019.425,987.773,994.1,376663850,6641659000.0
2021-03-03,989.149,1015.86,989.149,1015.123,395068020,6202107000.0
2021-03-04,1007.27,1010.438,984.518,989.745,366294040,5578837000.0
2021-03-05,983.27,994.566,978.445,986.484,287544080,4463041400.0
2021-03-08,996.054,1006.669,967.891,967.891,293178950,4432097000.0
2021-03-09,963.469,968.111,923.827,942.426,392558600,5421213600.0
2021-03-10,955.833,958.767,934.655,937.516,267623520,4376243300.0
2021-03-11,933.84,968.784,933.263,967.802,292368730,4336445700.0
