日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1509.59,1532.257,1507.257,1531.794,2818231500,34591276000.0
2020-01-03,1535.986,1541.468,1527.136,1538.207,2499566300,28766552000.0
2020-01-06,1530.472,1569.259,1527.577,1558.206,3583938600,42276507000.0
2020-01-07,1559.272,1579.967,1559.272,1579.967,3334770200,35920964000.0
2020-01-08,1572.824,1588.274,1556.607,1561.613,3274694100,35415589000.0
2020-01-09,1574.856,1593.327,1574.856,1593.327,3103276700,35427500000.0
2020-01-10,1596.822,1598.368,1576.848,1584.705,2471629900,27906193000.0
2020-01-13,1584.048,1597.822,1571.194,1597.822,2662208400,32295382000.0
2020-01-14,1602.579,1605.05,1594.665,1595.4,2633549000,29652862000.0
2020-01-15,1592.947,1594.069,1573.145,1582.31,2405682300,27643096000.0
2020-01-16,1584.526,1589.268,1571.259,1574.638,2281140300,27208354000.0
2020-01-17,1576.019,1578.194,1556.197,1559.085,1998405900,26085277000.0
2020-01-20,1555.618,1570.133,1546.608,1569.903,2240306600,29096110000.0
2020-01-21,1566.001,1566.001,1548.945,1548.945,2295496300,29812839000.0
2020-01-22,1542.61,1564.122,1519.88,1558.301,2426528100,33958836000.0
2020-01-23,1541.189,1550.301,1481.729,1496.664,3064091900,39971179000.0
2020-02-03,1350.219,1354.198,1349.455,1351.336,1251007060,26883272000.0
2020-02-04,1261.707,1340.437,1261.707,1335.744,3611895800,41403974000.0
2020-02-05,1341.524,1390.306,1341.297,1371.86,3247511900,41978585000.0
2020-02-06,1373.498,1417.242,1362.368,1412.357,3336897800,43600867000.0
2020-02-07,1419.339,1435.447,1407.306,1435.408,3376137400,44694443000.0
2020-02-10,1434.04,1460.749,1430.886,1460.427,3331231100,40703714000.0
2020-02-11,1461.218,1461.539,1439.488,1449.346,2948779900,40281435000.0
2020-02-12,1445.697,1478.115,1443.721,1477.764,2841317200,39174387000.0
2020-02-13,1476.522,1485.914,1460.649,1464.99,3096069900,41004686000.0
2020-02-14,1460.24,1479.576,1450.975,1463.628,2782060800,37037719000.0
2020-02-17,1473.493,1518.568,1473.412,1518.568,3592048000,45713272000.0
2020-02-18,1520.664,1550.817,1516.166,1550.817,3890534900,47667532000.0
2020-02-19,1547.63,1570.912,1542.524,1551.548,4494725100,51625824000.0
2020-02-20,1554.877,1583.584,1542.117,1581.935,4306336100,52729351000.0
2020-02-21,1582.791,1614.53,1581.726,1601.352,4902493800,64337940000.0
2020-02-24,1599.004,1635.378,1595.071,1632.121,5351361800,67049025000.0
2020-02-25,1591.671,1639.106,1558.463,1637.3,6538433400,79756646000.0
2020-02-26,1614.398,1647.356,1605.365,1610.756,6301162900,72571872000.0
2020-02-27,1621.628,1629.182,1587.095,1614.408,4644827700,55311587000.0
2020-02-28,1557.305,1578.866,1518.424,1518.424,5057870500,59674942000.0
2020-03-02,1534.983,1594.687,1534.983,1588.241,4168074600,53363289000.0
2020-03-03,1620.195,1648.525,1600.594,1615.508,4897268500,62893902000.0
2020-03-04,1606.06,1633.778,1602.44,1631.738,4630909100,52462262000.0
2020-03-05,1656.308,1663.799,1641.976,1660.765,5034573200,61114058000.0
2020-03-06,1639.202,1691.665,1636.593,1675.163,4940453900,50484887000.0
2020-03-09,1651.047,1664.582,1620.467,1620.962,5167784400,57880583000.0
2020-03-10,1593.711,1662.999,1573.356,1662.999,5889100200,61641841000.0
2020-03-11,1664.876,1685.724,1641.018,1641.018,5687505500,56965950000.0
2020-03-12,1608.083,1623.022,1593.802,1610.779,4661170100,49775411000.0
2020-03-13,1525.495,1608.095,1525.495,1591.242,5285136000,57086792000.0
2020-03-16,1607.327,1610.202,1511.016,1516.248,5107975900,56657009000.0
2020-03-17,1523.263,1540.531,1462.131,1518.529,4453757200,49274272000.0
2020-03-18,1532.281,1555.318,1487.023,1487.023,4706930500,50437653000.0
2020-03-19,1481.454,1511.188,1457.218,1503.234,4327348000,48625649000.0
2020-03-20,1520.848,1523.846,1494.984,1519.568,3596382500,39073672000.0
2020-03-23,1478.679,1502.446,1451.117,1456.804,4107803400,41380499000.0
2020-03-24,1485.393,1496.553,1444.308,1493.056,4010162200,41595701000.0
2020-03-25,1524.245,1531.579,1511.886,1529.839,4279947200,46287592000.0
2020-03-26,1517.442,1519.434,1496.104,1497.348,3209873300,33373861000.0
2020-03-27,1514.407,1517.033,1488.115,1489.126,3245357100,34768886000.0
2020-03-30,1462.84,1462.84,1425.701,1440.592,3166038900,32932360000.0
2020-03-31,1453.672,1456.163,1427.814,1428.718,2531443200,25005076000.0
2020-04-01,1426.616,1450.637,1423.106,1425.319,2810376900,30233494000.0
2020-04-02,1418.322,1464.655,1416.723,1464.655,2898141300,32691635000.0
2020-04-03,1463.686,1465.704,1442.736,1448.686,2519086900,28293412000.0
2020-04-07,1474.088,1496.546,1473.259,1496.13,3135465600,36170912000.0
2020-04-08,1490.768,1510.478,1488.747,1505.744,3180709700,33750249000.0
2020-04-09,1513.271,1521.272,1508.149,1516.523,3092581700,34303931000.0
2020-04-10,1516.436,1516.436,1471.846,1478.518,3029382400,35770175000.0
2020-04-13,1468.633,1469.652,1452.686,1463.259,2650011300,28975016000.0
2020-04-14,1466.906,1487.857,1465.667,1487.857,3018481300,33154583000.0
2020-04-15,1486.206,1486.832,1467.982,1469.175,3420594100,36460232000.0
2020-04-16,1458.959,1474.73,1452.347,1472.533,3270301300,29304319000.0
2020-04-17,1478.501,1489.388,1473.658,1473.658,3856043400,37967677000.0
2020-04-20,1476.092,1490.356,1472.914,1490.356,3269562700,31194975000.0
2020-04-21,1483.207,1485.644,1465.781,1484.804,3337218100,32048360000.0
2020-04-22,1471.294,1498.127,1468.464,1498.061,3118857400,28620623000.0
2020-04-23,1500.457,1501.284,1483.694,1484.324,3415187200,31194540000.0
2020-04-24,1482.68,1487.697,1457.483,1461.416,3495488200,30403373000.0
2020-04-27,1460.253,1466.857,1449.251,1451.733,2961659600,27265637000.0
2020-04-28,1448.893,1449.178,1373.122,1418.024,3439919700,34035320000.0
2020-04-29,1412.461,1430.773,1408.933,1421.174,2327893300,24046102000.0
2020-04-30,1427.354,1467.428,1427.354,1462.945,3036573400,37282497000.0
2020-05-06,1448.914,1491.546,1448.238,1491.532,3021828200,37573695000.0
2020-05-07,1491.216,1493.646,1480.486,1483.402,2918605500,31175891000.0
2020-05-08,1490.623,1505.779,1489.527,1500.596,3072273200,38832092000.0
2020-05-11,1507.177,1512.871,1493.365,1502.437,3214194100,39246487000.0
2020-05-12,1500.917,1503.876,1479.716,1503.798,2800946700,33323059000.0
2020-05-13,1496.551,1507.292,1493.199,1505.062,2561617600,27760998000.0
2020-05-14,1497.569,1503.727,1491.872,1492.668,2939728000,29430432000.0
2020-05-15,1496.818,1504.448,1487.88,1496.554,2786262000,30311250000.0
2020-05-18,1497.571,1497.571,1473.971,1478.208,3003588900,34508177000.0
2020-05-19,1488.865,1501.129,1487.337,1501.129,2692905200,31004567000.0
2020-05-20,1499.645,1503.932,1487.893,1493.414,2852841500,32051378000.0
2020-05-21,1495.482,1497.754,1476.856,1479.84,2648435700,29985638000.0
2020-05-22,1478.366,1482.209,1451.225,1456.246,2551245800,29443333000.0
2020-05-25,1454.012,1455.35,1438.416,1448.133,2073683200,24624261000.0
2020-05-26,1454.776,1485.537,1454.105,1485.402,2397310600,28758005000.0
2020-05-27,1488.195,1491.268,1480.252,1484.211,2674965100,29665681000.0
2020-05-28,1482.93,1486.892,1454.986,1476.652,2554382300,27298859000.0
2020-05-29,1471.675,1490.726,1468.334,1485.102,2845127600,28855711000.0
2020-06-01,1491.784,1530.962,1491.784,1530.962,3580218000,43572311000.0
2020-06-02,1533.774,1545.456,1526.65,1540.237,3591348100,41585165000.0
2020-06-03,1543.831,1555.542,1540.713,1542.691,3619859300,40461259000.0
2020-06-04,1547.336,1551.073,1538.599,1548.756,3020204800,34398250000.0
2020-06-05,1546.537,1550.143,1538.918,1549.975,3076607100,33016433000.0
2020-06-08,1557.495,1560.839,1547.888,1550.366,3312617800,39590651000.0
2020-06-09,1551.219,1553.01,1543.335,1553.01,2717360800,31638650000.0
2020-06-10,1553.025,1553.025,1536.984,1545.971,2690278800,34518735000.0
2020-06-11,1544.233,1559.745,1530.699,1538.209,2988083800,38646854000.0
2020-06-12,1504.849,1541.237,1501.5,1535.1,2675951900,34124271000.0
2020-06-15,1532.574,1553.863,1531.028,1534.019,2980079200,38076833000.0
2020-06-16,1544.401,1561.341,1544.401,1561.341,2856740700,35145682000.0
2020-06-17,1565.415,1565.415,1550.983,1563.303,3036972800,38309459000.0
2020-06-18,1563.598,1571.364,1559.937,1568.18,3325883700,44016875000.0
2020-06-19,1567.958,1577.795,1566.85,1573.843,2903653200,40287467000.0
2020-06-22,1574.806,1583.956,1572.995,1576.537,2798534300,40716291000.0
2020-06-23,1573.449,1573.449,1561.671,1565.278,2890465100,37769968000.0
2020-06-24,1565.702,1569.831,1561.043,1567.847,2770804700,39979830000.0
2020-06-29,1560.777,1561.962,1547.98,1552.895,2529561900,35204230000.0
2020-06-30,1560.306,1583.555,1560.227,1581.943,2620182700,41479774000.0
2020-07-01,1587.316,1594.763,1577.566,1594.677,3113882400,47432101000.0
