日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1006.753,1018.532,1002.01,1018.099,287500350,2920238400.0
2020-01-03,1019.957,1023.614,1011.427,1020.86,273385340,3021886700.0
2020-01-06,1012.587,1024.302,1007.87,1015.808,240126830,2545361900.0
2020-01-07,1016.142,1028.019,1015.833,1028.019,175637820,1796330900.0
2020-01-08,1021.727,1021.727,1001.224,1001.224,221854000,2347703200.0
2020-01-09,1009.475,1016.616,1008.28,1016.616,163966700,1580915200.0
2020-01-10,1018.389,1019.293,1010.409,1014.505,159855210,1500199400.0
2020-01-13,1012.652,1022.515,1007.73,1022.337,165715290,1683366100.0
2020-01-14,1023.515,1029.953,1023.515,1025.425,199255590,1964142500.0
2020-01-15,1023.792,1025.304,1015.018,1019.453,151514860,1459930500.0
2020-01-16,1019.907,1021.769,1010.964,1011.441,123769936,1237848430.0
2020-01-17,1011.317,1018.311,1005.374,1005.396,145905370,1361826800.0
2020-01-20,1007.729,1015.762,1005.446,1015.762,154770880,1454787400.0
2020-01-21,1020.815,1022.795,1013.727,1017.906,215419330,2037605000.0
2020-01-22,1021.661,1021.661,1005.494,1015.274,201188960,1828780600.0
2020-01-23,997.449,1006.665,974.114,982.292,318720600,2778582700.0
2020-02-03,901.44,904.804,895.659,900.434,175090930,1395006200.0
2020-02-04,840.31,879.818,840.31,874.832,415685610,3503025700.0
2020-02-05,887.43,910.787,885.883,902.357,258960160,2304746100.0
2020-02-06,912.494,933.392,903.895,929.412,246343930,2133701500.0
2020-02-07,936.737,944.198,927.738,942.037,244027650,2155200600.0
2020-02-10,951.395,964.997,943.229,964.997,426757160,4352451900.0
2020-02-11,956.353,956.353,944.799,947.252,171825510,1564639900.0
2020-02-12,939.846,960.793,938.727,959.522,331298700,3207379500.0
2020-02-13,958.671,964.761,943.099,943.099,298134350,2912390800.0
2020-02-14,936.877,944.504,934.458,942.746,283071170,2735943300.0
2020-02-17,947.783,973.188,947.783,973.188,308654780,2864771900.0
2020-02-18,975.686,982.966,968.841,982.301,282716010,2691504500.0
2020-02-19,978.367,983.691,973.693,974.922,254025250,2301195400.0
2020-02-20,976.87,990.177,972.061,988.946,360123830,3648920200.0
2020-02-21,988.975,993.312,983.591,990.128,295418360,2798371500.0
2020-02-24,986.87,989.382,977.479,985.597,311541240,3001176500.0
2020-02-25,964.171,976.763,945.58,975.039,398609500,3763420300.0
2020-02-26,963.45,981.213,959.621,965.069,315579640,2982795500.0
2020-02-27,967.755,971.786,958.262,962.024,220632950,2033022100.0
2020-02-28,938.395,947.701,910.267,910.605,275497290,2485561800.0
2020-03-02,921.148,960.861,921.148,959.476,323976130,3129981600.0
2020-03-03,971.441,972.311,956.443,964.883,342740810,3222543800.0
2020-03-04,973.675,1021.779,973.548,1006.58,520949730,5436875400.0
2020-03-05,1015.194,1036.878,1012.087,1032.263,576194060,6362381100.0
2020-03-06,1020.182,1030.568,1017.535,1023.595,469323530,4760544900.0
2020-03-09,1005.976,1018.459,999.971,1003.877,435113630,4248678500.0
2020-03-10,983.231,1002.939,961.655,1002.939,354957080,3414141900.0
2020-03-11,1001.416,1001.416,982.128,983.186,270335170,2574049000.0
2020-03-12,971.363,973.946,948.293,957.457,254086950,2288834600.0
2020-03-13,910.18,941.058,906.859,934.582,297276030,2766102000.0
2020-03-16,945.0,951.867,907.318,911.652,252972430,2188538300.0
2020-03-17,912.93,922.854,878.818,909.584,207751920,1761706900.0
2020-03-18,916.248,925.501,895.963,896.404,179813770,1553174600.0
2020-03-19,893.187,902.007,877.721,896.454,175017610,1454871900.0
2020-03-20,902.394,912.583,893.544,912.462,162189610,1399513000.0
2020-03-23,891.752,897.563,877.376,877.416,158878960,1357704000.0
2020-03-24,890.378,894.216,871.172,892.044,137015720,1166173480.0
2020-03-25,908.201,915.464,901.294,913.931,168768870,1507507900.0
2020-03-26,903.252,917.976,903.252,910.902,206726190,1755815900.0
2020-03-27,918.846,925.936,911.852,912.96,159296700,1307987110.0
2020-03-30,904.966,906.201,885.771,898.253,168014980,1543575700.0
2020-03-31,901.627,906.155,895.497,896.004,132632403,1206338690.0
2020-04-01,888.105,896.814,886.423,887.504,145340840,1350802200.0
2020-04-02,879.435,896.273,877.028,896.137,155651730,1436965200.0
2020-04-03,896.649,900.219,886.084,888.569,142781070,1278768710.0
2020-04-07,899.978,914.69,897.936,914.69,210167940,1831231900.0
2020-04-08,910.089,924.543,908.062,921.311,203194550,1693207000.0
2020-04-09,920.25,928.272,920.25,924.508,165071530,1343497900.0
2020-04-10,925.711,925.711,898.186,901.752,141229640,1166326350.0
2020-04-13,901.551,909.163,899.854,904.714,112889029,928521690.0
2020-04-14,904.627,915.335,903.234,915.335,126105518,1062725870.0
2020-04-15,913.635,919.335,909.742,910.381,169494120,1404625000.0
2020-04-16,905.603,906.849,900.544,902.422,138261020,1160570220.0
2020-04-17,903.484,906.738,895.645,896.602,138070840,1171724040.0
2020-04-20,895.665,905.538,894.682,905.262,114014439,1004059380.0
2020-04-21,903.397,907.129,898.773,907.129,123259325,1056597290.0
2020-04-22,903.896,920.322,900.414,920.288,155264840,1479679800.0
2020-04-23,918.446,919.101,906.128,906.477,133440909,1247377760.0
2020-04-24,904.755,905.104,884.685,886.373,124057347,1037427020.0
2020-04-27,885.755,886.794,874.236,874.405,89746498,759564970.0
2020-04-28,874.337,875.926,837.204,860.636,127209324,1064227660.0
2020-04-29,852.706,863.026,850.629,856.778,71912530,619614730.0
2020-04-30,856.962,871.599,856.942,870.279,127885382,1241194680.0
2020-05-06,863.379,877.6,860.39,877.298,136054420,1259599650.0
2020-05-07,873.411,873.413,866.815,869.696,118817985,1128076290.0
2020-05-08,870.817,883.082,870.009,883.082,152083570,1416681300.0
2020-05-11,882.157,887.135,874.358,879.267,134221110,1275989160.0
2020-05-12,877.13,879.506,871.488,877.808,110714399,1011175230.0
2020-05-13,877.169,877.931,871.083,877.273,107308946,1065761730.0
2020-05-14,873.657,876.283,867.428,872.61,102631010,905181850.0
2020-05-15,872.938,874.537,867.627,869.016,105484797,888483920.0
2020-05-18,867.894,868.072,855.797,857.469,114731411,966707210.0
2020-05-19,860.956,865.92,859.586,865.92,94391496,812305230.0
2020-05-20,866.918,866.918,860.572,863.523,111730304,888980250.0
2020-05-21,865.999,869.084,862.819,863.855,156388260,1479801800.0
2020-05-22,860.741,866.492,849.193,854.058,116777550,1077166780.0
2020-05-25,851.878,857.016,849.184,856.988,96773579,883492950.0
2020-05-26,856.572,865.749,856.572,865.469,88921751,815758190.0
2020-05-27,865.988,867.238,860.525,863.021,124577752,1124826980.0
2020-05-28,862.322,867.983,849.667,856.741,117856066,1049937090.0
2020-05-29,851.953,857.752,848.476,856.61,85078511,736522730.0
2020-06-01,856.935,875.202,856.935,874.15,167436420,1550626700.0
2020-06-02,873.944,885.036,873.109,885.036,148340400,1378816300.0
2020-06-03,887.477,891.095,884.196,886.539,157827760,1474974300.0
2020-06-04,886.303,887.747,879.361,885.109,119918534,1040115660.0
2020-06-05,883.119,886.437,878.433,881.827,93869745,794917680.0
2020-06-08,884.811,890.359,883.943,888.591,138470280,1190675180.0
2020-06-09,886.815,895.896,885.341,895.896,204942680,2156517100.0
2020-06-10,895.897,895.897,886.347,888.689,163482820,1597698600.0
2020-06-11,887.152,892.631,880.803,883.415,145175770,1423921300.0
2020-06-12,868.252,883.368,866.859,880.633,144496790,1291360280.0
2020-06-15,881.23,893.752,879.844,892.238,181474520,1546950300.0
2020-06-16,894.749,904.741,893.629,904.741,159601600,1465510400.0
2020-06-17,908.102,910.257,903.969,908.837,178879210,1531442100.0
2020-06-18,910.625,910.625,903.215,906.796,186385720,1627237500.0
2020-06-19,905.548,908.531,904.165,906.482,155442440,1392216000.0
2020-06-22,907.908,907.908,899.216,901.076,155040260,1324070260.0
2020-06-23,902.465,902.465,892.125,892.861,115152153,1027647130.0
2020-06-24,893.237,894.928,885.858,888.054,111815698,1020125560.0
2020-06-29,886.672,888.08,881.378,885.248,116348258,1054521520.0
2020-06-30,886.297,900.667,885.072,900.667,171574940,1564051700.0
2020-07-01,899.733,903.761,894.025,899.74,180559930,1757605300.0
2020-07-02,901.023,916.019,898.731,915.989,278746340,2830717900.0
2020-07-03,915.234,925.911,914.138,925.539,237990660,2383319300.0
2020-07-06,928.614,958.367,928.614,957.527,345516090,3492086800.0
2020-07-07,965.431,966.942,949.584,954.77,351262150,3524554900.0
2020-07-08,952.53,970.0,945.987,969.53,273108100,2674547200.0
2020-07-09,967.583,989.383,967.084,988.547,349484820,3430152000.0
2020-07-10,985.969,988.509,969.971,971.223,281458980,2734159000.0
2020-07-13,968.648,1001.384,968.648,1001.296,318525960,3241396300.0
2020-07-14,1001.099,1004.015,972.188,987.976,309379370,3135722700.0
2020-07-15,989.234,992.03,964.299,969.511,252763380,2455555800.0
2020-07-16,969.861,973.384,933.085,935.222,251426750,2371898300.0
2020-07-17,937.208,949.562,930.997,940.614,171898930,1788698800.0
2020-07-20,953.261,988.943,953.261,988.943,403499870,4813652400.0
2020-07-21,993.982,995.611,986.324,990.874,483465740,6323950000.0
2020-07-22,988.763,994.418,984.198,985.729,343060790,4226301800.0
2020-07-23,982.181,984.135,955.248,978.128,354651570,4309529500.0
2020-07-24,974.072,978.25,939.843,943.166,280737110,3079853000.0
2020-07-27,942.338,955.118,934.899,955.118,237138640,2742226200.0
2020-07-28,957.793,966.984,956.745,964.263,168394040,1966758900.0
2020-07-29,964.378,985.508,954.479,985.157,244682850,2871580600.0
2020-07-30,994.424,1010.016,994.011,1002.773,276777110,2792154500.0
2020-07-31,1001.983,1012.888,994.48,1011.004,328850450,3590531700.0
2020-08-03,1018.032,1045.054,1018.032,1040.879,487431070,5901228000.0
2020-08-04,1038.085,1040.283,1024.136,1027.137,335091170,4084345100.0
2020-08-05,1024.515,1039.075,1020.224,1036.057,272092580,3408558300.0
2020-08-06,1036.849,1043.169,1028.855,1040.212,328840060,3555945000.0
2020-08-07,1037.323,1055.762,1030.1,1042.509,427268890,5038508200.0
2020-08-10,1043.217,1058.522,1040.819,1053.426,373738620,4735372800.0
2020-08-11,1058.559,1061.243,1030.731,1033.885,450982180,4363149100.0
2020-08-12,1024.799,1028.093,1001.161,1019.769,314133450,2993945000.0
2020-08-13,1019.284,1023.39,1013.655,1019.584,216787950,2027551800.0
2020-08-14,1007.907,1014.589,999.264,1014.379,192307860,1953420200.0
2020-08-17,1013.028,1032.256,1009.785,1030.872,283297330,2737360000.0
2020-08-18,1029.021,1040.935,1028.444,1038.516,282299880,2841965900.0
2020-08-19,1038.837,1042.853,1029.263,1031.784,234187500,2305070900.0
2020-08-20,1028.551,1030.676,1013.044,1014.996,181362900,1900293300.0
2020-08-21,1019.946,1029.829,1017.656,1028.008,175700000,1757890300.0
2020-08-24,1023.612,1024.023,1008.287,1019.498,167557010,1649614500.0
2020-08-25,1020.865,1030.714,1017.177,1029.176,235459630,2159959700.0
2020-08-26,1027.929,1033.011,1008.096,1018.38,275969610,2613908900.0
2020-08-27,1016.706,1030.952,1007.734,1029.788,243615010,2081379400.0
2020-08-28,1026.358,1026.733,1008.911,1015.638,259948070,2196052600.0
2020-08-31,1017.226,1025.639,1015.935,1018.788,223586410,1976098700.0
2020-09-01,1014.603,1031.156,1013.925,1031.156,196171700,1758565600.0
2020-09-02,1030.309,1054.371,1030.1,1047.225,277619210,2679183400.0
2020-09-03,1042.904,1043.563,1028.737,1036.274,221646790,2121762300.0
2020-09-04,1018.005,1042.978,1016.389,1042.978,227308920,2154078200.0
2020-09-07,1040.887,1059.301,1034.889,1044.167,310029310,3012904900.0
2020-09-08,1040.259,1054.477,1030.442,1054.477,277720500,2454619700.0
2020-09-09,1043.447,1088.141,1042.745,1058.335,456627850,4052687800.0
2020-09-10,1052.423,1058.604,1006.491,1008.427,322304610,2682406600.0
2020-09-11,992.469,1016.812,988.796,1011.178,222706210,1657794600.0
2020-09-14,1014.24,1033.604,1012.99,1029.738,223765150,1755633500.0
2020-09-15,1032.459,1032.459,1019.245,1026.308,200050770,1595922000.0
2020-09-16,1026.034,1026.034,1016.92,1022.962,236380720,1783247700.0
2020-09-17,1021.557,1036.885,1019.432,1032.742,246439920,1897951200.0
2020-09-18,1029.807,1034.336,1022.472,1033.612,210648620,1738740900.0
2020-09-21,1035.634,1035.924,1028.26,1031.084,160941450,1309225910.0
2020-09-22,1024.145,1029.377,1010.451,1012.707,148391050,1171342280.0
2020-09-23,1015.667,1018.618,1009.717,1016.837,131769440,1068793330.0
2020-09-24,1012.047,1013.325,981.837,981.837,160361800,1252260780.0
2020-09-25,988.8,989.113,972.842,977.177,99016379,769128310.0
2020-09-28,979.023,982.646,958.051,959.753,116885644,889978180.0
2020-09-29,963.592,969.151,959.816,960.854,102824669,822595370.0
2020-09-30,964.829,968.847,954.441,958.55,112920512,884117180.0
2020-10-09,970.446,984.707,970.446,980.479,117283553,949636730.0
2020-10-12,982.832,1005.823,982.832,1005.823,155496350,1316734960.0
2020-10-13,1006.349,1009.441,999.982,1008.428,161537060,1439261100.0
2020-10-14,1007.18,1018.414,1006.447,1016.499,203226000,1910658300.0
2020-10-15,1014.185,1060.388,1008.629,1044.84,363950370,3485509300.0
2020-10-16,1040.5,1048.009,1032.177,1038.228,240885910,2230071300.0
2020-10-19,1042.312,1059.548,1035.979,1051.56,265370500,2527147000.0
2020-10-20,1041.66,1046.317,1037.77,1046.008,209293060,2014890400.0
2020-10-21,1045.058,1045.058,1027.726,1029.211,182992310,1677724700.0
2020-10-22,1027.416,1028.489,1013.625,1022.737,179124830,1634999600.0
2020-10-23,1024.618,1029.158,1013.584,1015.26,150028050,1345535400.0
2020-10-26,1017.914,1018.896,1003.381,1014.822,135193660,1161245320.0
2020-10-27,1009.337,1018.769,1004.945,1015.499,194266190,1924243600.0
