日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-12-16,1019.498,1020.462,988.665,1000.94,744899780,9127853600.0
2021-12-17,998.854,1042.667,992.756,1014.289,1227884110,15615418000.0
2021-12-20,1039.538,1052.463,998.302,998.302,1331192750,14930254000.0
2021-12-21,989.144,1009.084,980.627,1004.263,1570150800,18324807000.0
2021-12-22,997.59,999.561,981.553,981.879,1430130800,15048085000.0
2021-12-23,976.666,995.273,968.074,988.652,1359464100,16361173000.0
2021-12-24,986.151,988.013,940.75,940.75,1435814300,17254603000.0
2021-12-27,936.87,953.815,922.291,932.621,1258728530,17856250000.0
2021-12-28,933.733,938.147,925.792,937.558,985072140,13184760600.0
2021-12-29,936.084,937.772,927.718,930.997,945707350,13290925500.0
2021-12-30,931.493,948.766,931.048,942.484,962383230,12319580200.0
2021-12-31,944.806,953.865,942.946,944.035,1010479320,12724233800.0
2022-01-04,946.853,947.815,932.951,941.411,1076829620,14321749000.0
2022-01-05,939.224,939.224,903.649,912.304,1086652300,13995351000.0
2022-01-06,906.471,929.561,905.871,925.207,848927230,11512087700.0
2022-01-07,924.188,928.344,898.154,898.154,892329890,11425150000.0
2022-01-10,894.68,904.447,887.947,899.101,781826640,10385188400.0
2022-01-11,898.883,903.9,885.174,888.147,758112180,9918823100.0
2022-01-12,913.0,936.033,913.0,935.953,1316156630,17482959000.0
2022-01-13,935.762,936.336,918.393,920.811,1288143090,14815484000.0
2022-01-14,911.639,932.033,909.987,917.24,953201490,11643240700.0
2022-01-17,919.04,925.831,914.393,924.097,842123140,10995363700.0
2022-01-18,921.484,935.633,913.509,932.417,1082958630,13999830000.0
2022-01-19,928.239,934.666,916.415,924.244,910847860,11945790000.0
2022-01-20,923.355,923.638,888.365,888.365,768515700,9545725900.0
2022-01-21,884.562,892.403,879.923,884.487,543435530,7295323400.0
2022-01-24,884.184,891.57,883.415,885.582,535203220,6882562700.0
2022-01-25,880.62,886.736,835.993,835.993,793866510,9627177500.0
2022-01-26,840.809,861.411,840.809,854.898,830458720,10916343900.0
2022-01-27,853.656,855.057,825.25,825.25,775750290,10242271900.0
2022-01-28,830.872,844.359,812.783,832.773,774770040,10620198400.0
2022-02-07,847.05,851.682,839.68,845.338,624869530,8176348800.0
2022-02-08,844.363,848.803,828.974,848.803,635915930,8821335300.0
2022-02-09,847.205,861.18,839.789,861.18,670755320,8919240400.0
2022-02-10,858.423,859.071,846.182,851.884,671072780,8746804300.0
2022-02-11,845.689,845.689,818.772,820.359,664380170,8703339500.0
2022-02-14,814.911,826.241,808.445,817.993,497297720,6371826900.0
2022-02-15,818.092,828.608,812.191,826.783,560364990,7922391500.0
2022-02-16,832.418,838.197,828.373,835.854,539581060,7347668600.0
2022-02-17,834.451,852.479,832.009,840.876,729914870,10813296600.0
2022-02-18,834.357,841.492,833.154,841.484,524308340,7230405800.0
2022-02-21,841.932,856.54,841.832,856.54,706750490,9424891500.0
2022-02-22,849.083,851.005,840.028,845.04,649144210,8425969000.0
2022-02-23,846.279,869.364,846.216,869.31,809505310,11774572700.0
2022-02-24,864.826,879.722,833.398,846.727,1070746640,13967451000.0
2022-02-25,853.49,865.781,852.457,854.98,713416410,9676944300.0
2022-02-28,852.172,855.394,836.446,849.458,631143700,8467159700.0
2022-03-01,851.435,864.904,851.435,858.179,770784990,11867839200.0
2022-03-02,852.383,860.474,847.877,860.259,751809370,10013109600.0
2022-03-03,867.028,868.519,847.594,848.028,735958070,9400918600.0
2022-03-04,842.754,848.244,831.722,834.129,615088110,7842519200.0
2022-03-07,829.297,829.846,812.407,816.336,591193370,8157369800.0
2022-03-08,816.38,820.128,786.513,792.275,739561600,9549224200.0
2022-03-09,795.82,805.225,755.323,788.669,816937740,10615219000.0
2022-03-10,805.156,813.868,802.33,802.829,827424210,12109275500.0
2022-03-11,792.558,807.758,779.808,807.514,805030690,11691196500.0
2022-03-14,799.277,800.939,778.175,778.175,650366550,9033966700.0
2022-03-15,774.625,777.596,735.834,735.834,777811320,9738856300.0
2022-03-16,749.434,763.56,723.325,762.873,910475570,13239717700.0
2022-03-17,772.125,788.31,771.343,774.277,852422390,12713767900.0
2022-03-18,770.865,780.901,768.652,779.538,551576670,7581773700.0
2022-03-21,779.13,793.416,779.086,790.839,624966530,7881384400.0
2022-03-22,795.051,795.636,780.967,784.136,634718960,7411832900.0
2022-03-23,790.379,809.609,789.099,800.059,853088550,10295527200.0
2022-03-24,793.493,793.493,780.42,781.553,741075210,8267919400.0
2022-03-25,783.117,784.559,770.622,770.795,580830680,6938393000.0
2022-03-28,764.528,773.742,755.609,767.723,545970520,6298051400.0
2022-03-29,770.421,771.489,749.65,752.546,466375280,5648850300.0
2022-03-30,758.566,774.343,758.566,773.037,688082130,8456822500.0
2022-03-31,770.944,773.441,765.782,772.228,810862160,8623557700.0
2022-04-01,766.276,768.525,759.928,762.401,685937030,7021034500.0
2022-04-06,760.032,765.642,756.645,760.422,614538030,6811500500.0
2022-04-07,757.104,757.104,736.753,736.753,574750470,6152540000.0
2022-04-08,737.491,739.55,720.202,728.634,510358180,5787651400.0
2022-04-11,725.878,726.068,692.939,696.733,629490320,7025896400.0
2022-04-12,696.598,709.366,689.199,709.366,488814520,5367347700.0
2022-04-13,706.977,706.977,692.296,692.359,416244770,4443571600.0
2022-04-14,695.201,699.454,689.991,694.943,395981320,4759527200.0
2022-04-15,691.787,691.787,676.69,680.668,427794850,4470871600.0
2022-04-18,676.247,695.633,667.962,694.824,446479900,5057879800.0
2022-04-19,694.588,705.731,692.788,696.702,415374010,5049404900.0
2022-04-20,696.085,702.739,684.009,687.465,425071030,4501692200.0
2022-04-21,685.519,692.446,659.534,661.04,514393470,5287899100.0
2022-04-22,658.304,661.738,648.171,653.03,418497500,4545647400.0
2022-04-25,642.862,642.862,598.058,598.058,616578130,6201707500.0
2022-04-26,599.646,605.968,579.219,580.294,555258050,5678710900.0
2022-04-27,575.206,613.496,570.962,613.027,776078080,8518037800.0
2022-04-28,607.565,614.524,595.291,602.264,556013080,6578227300.0
2022-04-29,607.958,632.642,607.958,629.931,645394220,7733637200.0
2022-05-05,630.372,642.045,627.531,635.96,547318300,6849143400.0
2022-05-06,622.098,635.632,619.311,628.81,406854310,4703960200.0
2022-05-09,629.042,642.158,628.891,639.472,350527480,3638891600.0
2022-05-10,632.378,656.306,630.909,655.43,539901500,6743539100.0
2022-05-11,657.756,679.233,657.658,661.722,702203230,8801853800.0
2022-05-12,658.891,672.222,658.556,669.232,520793900,6328122100.0
2022-05-13,670.657,673.846,665.298,671.992,466065080,6340044100.0
2022-05-16,676.996,679.71,668.191,670.692,416283580,4983966000.0
2022-05-17,670.718,675.764,663.943,675.689,510586370,6877847600.0
2022-05-18,675.96,689.051,674.402,682.964,528861410,6118161500.0
2022-05-19,673.197,696.762,670.994,696.762,754197950,9622540100.0
2022-05-20,700.188,706.666,691.702,706.225,748104270,9628676800.0
2022-05-23,707.366,714.016,701.091,714.016,637515860,7930433000.0
2022-05-24,712.374,713.814,678.221,678.221,752676330,9083583800.0
2022-05-25,677.764,709.918,677.764,709.917,764972990,9176098400.0
2022-05-26,708.373,710.993,695.845,707.609,777340200,9017363200.0
2022-05-27,709.139,712.059,694.962,701.953,531133250,6238258100.0
2022-05-30,703.826,711.941,695.856,711.873,617073950,6885043000.0
2022-05-31,716.185,730.996,710.624,728.853,1069920220,13033843400.0
2022-06-01,726.18,742.573,725.041,741.353,909439570,10531592500.0
2022-06-02,738.184,753.286,734.79,751.325,768899490,9449607800.0
2022-06-06,749.244,762.95,749.244,760.93,808162430,10443346700.0
2022-06-07,763.384,763.601,742.731,747.618,913348060,10574369900.0
2022-06-08,746.698,747.838,722.641,740.297,816596530,10293937400.0
2022-06-09,738.622,738.622,716.488,722.238,727360660,10232376400.0
2022-06-10,719.998,737.81,719.623,736.781,783215380,11388271600.0
2022-06-13,730.082,747.826,729.245,744.323,822189370,12522605100.0
2022-06-14,738.483,738.858,714.698,738.709,945173190,13519066000.0
