日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-08-28,1038.201,1081.538,1021.516,1078.267,1522219700,12083366700.0
2023-08-29,1068.449,1085.65,1052.507,1077.304,1588874200,12914810000.0
2023-08-30,1058.937,1064.29,1047.785,1049.611,1277242650,10658847800.0
2023-08-31,1042.678,1050.948,1034.202,1036.594,981162270,8259356500.0
2023-09-01,1030.622,1031.598,1006.967,1008.275,840994830,7079938900.0
2023-09-04,1010.211,1028.564,1010.211,1025.438,884756240,6883920900.0
2023-09-05,1019.735,1019.882,1007.097,1019.753,859132690,6801904300.0
2023-09-06,1010.865,1011.581,1002.186,1008.043,728764190,5573315200.0
2023-09-07,1005.111,1007.624,990.965,990.979,743994920,5396287400.0
2023-09-08,989.226,999.05,989.226,994.707,670677890,4962776200.0
2023-09-11,994.589,1002.852,986.424,1002.112,707996530,5323516500.0
2023-09-12,999.447,1005.595,995.539,1001.723,607051740,4954459900.0
2023-09-13,999.486,1007.036,992.707,1006.091,903586840,6791148600.0
2023-09-14,1000.368,1000.368,983.069,986.407,845935640,5455421700.0
2023-09-15,988.267,993.381,982.823,989.389,758046700,4850691400.0
2023-09-18,987.331,996.304,981.932,991.046,626862420,4157164000.0
2023-09-19,988.509,992.772,984.773,986.122,683670670,4479644900.0
2023-09-20,983.849,987.829,976.374,977.229,522942250,3786425500.0
2023-09-21,975.29,978.944,966.411,967.678,460819990,3339104700.0
2023-09-22,964.305,984.87,962.367,984.079,545257610,4169357300.0
2023-09-25,983.265,987.078,979.838,983.358,543268980,4338812100.0
2023-09-26,981.433,984.586,976.932,979.372,420624680,3395192600.0
2023-09-27,979.668,989.481,977.217,984.506,567413160,4128693800.0
2023-09-28,986.477,991.902,986.121,991.644,510408750,3780556900.0
2023-10-09,989.292,989.292,980.47,983.795,517943080,4048711900.0
2023-10-10,985.346,989.563,978.014,980.188,493955960,3818163800.0
2023-10-11,981.158,986.743,978.085,983.7,522095680,4206153800.0
2023-10-12,984.403,985.173,978.642,982.383,480760510,3936855000.0
2023-10-13,978.204,978.204,970.778,972.133,583086440,5319098700.0
2023-10-16,973.28,973.502,961.164,965.097,511182630,4532128100.0
2023-10-17,964.826,964.826,954.325,960.726,445896750,3714765200.0
2023-10-18,958.674,958.674,935.484,935.524,456495950,3500203700.0
2023-10-19,933.085,944.172,929.787,929.843,453550080,3112685200.0
2023-10-20,927.557,933.259,923.105,924.273,393998920,2828622200.0
2023-10-23,922.9,923.2,897.304,900.177,457808640,3377548600.0
2023-10-24,899.162,920.686,898.826,920.169,523459150,3801393300.0
2023-10-25,926.258,936.998,926.258,932.342,621625980,4445279500.0
2023-10-26,927.456,930.675,919.193,929.094,565841210,3856884400.0
2023-10-27,925.519,945.791,921.62,943.023,559313340,4806290200.0
2023-10-30,941.587,957.427,941.404,955.897,627341730,6382250500.0
