日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1485.468,1498.395,1483.669,1497.478,1715956300,10157764600.0
2020-01-03,1498.479,1505.207,1495.494,1503.614,1399515500,8705321400.0
2020-01-06,1498.96,1522.976,1493.39,1514.533,1833135000,12041626300.0
2020-01-07,1516.127,1529.25,1515.88,1529.25,1915394400,11183919400.0
2020-01-08,1525.131,1533.966,1508.92,1513.504,1903741800,12442233200.0
2020-01-09,1522.282,1534.51,1522.235,1534.51,1584701800,10611092200.0
2020-01-10,1537.053,1537.329,1517.648,1523.157,1317434860,8596023700.0
2020-01-13,1526.107,1534.995,1513.257,1534.995,1277558480,8574696400.0
2020-01-14,1536.369,1544.135,1534.038,1536.038,1571768600,10736910500.0
2020-01-15,1535.459,1535.48,1516.328,1522.92,1258322020,8324967100.0
2020-01-16,1526.27,1527.256,1511.994,1512.421,1088719150,7244279900.0
2020-01-17,1514.61,1517.289,1501.537,1503.229,1132987900,7707644100.0
2020-01-20,1502.601,1511.635,1497.107,1511.635,1121158890,7595939100.0
2020-01-21,1508.894,1509.033,1490.36,1490.36,1194761080,7448855000.0
2020-01-22,1487.334,1494.965,1464.806,1490.275,1169646430,7926940100.0
2020-01-23,1482.446,1486.158,1434.224,1443.979,1512935300,9808244600.0
2020-02-03,1305.592,1307.404,1303.678,1304.48,1098822640,6714264300.0
2020-02-04,1221.368,1290.252,1221.368,1286.816,2311023000,12108485400.0
2020-02-05,1289.307,1328.148,1288.219,1311.399,1801925200,10122502200.0
2020-02-06,1311.317,1336.327,1301.836,1331.348,1773870900,10224659000.0
2020-02-07,1331.047,1345.911,1321.267,1345.74,1575432300,9710244000.0
2020-02-10,1344.013,1371.986,1340.898,1371.893,1634293800,9869535800.0
2020-02-11,1371.318,1380.797,1365.462,1372.189,1613243200,9296323000.0
2020-02-12,1368.243,1392.037,1367.07,1391.428,1347602000,8756053200.0
2020-02-13,1392.438,1396.69,1375.27,1376.834,1311677990,8442937800.0
2020-02-14,1376.345,1388.639,1372.477,1380.914,1211616280,7746828400.0
2020-02-17,1386.607,1426.162,1386.607,1426.162,1765632400,11145745500.0
2020-02-18,1433.681,1451.949,1430.24,1451.949,1883336000,12310482500.0
2020-02-19,1451.556,1458.587,1444.819,1445.394,1918131600,13555583000.0
2020-02-20,1449.314,1470.107,1442.105,1469.952,2010685100,13834073000.0
2020-02-21,1470.648,1490.355,1469.538,1482.918,2187208400,15379513000.0
2020-02-24,1479.308,1492.67,1468.954,1489.926,2286196400,16158509000.0
2020-02-25,1460.403,1486.632,1433.024,1486.545,2915246100,18855455000.0
2020-02-26,1468.805,1507.267,1465.1,1483.327,3326177100,19635230000.0
2020-02-27,1487.211,1498.15,1474.151,1490.253,2673280300,15426204000.0
2020-02-28,1447.878,1462.67,1413.251,1415.417,2740399200,16501453000.0
2020-03-02,1426.447,1482.978,1426.447,1479.928,2472018900,15280208000.0
