日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,946.896,964.65,944.056,963.851,1184877920,8058069300.0
2020-01-03,965.985,972.988,962.974,969.972,1119075970,8208976600.0
2020-01-06,964.104,983.355,960.854,976.267,1038560820,8707501600.0
2020-01-07,979.697,995.769,979.503,994.381,1064783930,9077509200.0
2020-01-08,987.861,994.616,973.421,976.225,1038510240,8621292400.0
2020-01-09,986.139,999.755,985.022,999.712,902809820,8608308600.0
2020-01-10,1003.245,1003.309,988.806,995.436,884403360,8486560900.0
2020-01-13,993.479,1003.782,987.452,1003.544,706684920,7028835400.0
2020-01-14,1007.253,1008.562,1003.135,1003.775,774900120,7643462900.0
2020-01-15,1001.919,1006.983,995.649,1000.572,735429460,7452975900.0
2020-01-16,1001.524,1004.417,996.674,998.486,617277600,6510030900.0
2020-01-17,999.195,1000.817,989.638,989.638,721474260,7663079300.0
2020-01-20,989.961,998.451,982.578,998.451,682507330,7195964900.0
2020-01-21,996.075,996.075,984.757,985.39,680870890,7379647000.0
2020-01-22,981.585,990.431,965.276,986.815,775524450,8169965400.0
2020-01-23,977.278,987.202,948.458,958.751,945841280,9316443900.0
2020-02-03,874.866,879.145,870.567,872.342,466925300,4857943200.0
2020-02-04,817.829,864.626,817.829,861.47,1155085420,9950365500.0
2020-02-05,866.844,898.362,866.844,890.781,1017701490,9754228100.0
2020-02-06,893.586,920.684,889.157,914.832,1023462470,10569412300.0
2020-02-07,919.229,931.27,908.19,931.27,1189149920,11847962300.0
2020-02-10,932.586,940.983,927.26,940.216,1080495140,11123426000.0
2020-02-11,941.807,942.796,926.747,931.85,939090270,9261740300.0
2020-02-12,930.379,947.421,927.907,946.562,808203710,8311529300.0
2020-02-13,947.177,951.552,931.025,932.508,1089164690,11538952500.0
2020-02-14,932.967,943.57,927.087,935.607,925285420,10491455800.0
2020-02-17,941.865,966.52,941.865,966.52,998555540,10806975300.0
2020-02-18,966.011,987.958,964.872,987.958,1045285800,11512899500.0
2020-02-19,984.816,987.781,973.336,973.615,944496380,11097261400.0
2020-02-20,974.959,988.706,966.92,988.503,880170340,9416129400.0
2020-02-21,987.689,1008.924,986.732,1003.663,1120245200,11582513200.0
2020-02-24,1000.678,1022.223,997.787,1018.731,1279700230,12975136800.0
2020-02-25,996.992,1020.547,975.922,1019.333,1579484000,14016544000.0
2020-02-26,1010.675,1026.675,1001.549,1004.843,1354202900,12025507100.0
2020-02-27,1009.899,1016.642,990.656,1007.963,1449307300,11372130300.0
2020-02-28,980.145,990.853,951.346,952.455,1598511700,12052924800.0
2020-03-02,959.19,993.703,959.19,989.744,1279886050,10191032400.0
2020-03-03,1004.443,1022.524,993.51,1002.376,1512611900,12531342200.0
2020-03-04,996.751,1017.117,996.059,1017.117,1101826110,9256402200.0
2020-03-05,1033.19,1036.651,1023.62,1036.099,1276378080,11122067800.0
2020-03-06,1025.158,1040.997,1022.18,1032.457,1245841840,10585528000.0
2020-03-09,1016.663,1022.07,995.763,995.897,1953898100,14187603000.0
2020-03-10,971.787,1013.154,966.111,1013.154,1570107000,12110825600.0
2020-03-11,1013.375,1025.947,1004.807,1004.807,1610360600,12387035900.0
2020-03-12,991.871,996.327,977.321,985.885,1340475090,9792498700.0
2020-03-13,934.017,980.084,933.498,972.447,1465702000,11244145900.0
2020-03-16,980.413,985.204,935.346,937.577,1533439700,11123196900.0
2020-03-17,939.459,947.605,896.655,928.698,1281504690,8722676100.0
2020-03-18,936.135,950.085,912.218,912.218,1300490790,9727268000.0
2020-03-19,911.751,924.93,897.012,919.241,1265362880,8595662300.0
2020-03-20,928.682,937.942,921.599,937.587,1087842490,7940470100.0
2020-03-23,915.512,925.091,897.783,900.454,990755760,7596573600.0
2020-03-24,917.521,922.968,892.223,920.38,1119104570,8553558200.0
2020-03-25,935.576,943.874,929.507,942.742,1219283060,8644294100.0
2020-03-26,934.337,947.098,932.153,935.047,1151467030,8767612700.0
2020-03-27,946.005,948.07,930.418,931.677,999114180,7696325200.0
2020-03-30,919.617,919.617,897.528,904.933,1035421460,7696002700.0
2020-03-31,911.563,912.878,901.438,902.077,785864540,5576471100.0
2020-04-01,901.113,914.294,898.165,900.834,899150300,6337246600.0
2020-04-02,895.717,922.982,894.165,922.982,971800360,7192053900.0
2020-04-03,923.241,926.099,914.758,919.987,856754250,6236191200.0
2020-04-07,936.245,952.917,935.997,952.479,1141202430,8919600900.0
2020-04-08,952.046,964.226,950.44,959.646,1561152200,11999075700.0
2020-04-09,964.743,975.007,963.739,972.722,1531076900,12095850500.0
2020-04-10,970.775,970.775,947.132,948.144,1450711700,10933859600.0
2020-04-13,941.094,943.293,929.52,931.773,1252081650,8325173900.0
2020-04-14,933.643,947.379,933.643,947.379,914713330,7567101100.0
2020-04-15,948.468,952.074,942.736,943.984,1189493290,9054059400.0
2020-04-16,938.727,956.819,934.895,954.619,1051660020,8905825400.0
