日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-06-09,997.063,997.063,968.744,976.339,492060170,7796987900.0
2022-06-10,967.902,1038.134,967.631,1036.539,1229600310,16761662000.0
2022-06-13,1040.252,1065.835,1038.403,1061.861,3357206400,49142437000.0
2022-06-14,1052.475,1069.905,1030.825,1069.819,4988981700,62691499000.0
2022-06-15,1074.816,1081.518,1054.827,1054.827,5084741300,75916214000.0
2022-06-16,1053.894,1069.41,1053.894,1061.846,4376577600,63262204000.0
2022-06-17,1054.469,1090.769,1053.614,1089.792,4769571600,81217522000.0
2022-06-20,1096.123,1110.854,1094.797,1107.846,5012889600,87510289000.0
2022-06-21,1110.257,1110.773,1086.431,1099.024,5405830200,81015831000.0
2022-06-22,1100.185,1117.249,1099.626,1100.834,5167410600,75745945000.0
2022-06-23,1102.922,1148.921,1102.922,1148.844,6720018900,103325748000.0
2022-06-24,1154.729,1172.271,1150.934,1169.121,6809653100,107234199000.0
2022-06-27,1175.056,1188.284,1164.728,1187.028,6911132200,114062907000.0
2022-06-28,1186.155,1211.997,1179.457,1211.41,7864904300,126170779000.0
2022-06-29,1206.809,1206.968,1153.557,1153.666,7598247100,127329567000.0
2022-06-30,1151.751,1166.736,1146.972,1155.57,5747836600,93832638000.0
2022-07-01,1154.82,1160.508,1144.351,1153.92,4812098300,84792119000.0
2022-07-04,1151.681,1156.978,1136.18,1155.89,5038686500,93688915000.0
2022-07-05,1155.881,1163.405,1126.394,1141.01,5376378000,98300968000.0
2022-07-06,1137.467,1157.083,1132.864,1145.558,5015185700,92804264000.0
2022-07-07,1145.434,1173.399,1141.535,1171.723,6185383900,113207861000.0
2022-07-08,1172.701,1181.254,1160.573,1162.247,5783073300,99165583000.0
2022-07-11,1157.244,1157.307,1131.489,1143.628,5023755000,92782973000.0
2022-07-12,1142.874,1144.356,1114.907,1114.983,4570936900,85337740000.0
2022-07-13,1115.752,1132.977,1112.561,1130.659,4738047200,78896411000.0
2022-07-14,1127.977,1163.536,1125.789,1159.186,5603559800,98124044000.0
2022-07-15,1155.277,1175.837,1153.62,1157.022,5956149400,104430139000.0
2022-07-18,1160.472,1192.906,1160.472,1192.906,5822711200,96515313000.0
2022-07-19,1194.937,1219.014,1190.702,1210.272,6712401300,103994826000.0
2022-07-20,1214.344,1215.389,1204.908,1214.922,5987867400,89147223000.0
2022-07-21,1211.594,1229.765,1205.201,1219.091,6580870900,99901506000.0
2022-07-22,1219.861,1227.558,1205.562,1217.688,5926215400,93170516000.0
2022-07-25,1217.66,1220.188,1191.429,1194.802,5353646700,83179079000.0
2022-07-26,1194.955,1210.747,1173.538,1210.747,4855477100,77830108000.0
2022-07-27,1210.277,1244.648,1208.416,1244.528,5685148400,89299409000.0
2022-07-28,1253.0,1273.442,1252.431,1268.509,6996033800,107333240000.0
2022-07-29,1271.563,1284.899,1266.388,1278.965,6722970600,102927893000.0
2022-08-01,1279.27,1296.944,1269.367,1296.944,7209271600,116669414000.0
2022-08-02,1277.642,1277.642,1237.086,1248.157,7967028700,120280682000.0
2022-08-03,1253.27,1283.905,1227.747,1233.901,7602481100,119100261000.0
2022-08-04,1238.564,1248.854,1219.553,1244.368,6238543600,95527094000.0
2022-08-05,1246.814,1257.132,1231.752,1247.668,6368938100,98708022000.0
2022-08-08,1243.808,1281.786,1231.204,1281.786,6161052000,98303658000.0
2022-08-09,1282.136,1291.941,1278.533,1290.809,6046498300,99085084000.0
2022-08-10,1286.555,1298.017,1284.294,1296.719,6141793700,109368579000.0
2022-08-11,1301.409,1308.855,1294.112,1307.838,7034005400,113463475000.0
2022-08-12,1307.884,1316.26,1289.474,1290.21,6640322700,100387291000.0
2022-08-15,1286.924,1308.729,1285.85,1308.539,6139228600,96666145000.0
2022-08-16,1309.88,1328.763,1307.046,1326.855,6793950500,106738352000.0
2022-08-17,1326.57,1331.726,1317.317,1329.892,7116397700,113902151000.0
2022-08-18,1327.613,1355.481,1325.25,1355.481,7277619300,118138021000.0
2022-08-19,1356.74,1356.875,1311.508,1311.817,7254010300,119739051000.0
2022-08-22,1307.761,1310.042,1293.547,1310.042,5754404200,99773566000.0
2022-08-23,1305.092,1323.833,1304.058,1317.841,5338251700,89299021000.0
2022-08-24,1319.893,1320.484,1250.88,1252.054,6603866600,104030432000.0
2022-08-25,1255.493,1258.682,1212.29,1224.798,4930133900,79334977000.0
2022-08-26,1227.652,1240.429,1212.672,1215.495,4048194700,68550937000.0
2022-08-29,1196.542,1226.583,1188.921,1222.866,3676072300,59143196000.0
2022-08-30,1223.309,1227.472,1201.174,1208.114,3549815400,57815241000.0
2022-08-31,1204.492,1204.925,1148.846,1151.109,4695710300,80924796000.0
2022-09-01,1152.466,1161.595,1138.112,1140.759,3250797700,53718842000.0
2022-09-02,1143.714,1168.401,1139.215,1165.833,3334289500,53707420000.0
2022-09-05,1165.94,1174.886,1154.637,1161.5,3053907700,55062720000.0
2022-09-06,1166.277,1185.994,1157.05,1185.994,3640992300,62668475000.0
