日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-25,999.029,1022.834,997.33,999.857,377628050,3761061500.0
2022-03-28,991.974,999.908,977.055,986.37,302050170,2847603700.0
2022-03-29,988.115,1015.866,978.513,1014.294,383684790,3714624000.0
2022-03-30,1010.299,1027.971,990.036,1023.834,374156590,3799620300.0
2022-03-31,1027.374,1070.638,1026.45,1049.725,581144190,6167554900.0
2022-04-01,1038.266,1053.854,1036.657,1047.019,501193540,5909349000.0
2022-04-06,1064.518,1078.251,1055.771,1062.922,462379840,5586092300.0
2022-04-07,1062.094,1066.549,1027.236,1035.538,497918540,5278933700.0
2022-04-08,1033.054,1033.688,998.597,1019.081,428247520,4833654100.0
2022-04-11,1010.496,1020.633,983.986,990.552,343336230,3774482400.0
2022-04-12,984.485,1009.325,982.055,1008.285,344354520,3592127500.0
2022-04-13,998.974,999.157,967.447,975.066,354765820,3744765800.0
2022-04-14,976.024,1005.571,975.654,992.8,301420940,3279965200.0
2022-04-15,987.239,993.035,970.459,974.226,325067060,3310694500.0
2022-04-18,965.202,971.573,954.88,960.852,252537810,2494574300.0
2022-04-19,962.496,994.624,958.417,985.893,303297360,3001311300.0
2022-04-20,982.2,1005.116,974.777,982.335,420814260,3925421500.0
2022-04-21,978.139,1001.388,955.407,960.677,408797780,4474134300.0
2022-04-22,944.201,951.489,930.045,940.725,440910440,4391395200.0
2022-04-25,926.163,932.481,877.613,881.686,393556720,3463163900.0
2022-04-26,878.008,901.417,856.302,888.026,504632610,4636810500.0
2022-04-27,861.593,896.66,850.314,896.66,412648900,3808564500.0
2022-04-28,882.938,890.414,860.697,866.755,357728660,3255757300.0
2022-04-29,871.412,921.065,871.111,916.05,437712010,4064238500.0
2022-05-05,914.738,947.196,908.719,946.311,379177880,3756246000.0
2022-05-06,924.138,953.215,920.115,937.537,326509620,3467990500.0
2022-05-09,934.867,948.47,930.2,945.787,286838790,2684149200.0
2022-05-10,934.923,950.412,927.071,950.172,293629150,2713085100.0
2022-05-11,953.009,971.242,942.06,942.634,339536560,3317678600.0
2022-05-12,933.003,962.317,932.22,961.883,285393880,2790393100.0
2022-05-13,963.593,973.7,948.72,959.153,253620980,2439890900.0
2022-05-16,972.594,986.225,969.173,981.216,421017910,3948243200.0
2022-05-17,980.495,980.613,948.238,958.463,324320370,3258056600.0
2022-05-18,958.165,966.317,954.035,955.303,218883360,2326744800.0
2022-05-19,937.278,948.601,935.45,947.705,199848860,1914333200.0
2022-05-20,950.182,963.776,949.05,959.157,225486700,2169134300.0
2022-05-23,961.402,977.92,961.402,977.426,211936380,2092088300.0
2022-05-24,974.635,974.635,918.718,919.446,287825040,2630172200.0
2022-05-25,916.972,933.408,916.919,933.405,154165960,1390412000.0
2022-05-26,935.701,940.149,915.121,937.105,163147430,1506770100.0
2022-05-27,939.521,945.054,927.161,934.807,168779820,1508371400.0
2022-05-30,937.293,946.226,926.429,941.709,174012160,1892794600.0
2022-05-31,941.337,946.682,927.208,946.251,170491660,1785427900.0
2022-06-01,944.972,952.233,931.66,938.899,181260390,1750051200.0
2022-06-02,939.346,939.346,924.022,933.294,161190130,1487551300.0
2022-06-06,933.364,953.218,933.036,952.834,220713460,2162939700.0
2022-06-07,955.511,974.587,951.382,973.361,286235370,2840727700.0
2022-06-08,970.193,970.193,945.194,960.558,243003980,2423502700.0
2022-06-09,959.869,962.4,936.149,937.58,206455840,2160574500.0
2022-06-10,932.794,953.835,932.395,951.596,180103130,1760886500.0
2022-06-13,946.582,961.286,944.834,957.86,188384660,1932258200.0
2022-06-14,952.782,961.396,932.936,961.203,204726580,1845197000.0
2022-06-15,963.196,974.725,962.301,962.901,204543070,1927105700.0
2022-06-16,960.498,983.684,960.498,974.563,189365590,1895051300.0
2022-06-17,970.245,986.309,959.209,982.764,173784210,1973668600.0
2022-06-20,986.091,1001.982,980.564,1000.183,218360370,2307262000.0
2022-06-21,1002.408,1002.408,978.961,986.601,164390080,1716047700.0
2022-06-22,986.713,997.56,977.724,979.856,185549710,1825810000.0
2022-06-23,983.231,987.596,974.432,987.156,177640400,2056798900.0
2022-06-24,990.314,1002.818,989.587,995.113,158948210,1787022700.0
2022-06-27,1005.177,1016.682,996.113,1001.192,242617170,2447911000.0
2022-06-28,999.862,1003.474,991.244,1002.871,170859120,1733077200.0
2022-06-29,1004.346,1031.895,1003.165,1016.935,295167820,3229927300.0
2022-06-30,1029.655,1046.806,1028.875,1040.884,305244980,3554955100.0
2022-07-01,1036.075,1042.227,1023.067,1027.225,199889360,2324795200.0
2022-07-04,1027.079,1046.649,1024.493,1046.223,236922990,2496937500.0
2022-07-05,1046.098,1046.338,1019.885,1030.81,194280130,2171171000.0
2022-07-06,1028.37,1029.254,1002.153,1010.398,184948290,1963349700.0
2022-07-07,1011.473,1011.473,997.437,1002.869,123036548,1279971110.0
2022-07-08,1003.532,1011.258,1000.838,1004.075,116408929,1213694670.0
2022-07-11,1001.791,1014.976,996.631,1004.17,153310860,1465784900.0
2022-07-12,1003.544,1003.544,980.147,980.622,151238710,1507397400.0
2022-07-13,980.11,986.615,975.226,979.63,116305088,1164578780.0
2022-07-14,979.854,985.278,974.273,976.676,119546417,1160284610.0
2022-07-15,976.412,991.413,973.624,974.226,221654540,2377502700.0
2022-07-18,981.331,1007.306,978.27,1005.812,231539580,2979475400.0
2022-07-19,1006.343,1019.086,1004.285,1012.747,188610000,2436120100.0
2022-07-20,1016.432,1048.725,1016.432,1046.348,246484110,3367350900.0
2022-07-21,1044.653,1045.603,1031.035,1032.489,228642340,2719907900.0
2022-07-22,1030.793,1038.554,1010.652,1018.451,182162260,2108964200.0
2022-07-25,1020.127,1027.775,1018.517,1023.53,139116320,1565150100.0
2022-07-26,1021.855,1030.857,1019.462,1030.059,153451060,2135185200.0
2022-07-27,1030.119,1050.895,1030.119,1047.44,233411570,2805231700.0
2022-07-28,1046.391,1056.93,1042.974,1045.668,235477870,2672643600.0
2022-07-29,1045.757,1045.757,1029.788,1032.004,177851460,2066588400.0
2022-08-01,1027.271,1029.668,1018.703,1025.265,149843020,1659338000.0
2022-08-02,1023.174,1023.174,979.623,989.949,254926890,2686300500.0
2022-08-03,990.162,1004.53,979.071,981.665,165121820,1795544000.0
2022-08-04,987.987,993.388,973.086,993.388,163889610,1660468500.0
2022-08-05,994.105,1000.707,987.965,1000.124,143901530,1493793100.0
2022-08-08,998.935,1010.433,997.187,1006.279,133510824,1391539900.0
2022-08-09,1006.936,1009.002,996.93,1002.978,133829052,1636758000.0
2022-08-10,1002.252,1006.804,997.412,1002.414,137624350,1684943100.0
2022-08-11,1004.56,1029.057,1004.56,1026.441,155546890,1806025900.0
2022-08-12,1028.108,1029.656,1021.432,1026.916,127427595,1521495000.0
2022-08-15,1022.087,1024.974,1010.542,1022.227,148751210,1777005900.0
2022-08-16,1022.494,1024.263,1012.059,1013.588,114911368,1419651500.0
2022-08-17,1018.093,1022.142,1005.132,1008.16,121882268,1386973700.0
2022-08-18,1006.145,1006.145,994.103,997.969,122577093,1278779410.0
2022-08-19,997.99,1005.183,996.975,996.975,129064244,1363774300.0
2022-08-22,994.872,1007.888,982.308,1004.871,132591846,1339087880.0
2022-08-23,1003.1,1003.1,994.666,999.472,100021659,994664490.0
2022-08-24,1002.79,1014.318,990.024,992.299,166479630,1879713400.0
2022-08-25,992.892,995.856,979.545,994.25,134095135,1434907800.0
2022-08-26,995.455,1015.424,993.891,996.347,143743760,1496482800.0
2022-08-29,982.034,995.806,981.122,994.849,138422640,1588615400.0
2022-08-30,993.336,1002.739,991.273,998.745,121698873,1358449000.0
2022-08-31,997.611,997.744,973.673,980.015,138163990,1464826400.0
2022-09-01,979.473,989.372,969.67,971.035,124628498,1438584800.0
2022-09-02,974.29,980.865,967.526,975.172,103853550,1172144980.0
2022-09-05,973.816,980.672,965.939,974.118,104371225,1139972020.0
2022-09-06,977.664,987.213,972.41,986.53,136920210,1386033800.0
2022-09-07,985.087,985.087,975.771,980.918,113308133,1202829060.0
2022-09-08,980.762,984.414,976.651,977.751,105789714,1214759430.0
2022-09-09,975.974,990.477,975.974,988.117,120141886,1350179900.0
2022-09-13,992.306,1002.687,988.663,996.14,120834433,1460187900.0
2022-09-14,980.025,983.926,971.399,978.003,114832677,1303606940.0
2022-09-15,981.727,986.455,946.721,956.248,146043300,1496558700.0
2022-09-16,955.35,956.14,930.665,930.669,135098800,1175910920.0
2022-09-19,928.627,928.627,909.711,913.359,119884052,1302788160.0
2022-09-20,918.509,934.689,918.509,928.135,89658692,960412510.0
2022-09-21,933.404,933.867,920.594,930.712,86485838,885765520.0
2022-09-22,925.513,929.27,914.622,914.622,81665617,779093720.0
2022-09-23,914.115,916.071,885.539,892.646,94054360,950139110.0
2022-09-26,889.122,894.028,875.315,877.712,94262188,830013590.0
2022-09-27,877.529,909.804,877.529,909.804,115329002,1119543600.0
2022-09-28,906.907,916.394,893.133,893.177,110318810,997634970.0
2022-09-29,900.798,914.562,888.866,894.412,121600155,1114499440.0
2022-09-30,896.79,908.742,893.541,895.588,100479644,867319540.0
2022-10-10,895.39,906.463,882.343,885.037,133752446,1246032540.0
2022-10-11,885.439,885.477,867.593,884.798,102357575,913747180.0
2022-10-12,882.846,897.977,865.846,897.713,110564338,1006940480.0
2022-10-13,894.622,923.194,892.492,913.686,134512670,1236122570.0
2022-10-14,918.894,955.719,918.894,949.58,219322830,2101138100.0
