日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-02-22,1041.969,1061.689,1040.832,1044.922,654488400,9038570500.0
2023-02-23,1044.573,1092.239,1044.573,1080.514,798176090,11416168700.0
2023-02-24,1072.493,1076.892,1058.891,1061.019,845406820,11298791100.0
2023-02-27,1051.977,1052.705,1035.071,1036.797,1059547550,10735030800.0
2023-02-28,1038.737,1050.763,1033.546,1045.384,954514840,10786983100.0
2023-03-01,1043.113,1056.212,1038.183,1056.212,973378430,12765002100.0
2023-03-02,1053.515,1067.474,1053.002,1059.212,890142660,12579470800.0
2023-03-03,1060.314,1067.99,1052.286,1058.571,1070466520,16077863000.0
2023-03-06,1058.482,1062.1,1053.744,1059.522,927225490,13936136000.0
2023-03-07,1055.153,1056.523,1028.321,1028.321,1024545240,14246619000.0
2023-03-08,1025.306,1056.136,1025.135,1056.136,844003370,12629593400.0
2023-03-09,1056.095,1064.467,1052.309,1061.237,714753850,11906835500.0
2023-03-10,1052.588,1057.472,1041.278,1041.729,719469180,11919940400.0
2023-03-13,1036.677,1042.757,1024.112,1042.725,720113700,11269156000.0
2023-03-14,1039.852,1040.187,1013.372,1034.745,874389440,13822092000.0
2023-03-15,1037.585,1047.176,1034.664,1037.913,702583220,11327018200.0
2023-03-16,1030.82,1038.141,1019.924,1020.669,748195630,11399459500.0
2023-03-17,1029.043,1041.462,1027.045,1034.625,841816600,13723953000.0
2023-03-20,1035.145,1039.878,1024.521,1036.027,971999280,16435688000.0
2023-03-21,1037.043,1049.39,1033.506,1049.39,781509980,12863498200.0
2023-03-22,1049.892,1061.222,1047.168,1061.222,953688690,14629775000.0
2023-03-23,1056.852,1080.231,1056.597,1080.231,1293837610,21500498000.0
2023-03-24,1080.499,1082.624,1069.077,1080.554,1621591900,25169440000.0
2023-03-27,1079.364,1085.645,1066.769,1077.807,1230762010,20742277000.0
2023-03-28,1074.62,1074.62,1055.158,1056.143,1743159700,19137687000.0
2023-03-29,1056.019,1063.946,1049.281,1057.124,1716808600,18952057000.0
2023-03-30,1057.587,1061.64,1047.074,1055.932,1378905700,16261408000.0
2023-03-31,1056.871,1063.54,1050.852,1063.159,1365875800,15136191000.0
2023-04-03,1063.051,1079.579,1062.994,1079.483,1798030500,21908524000.0
2023-04-04,1076.099,1079.311,1067.344,1074.358,1649676800,22632591000.0
2023-04-06,1068.152,1093.58,1066.113,1087.287,1648411700,23513592000.0
2023-04-07,1088.252,1088.393,1076.525,1087.161,1276356560,18508957000.0
2023-04-10,1087.983,1091.929,1054.895,1058.167,1383912300,19477240000.0
2023-04-11,1056.059,1060.121,1044.076,1051.899,1171253670,13976092000.0
2023-04-12,1052.416,1068.616,1051.447,1068.281,1307784500,17292647000.0
2023-04-13,1062.086,1062.086,1036.388,1037.375,1222372280,17513126000.0
2023-04-14,1038.928,1047.299,1027.934,1046.11,1026446420,14617787000.0
2023-04-17,1042.431,1042.431,1030.768,1034.458,1040955240,15931669000.0
2023-04-18,1030.453,1033.64,1019.413,1031.217,1156251460,15937210000.0
2023-04-19,1029.732,1041.352,1028.865,1032.815,1406555800,17814543000.0
2023-04-20,1033.446,1043.319,1031.32,1043.062,1424426300,19284482000.0
2023-04-21,1039.016,1041.735,1006.251,1006.251,1401148100,20732623000.0
2023-04-24,1002.351,1006.489,992.64,1000.539,1075730930,16167733000.0
2023-04-25,997.613,997.64,957.159,968.44,1144653940,16171341000.0
2023-04-26,959.437,974.018,951.524,960.0,1352060700,17052105000.0
2023-04-27,956.124,968.858,953.5,958.681,1044338660,15413780000.0
2023-04-28,955.193,976.038,955.193,975.784,981479680,14421705000.0
2023-05-04,969.821,974.563,961.778,967.878,882571050,12166849900.0
2023-05-05,968.108,968.108,947.77,952.545,781124320,11204211300.0
2023-05-08,953.028,962.963,953.028,962.764,777533620,11071209600.0
2023-05-09,959.906,962.927,944.159,944.245,1141709650,15309577000.0
2023-05-10,942.551,954.752,937.591,954.254,1109533370,14326442000.0
2023-05-11,954.298,955.702,947.929,950.106,872232610,10238310100.0
2023-05-12,948.28,953.95,942.452,944.337,950431370,10702447300.0
2023-05-15,942.072,952.402,934.887,952.402,1034393360,12050092400.0
2023-05-16,951.082,951.302,939.809,943.048,907767010,11959360800.0
2023-05-17,941.485,962.726,941.485,962.726,914679410,12115797300.0
2023-05-18,962.35,978.455,962.35,976.621,1252291200,15418554000.0
2023-05-19,974.857,987.862,974.857,984.32,1169429890,16155395000.0
2023-05-22,983.31,986.036,977.049,985.969,834657240,11107690700.0
2023-05-23,986.338,990.477,979.434,980.177,691920780,9490440800.0
2023-05-24,978.151,991.844,974.387,982.376,693352220,10205459800.0
2023-05-25,986.594,995.971,973.882,985.963,837820330,11645183000.0
2023-05-26,988.997,1007.097,982.397,1005.666,1000013660,13084759000.0
2023-05-29,1015.526,1020.075,1011.671,1012.709,1333479570,20208306000.0
2023-05-30,1010.88,1024.116,1007.606,1024.116,1207417490,20229012000.0
2023-05-31,1023.766,1029.218,1019.101,1026.574,1351208700,19907882000.0
2023-06-01,1021.514,1034.589,1017.537,1027.357,1331694440,21928808000.0
2023-06-02,1028.858,1036.138,1023.877,1032.718,1090377390,17791378000.0
2023-06-05,1034.912,1049.978,1034.889,1044.458,1059154950,16769200000.0
2023-06-06,1041.264,1041.322,1012.393,1014.317,1099549540,17429168000.0
2023-06-07,1013.181,1025.812,1009.457,1023.175,876707920,15020268000.0
2023-06-08,1020.586,1023.885,1007.415,1014.798,1232263920,16673364000.0
2023-06-09,1017.207,1029.479,1012.359,1027.735,1600351600,21525688000.0
2023-06-12,1030.999,1059.007,1030.999,1056.594,1728299400,24913752000.0
2023-06-13,1056.785,1067.97,1052.811,1067.862,1463844800,23587613000.0
2023-06-14,1066.06,1068.78,1055.34,1065.555,1519223900,23325710000.0
2023-06-15,1065.283,1071.552,1060.454,1061.274,1511602300,20917479000.0
2023-06-16,1060.852,1074.911,1055.924,1073.69,1278366510,19428500000.0
2023-06-19,1076.555,1091.271,1075.734,1088.319,1402381500,22300228000.0
2023-06-20,1086.257,1093.311,1075.707,1090.269,1647689900,26515143000.0
2023-06-21,1087.345,1089.63,1071.12,1075.599,1273444670,19598600000.0
2023-06-26,1068.955,1075.857,1044.406,1046.885,1477470300,20741111000.0
2023-06-27,1045.713,1065.088,1044.981,1064.043,1071778020,15726800000.0
2023-06-28,1062.408,1062.408,1027.699,1053.807,1225235540,17746533000.0
2023-06-29,1049.223,1074.069,1049.212,1071.94,1048973390,17420567000.0
2023-06-30,1070.858,1094.165,1067.947,1091.383,1262095840,19091897000.0
2023-07-03,1095.245,1104.659,1087.318,1090.183,1236667760,21971252000.0
2023-07-04,1089.167,1123.207,1089.039,1122.083,1579329400,24587593000.0
2023-07-05,1120.533,1125.344,1104.294,1106.539,1288219110,22638615000.0
2023-07-06,1102.575,1124.668,1098.552,1119.617,1151544680,22203858000.0
2023-07-07,1115.762,1117.577,1095.65,1096.374,1074386740,17571370000.0
2023-07-10,1101.517,1108.383,1094.89,1105.115,1001940730,16323223000.0
2023-07-11,1104.954,1126.486,1101.151,1125.411,1151306880,18617884000.0
2023-07-12,1121.547,1148.921,1118.497,1120.51,1425113100,22265827000.0
2023-07-13,1122.906,1140.096,1117.178,1139.723,1431795500,23960305000.0
2023-07-14,1137.377,1138.85,1126.683,1132.352,1361215000,24292149000.0
2023-07-17,1121.645,1123.42,1111.861,1118.213,1094318130,19559580000.0
2023-07-18,1120.493,1130.144,1117.024,1123.936,1286365760,22350481000.0
2023-07-19,1119.998,1123.746,1108.356,1116.217,974909400,17558514000.0
2023-07-20,1116.697,1118.287,1080.813,1081.664,1051085240,18101962000.0
2023-07-21,1078.097,1089.344,1071.085,1072.36,833605180,15032475000.0
2023-07-24,1069.588,1087.495,1064.508,1077.062,754237740,13712963000.0
2023-07-25,1086.617,1095.501,1080.714,1093.236,929354200,16489196000.0
2023-07-26,1088.792,1088.815,1066.255,1068.973,786403770,12776025700.0
2023-07-27,1078.583,1085.712,1066.16,1066.686,868363200,15635639000.0
2023-07-28,1061.197,1070.719,1049.968,1068.77,737881710,12971552700.0
2023-07-31,1068.256,1083.199,1065.499,1076.649,757448510,13374495200.0
2023-08-01,1075.948,1075.948,1064.378,1069.466,722595950,13246000200.0
2023-08-02,1064.12,1071.767,1062.15,1071.58,633100410,10951601600.0
2023-08-03,1064.927,1071.997,1059.404,1062.466,623313080,10965789000.0
2023-08-04,1064.373,1079.433,1064.373,1076.03,804499230,12508687200.0
2023-08-07,1072.765,1081.888,1070.709,1076.995,676042240,11713451400.0
2023-08-08,1074.609,1080.124,1064.702,1066.922,608363450,11021905900.0
2023-08-09,1062.026,1062.026,1048.494,1049.66,532981560,9279729800.0
2023-08-10,1048.206,1054.023,1043.263,1047.545,460431690,7799809900.0
2023-08-11,1048.951,1049.051,1029.153,1029.153,530069400,8400111900.0
2023-08-14,1021.299,1032.348,1015.347,1032.348,515788450,9052810800.0
2023-08-15,1034.949,1039.294,1017.962,1027.155,435821670,7541796000.0
2023-08-16,1022.339,1026.507,1011.38,1011.694,473393520,7678330300.0
2023-08-17,1007.903,1032.862,1001.12,1029.924,581227030,10245079100.0
2023-08-18,1027.875,1033.751,1014.567,1014.567,501905000,8489630100.0
2023-08-21,1012.39,1021.591,1005.481,1005.738,417417830,7019046800.0
2023-08-22,1012.357,1020.332,992.894,1017.204,627395060,10410719000.0
2023-08-23,1013.985,1013.985,992.945,992.958,533226770,7999671100.0
2023-08-24,996.94,1003.737,984.511,991.515,540271980,8963961700.0
2023-08-25,984.508,984.508,960.324,964.234,637521770,9191146300.0
2023-08-28,1014.651,1015.256,971.02,973.605,740717570,11396902900.0
2023-08-29,971.771,1023.25,971.366,1021.907,841062610,13564473000.0
2023-08-30,1027.15,1054.425,1027.15,1045.279,1181270870,16979621000.0
2023-08-31,1041.422,1054.623,1038.243,1046.653,860541920,12601669000.0
2023-09-01,1049.451,1054.559,1041.425,1047.123,645407200,10165947500.0
2023-09-04,1051.514,1070.827,1049.432,1070.827,844590600,13301306600.0
2023-09-05,1070.645,1083.888,1070.134,1073.501,1234454800,18907744000.0
2023-09-06,1070.429,1101.973,1068.725,1100.742,1032106380,16698485000.0
2023-09-07,1095.103,1095.103,1073.697,1073.867,1129815030,19682950000.0
2023-09-08,1070.725,1104.545,1070.709,1100.188,1017002870,18017559000.0
2023-09-11,1103.031,1115.644,1094.544,1110.086,1373453900,22526249000.0
2023-09-12,1113.654,1117.933,1109.494,1114.141,1356761200,20684508000.0
2023-09-13,1106.808,1106.808,1081.091,1094.483,1679646800,22324000000.0
2023-09-14,1100.343,1104.068,1083.731,1087.297,1220211430,18304147000.0
2023-09-15,1089.84,1095.977,1078.087,1082.212,1306800780,18755328000.0
2023-09-18,1073.988,1102.664,1069.763,1088.494,1482702600,22614220000.0
2023-09-19,1081.886,1082.395,1060.491,1068.447,1183685820,17509496000.0
2023-09-20,1062.751,1072.033,1056.126,1056.206,1103453760,14286779000.0
2023-09-21,1053.278,1066.82,1049.957,1057.163,1220907150,16958059000.0
2023-09-22,1053.148,1081.685,1051.036,1081.29,1423918500,19749880000.0
2023-09-25,1081.563,1086.802,1076.093,1081.337,1348464100,18874967000.0
2023-09-26,1075.955,1076.922,1064.317,1064.317,1066636640,15443781000.0
2023-09-27,1061.175,1067.311,1054.031,1054.031,903891440,13262946300.0
2023-09-28,1057.96,1090.143,1057.96,1086.683,1219707490,17495873000.0
2023-10-09,1094.463,1115.559,1094.436,1111.662,1387249800,22101981000.0
2023-10-10,1114.596,1119.176,1109.028,1119.176,1539593000,22578583000.0
2023-10-11,1121.083,1142.672,1114.765,1136.583,1630434600,26911436000.0
2023-10-12,1140.43,1146.914,1131.536,1144.216,3032639900,36192735000.0
2023-10-13,1139.49,1162.673,1137.338,1157.852,2557029800,32454930000.0
2023-10-16,1159.285,1159.285,1142.398,1150.345,2576615300,34134406000.0
2023-10-17,1144.284,1144.716,1129.051,1134.535,2741531500,30127778000.0
2023-10-18,1129.96,1130.145,1114.739,1120.123,2912700900,33729102000.0
2023-10-19,1109.293,1129.037,1108.125,1108.949,2993849900,34692127000.0
