日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-02-07,1033.513,1044.415,1010.544,1041.618,121036609,1353122700.0
2022-02-08,1066.665,1080.229,1051.154,1078.672,197188950,2305146700.0
2022-02-09,1090.575,1162.982,1085.377,1148.959,256922370,3182099000.0
2022-02-10,1162.663,1192.114,1162.663,1172.142,319591040,4397052400.0
2022-02-11,1164.994,1187.222,1154.199,1170.611,465869420,7366188800.0
2022-02-14,1150.116,1168.126,1145.041,1150.596,349869560,5699141900.0
2022-02-15,1149.887,1162.312,1135.824,1146.141,323236380,4826399900.0
2022-02-16,1147.851,1157.886,1139.222,1157.886,330023570,5312674200.0
2022-02-17,1144.3,1144.3,1129.07,1136.272,335672270,5686104700.0
2022-02-18,1122.11,1130.696,1113.359,1127.894,335239750,5072886100.0
2022-02-21,1135.868,1141.582,1130.139,1138.567,380301760,6965249100.0
2022-02-22,1140.575,1164.125,1139.7,1164.085,360310950,5594459600.0
2022-02-23,1159.114,1165.502,1150.187,1161.983,480979700,10689541200.0
2022-02-24,1150.388,1155.217,1116.798,1129.917,498292980,10980923100.0
2022-02-25,1125.991,1143.813,1124.558,1125.638,386427180,7909599900.0
2022-02-28,1130.804,1135.532,1111.554,1134.639,372348030,8675522100.0
2022-03-01,1135.232,1137.308,1122.443,1132.594,302521400,6736452600.0
2022-03-02,1130.076,1134.123,1126.703,1131.723,248560020,5003691000.0
2022-03-03,1132.888,1133.712,1111.356,1115.955,275688130,4934709700.0
2022-03-04,1111.624,1117.751,1093.932,1097.343,281277550,5408272500.0
2022-03-07,1098.593,1105.334,1078.716,1083.955,273038940,4385445800.0
2022-03-08,1083.045,1084.64,1044.005,1050.555,297293960,5293593400.0
2022-03-09,1054.132,1060.803,998.726,1042.643,292658920,4904394500.0
2022-03-10,1059.764,1067.769,1053.821,1055.754,306702030,5431885300.0
2022-03-11,1041.207,1054.56,1022.716,1053.916,246535750,4153460200.0
2022-03-14,1046.328,1055.591,1028.41,1028.41,285341510,4569637000.0
2022-03-15,1021.939,1026.024,976.057,976.057,321537300,4887699100.0
2022-03-16,988.86,1011.386,960.818,1010.055,334812560,5565749700.0
2022-03-17,1014.522,1032.239,1013.103,1016.95,319742700,5847432700.0
2022-03-18,1014.704,1033.052,1012.041,1030.315,249111240,3721069600.0
2022-03-21,1030.638,1050.382,1027.553,1050.382,254805710,4191152900.0
2022-03-22,1051.989,1058.8,1046.138,1050.797,206624560,3694394400.0
2022-03-23,1053.064,1064.035,1048.341,1053.984,203215960,3602415400.0
2022-03-24,1050.769,1057.275,1042.026,1052.083,269368260,3855667800.0
2022-03-25,1054.124,1078.326,1054.124,1054.57,329211170,4051761400.0
2022-03-28,1047.862,1056.997,1033.507,1047.118,267984420,3715726800.0
2022-03-29,1047.473,1052.606,1034.883,1039.931,229091930,3315767400.0
2022-03-30,1043.064,1052.055,1039.726,1048.467,191020470,2983570100.0
2022-03-31,1049.366,1069.269,1049.056,1067.25,274506820,4136252900.0
2022-04-01,1060.393,1074.796,1059.631,1070.582,317499790,4148613800.0
2022-04-06,1070.143,1084.923,1069.765,1078.547,391245270,4412878600.0
2022-04-07,1073.614,1088.862,1066.578,1067.174,370649340,4872660200.0
2022-04-08,1069.069,1093.49,1060.003,1093.478,431471360,5379451400.0
2022-04-11,1086.043,1117.656,1075.996,1092.336,550625700,6746949900.0
2022-04-12,1080.408,1091.413,1067.28,1081.29,465965090,5529484900.0
2022-04-13,1069.628,1072.261,1051.485,1051.485,424845980,5715955900.0
2022-04-14,1045.95,1074.753,1042.624,1063.51,353652270,4922548300.0
2022-04-15,1062.032,1062.915,1034.794,1037.715,400207220,6007642900.0
2022-04-18,1022.7,1044.156,1013.188,1043.507,277212080,4149661000.0
2022-04-19,1043.675,1066.868,1042.115,1065.068,269116330,3882166800.0
2022-04-20,1061.651,1065.809,1030.574,1037.81,241024200,3412741300.0
2022-04-21,1035.061,1039.164,984.712,987.478,284004540,3664807800.0
2022-04-22,980.5,990.267,968.99,972.988,203108770,2587984900.0
2022-04-25,958.646,958.727,887.936,888.217,284201200,3700908800.0
2022-04-26,887.636,893.595,848.755,852.191,268125640,3457869100.0
2022-04-27,843.378,892.458,838.053,892.458,311137000,3973955000.0
2022-04-28,890.577,901.61,872.74,886.172,303990000,4339805400.0
2022-04-29,893.707,924.996,889.186,919.284,321406420,4198217200.0
2022-05-05,924.964,948.401,917.095,938.469,299045510,3595592000.0
2022-05-06,910.132,930.137,905.964,915.59,220635800,2626909200.0
2022-05-09,914.091,939.8,913.71,932.094,202959580,2502384300.0
2022-05-10,919.398,954.342,914.287,952.639,252830690,3071805900.0
2022-05-11,952.594,971.0,947.99,947.99,272266410,3668927800.0
2022-05-12,938.499,962.169,938.475,961.167,228634770,2730137600.0
2022-05-13,969.238,970.925,955.105,963.174,236228170,2820840900.0
2022-05-16,967.163,973.019,961.594,967.402,205056920,2776273700.0
2022-05-17,968.172,974.408,962.162,973.901,242218300,3742586600.0
2022-05-18,971.233,989.637,966.928,981.523,231600640,3174443200.0
2022-05-19,966.116,983.939,964.718,983.939,225236420,3260215600.0
2022-05-20,989.667,994.238,981.592,993.357,213266760,3164239800.0
2022-05-23,991.949,1012.965,991.949,1012.484,230780640,3557776500.0
2022-05-24,1011.716,1011.803,958.814,958.903,244361610,3785134500.0
2022-05-25,957.275,980.213,957.275,978.78,204492050,3114963200.0
2022-05-26,983.079,991.384,967.576,988.647,211817440,3053780500.0
2022-05-27,991.519,1007.922,986.903,997.844,236800940,3197924500.0
2022-05-30,999.158,1011.588,986.599,1010.769,239251440,3203969900.0
2022-05-31,1010.818,1011.396,997.845,1009.895,220484770,3126893100.0
2022-06-01,1006.849,1014.715,1001.532,1012.261,207902480,2958201200.0
2022-06-02,1010.616,1021.171,1001.92,1017.736,173925590,2789566500.0
2022-06-06,1019.846,1043.985,1019.432,1043.698,288161750,5107361000.0
2022-06-07,1046.384,1050.745,1031.818,1040.67,318825360,6595626600.0
2022-06-08,1044.111,1046.157,1010.602,1034.959,304029430,5759668200.0
2022-06-09,1034.032,1034.032,1005.649,1011.775,247545390,4097626200.0
2022-06-10,1005.025,1029.654,1003.823,1027.653,238832170,4242748300.0
2022-06-13,1026.341,1037.502,1023.152,1034.443,272139060,5070030500.0
2022-06-14,1025.59,1029.707,1000.152,1029.203,229509860,3953359700.0
2022-06-15,1030.642,1036.602,1019.469,1019.469,233549440,4073942300.0
2022-06-16,1020.135,1026.849,1012.511,1018.494,189392330,3162671400.0
2022-06-17,1013.578,1021.467,1004.582,1020.521,224857970,4323105500.0
2022-06-20,1019.167,1028.322,1017.386,1024.639,233974570,4430612100.0
2022-06-21,1024.496,1033.483,1010.926,1025.934,209425780,3636579100.0
2022-06-22,1022.917,1023.402,1005.867,1005.867,165561860,2764849400.0
2022-06-23,1002.697,1030.645,1000.596,1030.645,176219070,3371595900.0
2022-06-24,1031.342,1044.615,1026.373,1043.893,191032130,3444241600.0
2022-06-27,1048.808,1087.166,1048.74,1087.166,342605170,5671330300.0
2022-06-28,1089.958,1113.494,1087.261,1110.88,340867480,5136511400.0
2022-06-29,1111.829,1112.339,1075.127,1075.199,287858920,4674571100.0
2022-06-30,1079.004,1110.359,1078.298,1106.676,347469800,5763889800.0
2022-07-01,1101.538,1131.592,1101.538,1120.567,408993450,7159190100.0
2022-07-04,1120.196,1125.322,1108.979,1120.37,350745920,6633306200.0
2022-07-05,1113.706,1123.761,1093.569,1107.625,288905800,5381489500.0
2022-07-06,1102.834,1105.925,1084.634,1096.111,230025480,4474750800.0
2022-07-07,1093.548,1107.859,1090.133,1104.628,228062040,4681165300.0
2022-07-08,1106.267,1114.378,1100.906,1108.975,193269250,3981113000.0
2022-07-11,1107.83,1107.83,1083.849,1095.583,273639650,5844601100.0
2022-07-12,1097.509,1097.509,1071.677,1076.414,223811200,4339164700.0
2022-07-13,1074.911,1089.105,1071.815,1087.584,187684180,3446918600.0
2022-07-14,1087.1,1099.134,1082.172,1089.537,181173970,3178212900.0
2022-07-15,1087.513,1095.544,1073.481,1073.481,194237250,3353026000.0
2022-07-18,1074.531,1096.185,1074.387,1094.869,180219570,2998453500.0
2022-07-19,1097.246,1119.837,1090.721,1116.513,213428430,3358545700.0
2022-07-20,1116.001,1132.311,1112.476,1131.945,222435950,3692500300.0
2022-07-21,1136.427,1139.402,1120.92,1121.214,205515500,3605595200.0
2022-07-22,1126.948,1134.843,1114.246,1127.825,174397210,3273112300.0
2022-07-25,1128.47,1128.47,1098.34,1099.83,210647700,3146623000.0
2022-07-26,1099.01,1104.81,1085.742,1104.81,181832320,2853988000.0
2022-07-27,1101.094,1129.535,1100.885,1125.884,186293560,3120241400.0
2022-07-28,1128.0,1137.301,1126.599,1133.952,218952860,3630197100.0
2022-07-29,1135.081,1137.479,1110.903,1112.475,200341040,3159857700.0
2022-08-01,1116.483,1130.008,1114.477,1126.825,221631240,3436732200.0
2022-08-02,1123.411,1125.076,1080.902,1096.644,302113460,4571595900.0
2022-08-03,1089.574,1120.964,1089.574,1093.992,257234360,4200789300.0
2022-08-04,1097.844,1104.625,1085.039,1102.354,212279040,3416332000.0
2022-08-05,1104.585,1107.897,1093.043,1107.897,203551830,3321850600.0
2022-08-08,1107.75,1124.813,1095.875,1124.021,200389980,3331275200.0
2022-08-09,1120.571,1128.742,1112.089,1128.001,206987530,3357966600.0
2022-08-10,1124.598,1145.25,1124.457,1145.25,265237360,4309550900.0
2022-08-11,1147.006,1158.384,1147.006,1154.783,229905770,3576980200.0
2022-08-12,1158.4,1161.094,1141.53,1142.309,200691270,3181283600.0
2022-08-15,1146.023,1165.281,1143.74,1163.177,282303140,3552979100.0
2022-08-16,1164.518,1168.996,1157.054,1163.991,233361960,3061286400.0
2022-08-17,1164.053,1165.513,1154.127,1159.915,217833090,3061529100.0
2022-08-18,1160.892,1163.1,1153.359,1161.044,217813020,3022110100.0
2022-08-19,1164.381,1169.508,1148.16,1154.448,203922530,3198024500.0
2022-08-22,1149.126,1187.267,1145.93,1182.949,263514560,4270777300.0
2022-08-23,1178.712,1184.904,1174.388,1182.417,227507000,3356455500.0
2022-08-24,1186.917,1187.445,1145.467,1147.678,242384560,3792675100.0
2022-08-25,1149.284,1173.263,1148.18,1165.696,262135650,3672126400.0
