日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1110.774,1118.59,1106.104,1116.581,1444196900,9319259000.0
2020-01-03,1117.508,1121.607,1112.122,1120.847,1552373800,9841636800.0
2020-01-06,1117.507,1131.334,1113.447,1124.581,1541729100,10285790600.0
2020-01-07,1127.789,1142.104,1127.789,1142.104,1196996710,8209600400.0
2020-01-08,1143.218,1144.985,1126.43,1129.607,2835231600,16160643000.0
2020-01-09,1140.449,1152.137,1140.449,1151.361,1670743000,11761428700.0
2020-01-10,1157.402,1159.23,1147.524,1156.362,1410255400,9574535000.0
2020-01-13,1154.057,1158.325,1142.706,1158.303,1440360300,9177247200.0
2020-01-14,1160.294,1162.062,1152.998,1153.547,1366730900,9169989800.0
2020-01-15,1152.893,1155.573,1143.72,1148.389,1307399410,8595578900.0
2020-01-16,1148.597,1153.573,1144.644,1146.787,989014030,8079061200.0
2020-01-17,1146.245,1151.65,1142.038,1144.688,1114614440,8529840600.0
2020-01-20,1150.011,1165.864,1149.022,1165.864,1531030400,10837245700.0
2020-01-21,1171.949,1190.963,1171.889,1187.07,1809525500,12965492100.0
2020-01-22,1187.089,1187.604,1153.905,1166.156,1806042700,12695387800.0
2020-01-23,1155.054,1165.895,1124.715,1137.872,1995965100,14917216000.0
2020-02-03,1066.815,1085.706,1062.837,1070.95,1090979220,11700940500.0
2020-02-04,1053.377,1112.567,1053.377,1111.131,2778926900,17595878000.0
2020-02-05,1126.621,1161.699,1119.465,1161.393,2266157200,16405411000.0
2020-02-06,1167.84,1218.724,1162.636,1207.075,2875948300,22062084000.0
2020-02-07,1217.107,1233.231,1177.11,1187.141,2592764400,21267187000.0
2020-02-10,1182.514,1182.514,1157.854,1169.538,2065771000,15883140000.0
2020-02-11,1160.114,1162.929,1140.568,1159.623,1745981100,13564409000.0
2020-02-12,1150.73,1163.677,1148.23,1161.029,1562692800,11296989100.0
2020-02-13,1160.012,1160.012,1130.444,1138.52,1715955100,12599643700.0
2020-02-14,1140.184,1146.438,1127.672,1133.298,1517054800,11077828600.0
2020-02-17,1134.734,1163.17,1134.734,1163.089,2233450500,14922104000.0
2020-02-18,1167.32,1172.152,1157.377,1171.936,2551179600,17464127000.0
2020-02-19,1172.698,1173.036,1160.687,1163.546,2065765900,15316834000.0
2020-02-20,1163.09,1174.641,1154.017,1174.277,2973912100,21284374000.0
2020-02-21,1172.384,1179.862,1168.49,1175.757,2810574800,19471325000.0
2020-02-24,1174.827,1186.121,1171.992,1185.165,2888089300,19925018000.0
2020-02-25,1164.655,1197.08,1155.48,1196.778,3393751500,24719696000.0
2020-02-26,1183.132,1186.396,1166.089,1169.125,3138172000,22030659000.0
2020-02-27,1170.177,1176.1,1159.126,1166.392,1840108900,12785251600.0
2020-02-28,1143.544,1156.549,1120.442,1121.104,2847744000,17432944000.0
2020-03-02,1123.435,1152.078,1123.435,1148.893,2350731700,14988924000.0
2020-03-03,1160.458,1167.009,1151.541,1159.607,2484882000,16953720000.0
2020-03-04,1149.207,1157.018,1140.794,1157.018,1996849600,14078511000.0
2020-03-05,1164.452,1179.91,1162.784,1179.637,2019414300,15294414000.0
2020-03-06,1172.339,1194.591,1170.109,1189.347,2259960000,16129599000.0
2020-03-09,1177.19,1186.529,1169.626,1170.678,2351092000,16110832000.0
2020-03-10,1152.606,1176.763,1135.174,1176.758,2324438400,15526048000.0
2020-03-11,1178.073,1189.596,1173.318,1175.327,1976724600,12621466100.0
2020-03-12,1166.511,1171.784,1157.592,1165.332,2355032400,14825644000.0
2020-03-13,1111.517,1149.427,1106.802,1141.344,2347190600,15160377000.0
2020-03-16,1148.714,1168.483,1121.168,1126.388,2545454600,16295594000.0
2020-03-17,1127.181,1135.517,1078.443,1108.838,2287213400,15571204000.0
2020-03-18,1118.576,1125.56,1089.766,1089.766,1957777200,14750885000.0
2020-03-19,1087.384,1092.495,1056.852,1077.245,2061427600,14944400000.0
2020-03-20,1087.387,1099.133,1081.6,1098.786,1659039400,11320100000.0
2020-03-23,1075.667,1087.586,1066.866,1069.071,2048957300,11874245400.0
2020-03-24,1080.998,1083.871,1057.581,1083.536,1720806700,11861091400.0
