日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1008.976,1018.462,1007.039,1017.203,1161793470,8352121000.0
2020-01-03,1018.469,1025.137,1015.844,1023.026,1151035120,8058693900.0
2020-01-06,1019.0,1042.974,1016.062,1035.985,1438471500,10218825600.0
2020-01-07,1035.159,1043.807,1033.599,1043.807,1251611840,8738765900.0
2020-01-08,1041.231,1045.867,1024.265,1027.275,1454699500,10088468000.0
2020-01-09,1035.892,1044.639,1035.892,1041.587,1048627530,7339230400.0
2020-01-10,1044.673,1045.389,1029.138,1033.037,914617080,6634733800.0
2020-01-13,1035.283,1045.303,1028.334,1045.303,841483130,6203068400.0
2020-01-14,1048.3,1053.692,1046.081,1047.548,1135954620,8112855700.0
2020-01-15,1046.423,1046.423,1031.667,1035.541,858050110,6209309900.0
2020-01-16,1037.024,1046.216,1035.37,1039.312,1029445430,8013491200.0
2020-01-17,1042.741,1045.949,1034.204,1035.091,905920070,7290524400.0
2020-01-20,1034.699,1040.37,1028.564,1040.37,993755100,7494024400.0
2020-01-21,1036.481,1036.481,1020.095,1020.891,952703400,6703003500.0
2020-01-22,1015.192,1025.406,998.672,1022.108,898746780,6907119300.0
2020-01-23,1009.279,1009.349,972.434,979.702,1154280480,8351143700.0
2020-02-03,890.568,892.787,885.472,891.724,497537440,3592891400.0
2020-02-04,830.056,880.033,830.056,876.268,1658350500,10035350200.0
2020-02-05,880.746,909.508,880.63,900.823,1361234000,9202778100.0
2020-02-06,904.379,929.5,898.195,926.282,1470644800,10242679300.0
2020-02-07,931.168,943.282,918.331,943.236,1727732100,11929665500.0
2020-02-10,946.364,967.39,944.365,967.023,1677918700,11790740500.0
2020-02-11,970.059,982.102,961.314,964.106,1487215100,11261930800.0
2020-02-12,960.715,978.56,958.823,977.591,1414929200,10299246100.0
2020-02-13,976.927,986.458,970.032,974.283,1449896100,11160660800.0
2020-02-14,971.052,978.326,966.681,974.395,1374870800,9923248800.0
2020-02-17,978.79,1008.194,978.79,1008.194,1656892600,11590267200.0
2020-02-18,1009.258,1026.55,1006.254,1026.55,1818467600,13188632200.0
2020-02-19,1028.409,1033.796,1022.608,1023.574,1699097600,13435660000.0
2020-02-20,1024.938,1052.901,1024.938,1052.149,2242574000,17535616000.0
2020-02-21,1046.256,1058.767,1045.021,1053.023,2141387600,16324291000.0
2020-02-24,1054.458,1070.211,1048.896,1065.582,2078836500,16473617000.0
2020-02-25,1040.965,1061.458,1013.619,1060.637,2452212300,17972347000.0
2020-02-26,1045.885,1067.556,1041.635,1044.999,2328442900,16010050000.0
2020-02-27,1050.949,1056.235,1033.067,1044.734,1755998700,11626430600.0
2020-02-28,1010.182,1018.469,976.825,977.748,2082849200,13984894000.0
2020-03-02,987.912,1028.047,987.912,1024.444,1731424700,11877019400.0
2020-03-03,1043.535,1055.836,1028.229,1037.094,1991781100,13629610000.0
2020-03-04,1030.125,1049.837,1028.096,1049.837,1583844100,10177932700.0
2020-03-05,1060.424,1072.733,1056.413,1072.733,1986621400,13008534900.0
2020-03-06,1059.326,1084.106,1057.48,1077.494,2081859900,13717287000.0
2020-03-09,1057.89,1067.684,1040.183,1040.183,2320298900,16226911000.0
2020-03-10,1021.423,1060.955,1004.804,1060.955,2334536600,14644257000.0
2020-03-11,1062.161,1070.559,1047.42,1047.42,1998189400,12177405000.0
2020-03-12,1031.18,1034.793,1009.891,1019.777,1638378100,9815647100.0
2020-03-13,961.724,1012.27,960.35,1001.776,1767215800,10266000400.0
2020-03-16,1014.285,1018.91,963.812,967.11,1912858900,11205208700.0
2020-03-17,967.881,979.519,929.787,963.037,1633023100,9150731900.0
2020-03-18,971.542,986.363,946.58,946.58,1667938000,9927063000.0
2020-03-19,941.915,957.416,924.776,952.653,1414912600,8281073400.0
2020-03-20,963.097,966.995,951.713,966.296,1183022180,7081290400.0
2020-03-23,941.936,953.382,925.25,928.531,1169248630,6847363500.0
2020-03-24,947.588,952.255,922.592,948.25,1197009480,7129853500.0
2020-03-25,965.947,969.079,958.534,968.358,1277742890,7545753500.0
2020-03-26,962.085,966.229,952.717,953.239,1128165940,6253608400.0
2020-03-27,962.738,964.258,948.397,950.007,1037201450,5887466900.0
2020-03-30,936.026,937.475,919.111,928.478,1110473100,6297417600.0
2020-03-31,934.862,936.215,925.602,927.324,927282130,5065461100.0
2020-04-01,925.765,935.551,915.269,916.507,967362500,5160933500.0
2020-04-02,910.224,938.084,910.224,938.084,971275470,5459450300.0
2020-04-03,935.551,939.884,923.167,925.994,1036985440,5447849800.0
