日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1029.694,1049.814,1027.797,1039.067,845986780,11242484100.0
2020-01-03,1036.295,1036.295,1022.042,1025.154,583215780,7259294800.0
2020-01-06,1016.833,1030.329,1011.949,1024.979,592675030,7735112400.0
2020-01-07,1026.63,1042.523,1024.322,1034.725,522834730,6601993500.0
2020-01-08,1026.57,1026.57,1004.302,1006.191,551075190,6639022900.0
2020-01-09,1016.542,1021.069,1011.546,1017.734,378730480,4918013100.0
2020-01-10,1022.195,1036.843,1014.902,1032.965,486638160,6013141200.0
2020-01-13,1028.869,1032.021,1013.824,1031.838,499085900,6848278000.0
2020-01-14,1033.242,1041.219,1027.352,1033.927,488108990,6119604900.0
2020-01-15,1034.907,1034.907,1017.075,1023.895,398013880,4843975700.0
2020-01-16,1024.958,1026.812,1015.118,1015.984,365596660,4660975800.0
2020-01-17,1016.052,1018.812,1007.95,1008.764,388314560,4359033600.0
2020-01-20,1008.014,1021.981,1005.584,1021.981,395572820,4721614100.0
2020-01-21,1018.353,1018.353,994.182,994.927,500914640,6578805100.0
2020-01-22,989.956,995.244,979.905,989.447,393244460,5562779700.0
2020-01-23,982.434,982.434,938.664,946.038,499019840,6670235500.0
2020-02-03,851.841,856.746,851.841,853.498,265595790,5121720400.0
2020-02-04,800.436,860.789,800.436,854.333,682015020,7759305600.0
2020-02-05,856.126,884.503,854.828,871.721,512337130,6001158100.0
2020-02-06,875.917,888.624,865.534,885.328,467367290,5202891800.0
2020-02-07,881.412,884.062,869.722,882.021,383980000,4268965800.0
2020-02-10,877.821,936.342,875.889,936.282,689700020,8837899500.0
2020-02-11,936.276,940.549,926.818,927.717,562094480,7412245500.0
2020-02-12,924.724,941.341,924.724,940.741,447440170,5770756800.0
2020-02-13,943.554,963.174,937.095,941.245,546240830,7341063800.0
2020-02-14,938.578,957.385,936.431,953.821,505602870,6471629600.0
2020-02-17,954.798,972.761,951.946,972.761,542728710,6899690100.0
2020-02-18,970.983,970.983,953.596,966.568,548807520,7674676800.0
2020-02-19,963.294,990.201,958.833,977.14,624585710,7825329400.0
2020-02-20,974.383,987.257,964.828,986.238,564751320,6914191900.0
2020-02-21,983.56,995.505,978.962,990.261,563486370,7179559900.0
2020-02-24,997.208,1011.64,993.564,1005.191,652952680,9053389800.0
2020-02-25,981.067,990.006,957.706,986.937,679454250,8462200900.0
2020-02-26,969.965,1036.841,968.557,1014.356,1163976820,14187762000.0
2020-02-27,1021.054,1062.635,1019.624,1034.008,1136796390,14803117000.0
2020-02-28,996.816,1038.233,995.107,999.151,1095134330,13426610000.0
2020-03-02,1014.44,1091.684,1014.44,1090.163,1545334000,21219007000.0
2020-03-03,1129.686,1130.186,1073.991,1100.277,1901098000,24339367000.0
2020-03-04,1082.409,1130.988,1082.409,1127.277,1328384970,16188613000.0
2020-03-05,1134.984,1139.871,1117.806,1127.045,1262274710,14055859000.0
2020-03-06,1106.175,1112.428,1090.176,1090.384,925696130,10999048300.0
2020-03-09,1068.676,1080.571,1041.848,1041.848,933990670,10808304100.0
2020-03-10,1027.335,1081.218,1027.335,1081.095,922094950,11265733800.0
2020-03-11,1078.353,1080.321,1057.427,1057.427,728363840,8356270000.0
2020-03-12,1042.883,1053.941,1028.13,1038.104,665334430,7879398500.0
2020-03-13,983.051,1027.572,981.996,1012.467,747376790,8645159600.0
2020-03-16,1020.352,1033.329,971.135,976.201,664119580,8168599300.0
2020-03-17,988.328,996.712,943.587,983.965,648336250,7982575800.0
2020-03-18,991.991,1014.961,973.343,973.415,731695230,9454434700.0
2020-03-19,970.663,984.22,950.339,978.385,587011400,8170488200.0
2020-03-20,990.916,1008.322,983.091,1007.998,686319040,9408210700.0
2020-03-23,978.407,1012.87,977.627,988.571,670475150,9106917600.0
2020-03-24,1007.447,1022.699,986.985,1013.435,680816660,9236388400.0
2020-03-25,1032.937,1034.259,1011.268,1023.921,656430080,8954863700.0
2020-03-26,1013.613,1020.918,998.939,1000.976,527172850,6271475600.0
2020-03-27,1011.738,1027.401,1004.176,1009.522,808403470,9477685600.0
2020-03-30,993.24,1006.07,990.068,996.717,684758020,8158466500.0
2020-03-31,1005.198,1005.198,985.007,987.403,558996570,6374456100.0
2020-04-01,983.219,1003.938,979.3,985.475,728623230,7914147700.0
2020-04-02,976.761,994.028,970.681,993.669,582875900,6637447200.0
2020-04-03,990.124,999.072,981.044,984.908,507038480,5534736900.0
2020-04-07,1001.002,1028.51,999.864,1024.554,885324470,12624341000.0
2020-04-08,1017.857,1025.547,1012.096,1022.786,593715700,7700216300.0
2020-04-09,1027.252,1035.352,1020.273,1024.965,539364780,6741265600.0
2020-04-10,1027.904,1028.308,1000.035,1001.692,571618900,6922110500.0
2020-04-13,995.411,1018.966,990.743,1013.621,597332500,8105644000.0
2020-04-14,1014.078,1020.037,1005.736,1020.037,597845070,7692685300.0
2020-04-15,1017.869,1017.869,1001.937,1003.009,541818270,6995584500.0
2020-04-16,996.937,1000.824,992.722,999.553,459523060,5371192100.0
2020-04-17,1004.093,1034.905,1003.135,1022.853,822954040,10185654100.0
2020-04-20,1033.959,1056.71,1033.959,1050.174,892146700,11600654700.0
2020-04-21,1048.359,1056.146,1035.795,1054.219,803285950,9431872700.0
2020-04-22,1045.229,1057.724,1042.483,1056.429,601963700,7135496000.0
2020-04-23,1056.056,1057.458,1038.197,1038.43,516508120,6498194800.0
2020-04-24,1037.72,1042.62,1022.488,1026.259,531848180,5955207400.0
2020-04-27,1030.053,1037.767,1024.082,1024.821,492533310,6251223900.0
2020-04-28,1027.347,1028.156,987.86,1011.978,676120780,7681867700.0
2020-04-29,1009.554,1041.582,1007.5,1041.268,645607260,8500930000.0
2020-04-30,1046.563,1048.343,1039.202,1045.322,625480380,7939667500.0
2020-05-06,1037.317,1062.967,1037.317,1062.967,738480050,9310538900.0
2020-05-07,1065.86,1080.737,1065.151,1071.717,689533310,9364040300.0
2020-05-08,1074.227,1079.324,1068.859,1075.71,597426060,7450133100.0
2020-05-11,1082.849,1115.129,1082.659,1104.59,909537390,11552590500.0
2020-05-12,1104.995,1104.995,1079.633,1093.603,686475640,8199551200.0
2020-05-13,1089.573,1089.993,1079.025,1088.883,560002370,6776816300.0
2020-05-14,1084.204,1084.65,1064.841,1066.535,567493130,7729201600.0
2020-05-15,1072.364,1073.833,1059.421,1063.953,548336280,7047746900.0
2020-05-18,1086.235,1089.035,1064.28,1065.966,737274460,8683078700.0
2020-05-19,1074.65,1077.701,1065.752,1071.769,570334860,6974034100.0
2020-05-20,1069.288,1075.163,1057.992,1068.052,867510010,9397242100.0
2020-05-21,1068.203,1074.686,1058.067,1060.434,609957880,6948739800.0
2020-05-22,1061.099,1061.099,1031.221,1035.961,682137380,7937118100.0
2020-05-25,1034.304,1035.257,1021.994,1028.384,537995030,5790938600.0
2020-05-26,1031.742,1036.897,1028.454,1036.494,497298300,5505939700.0
2020-05-27,1034.931,1034.931,1017.307,1019.125,502235940,5510058900.0
2020-05-28,1021.255,1037.339,1016.347,1029.605,521588430,6170124800.0
2020-05-29,1026.363,1026.363,1019.1,1021.847,547984530,6370124600.0
2020-06-01,1026.243,1051.423,1026.243,1050.967,659460740,8190299500.0
2020-06-02,1054.209,1056.367,1047.418,1054.967,816222250,8941730500.0
2020-06-03,1057.156,1064.008,1045.385,1045.764,667128790,7322584300.0
2020-06-04,1048.892,1049.131,1037.425,1040.673,527739500,6412947600.0
2020-06-05,1039.767,1040.495,1030.715,1038.544,424601830,5705871800.0
2020-06-08,1041.64,1042.989,1033.433,1035.413,473938930,5781122800.0
2020-06-09,1035.009,1039.689,1032.283,1039.02,418495950,5055358400.0
2020-06-10,1037.9,1054.37,1035.602,1050.991,597362150,8282580600.0
2020-06-11,1051.881,1053.676,1036.96,1040.716,635448130,8379681900.0
2020-06-12,1019.014,1038.033,1018.737,1033.662,497443220,5864068600.0
2020-06-15,1031.306,1038.529,1026.282,1026.412,513107320,5946561500.0
2020-06-16,1032.996,1048.74,1026.875,1048.74,632891560,8120853600.0
2020-06-17,1049.618,1050.048,1039.826,1046.745,609383240,8110778800.0
2020-06-18,1044.66,1047.925,1036.96,1045.914,504190810,6193005100.0
2020-06-19,1045.338,1048.123,1043.139,1047.916,491779310,6606154000.0
2020-06-22,1048.842,1049.173,1042.566,1043.456,517230220,6284930900.0
2020-06-23,1044.872,1045.915,1038.62,1039.651,522745200,6685436100.0
2020-06-24,1042.017,1047.178,1042.017,1043.567,476193520,6464110400.0
2020-06-29,1039.76,1040.296,1022.144,1024.46,528093790,7298006700.0
2020-06-30,1027.698,1038.259,1027.578,1035.335,491615830,6366043700.0
2020-07-01,1038.613,1067.509,1037.344,1067.509,838189940,12133606100.0
2020-07-02,1068.054,1085.836,1066.024,1083.527,1086627280,13750103000.0
2020-07-03,1086.21,1106.885,1086.21,1098.313,1098503540,12775429700.0
2020-07-06,1107.604,1145.242,1107.604,1143.959,1565089700,16710372000.0
2020-07-07,1151.681,1159.821,1127.935,1135.504,1531642800,16945261000.0
2020-07-08,1135.16,1170.228,1132.087,1168.878,1448003400,14954980000.0
2020-07-09,1169.087,1197.828,1161.331,1197.7,1689080900,19267009000.0
2020-07-10,1184.256,1189.653,1168.841,1172.844,1455116000,15849769000.0
2020-07-13,1173.242,1226.54,1173.242,1223.471,1576555400,18331592000.0
2020-07-14,1229.086,1245.126,1203.728,1223.73,1571690000,18311119000.0
2020-07-15,1232.789,1237.203,1203.162,1204.15,1525867700,15385128000.0
2020-07-16,1201.411,1215.198,1145.492,1148.102,1514132800,15997002000.0
2020-07-17,1148.728,1175.822,1145.22,1157.984,1173362850,12654647900.0
2020-07-20,1169.536,1236.508,1169.536,1236.508,1719341400,24949380000.0
2020-07-21,1242.085,1242.085,1220.845,1230.909,1178001450,17996284000.0
2020-07-22,1232.825,1243.86,1226.756,1235.308,984399650,13147211000.0
2020-07-23,1227.045,1238.494,1198.724,1227.658,1308874450,13664568000.0
2020-07-24,1222.618,1234.168,1170.951,1180.657,1810971500,16031533000.0
2020-07-27,1193.227,1204.88,1178.854,1192.484,1407357800,12695274200.0
2020-07-28,1196.101,1211.553,1187.931,1198.034,1372822000,11904872700.0
2020-07-29,1193.055,1224.797,1182.26,1224.704,1418521200,13067971400.0
2020-07-30,1231.886,1281.205,1231.886,1271.059,1791105200,19976891000.0
2020-07-31,1282.962,1296.565,1276.83,1292.438,1770401300,18566256000.0
2020-08-03,1307.128,1323.001,1307.128,1321.139,1471250400,16472706000.0
2020-08-04,1325.866,1331.446,1308.028,1313.712,2243902400,22972612000.0
2020-08-05,1307.126,1323.1,1291.857,1323.035,1645563700,16941826000.0
2020-08-06,1324.926,1332.978,1308.662,1326.694,1909359000,20166437000.0
2020-08-07,1324.628,1331.429,1304.742,1327.786,1754179000,19644601000.0
2020-08-10,1354.232,1364.109,1327.852,1333.909,2160611200,25102557000.0
2020-08-11,1338.669,1343.187,1294.95,1296.032,1899331600,20981086000.0
2020-08-12,1299.023,1303.074,1269.416,1301.613,1994926300,23537780000.0
2020-08-13,1302.847,1320.895,1299.159,1302.989,1742091100,20595666000.0
2020-08-14,1295.931,1297.76,1272.111,1296.906,1479636500,16447130000.0
2020-08-17,1299.491,1326.103,1293.471,1326.103,1531243000,17367718000.0
2020-08-18,1327.562,1342.632,1321.046,1337.102,1402622300,15271557000.0
2020-08-19,1342.52,1372.153,1342.36,1349.692,2327143200,24883560000.0
2020-08-20,1341.193,1341.193,1318.299,1319.898,1733248600,16550557000.0
2020-08-21,1321.179,1332.199,1303.181,1315.112,1548945000,14451957000.0
2020-08-24,1315.822,1322.562,1306.202,1318.952,1341303500,14126380000.0
2020-08-25,1318.757,1328.291,1304.379,1309.064,1333812680,13836983000.0
2020-08-26,1306.855,1312.343,1276.129,1282.152,1589047200,16767313000.0
2020-08-27,1285.915,1288.762,1269.62,1286.336,1349756900,14242551000.0
2020-08-28,1283.434,1300.359,1277.173,1300.227,1112691870,12785038800.0
2020-08-31,1312.43,1323.842,1304.91,1304.965,1451958700,17309559000.0
2020-09-01,1299.119,1299.119,1283.539,1294.113,980079720,11356381600.0
2020-09-02,1295.836,1295.836,1277.062,1284.555,957739180,10640879800.0
2020-09-03,1284.147,1289.069,1262.382,1266.68,1071395020,11681529000.0
2020-09-04,1246.807,1261.959,1242.631,1261.246,754127030,7984575700.0
2020-09-07,1259.373,1267.386,1229.195,1232.735,990007700,10708095300.0
2020-09-08,1232.821,1241.835,1217.32,1239.798,873975880,9028449900.0
2020-09-09,1224.216,1228.682,1208.803,1210.721,934182430,8916432200.0
2020-09-10,1221.605,1224.512,1188.738,1191.383,820348920,7868343200.0
2020-09-11,1188.693,1203.806,1182.218,1203.758,639426270,6005868000.0
2020-09-14,1207.007,1212.383,1199.42,1208.819,606772270,6481681600.0
2020-09-15,1208.586,1217.362,1199.349,1216.729,817274120,7721519900.0
2020-09-16,1214.843,1218.399,1209.34,1214.539,887838540,8421652300.0
2020-09-17,1210.008,1218.881,1202.897,1212.92,756348460,7147269800.0
2020-09-18,1212.835,1240.409,1210.033,1240.236,849568380,8890709100.0
2020-09-21,1242.518,1242.518,1233.081,1236.656,696366020,6968972500.0
2020-09-22,1225.869,1229.148,1210.287,1213.403,624922750,6058855900.0
2020-09-23,1217.531,1219.146,1209.703,1212.289,583673730,5674535700.0
2020-09-24,1204.746,1204.746,1179.129,1179.841,741849600,7240283600.0
2020-09-25,1183.949,1186.286,1163.107,1171.079,614322240,6230788700.0
2020-09-28,1170.798,1171.891,1151.454,1151.992,553199500,5469423400.0
2020-09-29,1154.412,1163.771,1150.246,1154.738,557379490,5267709400.0
2020-09-30,1157.855,1163.635,1145.137,1151.243,554682410,5800463500.0
2020-10-09,1166.38,1179.216,1164.797,1176.062,644678660,6910915200.0
2020-10-12,1180.834,1204.651,1178.667,1204.514,772674710,8116202100.0
2020-10-13,1203.966,1203.966,1193.207,1202.018,754414460,7870805400.0
2020-10-14,1199.787,1199.787,1181.718,1184.747,646542130,7162042400.0
2020-10-15,1185.378,1186.746,1177.913,1179.854,517333820,5501231500.0
2020-10-16,1176.711,1181.048,1170.454,1175.522,478012490,5533043400.0
2020-10-19,1181.65,1187.882,1166.691,1168.145,495478960,5750728800.0
2020-10-20,1166.968,1169.107,1153.99,1169.107,381219170,4406479700.0
2020-10-21,1170.65,1170.65,1147.149,1150.766,360078500,4178293000.0
2020-10-22,1147.96,1147.96,1135.189,1141.67,561705560,5893745200.0
2020-10-23,1141.717,1149.846,1126.409,1128.742,399894040,4460018500.0
2020-10-26,1127.869,1128.886,1112.182,1124.678,338586470,4177668100.0
2020-10-27,1119.761,1130.895,1119.309,1129.833,351145980,4446636500.0
2020-10-28,1131.813,1131.813,1119.024,1130.437,504954580,6072207500.0
2020-10-29,1119.052,1133.518,1115.415,1129.671,539773240,6006116800.0
2020-10-30,1129.634,1129.82,1092.945,1094.042,873399300,8419853000.0
2020-11-02,1094.608,1096.535,1077.15,1080.419,701720260,6655602100.0
2020-11-03,1083.435,1110.349,1082.262,1110.187,682981120,7395754300.0
2020-11-04,1107.571,1121.47,1106.443,1116.897,909084350,11070873600.0
2020-11-05,1124.787,1126.537,1117.129,1125.249,702223860,7939050500.0
2020-11-06,1126.2,1128.907,1116.422,1123.628,686439080,7403039900.0
2020-11-09,1129.879,1143.969,1129.879,1141.323,892954700,9566170900.0
2020-11-10,1142.527,1144.604,1123.346,1127.447,682709670,7535016600.0
2020-11-11,1125.612,1164.218,1123.584,1156.676,938825480,12071738800.0
2020-11-12,1152.53,1158.676,1143.515,1156.152,705690530,8833217400.0
2020-11-13,1151.129,1151.129,1136.171,1141.656,636069220,7070672800.0
2020-11-16,1145.207,1180.483,1145.207,1179.56,884551510,10592919900.0
2020-11-17,1177.066,1188.74,1171.473,1180.443,945231400,12164566300.0
2020-11-18,1176.312,1189.032,1172.782,1185.095,805498940,8283714600.0
2020-11-19,1183.422,1184.966,1162.33,1168.258,754990880,7525892300.0
2020-11-20,1165.61,1171.279,1156.865,1171.162,601966730,6309852000.0
2020-11-23,1171.859,1207.999,1169.305,1198.665,1101526330,11456921700.0
2020-11-24,1194.912,1196.173,1183.97,1187.247,731308610,7491004400.0
2020-11-25,1188.712,1190.603,1157.355,1157.355,807122360,8112452400.0
2020-11-26,1156.597,1157.642,1141.956,1148.902,608898420,5647605100.0
2020-11-27,1148.988,1155.377,1133.8,1149.128,551838740,5366231400.0
2020-11-30,1150.228,1165.459,1145.879,1146.973,699058920,7302452000.0
2020-12-01,1143.51,1159.448,1137.581,1158.44,648519110,6293442000.0
2020-12-02,1159.489,1170.981,1153.446,1163.698,595860290,5700560400.0
2020-12-03,1164.812,1164.835,1149.223,1151.438,652736550,6092675500.0
2020-12-04,1150.967,1154.518,1140.075,1154.323,506415650,4758899700.0
2020-12-07,1154.243,1154.721,1141.52,1142.543,549389090,6315380100.0
2020-12-08,1139.588,1143.818,1132.243,1132.528,439871350,4531593000.0
2020-12-09,1133.51,1135.155,1112.195,1112.195,486337880,4618458200.0
2020-12-10,1112.884,1122.814,1112.837,1120.021,469258770,4340449600.0
