日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1213.981,1226.316,1213.611,1226.191,1368506400,9192676300.0
2020-01-03,1228.606,1235.104,1226.173,1233.774,1235000250,8441123900.0
2020-01-06,1228.745,1247.71,1224.461,1240.542,1733192600,10723977400.0
2020-01-07,1240.393,1253.847,1240.393,1253.847,1504427900,9601184300.0
2020-01-08,1248.115,1249.895,1229.021,1232.113,1581288000,10140286500.0
2020-01-09,1241.5,1249.882,1241.5,1249.882,1268530080,8673011700.0
2020-01-10,1253.382,1254.938,1243.336,1248.766,1303966370,8960482600.0
2020-01-13,1247.318,1255.101,1235.316,1255.101,1294981420,8863927300.0
2020-01-14,1258.06,1277.707,1257.191,1273.217,1958852500,14070596000.0
2020-01-15,1271.509,1275.836,1259.336,1264.376,1799315000,12889694800.0
2020-01-16,1263.812,1264.541,1252.207,1254.019,1325746950,9625393200.0
2020-01-17,1257.263,1258.653,1246.053,1246.053,1163129030,8340058100.0
2020-01-20,1245.911,1255.006,1242.173,1254.975,1151861590,8192281600.0
2020-01-21,1252.443,1252.443,1239.791,1239.989,1114892040,8123148800.0
2020-01-22,1235.511,1242.915,1216.695,1239.021,1144648290,8141763600.0
2020-01-23,1228.543,1234.009,1188.081,1197.114,1504138600,10466431200.0
2020-02-03,1079.5,1084.292,1079.5,1080.849,1020463380,6642250000.0
2020-02-04,1017.839,1079.505,1017.839,1076.506,2016509300,12260701900.0
2020-02-05,1083.227,1115.123,1082.679,1106.356,1796562800,11945876700.0
2020-02-06,1114.417,1149.969,1105.22,1149.177,1985482400,13551273000.0
2020-02-07,1160.553,1194.7,1152.493,1194.611,2480206900,17214641000.0
2020-02-10,1209.129,1215.583,1193.288,1211.625,3129205500,22897944000.0
2020-02-11,1204.295,1204.295,1179.457,1180.547,2302219800,16446859000.0
2020-02-12,1176.485,1193.315,1176.485,1193.054,1796136200,12701776200.0
2020-02-13,1190.583,1197.993,1171.809,1188.678,2345984100,17016012000.0
2020-02-14,1185.78,1192.79,1176.494,1184.669,1854523800,13292489200.0
2020-02-17,1188.334,1219.145,1188.221,1219.145,1984586700,14159712000.0
2020-02-18,1220.207,1231.329,1212.136,1231.329,2226443500,16243411000.0
2020-02-19,1229.686,1239.462,1226.45,1227.969,2494730100,18563089000.0
2020-02-20,1232.48,1244.991,1223.96,1244.842,2078633000,14916587000.0
2020-02-21,1248.359,1260.187,1246.747,1254.652,2222849800,17117022000.0
2020-02-24,1253.816,1265.988,1244.787,1263.44,2500351200,19276591000.0
2020-02-25,1236.196,1248.896,1208.211,1246.234,2773102100,20745718000.0
2020-02-26,1231.616,1263.288,1228.944,1241.761,2699663800,18846562000.0
2020-02-27,1247.171,1269.085,1241.516,1263.662,2723675700,19434222000.0
2020-02-28,1227.838,1239.374,1197.881,1197.881,2924176700,20885585000.0
2020-03-02,1208.2,1258.941,1208.2,1254.621,2580200900,19641573000.0
2020-03-03,1273.146,1286.458,1267.272,1277.103,3325176300,25485842000.0
2020-03-04,1279.265,1302.594,1278.599,1301.44,3072810600,22419091000.0
2020-03-05,1311.774,1323.64,1305.91,1322.03,3438578800,24460980000.0
2020-03-06,1305.138,1329.824,1302.228,1322.177,2845309300,20792031000.0
2020-03-09,1304.798,1313.513,1286.087,1286.087,2854193600,20430894000.0
2020-03-10,1264.287,1303.535,1244.7,1303.535,2696427000,21454770000.0
2020-03-11,1306.096,1326.715,1303.245,1303.322,2727592500,21920986000.0
2020-03-12,1288.415,1302.757,1277.961,1288.995,2632280300,20428575000.0
2020-03-13,1220.86,1274.229,1219.299,1262.25,2711359400,19438953000.0
2020-03-16,1274.344,1277.484,1213.17,1216.557,2544454800,18010803000.0
2020-03-17,1216.993,1231.106,1171.971,1209.238,2155516100,15265969000.0
2020-03-18,1220.132,1231.632,1184.815,1184.815,2145469300,15793961000.0
2020-03-19,1180.688,1195.653,1158.46,1189.34,1825193800,13250369700.0
2020-03-20,1200.553,1209.806,1191.14,1209.764,1468495100,11277771800.0
2020-03-23,1183.471,1194.719,1164.595,1168.452,1493059800,11081463300.0
2020-03-24,1186.868,1190.353,1157.992,1186.938,1432745600,10591481200.0
2020-03-25,1206.563,1210.561,1198.056,1209.797,1465486200,10564810400.0
2020-03-26,1204.658,1208.349,1195.174,1197.194,1271987370,9049824300.0
2020-03-27,1209.05,1216.039,1197.337,1198.693,1364226500,9751631200.0
2020-03-30,1184.674,1184.726,1165.609,1179.058,1366584000,9528224900.0
2020-03-31,1187.779,1191.569,1178.962,1182.997,1188637620,8461332000.0
2020-04-01,1179.195,1192.586,1172.779,1174.571,1270179770,8962694100.0
2020-04-02,1169.088,1198.174,1168.062,1198.174,1301610210,9669033500.0
2020-04-03,1198.186,1202.055,1186.329,1191.723,1295735550,9983700600.0
2020-04-07,1205.445,1228.693,1205.445,1226.99,1628631700,11999409600.0
2020-04-08,1223.024,1237.57,1220.975,1233.635,1534264300,11369037200.0
2020-04-09,1238.478,1246.077,1237.89,1242.504,1462164300,10779179200.0
2020-04-10,1239.356,1239.356,1215.916,1222.966,1670581500,12358056300.0
2020-04-13,1217.009,1221.163,1207.068,1219.328,1181365810,9071045000.0
2020-04-14,1222.362,1237.278,1222.362,1237.278,1249474750,9750304000.0
2020-04-15,1234.867,1238.052,1225.092,1226.285,1374607000,10358139600.0
2020-04-16,1218.651,1226.605,1215.066,1225.241,1198294700,8995279400.0
2020-04-17,1229.599,1234.712,1223.813,1224.416,1471829400,10869137300.0
2020-04-20,1224.207,1231.817,1220.304,1231.817,1405100900,10002680600.0
2020-04-21,1227.658,1227.658,1211.255,1222.254,1312107750,9447170700.0
2020-04-22,1215.693,1232.997,1212.189,1232.872,1171925010,8831289000.0
2020-04-23,1236.762,1240.282,1230.598,1233.569,1416375400,10955200700.0
2020-04-24,1231.696,1231.696,1206.665,1209.457,1319015870,9335931500.0
2020-04-27,1209.49,1213.012,1202.366,1203.63,1290121820,8676645900.0
2020-04-28,1203.96,1205.193,1148.328,1173.487,1665874300,10728466700.0
2020-04-29,1165.705,1177.648,1164.731,1168.19,1013190540,7064641200.0
2020-04-30,1173.036,1194.578,1173.036,1191.926,1314466480,9351200600.0
2020-05-06,1185.395,1214.068,1185.061,1214.036,1533509200,11295192100.0
2020-05-07,1213.366,1213.408,1203.873,1208.994,1327820280,9104039400.0
2020-05-08,1211.831,1221.734,1211.214,1218.98,1299495660,9043107300.0
2020-05-11,1222.22,1223.024,1212.099,1217.819,1256572640,9358055600.0
2020-05-12,1217.094,1218.967,1202.033,1217.335,1240332440,9362412000.0
2020-05-13,1213.287,1221.76,1210.822,1220.479,1156974170,8863824200.0
2020-05-14,1214.939,1215.236,1206.884,1206.997,1052508000,7868878100.0
2020-05-15,1209.853,1214.751,1206.447,1207.61,1202590050,9751602000.0
2020-05-18,1209.324,1209.324,1196.171,1197.747,1232578320,9275247700.0
2020-05-19,1205.464,1206.825,1199.593,1204.837,1020701790,7926408000.0
