日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-08-05,1020.509,1020.509,995.087,1001.165,437540180,2734534500.0
2020-08-06,998.247,1019.31,984.891,1005.393,393167750,2641071700.0
2020-08-07,995.069,995.069,958.379,966.709,395851340,2501829500.0
2020-08-10,964.454,981.353,962.841,975.232,250308270,1548492100.0
2020-08-11,976.531,988.149,962.895,965.988,349753120,2192870200.0
2020-08-12,959.364,988.341,947.952,988.341,358365230,2251753600.0
2020-08-13,999.6,1017.03,999.046,1004.282,361675360,2050444100.0
2020-08-14,1005.403,1040.109,1000.057,1030.176,830674680,4985134800.0
2020-08-17,1018.736,1039.276,1015.332,1037.677,816952120,4883749600.0
2020-08-18,1032.0,1045.938,1029.295,1040.845,691487410,4313354400.0
2020-08-19,1044.504,1055.034,1034.116,1034.998,697364750,4580431100.0
2020-08-20,1026.399,1032.903,1007.474,1010.213,459368210,2994688800.0
2020-08-21,1015.086,1026.525,1008.393,1019.314,583796400,3626787800.0
2020-08-24,1020.597,1025.927,1007.786,1025.127,412161090,2613183500.0
2020-08-25,1021.379,1023.246,994.705,996.364,454673060,2815604200.0
2020-08-26,994.171,1030.034,994.171,1010.684,567350480,3364530100.0
2020-08-27,1012.84,1014.327,980.787,990.458,500895670,3265571400.0
2020-08-28,986.556,986.556,968.186,984.269,393517570,2377845600.0
2020-08-31,985.224,991.041,980.307,980.434,423346280,2379702900.0
2020-09-01,980.222,980.723,965.538,971.322,341657980,1869121900.0
2020-09-02,972.676,974.907,964.666,970.789,367473780,2022698600.0
2020-09-03,971.346,971.346,952.53,955.768,315713640,1773541100.0
2020-09-04,939.461,949.12,936.994,947.311,276118670,1442795600.0
2020-09-07,946.201,956.68,934.676,939.331,336646430,1769802700.0
2020-09-08,942.871,964.008,936.241,963.689,404621800,1920658100.0
2020-09-09,959.38,980.584,956.775,963.104,628789250,2736442600.0
2020-09-10,968.335,969.469,923.808,926.817,507159200,2318481900.0
2020-09-11,921.321,940.606,916.645,938.232,456695330,1765398500.0
2020-09-14,938.958,947.219,935.997,943.804,429857910,1768654300.0
2020-09-15,944.01,944.01,927.397,931.397,308468120,1358457600.0
2020-09-16,931.576,933.6,919.819,922.438,360652070,1471454600.0
2020-09-17,920.02,924.831,910.394,918.717,328787450,1432503400.0
2020-09-18,920.296,928.321,913.044,926.616,321280950,1414217100.0
2020-09-21,927.966,931.777,920.639,923.685,232214390,1124154630.0
2020-09-22,915.921,917.088,904.804,904.807,221150000,1031926940.0
2020-09-23,908.657,912.361,903.767,907.035,160971050,805165670.0
2020-09-24,901.379,901.379,885.062,887.435,231218890,1133324550.0
2020-09-25,890.901,891.646,873.208,877.511,188735380,890776190.0
2020-09-28,880.343,880.343,866.665,867.612,129679830,631631120.0
2020-09-29,871.628,882.674,869.45,878.392,170671220,781422200.0
2020-09-30,881.325,881.325,868.492,873.874,158378090,726485190.0
2020-10-09,885.011,900.157,885.011,897.797,239464670,1160368490.0
2020-10-12,903.315,916.591,902.874,915.482,280353400,1379257700.0
2020-10-13,917.052,917.052,906.682,910.911,216433020,1074280700.0
2020-10-14,910.945,911.026,902.289,907.638,251530550,1361702300.0
2020-10-15,908.687,908.687,897.815,898.664,184949070,958071270.0
2020-10-16,896.939,899.527,892.807,896.252,173817590,810796210.0
2020-10-19,899.738,906.392,894.531,900.225,294487200,1202920890.0
2020-10-20,897.81,906.165,892.727,905.758,232724520,1050128340.0
2020-10-21,906.197,906.197,896.93,899.832,204954840,973218860.0
2020-10-22,897.72,898.194,891.192,893.308,188129670,821170940.0
2020-10-23,891.918,897.277,881.935,885.22,164940390,775077930.0
2020-10-26,884.91,890.897,878.234,887.818,139036800,653042670.0
2020-10-27,883.738,888.503,880.213,883.894,154571610,772458510.0
2020-10-28,884.709,884.709,867.332,877.806,196246130,976247740.0
2020-10-29,867.016,880.591,865.875,878.167,234786450,1132566140.0
2020-10-30,881.346,883.715,864.252,864.252,246621520,1089198140.0
2020-11-02,861.897,865.872,857.245,861.02,363138960,1503801900.0
2020-11-03,864.588,886.314,864.588,885.874,414116310,1777364700.0
2020-11-04,888.229,888.619,876.651,880.32,297074700,1311982450.0
2020-11-05,887.064,903.522,886.42,901.935,426108080,1859457900.0
2020-11-06,903.919,906.129,893.724,898.805,319432550,1448328000.0
2020-11-09,902.162,918.475,902.162,913.468,511298540,2215191700.0
2020-11-10,914.548,915.412,903.681,906.929,354253730,1561846100.0
2020-11-11,907.562,910.142,900.509,901.749,283342920,1241076600.0
2020-11-12,902.263,904.561,895.355,897.265,246204670,1043390000.0
2020-11-13,898.021,900.828,891.856,898.01,339325270,1457837200.0
2020-11-16,900.021,924.843,898.019,924.034,542516010,2404761300.0
2020-11-17,926.413,928.013,918.314,927.14,551365200,2269033100.0
2020-11-18,926.244,942.1,923.721,931.61,572132360,2466961700.0
2020-11-19,931.534,937.586,925.321,928.504,483825180,2073733800.0
2020-11-20,926.539,945.422,922.967,944.646,621884130,2923510800.0
2020-11-23,945.833,953.288,940.279,947.297,813216870,3921789800.0
2020-11-24,945.844,960.519,943.32,959.017,726488680,3472534600.0
2020-11-25,964.398,965.962,948.436,948.447,735608840,3464353800.0
2020-11-26,954.94,959.1,937.705,943.341,529934710,2560552300.0
2020-11-27,945.062,948.551,927.071,939.433,444993310,2192152600.0
2020-11-30,938.458,948.02,932.97,933.884,547695690,2509619000.0
2020-12-01,931.566,938.416,926.64,935.921,432913420,1972634700.0
2020-12-02,937.257,942.538,932.727,935.987,416512790,1940527500.0
2020-12-03,934.165,934.283,924.333,927.045,376193520,1673455800.0
2020-12-04,927.639,936.797,921.242,935.538,492855440,2505555300.0
2020-12-07,935.773,938.984,928.643,932.1,463052670,2434799700.0
2020-12-08,934.869,937.735,927.944,930.804,357097040,1829333500.0
2020-12-09,932.406,935.835,919.956,919.956,510940230,2597286700.0
2020-12-10,918.039,921.128,912.992,916.989,356350380,1732660200.0
2020-12-11,927.252,929.08,904.844,909.73,445207670,2207762200.0
2020-12-14,906.869,921.067,899.364,920.563,378122520,1909994200.0
2020-12-15,918.118,919.883,913.199,918.973,473593500,2478995100.0
2020-12-16,919.416,926.244,911.549,919.062,423381510,2326879700.0
2020-12-17,915.587,935.122,907.019,933.616,773021610,4052458800.0
2020-12-18,929.973,936.248,925.121,927.651,699293870,3808501600.0
2020-12-21,927.786,943.545,924.076,942.12,861866280,5105112700.0
2020-12-22,937.632,937.632,913.873,914.333,882532340,5202985400.0
2020-12-23,916.432,929.501,911.566,928.365,878422190,5375305300.0
2020-12-24,925.902,929.564,914.949,920.105,801871200,4631059300.0
