日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2063.085,2108.47,2055.883,2105.093,1697420700,32693613000.0
2020-01-03,2111.004,2130.565,2104.019,2123.28,1488039700,27847766000.0
2020-01-06,2118.872,2183.168,2114.402,2167.188,2080111000,38739660000.0
2020-01-07,2168.564,2183.172,2161.269,2183.172,1627615500,30857033000.0
2020-01-08,2173.438,2232.571,2169.888,2196.118,2064421100,36333180000.0
2020-01-09,2220.538,2237.589,2218.872,2237.589,1752309300,34229022000.0
2020-01-10,2238.659,2240.221,2207.2,2223.76,1447188100,29238259000.0
2020-01-13,2226.358,2283.719,2222.189,2283.719,1713849900,35921448000.0
2020-01-14,2294.693,2297.62,2259.439,2260.531,1617292100,33162120000.0
2020-01-15,2254.627,2273.307,2245.595,2268.52,1512184300,30547408000.0
2020-01-16,2272.663,2283.5,2260.785,2277.749,1474835800,31593522000.0
2020-01-17,2282.615,2285.717,2252.265,2258.941,1318308920,28448544000.0
2020-01-20,2253.207,2296.102,2244.028,2294.551,1654462700,35654584000.0
2020-01-21,2285.546,2285.546,2252.795,2254.598,1434887800,30290830000.0
2020-01-22,2239.609,2305.182,2205.386,2295.831,1728309700,37184434000.0
2020-01-23,2259.571,2291.803,2169.168,2199.2,1984245600,41816836000.0
2020-02-03,1982.506,1997.516,1980.8,1983.038,623429430,17215577000.0
2020-02-04,1867.839,2002.023,1867.839,1991.659,2050415000,38532954000.0
2020-02-05,2013.403,2086.962,2013.403,2043.897,1868688500,38273078000.0
2020-02-06,2029.692,2103.288,2022.089,2096.767,2109585900,42490061000.0
2020-02-07,2092.332,2140.002,2086.152,2138.88,2212825000,45347109000.0
2020-02-10,2141.825,2182.472,2137.524,2181.765,2034101300,41319898000.0
2020-02-11,2186.004,2192.492,2150.144,2171.267,1914084800,40556001000.0
2020-02-12,2157.731,2219.037,2157.224,2218.196,1904656000,39014219000.0
2020-02-13,2214.597,2237.426,2188.787,2202.167,1943920500,40992279000.0
2020-02-14,2197.354,2240.26,2182.99,2208.18,1864296500,39252530000.0
2020-02-17,2224.416,2293.295,2224.416,2293.295,2089318400,43772418000.0
2020-02-18,2298.446,2348.484,2294.42,2348.484,2163016100,46604092000.0
2020-02-19,2348.113,2377.56,2333.731,2335.988,2300021800,50471713000.0
2020-02-20,2349.006,2398.871,2330.146,2397.907,2278178200,50425699000.0
