日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-12-09,997.869,1001.546,990.864,999.714,348817540,20557192000.0
2021-12-10,994.971,1001.077,984.395,995.509,324187030,20468719000.0
2021-12-13,996.753,1012.822,993.923,1009.295,358260090,18107415000.0
2021-12-14,1005.284,1014.039,1001.32,1011.092,294584980,15085252000.0
2021-12-15,1011.114,1014.387,992.137,993.726,286977900,14364817000.0
2021-12-16,998.211,1002.483,989.225,991.715,357661220,16090380000.0
2021-12-17,988.999,988.999,963.779,964.176,307418160,16415958000.0
2021-12-20,960.699,967.028,943.307,943.647,311123670,14586449000.0
2021-12-21,945.769,955.882,941.449,955.42,293729150,13994880000.0
2021-12-22,960.476,974.969,959.139,964.555,293307060,18552097000.0
2021-12-23,965.494,978.489,962.08,970.554,281380200,15114635000.0
2021-12-24,972.567,977.726,959.235,959.235,362913740,15717800000.0
2021-12-27,958.647,964.19,951.863,953.787,272097220,13140292500.0
2021-12-28,959.288,964.028,952.379,961.563,206818110,13259742500.0
2021-12-29,960.438,960.535,943.841,950.636,225432170,14733235000.0
2021-12-30,950.678,979.785,949.987,971.031,325260030,18660464000.0
2021-12-31,971.623,971.935,961.311,968.522,275972020,14446994000.0
2022-01-04,969.007,974.328,951.504,962.108,297722280,14720757000.0
2022-01-05,960.509,962.23,924.612,929.523,291948410,17442751000.0
2022-01-06,923.602,931.615,914.575,925.758,225562560,14001189000.0
2022-01-07,924.348,933.13,904.4,904.585,285326080,13924504000.0
2022-01-10,903.179,909.466,884.591,902.681,315265670,15079904000.0
2022-01-11,902.605,904.048,885.737,887.824,239784950,11894517500.0
2022-01-12,893.152,902.969,892.717,902.969,276092350,13027819800.0
2022-01-13,905.754,905.754,891.715,891.881,274187630,11917681700.0
2022-01-14,885.934,912.401,885.48,906.411,281780280,14850349000.0
2022-01-17,909.318,929.718,908.812,928.149,371619580,16441056000.0
2022-01-18,928.142,950.992,924.793,938.309,399401380,16474740000.0
2022-01-19,932.83,937.826,923.037,928.076,292861210,13872613000.0
2022-01-20,927.485,934.986,911.023,911.064,264348030,12043945300.0
2022-01-21,906.472,910.466,892.31,893.289,220727550,11468726300.0
2022-01-24,891.432,907.531,890.655,902.071,215985420,11212403100.0
2022-01-25,901.231,908.449,873.344,873.344,318369840,14382695000.0
2022-01-26,875.904,883.594,865.747,880.245,240635210,11910685800.0
2022-01-27,878.099,883.867,845.506,846.142,283131730,13975227000.0
2022-01-28,851.16,855.817,834.662,838.768,249086430,12471155100.0
2022-02-07,855.508,861.801,836.917,839.807,210695820,12012740900.0
2022-02-08,839.772,839.772,810.78,827.499,309871980,14589089000.0
2022-02-09,827.679,845.391,822.901,845.3,211191850,11338207400.0
2022-02-10,847.999,851.725,836.289,840.29,213642640,10098604600.0
2022-02-11,834.682,842.428,824.299,826.505,223691350,9478410600.0
2022-02-14,817.129,831.798,809.096,822.228,293776780,11211031200.0
2022-02-15,823.991,845.617,823.702,845.584,278387570,12572545600.0
2022-02-16,852.619,854.012,837.385,840.565,228249260,10245900200.0
2022-02-17,838.156,855.848,834.66,847.134,225501760,11111991300.0
2022-02-18,838.476,843.573,836.117,841.772,179899430,7976160100.0
2022-02-21,840.21,844.4,835.961,839.483,207697440,9272850100.0
2022-02-22,834.045,846.951,819.143,843.024,230668450,11958329300.0
2022-02-23,843.06,888.982,843.06,888.051,384244340,19633104000.0
2022-02-24,883.159,891.821,859.754,874.304,431568800,18756727000.0
2022-02-25,890.15,896.21,877.095,879.351,311639870,14836765000.0
