日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1438.959,1451.356,1436.862,1449.005,18864341000,238650840000.0
2020-01-03,1449.93,1454.258,1445.272,1451.655,15466481000,195282300000.0
2020-01-06,1445.512,1467.567,1442.767,1457.497,19081220000,225053970000.0
2020-01-07,1457.84,1472.907,1457.84,1472.907,15727107000,184094690000.0
2020-01-08,1467.706,1468.485,1447.835,1452.111,16738643000,192469690000.0
2020-01-09,1461.485,1471.128,1461.485,1471.128,14080034000,177687810000.0
2020-01-10,1474.817,1476.319,1463.232,1469.255,11887510000,158003920000.0
2020-01-13,1468.239,1482.988,1459.921,1482.988,12463556900,175167140000.0
2020-01-14,1485.817,1488.707,1480.166,1480.872,13579365000,175566260000.0
2020-01-15,1478.997,1480.585,1468.169,1474.385,11346338200,148416190000.0
2020-01-16,1476.702,1479.171,1467.844,1469.997,10821458800,143803950000.0
2020-01-17,1472.855,1476.92,1464.594,1467.895,10257419300,144971460000.0
2020-01-20,1469.857,1479.465,1463.207,1479.465,11963449300,171486980000.0
2020-01-21,1476.822,1476.822,1459.105,1459.38,13652891000,187160320000.0
2020-01-22,1453.511,1465.868,1434.088,1460.629,12673489400,179074330000.0
2020-01-23,1448.737,1453.665,1401.116,1411.614,15992244000,215869010000.0
2020-02-03,1281.778,1295.38,1281.778,1287.339,15578796000,194929030000.0
2020-02-04,1236.592,1296.598,1236.592,1292.936,21538688000,250129890000.0
2020-02-05,1298.523,1331.787,1297.033,1320.852,17722160000,221045710000.0
2020-02-06,1324.157,1355.184,1314.184,1350.686,18354812000,230267860000.0
2020-02-07,1350.661,1359.866,1337.442,1359.866,17239364000,219769010000.0
2020-02-10,1356.637,1377.937,1352.783,1377.873,16325424000,209815730000.0
2020-02-11,1378.361,1384.192,1370.114,1377.321,15211494000,188679270000.0
2020-02-12,1375.431,1394.296,1374.03,1394.296,13836302000,180443690000.0
2020-02-13,1393.616,1399.095,1379.883,1383.036,15572123000,205360550000.0
2020-02-14,1381.677,1393.825,1379.082,1387.817,14721836000,192794090000.0
2020-02-17,1393.756,1427.075,1393.756,1427.075,18828759000,235202360000.0
2020-02-18,1428.276,1437.27,1419.559,1437.27,17169050000,223878660000.0
2020-02-19,1434.789,1443.631,1429.265,1430.209,17723016000,232436640000.0
2020-02-20,1433.552,1457.439,1426.944,1457.312,20892757000,270882630000.0
2020-02-21,1456.483,1475.856,1454.937,1466.755,21318732000,280927880000.0
2020-02-24,1464.598,1476.919,1453.931,1472.178,21574492000,289004780000.0
2020-02-25,1443.835,1466.199,1418.639,1464.446,25639025000,327754730000.0
2020-02-26,1445.548,1473.02,1443.903,1449.415,27085060000,315510440000.0
2020-02-27,1453.847,1462.303,1442.62,1450.944,19447654000,248812620000.0
2020-02-28,1411.942,1425.834,1382.798,1384.118,22933441000,277352780000.0
2020-03-02,1394.571,1443.196,1394.571,1437.988,21679041000,260036820000.0
2020-03-03,1459.39,1470.902,1439.718,1451.369,23486690000,284156910000.0
2020-03-04,1443.861,1465.517,1442.069,1465.517,19785624000,246922580000.0
2020-03-05,1479.323,1493.965,1473.999,1493.059,25990597000,316953410000.0
2020-03-06,1476.343,1487.965,1474.28,1479.054,19352507000,228451740000.0
2020-03-09,1458.8,1463.833,1431.821,1431.821,23777537000,277702030000.0
2020-03-10,1414.927,1458.997,1402.636,1458.997,22232295000,267231300000.0
2020-03-11,1462.013,1469.339,1447.026,1447.026,18832197000,231329740000.0
2020-03-12,1428.82,1433.042,1407.993,1419.477,16851594000,204800930000.0
2020-03-13,1353.789,1411.249,1352.446,1400.788,20516687000,251386290000.0
2020-03-16,1410.599,1410.669,1345.214,1347.917,19423933000,239028940000.0
2020-03-17,1353.708,1367.589,1306.19,1344.048,17032013000,208114070000.0
2020-03-18,1353.81,1367.556,1320.108,1320.108,16029641000,202466990000.0
2020-03-19,1317.637,1328.246,1287.611,1318.881,17884440000,220950890000.0
2020-03-20,1330.89,1339.96,1316.525,1338.514,14157623000,180187410000.0
2020-03-23,1305.646,1317.602,1287.807,1290.809,13906007000,171573960000.0
2020-03-24,1312.537,1319.467,1287.554,1317.962,14489799000,180174520000.0
2020-03-25,1343.632,1350.756,1334.394,1348.09,15295554000,189200870000.0
2020-03-26,1339.437,1348.75,1334.115,1336.378,11962617300,151773150000.0
2020-03-27,1350.286,1357.621,1338.878,1339.443,13067229900,160735160000.0
2020-03-30,1323.917,1328.614,1308.508,1320.252,13007915100,158515500000.0
2020-03-31,1330.932,1333.84,1321.469,1324.926,11792629200,140308780000.0
2020-04-01,1321.46,1336.461,1314.614,1316.795,11242023100,137232800000.0
2020-04-02,1310.28,1339.173,1308.61,1339.173,11506963000,141568510000.0
2020-04-03,1337.572,1341.355,1326.239,1331.247,10332142000,126999950000.0
2020-04-07,1351.225,1366.4,1349.891,1365.617,14851241000,180376010000.0
2020-04-08,1359.231,1371.181,1355.998,1366.766,12016422700,143124760000.0
2020-04-09,1372.432,1378.561,1370.067,1375.371,11186132800,137160510000.0
