日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-08-25,944.003,1279.997,944.003,1227.205,329913870,29485686000.0
2020-08-26,1151.491,1236.243,1122.947,1132.064,268902230,25729898000.0
2020-08-27,1133.215,1143.239,980.016,984.873,222095540,18740427000.0
2020-08-28,953.606,956.317,870.757,871.194,193195620,14329730000.0
2020-08-31,869.979,895.378,859.023,879.42,142880880,10818844200.0
2020-09-01,860.593,868.902,829.483,834.407,212882200,14854133000.0
2020-09-02,817.744,822.572,786.788,788.555,175751270,11346266300.0
2020-09-03,775.007,776.764,736.033,736.092,153248000,9228446800.0
2020-09-04,715.488,756.685,712.592,735.245,125810387,7316912800.0
2020-09-07,726.72,761.104,715.294,723.659,138748090,7975253000.0
2020-09-08,718.434,727.435,708.196,709.271,113437012,6469341700.0
2020-09-09,694.911,694.911,656.812,656.812,120717075,6559009600.0
2020-09-10,665.095,669.184,613.632,613.747,205854670,9070044900.0
2020-09-11,592.086,679.345,588.266,652.52,213134920,9236516300.0
2020-09-14,642.724,682.55,642.724,680.123,202288900,9566335600.0
2020-09-15,674.947,733.667,661.817,704.752,242276400,12338296700.0
2020-09-16,689.233,786.115,675.89,777.846,351400730,19560793000.0
2020-09-17,768.002,846.392,761.955,770.093,533460760,31557182000.0
2020-09-18,747.106,775.911,733.134,739.592,353363490,19130871000.0
2020-09-21,728.304,752.27,722.86,744.783,246568660,13795477000.0
2020-09-22,721.992,741.953,719.245,720.531,235468700,14038872000.0
2020-09-23,720.285,750.854,720.285,748.59,238522440,14114127000.0
2020-09-24,735.665,783.788,734.668,753.627,346284080,20626665000.0
2020-09-25,747.241,766.428,722.794,722.794,273430780,16179411000.0
2020-09-28,713.267,717.188,676.433,680.472,251455300,19106003000.0
2020-09-29,683.899,686.375,664.228,664.228,197009340,12350886100.0
2020-09-30,661.918,682.632,657.403,659.052,217920040,10655300900.0
2020-10-09,671.702,713.349,671.702,708.97,258555280,13765388000.0
2020-10-12,718.056,747.09,717.737,745.172,286830580,17105073000.0
2020-10-13,741.769,751.407,732.343,746.035,267908020,17116023000.0
2020-10-14,743.763,802.936,743.763,796.869,360657670,22399709000.0
2020-10-15,788.587,815.037,768.372,793.411,570842340,32698307000.0
2020-10-16,777.447,796.875,773.953,778.277,463300600,27507587000.0
2020-10-19,771.987,780.078,756.334,760.437,342271090,19922235000.0
2020-10-20,753.858,828.168,753.136,826.074,458983380,26997137000.0
2020-10-21,824.012,860.414,816.943,833.678,540462930,31621952000.0
2020-10-22,813.241,842.029,807.234,808.004,421750990,24370117000.0
