日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-21,1034.366,1055.759,1034.366,1055.759,1383878500,19264830000.0
2020-01-22,1079.688,1079.688,1029.48,1030.927,2337602700,25829750000.0
2020-01-23,1034.785,1055.507,1027.398,1046.087,2496755300,28239387000.0
2020-02-03,1070.681,1087.631,1051.042,1080.93,2057338800,30406633000.0
2020-02-04,1096.411,1132.769,1058.804,1113.675,2990010100,38749712000.0
2020-02-05,1121.982,1179.005,1110.186,1175.545,3139136200,43601412000.0
2020-02-06,1180.109,1239.373,1175.277,1211.07,3089862100,46448617000.0
2020-02-07,1227.629,1246.796,1172.013,1176.855,3456993500,49287073000.0
2020-02-10,1171.006,1171.006,1119.438,1131.664,2320933800,32165127000.0
2020-02-11,1113.786,1114.334,1090.66,1113.217,2128812600,26768939000.0
2020-02-12,1101.822,1125.045,1096.467,1116.044,2409493600,28662346000.0
2020-02-13,1115.446,1115.731,1081.138,1093.882,2450336400,30451800000.0
2020-02-14,1097.312,1104.721,1075.563,1084.359,2465753100,31646632000.0
2020-02-17,1085.531,1102.254,1085.531,1102.254,2045866800,26540183000.0
2020-02-18,1115.929,1115.929,1096.962,1109.522,2504966200,33665888000.0
2020-02-19,1107.213,1107.213,1076.21,1076.78,2133777100,27611967000.0
2020-02-20,1074.197,1075.235,1052.346,1066.83,1883656700,23575232000.0
2020-02-21,1067.645,1080.557,1061.104,1079.059,1967713300,24243377000.0
2020-02-24,1087.829,1104.047,1087.079,1097.825,2065024100,26772502000.0
2020-02-25,1089.032,1135.665,1086.557,1135.665,2948158400,38844293000.0
2020-02-26,1133.756,1133.756,1099.727,1102.455,2828932100,35388118000.0
2020-02-27,1103.28,1106.554,1080.55,1086.53,1951353400,24594172000.0
2020-02-28,1071.373,1099.749,1070.987,1075.322,2191785000,28615074000.0
2020-03-02,1082.239,1092.335,1071.387,1091.409,2111982400,27048497000.0
2020-03-03,1095.608,1115.28,1091.248,1105.725,2257979500,30295698000.0
2020-03-04,1097.245,1101.428,1084.24,1096.687,1762964900,22837393000.0
2020-03-05,1101.209,1105.147,1096.019,1104.989,1763805900,23694893000.0
2020-03-06,1104.805,1126.243,1103.218,1118.685,1899836200,24762037000.0
2020-03-09,1117.498,1131.612,1105.028,1118.177,2481145300,31483755000.0
2020-03-10,1093.779,1100.884,1063.518,1094.15,2268731500,29432613000.0
2020-03-11,1095.01,1104.288,1087.893,1089.226,1683232200,21610550000.0
2020-03-12,1086.085,1089.773,1062.07,1066.291,1593269100,21698104000.0
2020-03-13,1008.846,1040.436,1005.976,1030.563,1695412500,22307143000.0
