日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-11-03,994.188,1001.903,989.879,1000.943,388629110,5461737500.0
2021-11-04,999.424,1002.128,995.14,1001.91,328132090,4640606600.0
2021-11-05,1000.992,1007.537,994.124,994.418,477735830,5305786400.0
2021-11-08,994.671,1006.701,992.329,1005.056,428223780,5159125800.0
2021-11-09,1005.746,1007.546,1000.879,1007.034,350910480,4080795100.0
2021-11-10,1004.387,1010.292,996.319,1009.452,377565280,4385737200.0
2021-11-11,1008.234,1023.967,1007.499,1023.154,500309150,6482619500.0
2021-11-12,1022.489,1024.058,1015.699,1020.194,371198010,4568236400.0
2021-11-15,1021.549,1032.997,1018.836,1032.876,382008480,4778334700.0
2021-11-16,1032.423,1034.381,1023.484,1024.417,373804050,5990369700.0
2021-11-17,1022.73,1031.141,1021.967,1031.141,333707100,4612104800.0
2021-11-18,1031.016,1033.358,1024.545,1025.158,400957130,4527783200.0
2021-11-19,1022.229,1035.258,1021.138,1034.656,435775250,4737514100.0
2021-11-22,1034.706,1039.002,1028.491,1038.202,468112600,6245801300.0
2021-11-23,1040.611,1045.931,1038.929,1041.892,469320860,6012708700.0
2021-11-24,1042.198,1051.782,1033.854,1048.432,554208130,5943977200.0
2021-11-25,1046.169,1054.255,1044.184,1050.756,446986820,5360726900.0
2021-11-26,1046.155,1050.651,1041.706,1048.211,449728600,5387682200.0
2021-11-29,1033.953,1041.326,1031.58,1038.198,445039610,5405172400.0
2021-11-30,1040.936,1057.091,1040.936,1052.13,480547220,6151732400.0
2021-12-01,1052.275,1072.76,1051.006,1072.173,644350770,6549891400.0
2021-12-02,1075.484,1075.484,1064.228,1064.528,580323410,6845870700.0
2021-12-03,1066.406,1075.01,1064.596,1070.468,509342120,6552745500.0
2021-12-06,1069.662,1073.261,1054.875,1056.229,529428510,6556983400.0
2021-12-07,1063.067,1067.429,1048.878,1066.463,753810230,9645589100.0
2021-12-08,1066.496,1069.167,1059.865,1066.285,499181470,6711291800.0
2021-12-09,1064.743,1072.96,1064.256,1068.298,505460080,7561150100.0
2021-12-10,1064.369,1068.959,1060.868,1062.572,469642350,7610554600.0
2021-12-13,1063.415,1069.356,1062.413,1064.421,479758960,7057205700.0
2021-12-14,1062.78,1062.78,1054.511,1057.1,422831880,5848527100.0
2021-12-15,1057.45,1065.746,1056.919,1061.068,455544880,5332988500.0
2021-12-16,1063.875,1081.494,1063.875,1081.494,546330890,5956389900.0
2021-12-17,1083.53,1087.919,1081.637,1084.956,519836510,5834947200.0
2021-12-20,1087.273,1094.354,1083.448,1085.505,598794090,5834161300.0
2021-12-21,1088.116,1121.583,1088.107,1121.157,829809370,6773532700.0
2021-12-22,1123.696,1131.089,1111.969,1116.041,771546070,7026920400.0
2021-12-23,1115.181,1115.181,1097.776,1097.784,613029680,6624231300.0
2021-12-24,1093.966,1095.748,1076.567,1081.647,566833800,5582875000.0
2021-12-27,1077.919,1087.592,1077.242,1083.072,423697750,4846568600.0
2021-12-28,1082.64,1083.86,1076.908,1080.205,367244070,4791777000.0
2021-12-29,1080.906,1082.461,1073.93,1074.833,363448840,6710450100.0
2021-12-30,1074.092,1082.116,1073.367,1076.854,404916230,6844926500.0
2021-12-31,1075.47,1082.903,1072.036,1080.902,395115850,5110032800.0
2022-01-04,1082.254,1102.566,1081.501,1100.058,612070340,6624063500.0
2022-01-05,1099.494,1102.469,1087.973,1095.424,653393440,9395092800.0
2022-01-06,1093.164,1107.18,1092.416,1105.32,567715980,7233913400.0
2022-01-07,1105.672,1111.374,1093.857,1094.906,628192560,6908791200.0
2022-01-10,1094.761,1097.983,1089.087,1097.704,478931630,5981984200.0
2022-01-11,1097.331,1112.176,1097.331,1104.283,586268940,7647304900.0
2022-01-12,1103.775,1110.132,1098.074,1109.841,540663460,6744402400.0
2022-01-13,1110.871,1117.837,1107.25,1109.575,495146350,5621827500.0
2022-01-14,1107.512,1107.512,1081.093,1083.185,562004860,6331806800.0
2022-01-17,1082.728,1091.102,1082.54,1089.797,417718310,4688417800.0
2022-01-18,1095.734,1105.179,1092.11,1097.145,533370440,6225097100.0
2022-01-19,1097.036,1113.038,1097.036,1107.273,719428350,7591993900.0
2022-01-20,1104.191,1108.137,1085.915,1086.314,603855330,7360261400.0
2022-01-21,1083.377,1090.589,1073.529,1078.886,514849070,5707664700.0
2022-01-24,1074.454,1078.85,1065.428,1071.944,463993820,5401388500.0
2022-01-25,1069.466,1069.823,1026.952,1027.161,508771930,5323237000.0
2022-01-26,1028.467,1041.107,1023.506,1036.779,374813330,4039179800.0
2022-01-27,1031.693,1032.539,1007.694,1008.195,421022330,4677430200.0
2022-01-28,1015.857,1037.045,1009.238,1027.103,447369880,5118478200.0
2022-02-07,1037.161,1050.792,1028.57,1048.939,561347680,6820509200.0
2022-02-08,1050.483,1075.51,1049.017,1074.974,553167780,6622608700.0
2022-02-09,1078.866,1086.842,1074.736,1085.598,509242080,5940365200.0
2022-02-10,1086.384,1093.516,1081.729,1092.799,459341090,5066181400.0
2022-02-11,1092.201,1101.182,1083.5,1083.871,536112810,6250151200.0
2022-02-14,1080.505,1084.388,1073.69,1077.22,538033870,5582991800.0
2022-02-15,1078.703,1079.027,1060.715,1068.148,500747070,6394854200.0
2022-02-16,1073.388,1086.548,1073.163,1086.548,422942550,4622180300.0
2022-02-17,1086.572,1090.922,1075.899,1077.457,488991610,5887486900.0
2022-02-18,1070.91,1096.383,1070.522,1096.383,493270270,5217107700.0
2022-02-21,1097.633,1106.953,1092.861,1106.131,490560240,5124320400.0
2022-02-22,1100.088,1105.902,1088.403,1095.882,558866100,6364873300.0
2022-02-23,1097.926,1108.777,1090.71,1107.217,637787720,6318056000.0
2022-02-24,1102.483,1106.565,1064.783,1074.555,737699350,7307687900.0
2022-02-25,1081.937,1099.635,1081.937,1091.814,594426130,6733862300.0
2022-02-28,1096.99,1098.821,1081.16,1093.831,502744110,6176335000.0
2022-03-01,1096.257,1107.494,1094.778,1106.373,530987390,6068717800.0
2022-03-02,1103.593,1118.344,1102.43,1115.244,529727370,5120411400.0
2022-03-03,1120.324,1125.391,1116.957,1122.845,631432420,7666593300.0
2022-03-04,1115.788,1116.178,1095.471,1099.042,538284900,7110933100.0
2022-03-07,1096.102,1106.305,1084.362,1090.462,546474200,6889242700.0
2022-03-08,1087.652,1088.077,1055.732,1061.499,626465690,7307162700.0
2022-03-09,1064.759,1071.436,1010.953,1050.719,682253710,7542483900.0
2022-03-10,1068.622,1080.204,1061.116,1067.056,584019310,6230876800.0
2022-03-11,1056.382,1079.558,1040.209,1078.101,555375750,5829628000.0
2022-03-14,1066.202,1076.625,1044.123,1044.123,458344100,5079088400.0
2022-03-15,1037.271,1037.809,988.597,988.597,775191790,8159341200.0
2022-03-16,1003.06,1028.084,980.503,1022.376,735534810,8130519400.0
2022-03-17,1035.199,1057.93,1035.199,1039.512,666220630,7529463000.0
