日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1284.195,1295.915,1281.672,1295.644,375660010,4206816200.0
2020-01-03,1296.354,1312.404,1292.049,1308.645,481696510,4573474300.0
2020-01-06,1320.448,1337.728,1320.448,1330.239,623082380,5944521300.0
2020-01-07,1322.16,1333.15,1320.35,1333.15,529059730,5864707300.0
2020-01-08,1342.954,1361.017,1336.074,1359.424,906332070,8857385100.0
2020-01-09,1338.699,1358.244,1337.931,1354.937,799263650,8598433700.0
2020-01-10,1352.633,1354.991,1325.739,1330.33,467837590,5175980600.0
2020-01-13,1331.594,1332.259,1315.741,1332.067,426311330,5517425600.0
2020-01-14,1333.688,1335.134,1327.953,1330.862,376548190,4727868400.0
2020-01-15,1329.357,1329.357,1314.314,1322.871,301071040,3843213900.0
2020-01-16,1323.938,1335.307,1321.074,1325.375,448646940,5397949600.0
2020-01-17,1330.399,1330.74,1318.797,1319.546,337837850,3736909700.0
2020-01-20,1318.344,1329.431,1318.344,1329.127,333468830,3979976900.0
2020-01-21,1323.796,1324.354,1308.455,1308.455,322276340,3783286800.0
2020-01-22,1306.761,1313.569,1281.709,1308.107,360872720,4234223000.0
2020-01-23,1297.494,1307.075,1252.691,1262.619,443453270,5022435700.0
2020-02-03,1139.23,1145.139,1139.132,1141.276,189304910,1957074700.0
2020-02-04,1057.194,1121.723,1057.194,1116.734,669075990,6146928000.0
2020-02-05,1125.954,1154.067,1124.826,1141.705,515368320,5093997100.0
2020-02-06,1153.257,1176.811,1142.296,1171.311,499846190,4832403800.0
2020-02-07,1180.309,1189.693,1175.13,1189.6,521539150,5657019200.0
2020-02-10,1197.797,1229.865,1194.102,1229.865,566877210,5466093300.0
2020-02-11,1234.79,1235.5,1218.889,1223.747,529520370,5310511200.0
2020-02-12,1220.071,1247.246,1219.843,1247.174,472884830,4958426000.0
2020-02-13,1251.834,1262.161,1235.665,1245.216,555370470,6022378500.0
2020-02-14,1240.669,1258.888,1239.965,1255.902,521076890,5609373200.0
2020-02-17,1265.0,1308.917,1263.557,1308.589,664848210,6973813600.0
2020-02-18,1316.013,1330.861,1306.648,1325.348,817081230,8262162000.0
2020-02-19,1317.578,1326.246,1307.734,1309.1,726946560,7549039800.0
2020-02-20,1315.23,1329.095,1299.678,1328.108,694840370,6895012800.0
2020-02-21,1326.327,1349.342,1326.234,1338.324,816850860,8860388400.0
2020-02-24,1326.338,1345.706,1315.987,1339.974,802079190,9512731900.0
2020-02-25,1309.374,1325.92,1272.527,1322.086,945656870,10507704800.0
2020-02-26,1303.183,1356.982,1300.977,1324.975,1179111770,13325642100.0
2020-02-27,1328.509,1331.894,1297.621,1307.477,771016880,8792020600.0
2020-02-28,1258.05,1270.784,1220.364,1220.364,822172270,8424295100.0
2020-03-02,1227.072,1267.649,1227.072,1263.88,724164650,7920272100.0
2020-03-03,1284.841,1303.789,1265.429,1278.687,837244320,9572043800.0
2020-03-04,1269.854,1281.884,1258.829,1278.802,532691730,5649861000.0
2020-03-05,1294.805,1304.808,1281.151,1303.866,788376990,7607803700.0
2020-03-06,1285.395,1305.443,1280.547,1296.959,597344220,5592660700.0
2020-03-09,1265.478,1271.936,1237.825,1243.789,801062570,6944629600.0
2020-03-10,1218.237,1268.284,1207.387,1267.901,767327220,8536368900.0
2020-03-11,1274.673,1298.216,1268.55,1268.55,867231750,11595996900.0
2020-03-12,1246.796,1255.603,1231.308,1243.352,717117230,9260529200.0
2020-03-13,1181.144,1232.769,1179.425,1220.478,751102540,9352319600.0
2020-03-16,1233.512,1233.92,1165.713,1169.22,626062860,7515007900.0
2020-03-17,1171.577,1187.667,1134.717,1168.516,601749530,7215259800.0
2020-03-18,1177.55,1182.871,1138.631,1139.192,542615230,7080677700.0
2020-03-19,1135.103,1144.591,1110.892,1136.95,553330650,6624107700.0
2020-03-20,1151.724,1158.712,1142.163,1157.586,438137810,5497120400.0
2020-03-23,1133.452,1140.521,1107.68,1112.53,451052700,5089829600.0
2020-03-24,1131.997,1141.579,1108.874,1135.921,544221910,6161710600.0
2020-03-25,1157.218,1160.311,1145.267,1159.247,498135450,5256011200.0
2020-03-26,1150.704,1150.705,1136.625,1138.237,410455640,4276835700.0
2020-03-27,1150.884,1152.566,1127.702,1128.347,371753010,3791354300.0
2020-03-30,1113.287,1130.454,1085.429,1119.561,595991050,5524088600.0
2020-03-31,1122.411,1138.799,1117.622,1119.626,441084020,4443986700.0
2020-04-01,1114.162,1127.425,1110.974,1112.591,368102410,3774157400.0
2020-04-02,1106.143,1150.177,1106.143,1150.177,505558710,5161132400.0
2020-04-03,1150.657,1150.661,1130.845,1135.465,432430020,4601683100.0
2020-04-07,1150.95,1172.99,1150.95,1170.613,543400740,5449256500.0
2020-04-08,1161.982,1194.98,1159.473,1190.121,579737060,5680071400.0
2020-04-09,1200.296,1204.84,1191.063,1196.139,474283090,4586659700.0
2020-04-10,1193.559,1193.773,1169.934,1175.37,577924240,5139323500.0
2020-04-13,1166.487,1173.097,1162.865,1168.504,440949520,3749832600.0
2020-04-14,1171.27,1183.605,1168.037,1183.605,430459960,3624724500.0
2020-04-15,1179.831,1183.743,1172.058,1172.505,480885210,4411156200.0
2020-04-16,1162.657,1172.303,1157.681,1167.599,445191170,4353733500.0
2020-04-17,1173.828,1177.296,1163.537,1164.922,505400750,5280490500.0
2020-04-20,1165.133,1180.406,1161.96,1179.372,439283200,4523547700.0
2020-04-21,1176.101,1186.105,1171.059,1184.841,588972040,6336692100.0
2020-04-22,1177.804,1191.241,1171.078,1187.475,530340810,5307519300.0
2020-04-23,1197.682,1227.766,1193.138,1217.464,837710120,7623077200.0
2020-04-24,1215.648,1215.855,1179.235,1193.953,731533550,6058686600.0
2020-04-27,1178.47,1180.081,1153.03,1153.174,519281880,4327126500.0
2020-04-28,1145.711,1147.045,1087.125,1107.875,520452700,4307373700.0
2020-04-29,1101.753,1117.228,1099.533,1107.428,292445770,2628663700.0
2020-04-30,1119.53,1145.58,1119.5,1142.333,436892250,4324992900.0
2020-05-06,1139.237,1159.927,1139.036,1159.598,497239100,5382915200.0
2020-05-07,1163.642,1164.262,1154.562,1156.837,472690120,4991123800.0
2020-05-08,1161.08,1175.784,1159.032,1170.089,503044790,5549192800.0
2020-05-11,1173.016,1189.054,1173.016,1182.707,545243130,6573457900.0
2020-05-12,1180.721,1184.361,1170.489,1184.076,486605510,4894796500.0
2020-05-13,1179.735,1182.212,1174.904,1179.847,394894450,3706778200.0
2020-05-14,1175.754,1186.715,1169.126,1177.165,429719550,4073515200.0
2020-05-15,1180.832,1186.322,1178.046,1179.622,414462370,4290829900.0
2020-05-18,1183.027,1205.346,1178.994,1192.529,722613430,7611726200.0
2020-05-19,1197.661,1200.058,1190.3,1198.365,633111160,7447649900.0
2020-05-20,1193.599,1197.149,1171.464,1175.582,529727510,6145501100.0
2020-05-21,1179.452,1185.468,1167.261,1168.883,451706550,5465296600.0
2020-05-22,1164.147,1166.165,1141.446,1150.048,452675760,5219598300.0
2020-05-25,1146.87,1150.853,1136.067,1140.018,338302960,3568270800.0
2020-05-26,1145.687,1159.645,1142.049,1159.448,321450830,3224910800.0
2020-05-27,1159.314,1159.314,1147.354,1148.803,332514290,3665879900.0
2020-05-28,1146.708,1155.986,1139.199,1155.229,388426830,3975334400.0
2020-05-29,1150.348,1158.586,1145.416,1156.717,307867550,3021963500.0
2020-06-01,1157.349,1183.682,1157.349,1182.394,443691880,4535943800.0
2020-06-02,1185.162,1203.71,1181.084,1200.472,470243090,4605672400.0
2020-06-03,1206.404,1216.747,1198.697,1199.405,639742250,6451016900.0
2020-06-04,1199.924,1202.646,1191.118,1192.876,437837530,4326499700.0
2020-06-05,1193.54,1199.043,1190.754,1199.043,356167060,3220407300.0
2020-06-08,1205.494,1212.735,1202.737,1205.637,385560820,3820015200.0
2020-06-09,1204.303,1204.303,1196.225,1203.0,291555460,2901272800.0
2020-06-10,1200.088,1202.274,1190.653,1201.163,312725130,2917803400.0
2020-06-11,1200.046,1210.272,1192.003,1195.127,385621140,3748605400.0
2020-06-12,1171.785,1198.01,1167.889,1194.315,440909080,4111983900.0
2020-06-15,1192.741,1193.707,1180.529,1181.547,366597460,3455479200.0
2020-06-16,1187.064,1200.958,1186.622,1200.809,359926090,3162019300.0
2020-06-17,1208.868,1216.145,1202.2,1207.31,455551230,3958207900.0
2020-06-18,1196.608,1203.25,1193.166,1202.518,381358030,3456749200.0
2020-06-19,1202.937,1209.246,1200.654,1208.199,350330710,3290657400.0
2020-06-22,1209.092,1218.553,1208.659,1215.891,358132850,3356959800.0
2020-06-23,1217.658,1217.658,1199.426,1199.63,315209210,3124683000.0
2020-06-24,1198.008,1200.939,1191.444,1193.467,268339870,2616403600.0
2020-06-29,1197.789,1197.804,1181.151,1183.388,350709340,3280030100.0
2020-06-30,1186.098,1200.878,1186.035,1199.526,296146890,3160990900.0
2020-07-01,1200.257,1208.087,1195.011,1208.033,399995810,4555350900.0
2020-07-02,1206.251,1229.588,1203.003,1229.023,578512070,5664387200.0
2020-07-03,1230.615,1245.447,1230.343,1243.418,648214100,6094548400.0
