日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-02-06,1032.836,1099.769,1027.593,1097.248,620064170,5460436600.0
2020-02-07,1149.29,1174.015,1110.65,1146.406,1153870570,9094373400.0
2020-02-10,1158.543,1158.687,1095.42,1111.997,1416352400,12658625400.0
2020-02-11,1095.318,1095.896,1063.434,1066.783,983908590,8757787200.0
2020-02-12,1062.086,1076.993,1058.441,1076.273,773524600,6677602600.0
2020-02-13,1077.166,1078.745,1046.601,1053.362,845029590,7094015800.0
2020-02-14,1052.06,1061.272,1048.233,1057.756,886160880,7502312700.0
2020-02-17,1061.574,1087.544,1061.574,1087.544,1124254010,8547790400.0
2020-02-18,1089.197,1114.899,1085.99,1114.594,1174040500,9917983000.0
2020-02-19,1114.489,1120.944,1102.87,1107.412,1216885220,11267910800.0
2020-02-20,1110.283,1118.233,1098.372,1118.033,1119949700,9927284600.0
2020-02-21,1114.933,1127.401,1110.153,1124.43,1143655660,10702313600.0
2020-02-24,1132.968,1159.887,1128.583,1157.413,1395303100,13509788000.0
2020-02-25,1135.267,1168.535,1118.981,1168.535,1710461100,15392638000.0
2020-02-26,1155.589,1164.159,1133.721,1137.882,1415039800,12271500500.0
2020-02-27,1142.769,1147.914,1120.396,1132.511,1085411980,10307200600.0
2020-02-28,1102.644,1118.771,1086.839,1087.432,1278485180,11859373300.0
2020-03-02,1098.86,1130.67,1098.86,1125.408,1024473750,10289567600.0
2020-03-03,1132.202,1147.506,1130.731,1139.074,1161524760,11746944400.0
2020-03-04,1133.648,1144.589,1121.509,1138.867,871078970,8955458500.0
2020-03-05,1149.142,1160.659,1143.054,1160.659,1059638760,9478684000.0
2020-03-06,1149.733,1178.456,1146.676,1171.802,1083460640,9747558400.0
2020-03-09,1160.81,1173.33,1152.915,1156.277,1425042000,12821803200.0
2020-03-10,1135.067,1155.107,1110.783,1153.61,1155262540,10913071200.0
2020-03-11,1154.189,1160.146,1140.469,1141.079,941434160,9335954700.0
