日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1477.075,1522.155,1470.734,1519.672,1480069600,26495272000.0
2020-01-03,1522.121,1532.733,1508.02,1519.09,1265840280,23214987000.0
2020-01-06,1501.857,1548.138,1494.717,1536.408,1593452700,27679932000.0
2020-01-07,1535.548,1545.703,1524.39,1545.703,1373507400,24468871000.0
2020-01-08,1529.791,1549.794,1511.399,1514.548,1513088500,24427871000.0
2020-01-09,1531.008,1555.626,1531.008,1555.626,1429572100,25960572000.0
2020-01-10,1560.064,1575.166,1552.181,1567.648,1463870200,26302905000.0
2020-01-13,1564.552,1610.174,1559.13,1610.174,1429507500,27654047000.0
2020-01-14,1616.34,1620.949,1598.997,1600.325,1340879210,26673496000.0
2020-01-15,1590.988,1605.623,1580.85,1603.446,1216414220,23462098000.0
2020-01-16,1604.064,1621.88,1601.522,1621.366,1732836300,30580839000.0
2020-01-17,1620.214,1628.306,1605.654,1609.292,1352468000,26010010000.0
2020-01-20,1611.395,1655.993,1595.344,1655.934,1638274300,33144100000.0
2020-01-21,1654.309,1657.388,1634.647,1634.812,1374936900,28035107000.0
2020-01-22,1620.258,1677.094,1596.921,1672.261,1723451100,34261845000.0
2020-01-23,1640.044,1673.269,1566.86,1590.578,1771719000,35248034000.0
2020-02-03,1421.737,1437.098,1421.737,1423.061,504339960,14810344000.0
2020-02-04,1334.42,1441.133,1334.42,1430.041,1926562000,33709672000.0
2020-02-05,1445.371,1502.881,1444.588,1459.396,1639501300,31743601000.0
2020-02-06,1447.193,1495.019,1439.675,1491.514,1747947300,33398462000.0
2020-02-07,1484.86,1511.071,1470.016,1510.269,1800836400,35316149000.0
2020-02-10,1494.656,1517.824,1483.69,1517.747,1532568900,29876743000.0
2020-02-11,1519.056,1555.334,1499.987,1536.067,1985061300,37976263000.0
2020-02-12,1523.116,1568.65,1519.448,1566.457,1633046900,31642915000.0
2020-02-13,1561.019,1582.757,1545.744,1550.222,1579875000,31183847000.0
2020-02-14,1544.157,1591.621,1544.157,1569.142,1761668800,32824934000.0
2020-02-17,1585.211,1644.67,1585.211,1644.67,2147859000,38700951000.0
2020-02-18,1647.724,1696.692,1647.291,1694.024,2314755500,42777874000.0
2020-02-19,1684.844,1722.832,1682.131,1684.193,2335072200,42770585000.0
2020-02-20,1691.035,1732.129,1679.298,1730.028,2247225700,42264330000.0
2020-02-21,1734.875,1784.947,1731.337,1773.863,2663029100,50332321000.0
2020-02-24,1764.956,1834.018,1752.482,1829.652,2586747900,52644876000.0
2020-02-25,1778.396,1847.958,1725.358,1837.722,2897334500,62424347000.0
2020-02-26,1809.023,1832.406,1735.995,1746.344,2625662400,55576999000.0
2020-02-27,1763.155,1776.12,1700.776,1728.233,2028165900,41848097000.0
2020-02-28,1643.788,1673.523,1599.156,1600.839,2179991600,46085917000.0
2020-03-02,1625.748,1682.659,1606.712,1667.106,1930405400,40631688000.0
2020-03-03,1704.184,1741.182,1662.784,1679.49,1969223000,40685446000.0
2020-03-04,1661.36,1678.26,1624.643,1662.142,1543554700,33653160000.0
2020-03-05,1694.394,1700.919,1649.959,1682.724,1584267300,32119248000.0
2020-03-06,1655.564,1686.848,1649.093,1672.208,1223454050,23334750000.0
2020-03-09,1635.16,1649.032,1572.738,1572.738,1737340900,34540429000.0
2020-03-10,1548.474,1646.402,1548.474,1646.402,1716052600,34118255000.0
2020-03-11,1658.722,1674.337,1606.85,1607.085,1397896000,28053774000.0
2020-03-12,1576.808,1593.449,1549.071,1569.769,1284645960,22749033000.0
2020-03-13,1477.869,1566.67,1477.869,1547.009,1484091300,25426833000.0
2020-03-16,1563.08,1564.602,1429.551,1435.493,1781209000,31811639000.0
2020-03-17,1452.387,1466.599,1372.917,1433.312,1533670100,25356311000.0
2020-03-18,1452.666,1486.12,1416.003,1416.003,1702148700,24360172000.0
2020-03-19,1422.646,1460.948,1402.741,1455.284,1712335100,24249715000.0
2020-03-20,1478.039,1484.096,1443.321,1467.967,1279635910,19966825000.0
2020-03-23,1422.586,1429.68,1364.596,1370.855,1899585600,23887544000.0
2020-03-24,1399.908,1404.541,1333.292,1384.452,1550791900,20142218000.0
2020-03-25,1422.1,1443.556,1415.904,1437.515,1951258100,28309077000.0
2020-03-26,1420.271,1427.358,1394.094,1396.828,1468126500,23732896000.0
2020-03-27,1419.777,1421.61,1373.037,1373.466,1247856210,20313728000.0
2020-03-30,1340.636,1340.636,1291.541,1315.445,1423116100,22928913000.0
2020-03-31,1337.215,1339.501,1302.532,1305.685,1073064890,16455201000.0
2020-04-01,1306.45,1345.994,1300.163,1319.724,1309956080,22230223000.0
2020-04-02,1312.866,1382.161,1311.949,1382.161,1529942300,27699832000.0
2020-04-03,1378.852,1381.375,1353.009,1361.169,1156204100,21079826000.0
2020-04-07,1396.982,1409.954,1395.196,1409.003,1353501700,24288608000.0
2020-04-08,1401.691,1429.769,1398.766,1421.386,1326086820,24090378000.0
2020-04-09,1427.212,1429.883,1406.497,1413.41,1084329400,18709707000.0
2020-04-10,1408.759,1408.787,1345.908,1353.4,1141221890,19791264000.0
2020-04-13,1338.923,1338.923,1306.805,1313.342,861702950,14980046000.0
2020-04-14,1324.98,1353.47,1324.98,1353.47,1076439040,18513522000.0
2020-04-15,1359.66,1384.298,1357.132,1365.851,1718337200,25416680000.0
2020-04-16,1354.612,1373.793,1343.813,1368.93,1410029700,17175971000.0
2020-04-17,1382.14,1405.554,1379.081,1381.791,1705728200,26867357000.0
2020-04-20,1382.83,1390.321,1372.298,1390.321,1057129020,15969755000.0
2020-04-21,1380.668,1380.668,1349.972,1369.284,1066654910,17229856000.0
2020-04-22,1359.696,1390.768,1355.295,1390.768,945195970,14935803000.0
2020-04-23,1393.544,1394.145,1370.931,1371.05,1208491950,16480423000.0
2020-04-24,1369.605,1381.747,1344.264,1351.484,1030281940,15595496000.0
2020-04-27,1354.02,1357.978,1331.076,1340.723,877465220,13125740400.0
2020-04-28,1336.97,1339.036,1265.685,1325.487,1448278500,24748698000.0
2020-04-29,1316.82,1344.227,1313.632,1340.081,910413530,17503352000.0
2020-04-30,1357.052,1412.161,1357.041,1405.917,1464913600,29567114000.0
2020-05-06,1400.644,1457.531,1398.517,1457.303,1498231900,33751654000.0
2020-05-07,1464.166,1480.821,1454.752,1461.595,1576081800,28695667000.0
2020-05-08,1473.679,1494.205,1471.21,1488.231,1434800100,27121109000.0
2020-05-11,1497.054,1506.739,1481.291,1492.658,1376438300,25365793000.0
2020-05-12,1493.368,1495.168,1458.73,1490.116,1289606370,23459180000.0
2020-05-13,1484.535,1502.421,1481.304,1500.435,1138208310,22527374000.0
