日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-04-27,973.282,973.282,917.069,927.318,1657707900,42113799000.0
2023-04-28,905.854,958.519,905.854,944.962,1733141300,41719525000.0
2023-05-04,938.758,947.324,918.227,938.515,1677272400,36991566000.0
2023-05-05,928.932,928.932,885.483,887.343,1567922200,33932681000.0
2023-05-08,886.679,896.307,878.99,894.033,1231529590,27805615000.0
2023-05-09,890.419,897.832,870.336,871.193,1341931300,30159008000.0
2023-05-10,868.294,874.558,856.04,862.964,1082892710,25137785000.0
2023-05-11,863.468,866.17,845.534,846.26,942452100,21047722000.0
2023-05-12,840.636,846.576,831.694,831.694,826350960,17174132000.0
2023-05-15,832.697,845.139,821.007,845.139,1029707200,21470651000.0
2023-05-16,845.637,846.203,829.537,831.984,842492510,17867270000.0
2023-05-17,826.843,847.341,826.721,845.141,976172280,22151558000.0
2023-05-18,846.184,871.862,846.105,867.765,1270959580,29886163000.0
2023-05-19,864.792,877.253,862.495,871.894,985121860,22682509000.0
2023-05-22,866.27,867.589,855.621,862.074,916845350,20600315000.0
2023-05-23,859.175,859.289,844.618,844.618,777361340,17021636000.0
2023-05-24,840.624,860.596,837.209,852.043,793122360,18414182000.0
2023-05-25,866.681,884.364,862.653,880.33,1322723850,32347740000.0
2023-05-26,872.546,896.079,870.94,892.275,1292816910,33135225000.0
2023-05-29,895.557,924.925,895.557,912.511,1453296600,36419404000.0
2023-05-30,900.991,925.475,896.557,924.275,1408570000,36781353000.0
2023-05-31,921.921,925.663,915.135,921.333,1356915200,33914879000.0
2023-06-01,911.463,936.941,911.459,926.017,1517077000,36677532000.0
2023-06-02,928.56,931.152,922.641,924.471,1232997530,29007977000.0
2023-06-05,924.332,934.107,922.226,927.08,1132967240,25470960000.0
2023-06-06,950.388,966.919,935.85,938.636,1538299100,35001718000.0
2023-06-07,934.164,947.23,927.644,943.829,1306336720,30012463000.0
2023-06-08,934.426,934.452,913.511,922.397,1129956100,25934131000.0
2023-06-09,923.821,962.064,923.821,961.68,1670315400,39343440000.0
2023-06-12,960.85,975.88,960.85,969.456,1526955000,35053283000.0
2023-06-13,970.235,999.75,966.972,996.4,1755485300,44709654000.0
2023-06-14,997.377,1015.46,985.434,1009.302,1810482000,48645622000.0
2023-06-15,1004.814,1014.778,994.033,995.793,1465288500,37405269000.0
2023-06-16,993.219,1020.569,986.437,1018.995,1723374600,47289828000.0
2023-06-19,1024.517,1062.302,1024.517,1061.544,1888581300,54037774000.0
2023-06-20,1053.941,1058.732,1041.63,1051.336,2061153700,64916568000.0
2023-06-21,1044.487,1044.99,1017.557,1017.649,1620245700,51372359000.0
2023-06-26,1001.567,1016.695,966.454,970.867,1914741800,52836962000.0
2023-06-27,970.58,984.876,965.179,982.1,1581081800,42572902000.0
2023-06-28,975.612,975.612,930.828,956.475,1807809200,43458949000.0
2023-06-29,950.34,969.08,950.34,963.462,1710319400,48917508000.0
