日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1025.419,1034.545,1023.872,1034.427,300185800,2978461400.0
2020-01-03,1035.168,1042.911,1032.314,1041.338,273986710,2486921400.0
2020-01-06,1036.688,1050.473,1031.962,1043.15,307491960,2905565200.0
2020-01-07,1043.759,1058.355,1043.759,1058.355,297296250,2855566700.0
2020-01-08,1053.582,1053.636,1033.195,1035.374,334426220,2961033600.0
2020-01-09,1041.037,1048.883,1041.037,1048.763,246420380,2339858900.0
2020-01-10,1052.043,1056.479,1046.194,1049.484,280925420,2504982100.0
2020-01-13,1050.696,1057.338,1041.899,1057.338,309233820,2954199900.0
2020-01-14,1060.084,1060.137,1051.768,1052.298,258156030,2508915300.0
2020-01-15,1052.979,1052.979,1038.085,1043.038,205682100,1906096000.0
2020-01-16,1044.336,1044.519,1032.356,1032.356,167259740,1619905600.0
2020-01-17,1034.376,1036.281,1025.801,1025.946,158227280,1521964000.0
2020-01-20,1025.345,1032.653,1021.397,1032.448,177424660,1737446000.0
2020-01-21,1030.475,1030.475,1010.77,1010.77,192879980,1795266000.0
2020-01-22,1006.736,1016.428,993.016,1011.188,198544420,1872872200.0
2020-01-23,1005.098,1007.861,971.367,978.148,242527080,2183797200.0
2020-02-03,881.052,885.665,881.052,882.834,112739117,1180066160.0
2020-02-04,820.361,872.944,820.361,869.117,375240130,2827590400.0
2020-02-05,874.627,901.923,872.944,887.211,280493460,2447670000.0
2020-02-06,888.747,912.472,882.874,908.677,283039280,2439889000.0
2020-02-07,911.24,922.96,902.937,922.96,311116490,2559859000.0
2020-02-10,918.616,939.914,915.002,939.223,293377850,2357949800.0
2020-02-11,940.739,947.163,934.42,940.869,264847360,2162116700.0
2020-02-12,937.119,955.084,936.53,954.343,253627320,2199065400.0
2020-02-13,952.048,955.768,940.889,941.65,271253370,2229661900.0
2020-02-14,938.777,944.947,934.003,938.976,227167520,1904110100.0
2020-02-17,945.15,974.386,945.019,974.386,378732420,3158985300.0
2020-02-18,974.753,981.292,969.28,981.292,337949340,2835586300.0
2020-02-19,980.52,984.744,974.052,975.681,327268240,2937063900.0
2020-02-20,977.143,991.494,968.165,991.494,374223790,3389092000.0
2020-02-21,990.027,1004.294,988.181,996.146,401242140,3674154600.0
2020-02-24,991.687,1011.023,984.436,1008.343,517421550,4717777500.0
2020-02-25,986.804,998.478,961.99,998.442,544542770,4926471800.0
2020-02-26,989.047,1010.107,985.674,992.204,546771010,4796511100.0
2020-02-27,994.882,1000.833,983.66,990.667,379540030,3481849900.0
2020-02-28,964.314,973.442,941.269,941.666,474638140,3910312700.0
2020-03-02,948.306,988.71,948.306,986.475,381972880,3392377700.0
2020-03-03,1007.958,1015.788,992.869,1009.787,496779550,4312748300.0
2020-03-04,1001.062,1014.657,998.14,1014.657,412874240,3520996300.0
2020-03-05,1022.587,1029.379,1015.597,1025.678,497156640,4454761100.0
2020-03-06,1011.678,1019.947,1007.819,1012.176,359184710,3142513200.0
2020-03-09,1001.487,1010.241,986.292,986.292,435048330,3789897700.0
2020-03-10,971.491,1010.108,965.32,1010.108,505690960,4254722300.0
2020-03-11,1010.336,1016.675,999.509,999.692,401781820,3568717400.0
2020-03-12,985.113,987.637,970.693,979.476,316854630,2736619500.0
2020-03-13,930.381,975.408,930.381,968.479,400985430,3507730100.0
2020-03-16,977.196,979.081,932.482,935.92,381119010,3212642600.0
2020-03-17,940.636,950.77,911.387,940.296,321744250,2630618800.0
2020-03-18,949.548,952.491,917.968,918.697,296486480,2426044600.0
2020-03-19,913.886,930.556,903.556,927.336,307912600,2411636100.0
2020-03-20,934.825,937.84,922.737,936.889,239539720,1917087000.0
2020-03-23,915.641,931.4,907.455,911.758,247395800,1910193700.0
2020-03-24,924.769,933.632,912.492,933.537,256878250,2101688700.0
2020-03-25,949.484,954.818,942.723,953.291,273527570,2187701400.0
2020-03-26,949.588,951.832,940.021,940.884,234770850,1873456900.0
2020-03-27,949.638,952.517,936.683,936.687,264833660,2024906400.0
2020-03-30,923.799,928.029,913.794,923.156,259016680,2050896100.0
2020-03-31,928.781,935.016,928.059,931.825,235315730,1877824000.0
2020-04-01,928.195,935.577,918.994,920.705,216807930,1736490500.0
2020-04-02,916.232,933.728,913.766,933.728,205298600,1662232200.0
2020-04-03,933.008,967.523,932.168,965.8,332901810,2695638200.0
2020-04-07,965.424,983.874,963.609,980.107,414848540,3625730100.0
2020-04-08,971.833,977.095,966.892,972.751,314900790,2547997600.0
2020-04-09,975.857,987.307,975.556,982.295,300462430,2449118600.0
2020-04-10,983.571,984.526,967.863,970.996,328400350,2793918900.0
2020-04-13,962.264,962.264,955.112,955.443,227850840,1873957600.0
2020-04-14,961.03,971.491,961.03,971.215,243687100,1932640600.0
2020-04-15,967.937,971.56,961.004,962.178,272100730,2395203900.0
2020-04-16,957.33,965.972,955.778,964.162,254600700,2016100100.0
2020-04-17,969.228,975.565,967.533,970.765,278868810,2262354600.0
2020-04-20,973.933,983.644,970.554,983.623,281685670,2303502300.0
2020-04-21,981.913,988.342,975.738,988.182,396775060,3180561100.0
