日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,820.443,831.792,817.611,831.006,22172053000,279811030000.0
2020-01-03,832.42,836.273,829.017,834.42,19681338000,251218520000.0
2020-01-06,831.095,848.204,828.895,841.64,23241647000,302047230000.0
2020-01-07,842.93,853.547,842.883,853.547,21439697000,273410110000.0
2020-01-08,849.935,853.731,839.305,841.238,24619487000,290750670000.0
2020-01-09,848.036,854.869,848.036,854.869,20847127000,270638480000.0
2020-01-10,857.349,858.111,849.56,853.577,18220083000,243166970000.0
2020-01-13,853.19,864.818,848.777,864.818,18774422000,262335930000.0
2020-01-14,866.725,868.355,862.923,863.101,20489632000,268051200000.0
2020-01-15,861.901,863.117,854.681,861.399,17334724000,229192120000.0
2020-01-16,862.354,864.911,858.872,860.558,17311853000,234926620000.0
2020-01-17,862.555,864.927,856.553,858.073,16578080000,226918850000.0
2020-01-20,859.37,870.458,856.817,870.458,18566324000,267406120000.0
2020-01-21,869.676,869.676,861.391,861.517,18828279000,262308610000.0
2020-01-22,857.331,869.787,845.728,866.651,19751593000,283547250000.0
2020-01-23,857.912,863.965,828.012,836.425,22882676000,323133440000.0
2020-02-03,760.746,770.093,760.746,764.008,12393028300,202094950000.0
2020-02-04,728.742,772.838,728.742,770.369,29298861000,364481480000.0
2020-02-05,774.915,798.944,774.674,789.813,25809223000,356320990000.0
2020-02-06,790.855,817.241,786.351,814.006,27217600000,375045790000.0
2020-02-07,815.245,822.486,806.327,822.111,26421845000,366404160000.0
2020-02-10,821.565,833.699,819.539,833.657,25979456000,354260920000.0
2020-02-11,833.874,836.061,825.102,830.251,22671083000,310797840000.0
2020-02-12,828.253,846.455,827.934,846.337,22809601000,317242190000.0
2020-02-13,847.098,850.611,837.305,839.833,24854211000,347866760000.0
2020-02-14,838.689,850.348,836.371,843.401,23268494000,332792720000.0
2020-02-17,849.085,872.619,849.085,872.619,26889577000,374570420000.0
2020-02-18,874.416,886.807,871.267,886.807,28606272000,392687720000.0
2020-02-19,885.776,892.482,879.793,879.885,29534333000,421496980000.0
2020-02-20,882.036,896.765,876.214,896.317,30424430000,421972520000.0
2020-02-21,896.554,914.114,895.768,908.188,32900038000,466231210000.0
2020-02-24,909.045,926.493,905.858,923.731,34540122000,500393160000.0
2020-02-25,903.797,927.294,885.846,925.417,40520997000,591590200000.0
2020-02-26,913.025,923.577,900.135,902.883,38556475000,538573770000.0
2020-02-27,907.44,916.492,893.689,905.556,30166872000,425187280000.0
2020-02-28,875.098,888.281,857.15,857.874,34091800000,459844920000.0
2020-03-02,867.767,897.443,867.767,893.481,30363098000,424177720000.0
2020-03-03,909.417,921.044,894.768,903.39,33101836000,475629340000.0
2020-03-04,898.069,907.789,890.265,907.789,27571846000,383245920000.0
2020-03-05,919.348,923.371,911.623,922.078,31651711000,443440790000.0
2020-03-06,911.097,922.978,909.597,916.751,27026532000,348806830000.0
