日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1131.043,1139.086,1128.415,1138.435,1249427650,9820069100.0
2020-01-03,1139.635,1147.84,1137.485,1147.088,1143061000,8150273600.0
2020-01-06,1144.264,1160.364,1140.757,1153.544,1485135700,11024489100.0
2020-01-07,1155.633,1168.771,1155.633,1168.771,1340663300,9680096400.0
2020-01-08,1166.371,1166.601,1144.953,1146.695,1606349300,11638536700.0
2020-01-09,1155.293,1159.271,1152.169,1158.482,1119872000,7964443800.0
2020-01-10,1159.682,1160.816,1147.974,1153.113,1021314770,7504715800.0
2020-01-13,1152.061,1156.6,1142.468,1156.6,967215900,6940076500.0
2020-01-14,1157.906,1164.939,1157.603,1159.547,1155305280,8503778000.0
2020-01-15,1157.743,1157.743,1143.199,1145.653,969630690,7114432200.0
2020-01-16,1146.527,1148.754,1138.357,1139.319,958519170,6992445900.0
2020-01-17,1142.599,1143.86,1132.863,1134.588,807925420,5792267400.0
2020-01-20,1134.994,1137.312,1128.57,1137.277,1038186370,8098868200.0
2020-01-21,1135.467,1135.467,1119.954,1120.401,1009247390,7942175100.0
2020-01-22,1117.216,1124.121,1102.023,1120.055,1025907790,7696970600.0
2020-01-23,1110.132,1111.729,1074.908,1083.397,1340822680,10145300400.0
2020-02-03,982.834,988.63,982.834,984.948,901240590,7772068800.0
2020-02-04,932.182,976.951,932.182,974.218,1768451400,12058806700.0
2020-02-05,976.788,1005.533,976.788,995.374,1588554100,11392866600.0
2020-02-06,999.603,1022.256,993.238,1021.203,1764587700,12465547100.0
2020-02-07,1022.717,1029.742,1012.364,1027.769,1826323000,13024278700.0
2020-02-10,1032.601,1056.075,1029.651,1055.849,1991914200,14507986000.0
2020-02-11,1059.946,1063.59,1048.047,1050.094,1762706000,12285322600.0
2020-02-12,1045.21,1061.832,1043.911,1061.651,1329596950,9552004200.0
2020-02-13,1062.685,1068.552,1052.555,1055.338,1389584100,9665985200.0
2020-02-14,1054.844,1061.615,1050.324,1058.994,1258300270,8598314500.0
2020-02-17,1064.901,1091.75,1064.901,1091.75,1686752900,11965251000.0
2020-02-18,1093.903,1100.554,1086.919,1099.769,1630429300,11734058200.0
2020-02-19,1102.995,1106.443,1095.921,1098.415,1732180600,12263668500.0
2020-02-20,1100.035,1119.358,1099.541,1119.078,1817910000,12765218000.0
2020-02-21,1118.128,1126.955,1115.497,1121.525,1773975900,12480245200.0
2020-02-24,1121.866,1130.713,1114.452,1127.634,2061089100,15255007000.0
2020-02-25,1105.585,1117.614,1083.707,1116.917,2378111500,17727191000.0
