日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-12-21,1013.424,1026.197,992.765,1019.441,2463947100,14883422000.0
2020-12-22,1012.225,1021.781,967.276,967.276,2233589900,14352133000.0
2020-12-23,963.742,1007.986,963.742,995.586,1830950500,11165042000.0
2020-12-24,1010.974,1019.396,983.084,1018.097,2009069100,11590290000.0
2020-12-25,1014.96,1062.469,1004.536,1048.696,2326399400,14142719000.0
2020-12-28,1063.025,1075.603,1050.851,1066.993,2416455300,16875372000.0
2020-12-29,1064.255,1064.255,1013.206,1016.217,2261837500,15654260000.0
2020-12-30,1003.933,1060.821,1001.969,1041.836,2172505400,14136685000.0
2020-12-31,1045.169,1050.889,1022.578,1031.648,2085227600,14436733000.0
2021-01-04,1023.768,1057.691,1018.903,1053.113,2184695900,15190005000.0
2021-01-05,1049.851,1049.851,1003.27,1019.651,2152242400,14633215000.0
2021-01-06,1016.34,1034.622,994.53,1009.611,1697751300,11726759400.0
2021-01-07,1006.852,1034.218,999.587,1012.137,2191656500,15142298000.0
2021-01-08,1011.746,1014.093,988.155,994.851,1771449300,12204790400.0
2021-01-11,985.966,985.966,941.837,944.759,1717367000,11534859900.0
2021-01-12,940.574,955.704,938.604,952.328,1296724970,8590053800.0
2021-01-13,950.775,959.786,932.19,947.857,1617483600,11561941600.0
2021-01-14,940.639,940.639,920.016,920.463,1357110200,9697816600.0
2021-01-15,923.95,939.612,923.508,938.327,1226870020,8793580200.0
2021-01-18,938.686,964.735,936.866,962.337,1369658600,10291590200.0
2021-01-19,960.877,984.341,958.433,961.136,1463048100,10825213100.0
2021-01-20,959.369,965.554,948.381,963.757,1149390930,8031792000.0
2021-01-21,968.874,1001.122,968.874,995.424,2219550800,14161971000.0
2021-01-22,997.472,997.517,972.097,973.295,2308375000,16637406000.0
2021-01-25,969.319,977.822,956.277,968.528,1732953100,13234005400.0
2021-01-26,970.76,1001.164,970.335,984.554,1699563400,12583454100.0
2021-01-27,985.557,1000.599,971.98,979.451,2193927700,15884483000.0
2021-01-28,960.117,969.587,945.482,946.42,1795443900,12663196800.0
2021-01-29,945.579,950.431,900.734,909.299,1787449300,12102093200.0
2021-02-01,906.422,933.527,900.64,931.763,1594262000,10866793200.0
2021-02-02,936.298,936.298,912.911,918.726,1582686100,10985200200.0
2021-02-03,913.956,922.649,904.609,910.091,1594901200,11418356900.0
2021-02-04,908.72,928.547,893.255,907.557,1551241500,10886219600.0
2021-02-05,912.067,914.009,877.413,878.036,1608947800,11872709100.0
2021-02-08,877.303,897.806,872.302,893.405,1285699120,9220714400.0
2021-02-09,894.749,925.429,892.566,922.173,1495196800,11445494500.0
2021-02-10,921.623,924.344,907.36,913.966,1481589200,11775802200.0
2021-02-18,937.754,973.794,937.754,970.571,2088435600,15457135000.0
2021-02-19,965.988,1007.136,965.303,1004.848,2176201400,16731769000.0
2021-02-22,1010.552,1071.642,1010.552,1037.323,3137165900,24280724000.0
