日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,887.936,898.904,886.425,898.891,2397079200,18887994000.0
2020-01-03,901.451,905.068,898.312,901.854,2271900400,18422184000.0
2020-01-06,899.607,920.992,897.805,914.382,2984141800,25060863000.0
2020-01-07,917.744,923.823,914.915,923.823,2598090800,20564760000.0
2020-01-08,923.406,936.457,918.42,921.273,3021897600,24109931000.0
2020-01-09,930.074,932.424,923.813,929.839,2283173300,19500542000.0
2020-01-10,931.224,931.294,915.909,919.551,1984928800,16673610000.0
2020-01-13,922.662,929.884,915.762,929.884,1953765200,17230962000.0
2020-01-14,933.016,942.131,932.916,933.608,2727672700,22668911000.0
2020-01-15,931.674,931.674,918.483,922.439,2332145800,17057440000.0
2020-01-16,924.676,927.639,919.532,923.483,2162449600,18507700000.0
2020-01-17,926.421,929.126,920.994,921.584,2030927300,19367760000.0
2020-01-20,922.491,929.902,920.603,929.895,1949912800,19188760000.0
2020-01-21,927.243,927.243,910.663,910.976,1946765200,18881023000.0
2020-01-22,905.804,917.156,891.618,912.763,1786040500,17616720000.0
2020-01-23,901.111,903.362,866.81,874.733,2277019000,20131672000.0
2020-02-03,792.984,793.765,790.846,792.947,967584850,9666884600.0
2020-02-04,736.139,782.02,736.139,778.497,2954458200,22743649000.0
2020-02-05,780.359,809.045,780.359,798.459,2621865100,23365529000.0
2020-02-06,797.333,816.17,790.925,813.723,2484790700,22181684000.0
2020-02-07,816.227,824.241,806.112,824.241,2655633400,22301894000.0
2020-02-10,825.158,848.087,822.054,848.039,2781580500,23497057000.0
2020-02-11,850.033,863.232,845.357,851.161,2514882200,22069687000.0
2020-02-12,846.682,864.253,845.526,863.765,2405462200,20709704000.0
2020-02-13,861.221,867.549,853.333,855.892,2388720900,21353324000.0
2020-02-14,853.234,860.036,844.573,851.783,2143874400,19113083000.0
2020-02-17,857.109,882.935,857.109,882.935,2782680100,23588573000.0
2020-02-18,885.439,902.026,883.496,902.026,3003612900,25762270000.0
2020-02-19,904.425,911.237,900.569,901.346,3389199200,27568310000.0
2020-02-20,905.226,927.074,903.786,926.287,3856369300,31834428000.0
2020-02-21,923.615,939.295,922.316,936.335,3983619700,34030949000.0
2020-02-24,937.084,955.458,932.856,952.499,4074084700,36031996000.0
2020-02-25,928.083,956.852,905.866,955.266,5057441200,42484165000.0
2020-02-26,941.903,964.729,936.54,939.04,4441731000,35445403000.0
2020-02-27,945.456,951.941,928.363,938.833,3346504100,27311614000.0
2020-02-28,904.586,914.9,875.893,876.687,3677658000,30029493000.0
2020-03-02,885.554,917.323,885.554,913.201,2940621400,24681802000.0
2020-03-03,929.608,945.322,917.099,926.079,3274864400,27708955000.0
2020-03-04,917.96,931.133,911.346,931.133,2636332900,21806256000.0
2020-03-05,941.943,949.542,939.564,949.542,3127253800,24904831000.0
2020-03-06,936.974,958.731,935.001,951.732,3162489400,24429288000.0
2020-03-09,936.135,942.916,917.971,917.971,3502074300,28373905000.0
2020-03-10,901.077,937.377,889.242,937.377,3777499200,27452962000.0
2020-03-11,940.148,949.227,926.015,926.015,3355245800,24079694000.0
2020-03-12,910.159,915.379,894.162,904.734,2777717400,19898884000.0
2020-03-13,853.293,897.264,852.507,889.733,3089351600,21236031000.0
2020-03-16,899.643,900.698,848.472,851.646,3163306000,23295068000.0
2020-03-17,853.632,863.697,817.69,848.778,2781958600,20145727000.0
2020-03-18,855.02,869.215,834.016,834.016,2800529300,21946063000.0
2020-03-19,830.965,844.529,816.09,840.788,2410614300,18819303000.0
2020-03-20,849.661,852.252,834.07,846.697,1937239100,15173469000.0
2020-03-23,823.925,830.66,804.202,807.119,1890585500,14846523000.0
2020-03-24,821.281,826.165,800.884,826.165,1938011000,15608095000.0
2020-03-25,843.798,852.697,842.075,851.712,2227494600,18373170000.0
2020-03-26,848.041,851.268,839.456,840.589,1869915900,15041413000.0
2020-03-27,851.067,852.504,833.411,834.314,2199056700,17463254000.0
2020-03-30,821.922,824.161,806.011,817.945,2143162200,15971403000.0
2020-03-31,825.476,826.918,816.148,818.21,1792685500,12863461700.0
2020-04-01,817.789,829.864,812.838,814.508,2182038300,15779540000.0
2020-04-02,806.376,832.196,806.33,832.196,1876018600,13894115000.0
2020-04-03,831.198,835.692,822.188,826.213,1756633800,13498057000.0
2020-04-07,839.58,850.247,837.455,849.634,2216662900,17027855000.0
2020-04-08,846.298,855.921,845.082,853.519,2062380900,15416715000.0
2020-04-09,857.223,860.637,854.237,858.123,2126623300,14596353000.0
2020-04-10,856.042,856.18,833.809,836.877,2036191100,14439833000.0
2020-04-13,833.033,834.11,825.169,828.801,1530938500,11613915600.0
2020-04-14,832.835,846.542,832.835,846.542,1639947500,13703130000.0
2020-04-15,844.862,853.509,842.476,845.397,2355507100,17482903000.0
2020-04-16,839.754,850.318,838.033,849.476,2115066600,15877496000.0
2020-04-17,853.976,855.572,848.044,849.323,2238466200,16587216000.0
2020-04-20,850.871,858.297,849.387,858.297,1947916700,15437515000.0
2020-04-21,853.915,853.915,840.412,848.377,2086855800,15431169000.0
2020-04-22,842.314,855.064,839.168,854.725,1895762600,13152704100.0
2020-04-23,858.658,859.778,849.717,850.305,1966543800,15685954000.0
2020-04-24,856.612,867.382,843.075,846.053,3136138600,23121068000.0
2020-04-27,845.42,847.023,834.412,834.978,2579456300,17722128000.0
2020-04-28,831.054,832.757,789.065,806.517,2577989500,17837417000.0
2020-04-29,800.946,810.783,799.581,803.393,1929493800,13599994000.0
2020-04-30,806.536,824.876,806.536,821.983,2388976300,17855140000.0
2020-05-06,815.358,838.885,815.358,838.885,2227040200,17656216000.0
2020-05-07,839.01,839.01,831.912,832.874,2244451100,16858236000.0
2020-05-08,835.627,842.68,835.009,840.265,2082357700,16105830000.0
2020-05-11,843.094,848.137,835.932,841.736,2164302400,16421033000.0
2020-05-12,838.96,840.716,825.13,834.539,1676198000,13137542900.0
2020-05-13,830.533,837.326,828.066,836.157,1570651000,11811866000.0
2020-05-14,832.188,834.928,828.872,829.238,1697184400,12925327900.0
2020-05-15,832.055,834.244,826.922,828.848,1469080900,11981315200.0
2020-05-18,830.196,830.858,818.589,821.042,1768546200,14150134000.0
2020-05-19,825.932,827.795,821.35,825.986,1509302600,12188965000.0
2020-05-20,824.62,829.705,821.574,823.838,1826963500,14226657000.0
2020-05-21,826.615,828.296,815.255,817.145,1673938700,13340847000.0
2020-05-22,815.106,815.106,800.141,803.699,1572931200,12321372500.0
2020-05-25,801.107,804.819,796.98,800.178,1293037520,9975435800.0
2020-05-26,802.995,818.983,802.756,818.983,1315836140,10160831900.0
2020-05-27,819.404,822.169,813.716,817.597,1612707400,12179724400.0
2020-05-28,816.044,820.399,805.93,814.825,1699899300,12091940900.0
2020-05-29,813.213,820.002,812.58,816.949,1441902400,10645406600.0
2020-06-01,818.93,837.922,818.93,837.922,1902477500,14577772000.0
2020-06-02,841.609,845.972,839.395,843.36,1978756200,14395584000.0
2020-06-03,846.082,850.397,843.039,846.857,2130751700,16908304000.0
2020-06-04,848.926,852.135,843.976,850.186,2070844900,15275774000.0
2020-06-05,852.363,853.082,845.578,851.375,1790568200,12786123400.0
